阿多诺,a'duo'nuo
谢林,xie'lin
邪魔外道,xie'mo'wai'dao
谢上蔡,xie'shang'cai
谢玄,xie'xuan
谢应芳,xie'ying'fang
心辩,xin'bian
新柏拉图学派,xin'bo'la'tu'xue'pai
新柏拉图主义,xin'bo'la'tu'zhu'yi
心成之说,xin'cheng'zhi'shuo
新村主义运动,xin'cun'zhu'yi'yun'dong
心法,xin'fa
新故相除,xin'gu'xiang'chu
薪火之喻,xin'huo'zhi'yu
心迹,xin'ji
心即理,xin'ji'li
心即气,xin'ji'qi
心即生命力,xin'ji'sheng'ming'li
心境更互缘生,xin'jing'geng'hu'yuan'sheng
心具众理,xin'ju'zhong'li
心力,xin'li
心灵智慧,xin'ling'zhi'hui
心声二物,xin'sheng'er'wu
心声心画,xin'sheng'xin'hua
心术,xin'shu
心所,xin'suo
心统性情,xin'tong'xing'qing
心外无理,xin'wai'wu'li
心外无物,xin'wai'wu'wu
心外无学,xin'wai'wu'xue
心王,xin'wang
新王必改制,xin'wang'bi'gai'zhi
心为虑本,xin'wei'lv'ben
心物,xin'wu
心无本体,xin'wu'ben'ti
心物合一,xin'wu'he'yi
心无自体,xin'wu'zi'ti
信行,xin'xing
心性,xin'xing
心意识,xin'yi'shi
心斋,xin'zhai
新政治学,xin'zheng'zhi'xue
心之官则思,xin'zhi'guan'ze'si
兴必有废,xing'bi'you'fei
邢昺,xing'bing
省察克治,xing'cha'ke'zhi
性成命定,xing'cheng'ming'ding
性成于习,xing'cheng'yu'xi
形存则神存,xing'cun'ze'shen'cun
刑德,xing'de
刑德相养,xing'de'xiang'yang
性恶,xing'e
形而上,xing'er'shang
形而上学,xing'er'shang'xue
形而上学唯物主义,xing'er'shang'xue'wei'wu'zhu'yi
形而下,xing'er'xia
性分,xing'fen
性分之知,xing'fen'zhi'zhi
性各自足,xing'ge'zi'zu
兴观群怨,xing'guan'qun'yuan
性禾善米,xing'he'shan'mi
形化,xing'hua
形魂,xing'hun
形迹,xing'ji
性即理,xing'ji'li
形静神驰,xing'jing'shen'chi
性具,xing'ju
形具而神生,xing'ju'er'shen'sheng
性觉,xing'jue
行可兼知,xing'ke'jian'zhi
性空,xing'kong
形溃反原,xing'kui'fan'yuan
性理,xing'li
性灵说,xing'ling'shuo
兴灭继绝,xing'mie'ji'jue
刑名,xing'ming
形名,xing'ming
性命,xing'ming
幸偶遭遇,xing'ou'zao'yu
行气,xing'qi
性起,xing'qi
性其情,xing'qi'qing
行其所不知以致其知,xing'qi'suo'bu'zhi'yi'zhi'qi'zhi
性情,xing'qing
性情三品,xing'qing'san'pin
兴趣,xing'qu
性日生日成,xing'ri'sheng'ri'cheng
性三品,xing'san'pin
性善,xing'shan
性善恶混,xing'shan'e'hun
性善情恶,xing'shan'qing'e
邢邵,xing'shao
形神,xing'shen
形神不二,xing'shen'bu'er
形神非一,xing'shen'fei'yi
形神相合,xing'shen'xiang'he
形神相即,xing'shen'xiang'ji
形神相异,xing'shen'xiang'yi
形恃神以立,xing'shi'shen'yi'li
形式质料说,xing'shi'zhi'liao'shuo
行是知之成,xing'shi'zhi'zhi'cheng
形似,xing'si
行为方式,xing'wei'fang'shi
性伪之分,xing'wei'zhi'fen
性无善恶论,xing'wu'shan'e'lun
性习,xing'xi
行先知后,xing'xian'zhi'hou
兴象,xing'xiang
性相,xing'xiang
性相近,xing'xiang'jin
形谢则神灭,xing'xie'ze'shen'mie
形性不二,xing'xing'bu'er
行秀,xing'xiu
性修不二,xing'xiu'bu'er
形须气而成,xing'xu'qi'er'cheng
形须神而立焉,xing'xu'shen'er'li'yan
行易知难,xing'yi'zhi'nan
性有善有恶,xing'you'shan'you'e
行远必自迩,xing'yuan'bi'zi'er
星云,xing'yun
形者生之具,xing'zhe'sheng'zhi'ju
性智,xing'zhi
性知,xing'zhi
形质神用,xing'zhi'shen'yong
行重知轻,xing'zhong'zhi'qing
熊伯龙,xiong'bo'long
熊赐履,xiong'ci'lv
雄浑,xiong'hun
雄节,xiong'jie
熊十力,xiong'shi'li
熊钟陵,xiong'zhong'ling
修齐治平,xiu'qi'zhi'ping
修饰学,xiu'shi'xue
羞恶之心,xiu'wu'zhi'xin
修正的民主政治,xiu'zheng'de'min'zhu'zheng'zhi
徐爱,xu'ai
徐复观,xu'fu'guan
徐干,xu'gan
徐光启,xu'guang'qi
许衡,xu'heng
虚极,xu'ji
虚霩,xu'kuo
许谦,xu'qian
许慎,xu'shen
虚实,xu'shi
虚室生白,xu'shi'sheng'bai
徐寿,xu'shou
虚位,xu'wei
徐谓,xu'wei
虚无形,xu'wu'xing
虚无有,xu'wu'you
虚象,xu'xiang
许行,xu'xing
虚一而静,xu'yi'er'jing
玄德,xuan'de
悬解,xuan'jie
玄览,xuan'lan
玄妙,xuan'miao
玄冥,xuan'ming
玄牝,xuan'pin
玄谈,xuan'tan
玄通,xuan'tong
玄同,xuan'tong
玄学鬼,xuan'xue'gui
宣夜说,xuan'ye'shuo
玄一,xuan'yi
玄一之道,xuan'yi'zhi'dao
玄远,xuan'yuan
玄奘,xuan'zang
学而不思则罔,xue'er'bu'si'ze'wang
学而不厌,xue'er'bu'yan
学而时习之,xue'er'shi'xi'zhi
学而优则仕,xue'er'you'ze'shi
学而知之,xue'er'zhi'zhi
薛福成,xue'fu'cheng
薛季宣,xue'ji'xuan
血气心知,xue'qi'xin'zhi
学说库,xue'shuo'ku
学思,xue'si
学问思辨,xue'wen'si'bian
学习,xue'xi
薛瑄,xue'xuan
学园派,xue'yuan'pai
学知,xue'zhi
荀粲,xun'can
循道而不贰,xun'dao'er'bu'er
荀况,xun'kuang
循理,xun'li
循名究理,xun'ming'jiu'li
循名责实,xun'ming'ze'shi
荀卿,xun'qing
寻求超越,xun'qiu'chao'yue
荀融,xun'rong
荀爽,xun'shuang
熏习,xun'xi
荀彧,xun'yu
荀悦,xun'yue
荀子,xun'zi
雅典法庭,ya'dian'fa'ting
牙含章,ya'han'zhang
亚里士多德,ya'li'shi'duo'de
亚里斯提布,ya'li'si'ti'bu
亚里土多德学说,ya'li'tu'duo'de'xue'shuo
揠苗助长,ya'miao'zhu'zhang
雅远,ya'yuan
严北溟,yan'bei'ming
言不尽意,yan'bu'jin'yi
彦琮,yan'cong
言多方,yan'duo'fang
严复,yan'fu
颜回,yan'hui
严几道,yan'ji'dao
言尽意,yan'jin'yi
研究对象,yan'jiu'dui'xiang
研究自然,yan'jiu'zi'ran
颜钧,yan'jun
严君平,yan'jun'ping
严灵峰,yan'ling'feng
阎罗妖,yan'luo'yao
晏平仲,yan'ping'zhong
阎若璩,yan'ruo'qu
颜师古,yan'shi'gu
延寿,yan'shou
延天佑人,yan'tian'you'ren
言为心声,yan'wei'xin'sheng
颜习斋,yan'xi'zhai
言行,yan'xing
言偃,yan'yan
颜延之,yan'yan'zhi
言意,yan'yi
言以谕心,yan'yi'yu'xin
言意之辨,yan'yi'zhi'bian
言因理而变,yan'yin'li'er'bian
晏婴,yan'ying
严羽,yan'yu
颜元,yan'yuan
颜渊,yan'yuan
燕之北越之南是也,yan'zhi'bei'yue'zhi'nan'shi'ye
颜之推,yan'zhi'tui
晏子,yan'zi
严遵,yan'zun
杨布利柯,yang'bu'li'ke
杨诚斋,yang'cheng'zhai
杨慈湖,yang'ci'hu
杨东明,yang'dong'ming
阳刚之美,yang'gang'zhi'mei
仰观俯察,yang'guan'fu'cha
杨龟山,yang'gui'shan
杨何,yang'he
杨简,yang'jian
杨柳桥,yang'liu'qiao
养气,yang'qi
扬弃,yang'qi
杨泉,yang'quan
杨荣国,yang'rong'guo
杨慎,yang'shen
杨升庵,yang'sheng'an
杨时,yang'shi
杨万里,yang'wan'li
杨王孙,yang'wang'sun
杨文会,yang'wen'hui
杨献珍,yang'xian'zhen
养心,yang'xin
扬雄,yang'xiong
杨雄,yang'xiong
杨朱,yang'zhu
杨子,yang'zi
阳子居,yang'zi'ju
阳尊阴卑,yang'zun'yin'bei
要摆脱,yao'bai'tuo
爻辞,yao'ci
姚际恒,yao'ji'heng
业报,ye'bao
叶德辉,ye'de'hui
野马,ye'ma
夜气,ye'qi
叶青,ye'qing
叶适,ye'shi
叶水心,ye'shui'xin
叶燮,ye'xie
叶子奇,ye'zi'qi
伊奥尼亚,yi'ao'ni'ya
易白沙,yi'bai'sha
一本,yi'ben
一本万殊,yi'ben'wan'shu
伊壁鸠鲁,yi'bi'jiu'lu
伊壁鸠鲁派,yi'bi'jiu'lu'pai
伊壁鸠鲁篇,yi'bi'jiu'lu'pian
伊壁鸠鲁学派,yi'bi'jiu'lu'xue'pai
伊壁鸠鲁主义,yi'bi'jiu'lu'zhu'yi
义兵,yi'bing
以不知为宗,yi'bu'zhi'wei'zong
一阐提,yi'chan'ti
一阐提迦,yi'chan'ti'jia
以禅喻诗,yi'chan'yu'shi
以辞抒意,yi'ci'shu'yi
义存,yi'cun
意大利南部,yi'da'li'nan'bu
一旦拥有,yi'dan'yong'you
以道制欲,yi'dao'zhi'yu
以德报怨,yi'de'bao'yuan
以德配天,yi'de'pei'tian
一多,yi'duo
一多相即,yi'duo'xiang'ji
一多相容,yi'duo'xiang'rong
一而二,yi'er'er
已发,yi'fa
以法为教,yi'fa'wei'jiao
一分为二,yi'fen'wei'er
易服色,yi'fu'se
异故,yi'gu
一故神,yi'gu'shen
一贯,yi'guan
一行,yi'hang
医和,yi'he
一画,yi'hua
一即三,yi'ji'san
一即一切,yi'ji'yi'qie
意见,yi'jian
易简工夫,yi'jian'gong'fu
以见知隐,yi'jian'zhi'yin
意匠,yi'jiang
以今推古,yi'jin'tui'gu
义净,yi'jing
意境,yi'jing
以静制动,yi'jing'zhi'dong
异类不比,yi'lei'bu'bi
以类度类,yi'lei'du'lei
以类取,yi'lei'qu
以类行杂,yi'lei'xing'za
以类予,yi'lei'yu
义利,yi'li
义理,yi'li
以理杀人,yi'li'sha'ren
义利双行,yi'li'shuang'xing
以吏为师,yi'li'wei'shi
义利之辨,yi'li'zhi'bian
义理之性,yi'li'zhi'xing
义理之学,yi'li'zhi'xue
一两,yi'liang
以名举实,yi'ming'ju'shi
一念发动即是行,yi'nian'fa'dong'ji'shi'xing
一念三千,yi'nian'san'qian
以其取也,yi'qi'qu'ye
以奇相御,yi'qi'xiang'yu
一切即一,yi'qie'ji'yi
一切知识,yi'qie'zhi'shi
以情纬文,yi'qing'wei'wen
一曲,yi'qu
依人建极,yi'ren'jian'ji
以仁为本,yi'ren'wei'ben
义荣,yi'rong
义辱,yi'ru
以儒学为本,yi'ru'xue'wei'ben
意识,yi'shi
一是而一非,yi'shi'er'yi'fei
以适听适,yi'shi'ting'shi
意识形态,yi'shi'xing'tai
衣食足以知荣辱,yi'shi'zu'yi'zhi'rong'ru
异熟,yi'shu
以说出故,yi'shuo'chu'gu
依他起性,yi'ta'qi'xing
以太,yi'tai
以天合天,yi'tian'he'tian
异同攻取,yi'tong'gong'qu
以往知来,yi'wang'zhi'lai
以物观物,yi'wu'guan'wu
一物两体,yi'wu'liang'ti
以无为本,yi'wu'wei'ben
夷夏之辨,yi'xia'zhi'bian
意象,yi'xiang
以小推大,yi'xiao'tui'da
以心传心,yi'xin'chuan'xin
一心三观,yi'xin'san'guan
一心三智,yi'xin'san'zhi
以心挽劫,yi'xin'wan'jie
易心莹,yi'xin'ying
以心原物,yi'xin'yuan'wu
以行而求知,yi'xing'er'qiu'zhi
以刑去刑,yi'xing'qu'xing
以性统情,yi'xing'tong'qing
以形务名,yi'xing'wu'ming
以形写神,yi'xing'xie'shen
以形写形,yi'xing'xie'xing
义玄,yi'xuan
意验相符,yi'yan'xiang'fu
一以贯之,yi'yi'guan'zhi
以义为利,yi'yi'wei'li
一阴一阳之谓道,yi'yin'yi'yang'zhi'wei'dao
意欲,yi'yu
以元为本,yi'yuan'wei'ben
意在笔前,yi'zai'bi'qian
异则异之,yi'ze'yi'zhi
一真法界,yi'zhen'fa'jie
一真绝待,yi'zhen'jue'dai
以真为师,yi'zhen'wei'shi
一致百虑,yi'zhi'bai'lv
意之所在便是物,yi'zhi'suo'zai'bian'shi'wu
以知为力,yi'zhi'wei'li
以智相识,yi'zhi'xiang'shi
一中多,yi'zhong'duo
一种万实,yi'zhong'wan'shi
一周而一不周,yi'zhou'er'yi'bu'zhou
依自不依他,yi'zi'bu'yi'ta
引蔽习染,yin'bi'xi'ran
因革,yin'ge
隐栝之道,yin'gua'zhi'dao
因果,yin'guo
因果报应,yin'guo'bao'ying
因过而知,yin'guo'er'zhi
因果非物,yin'guo'fei'wu
殷海光,yin'hai'guang
殷浩,yin'hao
因门六义,yin'men'liu'yi
因明,yin'ming
阴柔之美,yin'rou'zhi'mei
因三相,yin'san'xiang
因势慎小,yin'shi'shen'xiao
因十四过,yin'shi'si'guo
尹焞,yin'tui
尹文,yin'wen
尹文子,yin'wen'zi
因悟而知,yin'wu'er'zhi
因习而知,yin'xi'er'zhi
隐秀,yin'xiu
因循革化,yin'xun'ge'hua
阴阳,yin'yang
阴阳五行说,yin'yang'wu'xing'shuo
阴阳相薄,yin'yang'xiang'bo
阴阳之大义,yin'yang'zhi'da'yi
因疑而知,yin'yi'er'zhi
因缘,yin'yuan
氤氲,yin'yun
絪缊,yin'yun
因知以进行,yin'zhi'yi'jin'xing
阴骘之说,yin'zhi'zhi'shuo
赢绌变化,ying'chu'bian'hua
应化之道,ying'hua'zhi'dao
盈坚白,ying'jian'bai
撄宁,ying'ning
营魄,ying'po
赢缩转化,ying'suo'zhuan'hua
盈天地者无非物,ying'tian'di'zhe'wu'fei'wu
盈天地之间唯万物,ying'tian'di'zhi'jian'wei'wan'wu
英雄与时势互为因果,ying'xiong'yu'shi'shi'hu'wei'yin'guo
盈虚,ying'xu
郢有天下,ying'you'tian'xia
用常动,yong'chang'dong
永恒不变,yong'heng'bu'bian
永恒存在,yong'heng'cun'zai
永恒真理,yong'heng'zhen'li
用名以乱名,yong'ming'yi'luan'ming
用名以乱实,yong'ming'yi'luan'shi
用实以乱名,yong'shi'yi'luan'ming
有待,you'dai
有对,you'dui
有对争而后能进,you'dui'zheng'er'hou'neng'jin
犹火之燃烛,you'huo'zhi'ran'zhu
有迹,you'ji
有教无类,you'jiao'wu'lei
有漏,you'lou
又名,you'ming
有名,you'ming
有情,you'qing
有穷,you'qiong
有若,you'ruo
有生于无,you'sheng'yu'wu
有统一而后能成,you'tong'yi'er'hou'neng'cheng
游外弘内,you'wai'hong'nei
有为,you'wei
有为法,you'wei'fa
有我之境,you'wo'zhi'jing
有无,you'wu
有无混一之常,you'wu'hun'yi'zhi'chang
有无相生,you'wu'xiang'sheng
有物有则,you'wu'you'ze
有物之域,you'wu'zhi'yu
有限性,you'xian'xing
有相,you'xiang
游心,you'xin
有因而无生焉,you'yin'er'wu'sheng'yan
游于艺,you'yu'yi
有子,you'zi
游酢,you'zuo
玉柄麈尾,yu'bing'zhu'wei
虞翻,yu'fan
于光远,yu'guang'yuan
于吉,yu'ji
余家菊,yu'jia'ju
余靖,yu'jing
与民同乐,yu'min'tong'le
俞曲园,yu'qu'yuan
喻十过,yu'shi'guo
喻体,yu'ti
与天为徙,yu'tian'wei'xi
与天为一,yu'tian'wei'yi
宇徙久,yu'xi'jiu
喻依,yu'yi
余英时,yu'ying'shi
虞愚,yu'yu
俞樾,yu'yue
豫则立,yu'ze'li
宇宙,yu'zhou
宇宙便是吾心,yu'zhou'bian'shi'wu'xin
宇宙观,yu'zhou'guan
宇宙之砖,yu'zhou'zhi'zhuan
袁粲,yuan'can
圆成实性,yuan'cheng'shi'xing
缘道理,yuan'dao'li
缘督为经,yuan'du'wei'jing
辕固生,yuan'gu'sheng
圆寂,yuan'ji
元结,yuan'jie
元精,yuan'jing
袁枚,yuan'mei
元气,yuan'qi
缘起,yuan'qi
元气本体论,yuan'qi'ben'ti'lun
元气之外无太极,yuan'qi'zhi'wai'wu'tai'ji
元气自动论,yuan'qi'zi'dong'lun
元气自然论,yuan'qi'zi'ran'lun
缘情论,yuan'qing'lun
圆融三谛,yuan'rong'san'di
缘生,yuan'sheng
原始反终,yuan'shi'fan'zhong
元始天尊,yuan'shi'tian'zun
原始要终,yuan'shi'yao'zhong
缘天官,yuan'tian'guan
元享利贞,yuan'xiang'li'zhen
袁燮,yuan'xie
原型观念,yuan'xing'guan'nian
元照,yuan'zhao
元知,yuan'zhi
原质,yuan'zhi
原子论者,yuan'zi'lun'zhe
月旦评,yue'dan'ping
约定俗成,yue'ding'su'cheng
约公元前,yue'gong'yuan'qian
越名教而任自然,yue'ming'jiao'er'ren'zi'ran
月映万川,yue'ying'wan'chuan
恽代英,yun'dai'ying
云门三句,yun'men'san'ju
韵味说,yun'wei'shuo
允执其中,yun'zhi'qi'zhong
宰理,zai'li
宰我,zai'wo
灾异,zai'yi
宰予,zai'yu
在运动中,zai'yun'dong'zhong
暂时变动,zan'shi'bian'dong
藏传因明,zang'chuan'yin'ming
臧三耳,zang'san'er
臧文仲,zang'wen'zhong
凿不围枘,zao'bu'wei'rui
造命,zao'ming
早期希腊哲学,zao'qi'xi'la'zhe'xue
造物者,zao'wu'zhe
增多人性,zeng'duo'ren'xing
曾国藩,zeng'guo'fan
曾参,zeng'shen
增益执,zeng'yi'zhi
曾子,zeng'zi
湛甘泉,zhan'gan'quan
詹何,zhan'he
战略学,zhan'lue'xue
湛然,zhan'ran
湛若水,zhan'ruo'shui
章炳麟,zhang'bing'lin
张伯端,zhang'bo'duan
张伯行,zhang'bo'xing
张岱年,zhang'dai'nian
张道陵,zhang'dao'ling
张东荪,zhang'dong'sun
张韩,zhang'han
张衡,zhang'heng
张横渠,zhang'heng'qu
张华,zhang'hua
张惠言,zhang'hui'yan
张讥,zhang'ji
张角,zhang'jiao
张九成,zhang'jiu'cheng
张居正,zhang'ju'zheng
张君房,zhang'jun'fang
张君劢,zhang'jun'mai
张陵,zhang'ling
张鲁,zhang'lu
张履祥,zhang'lv'xiang
张南轩,zhang'nan'xuan
张融,zhang'rong
张如心,zhang'ru'xin
张三丰,zhang'san'feng
张申府,zhang'shen'fu
张盛,zhang'sheng
张栻,zhang'shi
张世英,zhang'shi'ying
章实斋,zhang'shi'zhai
章士钊,zhang'shi'zhao
张崧年,zhang'song'nian
章太炎,zhang'tai'yan
彰往察来,zhang'wang'cha'lai
张遐,zhang'xia
张修,zhang'xiu
章学诚,zhang'xue'cheng
张杨园,zhang'yang'yuan
张仪,zhang'yi
张元忭,zhang'yuan'bian
张载,zhang'zai
张湛,zhang'zhan
张之洞,zhang'zhi'dong
张仲景,zhang'zhong'jing
照单全收,zhao'dan'quan'shou
赵复,zhao'fu
赵归真,zhao'gui'zhen
赵纪彬,zhao'ji'bin
赵歧,zhao'qi
赵蕤,zhao'rui
朝三暮四,zhao'san'mu'si
遮诠与表诠,zhe'quan'yu'biao'quan
这些思想,zhe'xie'si'xiang
哲学,zhe'xue
哲学基础,zhe'xue'ji'chu
哲学论战,zhe'xue'lun'zhan
哲学史,zhe'xue'shi
哲学思维,zhe'xue'si'wei
哲学体系,zhe'xue'ti'xi
哲学学派,zhe'xue'xue'pai
哲学学说,zhe'xue'xue'shuo
哲学研究,zhe'xue'yan'jiu
哲学之父,zhe'xue'zhi'fu
哲学追求,zhe'xue'zhui'qiu
这一主义,zhe'yi'zhu'yi
折衷主义,zhe'zhong'zhu'yi
真德秀,zhen'de'xiu
真谛,zhen'di
贞而不谅,zhen'er'bu'liang
真迹,zhen'ji
真几,zhen'ji
真己,zhen'ji
真可,zhen'ke
真理,zhen'li
真理性,zhen'li'xing
甄鸾,zhen'luan
真趣,zhen'qu
真人,zhen'ren
真如,zhen'ru
真善美,zhen'shan'mei
珍生,zhen'sheng
真实本质,zhen'shi'ben'zhi
真实的存在,zhen'shi'de'cun'zai
真实知识,zhen'shi'zhi'shi
真唯识量,zhen'wei'shi'liang
真性,zhen'xing
真一,zhen'yi
真一统万一,zhen'yi'tong'wan'yi
真一之道,zhen'yi'zhi'dao
真宰,zhen'zai
真正的社会主义,zhen'zheng'de'she'hui'zhu'yi
真知,zhen'zhi
正德,zheng'de
正法眼藏,zheng'fa'yan'cang
正反,zheng'fan
正反合,zheng'fan'he
郑观应,zheng'guan'ying
证会,zheng'hui
整理材料,zheng'li'cai'liao
证量,zheng'liang
正名,zheng'ming
正命,zheng'ming
正奇,zheng'qi
正奇有位,zheng'qi'you'wei
争起于不足,zheng'qi'yu'bu'zu
郑樵,zheng'qiao
正确认识,zheng'que'ren'shi
整体需要,zheng'ti'xu'yao
郑鲜之,zheng'xian'zhi
郑昕,zheng'xin
正心,zheng'xin
郑兴,zheng'xing
郑玄,zheng'xuan
正言若反,zheng'yan'ruo'fan
正谊不谋利,zheng'yi'bu'mou'li
郑隐,zheng'yin
征知,zheng'zhi
政治传统,zheng'zhi'chuan'tong
政治斗争,zheng'zhi'dou'zheng
政治活动,zheng'zhi'huo'dong
政治家篇,zheng'zhi'jia'pian
政治上层建筑,zheng'zhi'shang'ceng'jian'zhu
政治学家,zheng'zhi'xue'jia
政治哲学,zheng'zhi'zhe'xue
郑众,zheng'zhong
证自证分,zheng'zi'zheng'fen
知彼知己,zhi'bi'zhi'ji
知材,zhi'cai
质测,zhi'ce
知常,zhi'chang
支谶,zhi'chen
至诚能化,zhi'cheng'neng'hua
至诚如神,zhi'cheng'ru'shen
执道,zhi'dao
支道林,zhi'dao'lin
执道守度,zhi'dao'shou'du
指导原理,zhi'dao'yuan'li
值得拥有,zhi'de'yong'you
至德之世,zhi'de'zhi'shi
支遁,zhi'dun
志功,zhi'gong
止观,zhi'guan
智慧,zhi'hui
知接,zhi'jie
直觉,zhi'jue
知觉,zhi'jue
知觉运动,zhi'jue'yun'dong
至乐,zhi'le
至理,zhi'li
质力,zhi'li
知力,zhi'li
知礼,zhi'li
支离事业,zhi'li'shi'ye
质力相推,zhi'li'xiang'tui
执两用中,zhi'liang'yong'zhong
致良知,zhi'liang'zhi
质料,zhi'liao
支娄迦谶,zhi'lou'jia'chen
制民之产,zhi'min'zhi'chan
制名指实,zhi'ming'zhi'shi
制名之枢要,zhi'ming'zhi'shu'yao
知难行易,zhi'nan'xing'yi
知能,zhi'neng
止念,zhi'nian
芝诺,zhi'nuo
知气,zhi'qi
支谦,zhi'qian
至人,zhi'ren
智仁勇,zhi'ren'yong
质日代而行如一,zhi'ri'dai'er'xing'ru'yi
知实,zhi'shi
智士篇,zhi'shi'pian
知识社会学,zhi'shi'she'hui'xue
知是行之始,zhi'shi'xing'zhi'shi
制天命而用之,zhi'tian'ming'er'yong'zhi
质文代变,zhi'wen'dai'bian
至无,zhi'wu
指物,zhi'wu
知物由学,zhi'wu'you'xue
知先规而后为之,zhi'xian'gui'er'hou'wei'zhi
知先行后,zhi'xian'xing'hou
治心,zhi'xin
志行,zhi'xing
知行,zhi'xing
知行分工,zhi'xing'fen'gong
知行分任,zhi'xing'fen'ren
知行合一,zhi'xing'he'yi
知行兼举,zhi'xing'jian'ju
知行相须互发,zhi'xing'xiang'xu'hu'fa
知行相资以为用,zhi'xing'xiang'zi'yi'wei'yong
智旭,zhi'xu
直寻,zhi'xun
智俨,zhi'yan
知言,zhi'yan
执要,zhi'yao
执一不二,zhi'yi'bu'er
志壹动气,zhi'yi'dong'qi
执一统众,zhi'yi'tong'zhong
知易行难,zhi'yi'xing'nan
知音,zhi'yin
质用,zhi'yong
知有所合谓之智,zhi'you'suo'he'wei'zhi'zhi
止于至善,zhi'yu'zhi'shan
指月,zhi'yue
智者篇,zhi'zhe'pian
致知,zhi'zhi
知之不若行之,zhi'zhi'bu'ruo'xing'zhi
执中,zhi'zhong
知足不辱,zhi'zu'bu'ru
知足常足,zhi'zu'chang'zu
仲长敖,zhong'chang'ao
仲长统,zhong'chang'tong
忠诚可靠,zhong'cheng'ke'kao
中道,zhong'dao
中道观,zhong'dao'guan
重点论,zhong'dian'lun
种放,zhong'fang
众甫,zhong'fu
仲弓,zhong'gong
中国哲学名词,zhong'guo'zhe'xue'ming'ci
中行,zhong'hang
中和,zhong'he
中和之美,zhong'he'zhi'mei
钟会,zhong'hui
种类相产,zhong'lei'xiang'chan
仲良,zhong'liang
仲尼,zhong'ni
钟嵘,zhong'rong
众生,zhong'sheng
中世纪,zhong'shi'ji
忠恕之道,zhong'shu'zhi'dao
中体西用,zhong'ti'xi'yong
重同,zhong'tong
中五说,zhong'wu'shuo
踵息,zhong'xi
忠孝仁爱信义和平,zhong'xiao'ren'ai'xin'yi'he'ping
中学其本,zhong'xue'qi'ben
众议参同,zhong'yi'can'tong
中庸,zhong'yong
仲由,zhong'you
种子,zhong'zi
周惇颐,zhou'dun'yi
周敦颐,zhou'dun'yi
周公,zhou'gong
周濂溪,zhou'lian'xi
周汝登,zhou'ru'deng
周树人,zhou'shu'ren
周颙,zhou'yong
周予同,zhou'yu'tong
著变,zhu'bian
朱伯崑,zhu'bo'kun
朱次琦,zhu'ci'qi
竺道生,zhu'dao'sheng
铸鼎象物,zhu'ding'xiang'wu
竺法护,zhu'fa'hu
朱光潜,zhu'guang'qian
袾宏,zhu'hong
朱晦庵,zhu'hui'an
烛火之喻,zhu'huo'zhi'yu
主静,zhu'jing
主敬,zhu'jing
朱陆异同,zhu'lu'yi'tong
著名学派,zhu'ming'xue'pai
朱谦之,zhu'qian'zhi
朱世卿,zhu'shi'qing
朱士行,zhu'shi'xing
朱舜水,zhu'shun'shui
麈谈,zhu'tan
朱熹,zhu'xi
主要教条,zhu'yao'jiao'tiao
主要矛盾,zhu'yao'mao'dun
主要矛盾方面,zhu'yao'mao'dun'fang'mian
主一,zhu'yi
主意,zhu'yi
朱一新,zhu'yi'xin
住在,zhu'zai
朱泽云,zhu'ze'yun
朱震,zhu'zhen
朱执信,zhu'zhi'xin
朱之瑜,zhu'zhi'yu
诸子合观,zhu'zi'he'guan
转识成智,zhuan'shi'cheng'zhi
颛孙师,zhuan'sun'shi
转依,zhuan'yi
庄存与,zhuang'cun'yu
庄周,zhuang'zhou
庄周梦蝶,zhuang'zhou'meng'die
庄子,zhuang'zi
自比量,zi'bi'liang
子产,zi'chan
自得,zi'de
自尔,zi'er
自反,zi'fan
子贡,zi'gong
子罕,zi'han
自化,zi'hua
子华子,zi'hua'zi
子路,zi'lu
子莫,zi'mo
自然,zi'ran
自然本身,zi'ran'ben'shen
自然发生论,zi'ran'fa'sheng'lun
自然观,zi'ran'guan
自然过程,zi'ran'guo'cheng
自然科学,zi'ran'ke'xue
自然命定论,zi'ran'ming'ding'lun
自然现象,zi'ran'xian'xiang
自然与必然非二事,zi'ran'yu'bi'ran'fei'er'shi
自然哲学,zi'ran'zhe'xue
自然哲学家,zi'ran'zhe'xue'jia
自然哲学时期,zi'ran'zhe'xue'shi'qi
自然之命,zi'ran'zhi'ming
自然之说,zi'ran'zhi'shuo
自然主义的人生观,zi'ran'zhu'yi'de'ren'sheng'guan
梓慎,zi'shen
自生,zi'sheng
自生而必体有,zi'sheng'er'bi'ti'you
自适,zi'shi
子思,zi'si
自为,zi'wei
滋味说,zi'wei'shuo
自我满足,zi'wo'man'zu
自我意识,zi'wo'yi'shi
子夏,zi'xia
自相,zi'xiang
自相矛盾,zi'xiang'mao'dun
自性,zi'xing
自有,zi'you
子游,zi'you
自由思想者,zi'you'si'xiang'zhe
自由王国,zi'you'wang'guo
自由意志,zi'you'yi'zhi
子羽,zi'yu
子张,zi'zhang
自正,zi'zheng
自证分,zi'zheng'fen
恣之两行,zi'zhi'liang'hang
自足,zi'zu
自尊其心,zi'zun'qi'xin
宗白华,zong'bai'hua
宗柄,zong'bing
宗杲,zong'gao
宗教教条,zong'jiao'jiao'tiao
宗教伦理,zong'jiao'lun'li
宗教哲学,zong'jiao'zhe'xue
宗九过,zong'jiu'guo
宗密,zong'mi
宗眼,zong'yan
纵欲,zong'yu
