阿泊加,a'bo'jia
输液情况,shu'ye'qing'kuang
输液人次,shu'ye'ren'ci
输液日期,shu'ye'ri'qi
输液室号,shu'ye'shi'hao
舒张压,shu'zhang'ya
数值,shu'zhi
双休加班,shuang'xiu'jia'ban
水电清场方法,shui'dian'qing'chang'fang'fa
水电清场情况,shui'dian'qing'chang'qing'kuang
税率,shui'lv
睡眠状况,shui'mian'zhuang'kuang
顺序号,shun'xu'hao
四八小时,si'ba'xiao'shi
四角,si'jiao
死亡编号,si'wang'bian'hao
死亡出院,si'wang'chu'yuan
死亡人次,si'wang'ren'ci
死亡人数,si'wang'ren'shu
死亡日期,si'wang'ri'qi
死亡原因,si'wang'yuan'yin
死亡诊断,si'wang'zhen'duan
送检数量,song'jian'shu'liang
送检原因,song'jian'yuan'yin
送检者,song'jian'zhe
送修科室,song'xiu'ke'shi
送修日期,song'xiu'ri'qi
速算扣除数,su'suan'kou'chu'shu
随访地址,sui'fang'di'zhi
随访对象,sui'fang'dui'xiang
随访计划日期,sui'fang'ji'hua'ri'qi
随访记录序号,sui'fang'ji'lu'xu'hao
随访内容,sui'fang'nei'rong
随访人员,sui'fang'ren'yuan
随访日期,sui'fang'ri'qi
随访主题,sui'fang'zhu'ti
随货号码,sui'huo'hao'ma
随诊期限,sui'zhen'qi'xian
随诊期限类型,sui'zhen'qi'xian'lei'xing
随诊情况,sui'zhen'qing'kuang
损坏数量,sun'huai'shu'liang
损伤编码,sun'shang'bian'ma
损伤中毒,sun'shang'zhong'du
所的参漉液量,suo'de'can'lu'ye'liang
所得税,suo'de'shui
所属代码,suo'shu'dai'ma
所属行业,suo'shu'hang'ye
所属科室,suo'shu'ke'shi
所属类别,suo'shu'lei'bie
所属年份,suo'shu'nian'fen
所属维度,suo'shu'wei'du
所属月份,suo'shu'yue'fen
所学专业,suo'xue'zhuan'ye
所用试剂名称,suo'yong'shi'ji'ming'cheng
所有分类,suo'you'fen'lei
他科转入,ta'ke'zhuan'ru
胎别顺序,tai'bie'shun'xu
台帐日期,tai'zhang'ri'qi
谈话标志,tan'hua'biao'zhi
谈话内容,tan'hua'nei'rong
谈话日期,tan'hua'ri'qi
瘫痪昏迷,tan'huan'hun'mi
探亲假,tan'qin'jia
糖浆量,tang'jiang'liang
糖尿病,tang'niao'bing
套菜序号,tao'cai'xu'hao
套餐标志,tao'can'biao'zhi
套餐类型,tao'can'lei'xing
套餐名称,tao'can'ming'cheng
套餐序号,tao'can'xu'hao
讨论编号,tao'lun'bian'hao
讨论结果,tao'lun'jie'guo
讨论日期,tao'lun'ri'qi
讨论时间,tao'lun'shi'jian
特检号码,te'jian'hao'ma
特殊标志,te'shu'biao'zhi
特殊处方,te'shu'chu'fang
特殊检查,te'shu'jian'cha
特殊类型,te'shu'lei'xing
特殊提示,te'shu'ti'shi
特殊药品,te'shu'yao'pin
特殊饮食限制,te'shu'yin'shi'xian'zhi
特殊治疗,te'shu'zhi'liao
提成比例,ti'cheng'bi'li
提成金额,ti'cheng'jin'e
体检判别,ti'jian'pan'bie
体检情况,ti'jian'qing'kuang
体检异常,ti'jian'yi'chang
提交标志,ti'jiao'biao'zhi
提交人,ti'jiao'ren
提交时间,ti'jiao'shi'jian
提取处理,ti'qu'chu'li
提取后净重量,ti'qu'hou'jing'zhong'liang
提取液量,ti'qu'ye'liang
提示信息,ti'shi'xin'xi
体温,ti'wen
体系类型,ti'xi'lei'xing
体系名称,ti'xi'ming'cheng
体系说明,ti'xi'shuo'ming
体系序号,ti'xi'xu'hao
体系总分值,ti'xi'zong'fen'zhi
提醒标志,ti'xing'biao'zhi
体验费,ti'yan'fei
体重,ti'zhong
填表人,tian'biao'ren
填表日期,tian'biao'ri'qi
填写工号,tian'xie'gong'hao
填写科室,tian'xie'ke'shi
填写人,tian'xie'ren
填写人员,tian'xie'ren'yuan
填写日期,tian'xie'ri'qi
添置日期,tian'zhi'ri'qi
调拔退回,tiao'ba'tui'hui
调后科室,tiao'hou'ke'shi
调价编号,tiao'jia'bian'hao
调价单号,tiao'jia'dan'hao
调价方式,tiao'jia'fang'shi
调价后价格,tiao'jia'hou'jia'ge
调价零售,tiao'jia'ling'shou
调价批发,tiao'jia'pi'fa
调价前价格,tiao'jia'qian'jia'ge
调价人,tiao'jia'ren
调价日期,tiao'jia'ri'qi
调价数量,tiao'jia'shu'liang
调价文号,tiao'jia'wen'hao
调价原因,tiao'jia'yuan'yin
条件,tiao'jian
条件编号,tiao'jian'bian'hao
条件代码,tiao'jian'dai'ma
条件名称,tiao'jian'ming'cheng
条件取值,tiao'jian'qu'zhi
条件序号,tiao'jian'xu'hao
调配单号,tiao'pei'dan'hao
调配数量,tiao'pei'shu'liang
调前科室,tiao'qian'ke'shi
调休天数,tiao'xiu'tian'shu
调整后金额,tiao'zheng'hou'jin'e
调整前金额,tiao'zheng'qian'jin'e
调整数量,tiao'zheng'shu'liang
调整序号,tiao'zheng'xu'hao
贴签人,tie'qian'ren
停挂标志,ting'gua'biao'zhi
停挂时间,ting'gua'shi'jian
停挂原因,ting'gua'yuan'yin
停用人,ting'yong'ren
停用日期,ting'yong'ri'qi
停止时间,ting'zhi'shi'jian
停嘱医生,ting'zhu'yi'sheng
统计编码,tong'ji'bian'ma
统计代码,tong'ji'dai'ma
统计方式,tong'ji'fang'shi
统计类别,tong'ji'lei'bie
统计列,tong'ji'lie
统计名称,tong'ji'ming'cheng
统计年月,tong'ji'nian'yue
统计日期,tong'ji'ri'qi
统计时间,tong'ji'shi'jian
统计说明,tong'ji'shuo'ming
统计项目编码,tong'ji'xiang'mu'bian'ma
统计项目名称,tong'ji'xiang'mu'ming'cheng
统计行,tong'ji'xing
统计序号,tong'ji'xu'hao
统计月份,tong'ji'yue'fen
同意手术,tong'yi'shou'shu
通知标志,tong'zhi'biao'zhi
通知人,tong'zhi'ren
通知时间,tong'zhi'shi'jian
投料判别,tou'liao'pan'bie
投诉对象,tou'su'dui'xiang
投诉内容,tou'su'nei'rong
投诉人员,tou'su'ren'yuan
投诉日期,tou'su'ri'qi
投诉主题,tou'su'zhu'ti
图标名称,tu'biao'ming'cheng
图片路径,tu'pian'lu'jing
图片名称,tu'pian'ming'cheng
图片序号,tu'pian'xu'hao
退废发票,tui'fei'fa'piao
退废金额,tui'fei'jin'e
退号标志,tui'hao'biao'zhi
退号发票,tui'hao'fa'piao
退号判别,tui'hao'pan'bie
退号日期,tui'hao'ri'qi
退号数量,tui'hao'shu'liang
退回时间,tui'hui'shi'jian
退款金额,tui'kuan'jin'e
退票号码,tui'piao'hao'ma
退票金额,tui'piao'jin'e
退休时间,tui'xiu'shi'jian
退休种类,tui'xiu'zhong'lei
退药标志,tui'yao'biao'zhi
退药病区,tui'yao'bing'qu
退药关联,tui'yao'guan'lian
退药类型,tui'yao'lei'xing
退药判别,tui'yao'pan'bie
退药日期,tui'yao'ri'qi
退药识别序号,tui'yao'shi'bie'xu'hao
退预交金,tui'yu'jiao'jin
退预缴款张数,tui'yu'jiao'kuan'zhang'shu
外出参观序号,wai'chu'can'guan'xu'hao
外汇估价,wai'hui'gu'jia
外汇金额,wai'hui'jin'e
外汇来源,wai'hui'lai'yuan
外汇原值,wai'hui'yuan'zhi
外伤人数,wai'shang'ren'shu
外文名,wai'wen'ming
外院标志,wai'yuan'biao'zhi
外院诊治,wai'yuan'zhen'zhi
完成标志,wan'cheng'biao'zhi
完成日期,wan'cheng'ri'qi
完全消毒价格,wan'quan'xiao'du'jia'ge
网卡地址,wang'ka'di'zhi
网络地址,wang'luo'di'zhi
网页路径,wang'ye'lu'jing
网页显示,wang'ye'xian'shi
维度代码,wei'du'dai'ma
维度名称,wei'du'ming'cheng
未发条数,wei'fa'tiao'shu
卫气小计,wei'qi'xiao'ji
卫生检查情况,wei'sheng'jian'cha'qing'kuang
卫生清场方法,wei'sheng'qing'chang'fang'fa
委托代理人,wei'tuo'dai'li'ren
委托代理人电话,wei'tuo'dai'li'ren'dian'hua
维修部门,wei'xiu'bu'men
维修部位,wei'xiu'bu'wei
维修单号,wei'xiu'dan'hao
维修力量,wei'xiu'li'liang
维修人员,wei'xiu'ren'yuan
维修时间,wei'xiu'shi'jian
维修说明,wei'xiu'shuo'ming
维修序号,wei'xiu'xu'hao
唯一阅读标志,wei'yi'yue'du'biao'zhi
未愈出院,wei'yu'chu'yuan
未愈人数,wei'yu'ren'shu
危重麻醉,wei'zhong'ma'zui
稳定性检测周期,wen'ding'xing'jian'ce'zhou'qi
文号,wen'hao
文化程度,wen'hua'cheng'du
文件等级,wen'jian'deng'ji
文件号,wen'jian'hao
文件来源,wen'jian'lai'yuan
文件内容,wen'jian'nei'rong
文件主题,wen'jian'zhu'ti
问题明细,wen'ti'ming'xi
五笔,wu'bi
五笔代码,wu'bi'dai'ma
无菌丙,wu'jun'bing
无菌甲,wu'jun'jia
无菌手术感染,wu'jun'shou'shu'gan'ran
无菌手术切口情况检查数,wu'jun'shou'shu'qie'kou'qing'kuang'jian'cha'shu
无菌手术人数,wu'jun'shou'shu'ren'shu
无菌手术愈合,wu'jun'shou'shu'yu'he
无菌乙,wu'jun'yi
物品包装,wu'pin'bao'zhuang
物品编号,wu'pin'bian'hao
物品别名,wu'pin'bie'ming
物品单价,wu'pin'dan'jia
物品单位,wu'pin'dan'wei
物品规格,wu'pin'gui'ge
物品类别,wu'pin'lei'bie
物品名称,wu'pin'ming'cheng
物品批号,wu'pin'pi'hao
物品数量,wu'pin'shu'liang
物品状态,wu'pin'zhuang'tai
五日确诊,wu'ri'que'zhen
无效人次,wu'xiao'ren'ci
无盐,wu'yan
无渣,wu'zha
物资编号,wu'zi'bian'hao
物资产地,wu'zi'chan'di
物资单价,wu'zi'dan'jia
物资耗量,wu'zi'hao'liang
物资类型,wu'zi'lei'xing
物资批号,wu'zi'pi'hao
物资效期,wu'zi'xiao'qi
物资用途,wu'zi'yong'tu
细菌鉴定正确率,xi'jun'jian'ding'zheng'que'lv
细菌结论,xi'jun'jie'lun
细菌菌落数,xi'jun'jun'luo'shu
细菌内毒素标准品稀释,xi'jun'nei'du'su'biao'zhun'pin'xi'shi
细菌内毒素考查试剂溶解液,xi'jun'nei'du'su'kao'cha'shi'ji'rong'jie'ye
细菌平均菌落数,xi'jun'ping'jun'jun'luo'shu
细菌平四号平均稀释,xi'jun'ping'si'hao'ping'jun'xi'shi
细菌平四号稀释,xi'jun'ping'si'hao'xi'shi
细菌稀释总数,xi'jun'xi'shi'zong'shu
细菌阳性对照,xi'jun'yang'xing'dui'zhao
细菌阴性对照,xi'jun'yin'xing'dui'zhao
细菌总数平均稀释,xi'jun'zong'shu'ping'jun'xi'shi
细菌总数稀释,xi'jun'zong'shu'xi'shi
洗手护士,xi'shou'hu'shi
洗手护士二,xi'shou'hu'shi'er
系数合计,xi'shu'he'ji
洗漱障碍,xi'shu'zhang'ai
系统标志,xi'tong'biao'zhi
系统识别,xi'tong'shi'bie
系统条码,xi'tong'tiao'ma
西药方,xi'yao'fang
西药费,xi'yao'fei
西药权限,xi'yao'quan'xian
西医治疗,xi'yi'zhi'liao
下地段数,xia'di'duan'shu
下级性质,xia'ji'xing'zhi
下限,xia'xian
下限值,xia'xian'zhi
下一关系,xia'yi'guan'xi
限定表名,xian'ding'biao'ming
限定类型,xian'ding'lei'xing
限定名称,xian'ding'ming'cheng
限定内容,xian'ding'nei'rong
限定序号,xian'ding'xu'hao
限定字段,xian'ding'zi'duan
现工资,xian'gong'zi
线号,xian'hao
县级代码,xian'ji'dai'ma
现检定等级,xian'jian'ding'deng'ji
现进货金额,xian'jin'huo'jin'e
现金金额,xian'jin'jin'e
现金支票,xian'jin'zhi'piao
现科室,xian'ke'shi
现零售金额,xian'ling'shou'jin'e
显示表达式,xian'shi'biao'da'shi
显示标志,xian'shi'biao'zhi
显示打印日期,xian'shi'da'yin'ri'qi
显示分组小计,xian'shi'fen'zu'xiao'ji
显示科室,xian'shi'ke'shi
显示名称,xian'shi'ming'cheng
显示人员,xian'shi'ren'yuan
显示时间,xian'shi'shi'jian
显示数量,xian'shi'shu'liang
显示信息,xian'shi'xin'xi
显示页码,xian'shi'ye'ma
显示应收合计,xian'shi'ying'shou'he'ji
现使用数,xian'shi'yong'shu
显示值,xian'shi'zhi
显示制表人,xian'shi'zhi'biao'ren
显示自负合计,xian'shi'zi'fu'he'ji
限用剂量,xian'yong'ji'liang
限用天数,xian'yong'tian'shu
现有设备使用情况,xian'you'she'bei'shi'yong'qing'kuang
现职称,xian'zhi'cheng
限制方案名称,xian'zhi'fang'an'ming'cheng
现制剂编号,xian'zhi'ji'bian'hao
限制疾病编号,xian'zhi'ji'bing'bian'hao
限制数量,xian'zhi'shu'liang
限制说明,xian'zhi'shuo'ming
现职务,xian'zhi'wu
限制营养成分编号,xian'zhi'ying'yang'cheng'fen'bian'hao
限制营养成分名称,xian'zhi'ying'yang'cheng'fen'ming'cheng
向导编号,xiang'dao'bian'hao
向导类别,xiang'dao'lei'bie
向导名称,xiang'dao'ming'cheng
相关因素,xiang'guan'yin'su
项目,xiang'mu
项目比例,xiang'mu'bi'li
项目编号,xiang'mu'bian'hao
项目编码,xiang'mu'bian'ma
项目标志,xiang'mu'biao'zhi
项目层次,xiang'mu'ceng'ci
项目代码,xiang'mu'dai'ma
项目单位,xiang'mu'dan'wei
项目分类,xiang'mu'fen'lei
项目归并,xiang'mu'gui'bing
项目金额,xiang'mu'jin'e
项目宽度,xiang'mu'kuan'du
项目类别,xiang'mu'lei'bie
项目类型,xiang'mu'lei'xing
项目列次,xiang'mu'lie'ci
项目名称,xiang'mu'ming'cheng
项目内容,xiang'mu'nei'rong
项目取值,xiang'mu'qu'zhi
项目人次,xiang'mu'ren'ci
项目时间,xiang'mu'shi'jian
项目使用,xiang'mu'shi'yong
项目数据,xiang'mu'shu'ju
项目数量,xiang'mu'shu'liang
项目说明,xiang'mu'shuo'ming
项目体系,xiang'mu'ti'xi
项目序号,xiang'mu'xu'hao
项目选取,xiang'mu'xuan'qu
项目值,xiang'mu'zhi
项目组号,xiang'mu'zu'hao
小便次数,xiao'bian'ci'shu
消毒工号,xiao'du'gong'hao
消毒类型,xiao'du'lei'xing
消毒人,xiao'du'ren
消毒日期,xiao'du'ri'qi
消毒室号,xiao'du'shi'hao
消毒时间,xiao'du'shi'jian
消毒序号,xiao'du'xu'hao
消耗序号,xiao'hao'xu'hao
销毁标签数,xiao'hui'biao'qian'shu
销毁人,xiao'hui'ren
小件数,xiao'jian'shu
小结编号,xiao'jie'bian'hao
效期,xiao'qi
销售国家,xiao'shou'guo'jia
消息编号,xiao'xi'bian'hao
消息参数,xiao'xi'can'shu
消息概要,xiao'xi'gai'yao
消息记录号,xiao'xi'ji'lu'hao
消息内容,xiao'xi'nei'rong
消息说明,xiao'xi'shuo'ming
消息状态,xiao'xi'zhuang'tai
消息组名称,xiao'xi'zu'ming'cheng
小组名称,xiao'zu'ming'cheng
小组序号,xiao'zu'xu'hao
新冻结额,xin'dong'jie'e
新进货额,xin'jin'huo'e
新进货价,xin'jin'huo'jia
新进货价格,xin'jin'huo'jia'ge
新进货金额,xin'jin'huo'jin'e
新零售额,xin'ling'shou'e
新零售价,xin'ling'shou'jia
新零售价格,xin'ling'shou'jia'ge
新零售金额,xin'ling'shou'jin'e
新批发额,xin'pi'fa'e
新批发价,xin'pi'fa'jia
新批发价格,xin'pi'fa'jia'ge
新批发金额,xin'pi'fa'jin'e
新生儿数,xin'sheng'er'shu
新生死亡,xin'sheng'si'wang
心跳次数,xin'tiao'ci'shu
信息编号,xin'xi'bian'hao
信息级别,xin'xi'ji'bie
信息内容,xin'xi'nei'rong
信仰情况,xin'yang'qing'kuang
新增床数,xin'zeng'chuang'shu
行标题,xing'biao'ti
性别,xing'bie
性别限制,xing'bie'xian'zhi
行层次,xing'ceng'ci
行对齐方式,xing'dui'qi'fang'shi
型号规格,xing'hao'gui'ge
行宽,xing'kuan
姓名,xing'ming
行体系,xing'ti'xi
行约束,xing'yue'shu
性质层次,xing'zhi'ceng'ci
性质大类,xing'zhi'da'lei
性质代码,xing'zhi'dai'ma
性质控制大类,xing'zhi'kong'zhi'da'lei
性质名称,xing'zhi'ming'cheng
性质序号,xing'zhi'xu'hao
性状,xing'zhuang
胸片,xiong'pian
修改判别,xiu'gai'pan'bie
溴麝兰试验,xiu'she'lan'shi'yan
修正方式,xiu'zheng'fang'shi
序号,xu'hao
序号长度,xu'hao'chang'du
续借日期,xu'jie'ri'qi
许可证有效期,xu'ke'zheng'you'xiao'qi
序列号,xu'lie'hao
选项名称,xuan'xiang'ming'cheng
选项序号,xuan'xiang'xu'hao
血钾,xue'jia
学历,xue'li
血球压积,xue'qiu'ya'ji
血色素,xue'se'su
学术组号,xue'shu'zu'hao
学术组名,xue'shu'zu'ming
血糖,xue'tang
学位,xue'wei
血小板,xue'xiao'ban
血型,xue'xing
血型代码,xue'xing'dai'ma
血压,xue'ya
学制,xue'zhi
巡回护士,xun'hui'hu'shi
巡回护士二,xun'hui'hu'shi'er
牙齿,ya'chi
研究生实习医师,yan'jiu'sheng'shi'xi'yi'shi
验收单号,yan'shou'dan'hao
验收工号,yan'shou'gong'hao
验收日期,yan'shou'ri'qi
验收时间,yan'shou'shi'jian
养护单号,yang'hu'dan'hao
养护日期,yang'hu'ri'qi
样品编号,yang'pin'bian'hao
样品名称,yang'pin'ming'cheng
阳性管保温时间,yang'xing'guan'bao'wen'shi'jian
阳性管观察对象,yang'xing'guan'guan'cha'dui'xiang
阳性管恒温水浴,yang'xing'guan'heng'wen'shui'yu
阳性管结论,yang'xing'guan'jie'lun
药材总数量,yao'cai'zong'shu'liang
药房包装,yao'fang'bao'zhuang
药房单位,yao'fang'dan'wei
药房低储,yao'fang'di'chu
药房高储,yao'fang'gao'chu
药房规格,yao'fang'gui'ge
药房名称,yao'fang'ming'cheng
药房识别,yao'fang'shi'bie
药房作废,yao'fang'zuo'fei
药粉及附加剂,yao'fen'ji'fu'jia'ji
药库包装进价,yao'ku'bao'zhuang'jin'jia
药库包装零价,yao'ku'bao'zhuang'ling'jia
药库包装批价,yao'ku'bao'zhuang'pi'jia
药库进货,yao'ku'jin'huo
药库类别,yao'ku'lei'bie
药库名称,yao'ku'ming'cheng
药库识别,yao'ku'shi'bie
药库作废,yao'ku'zuo'fei
药品备信,yao'pin'bei'xin
药品编号,yao'pin'bian'hao
药品编码,yao'pin'bian'ma
药品产地,yao'pin'chan'di
药品厂家,yao'pin'chang'jia
药品处理者,yao'pin'chu'li'zhe
药品单价,yao'pin'dan'jia
药品单位,yao'pin'dan'wei
药品档次,yao'pin'dang'ci
药品方式,yao'pin'fang'shi
药品费,yao'pin'fei
药品规格,yao'pin'gui'ge
药品剂量,yao'pin'ji'liang
药品价格,yao'pin'jia'ge
药品进价,yao'pin'jin'jia
药品扣率,yao'pin'kou'lv
药品类别,yao'pin'lei'bie
药品类型,yao'pin'lei'xing
药品零价,yao'pin'ling'jia
药品名称,yao'pin'ming'cheng
药品批号,yao'pin'pi'hao
药品生产质量管理规范,yao'pin'sheng'chan'zhi'liang'guan'li'gui'fan
药品数量,yao'pin'shu'liang
药品属性,yao'pin'shu'xing
药品说明,yao'pin'shuo'ming
药品限额,yao'pin'xian'e
药品效期,yao'pin'xiao'qi
药品序号,yao'pin'xu'hao
药品用法,yao'pin'yong'fa
药品组号,yao'pin'zu'hao
药品组数,yao'pin'zu'shu
要求编号,yao'qiu'bian'hao
要求内容,yao'qiu'nei'rong
药液相对密度,yao'ye'xiang'dui'mi'du
药液相对浓度,yao'ye'xiang'dui'nong'du
药嘱名称,yao'zhu'ming'cheng
夜查编号,ye'cha'bian'hao
夜查时间,ye'cha'shi'jian
业务代码,ye'wu'dai'ma
业务类别,ye'wu'lei'bie
一般分值,yi'ban'fen'zhi
医保冻结,yi'bao'dong'jie
医保卡号,yi'bao'ka'hao
异常分娩,yi'chang'fen'mian
异常情况及处理,yi'chang'qing'kuang'ji'chu'li
一次剂量,yi'ci'ji'liang
一次数量,yi'ci'shu'liang
一次性物品标志,yi'ci'xing'wu'pin'biao'zhi
一次性注射器输液器用后毁形数,yi'ci'xing'zhu'she'qi'shu'ye'qi'yong'hou'hui'xing'shu
一次性注射器输液器用后检查数,yi'ci'xing'zhu'she'qi'shu'ye'qi'yong'hou'jian'cha'shu
一次用量,yi'ci'yong'liang
医德医风,yi'de'yi'feng
已发药条数,yi'fa'yao'tiao'shu
已付金额,yi'fu'jin'e
已购数量,yi'gou'shu'liang
已挂人数,yi'gua'ren'shu
乙级病案,yi'ji'bing'an
乙级份数,yi'ji'fen'shu
医技关联,yi'ji'guan'lian
医技接口,yi'ji'jie'kou
医技科室,yi'ji'ke'shi
医技类别,yi'ji'lei'bie
医技明细,yi'ji'ming'xi
医技片号,yi'ji'pian'hao
医技人次,yi'ji'ren'ci
一级审批标志,yi'ji'shen'pi'biao'zhi
一级审批工号,yi'ji'shen'pi'gong'hao
一级审批时间,yi'ji'shen'pi'shi'jian
医技使用,yi'ji'shi'yong
医技收入,yi'ji'shou'ru
医技项目,yi'ji'xiang'mu
医技序号,yi'ji'xu'hao
医技主项,yi'ji'zhu'xiang
意见单号,yi'jian'dan'hao
意见内容,yi'jian'nei'rong
意见性质,yi'jian'xing'zhi
医疗单价,yi'liao'dan'jia
医疗数量,yi'liao'shu'liang
医疗序号,yi'liao'xu'hao
医疗证号,yi'liao'zheng'hao
疑难手术审批单,yi'nan'shou'shu'shen'pi'dan
仪器序号,yi'qi'xu'hao
一人一针一管检查数,yi'ren'yi'zhen'yi'guan'jian'cha'shu
一人一针一管执行数,yi'ren'yi'zhen'yi'guan'zhi'xing'shu
医生代码,yi'sheng'dai'ma
医生工号,yi'sheng'gong'hao
医生简介,yi'sheng'jian'jie
医生科室,yi'sheng'ke'shi
医生口嘱,yi'sheng'kou'zhu
医生判别,yi'sheng'pan'bie
医生签名,yi'sheng'qian'ming
医生申请工号,yi'sheng'shen'qing'gong'hao
医生申请日期,yi'sheng'shen'qing'ri'qi
医生提交标志,yi'sheng'ti'jiao'biao'zhi
医生信息,yi'sheng'xin'xi
医生姓名,yi'sheng'xing'ming
医生医嘱标志,yi'sheng'yi'zhu'biao'zhi
医生执行工号,yi'sheng'zhi'xing'gong'hao
医生执行日期,yi'sheng'zhi'xing'ri'qi
意识形态,yi'shi'xing'tai
乙型肝炎表面抗体,yi'xing'gan'yan'biao'mian'kang'ti
医院等级,yi'yuan'deng'ji
医院名称,yi'yuan'ming'cheng
医院药检室意见,yi'yuan'yao'jian'shi'yi'jian
医院制剂管理规定,yi'yuan'zhi'ji'guan'li'gui'ding
医嘱排序,yi'zhu'pai'xu
医嘱判别,yi'zhu'pan'bie
医嘱序号,yi'zhu'xu'hao
医嘱执行序号,yi'zhu'zhi'xing'xu'hao
医嘱组号,yi'zhu'zu'hao
阴管交换水,yin'guan'jiao'huan'shui
银行编号,yin'hang'bian'hao
银行帐号,yin'hang'zhang'hao
隐患描述,yin'huan'miao'shu
引进新技术开展新项目,yin'jin'xin'ji'shu'kai'zhan'xin'xiang'mu
饮食代码,yin'shi'dai'ma
饮食情况,yin'shi'qing'kuang
饮食使用方式,yin'shi'shi'yong'fang'shi
饮食习惯,yin'shi'xi'guan
因素名称,yin'su'ming'cheng
因素序号,yin'su'xu'hao
阴阳小计,yin'yang'xiao'ji
应吃治疗饮食人数,ying'chi'zhi'liao'yin'shi'ren'shu
应出勤数,ying'chu'qin'shu
婴儿费归并项,ying'er'fei'gui'bing'xiang
婴儿判别,ying'er'pan'bie
婴儿身长,ying'er'shen'chang
婴儿胎别,ying'er'tai'bie
婴儿胎次,ying'er'tai'ci
婴儿体重,ying'er'ti'zhong
婴儿唯一号,ying'er'wei'yi'hao
婴儿性别,ying'er'xing'bie
婴儿序号,ying'er'xu'hao
应发,ying'fa
应还日期,ying'huan'ri'qi
应纳所得税上限,ying'na'suo'de'shui'shang'xian
应纳所得税下限,ying'na'suo'de'shui'xia'xian
应收金额,ying'shou'jin'e
应收其它,ying'shou'qi'ta
应收现金,ying'shou'xian'jin
应收支票,ying'shou'zhi'piao
英文名称,ying'wen'ming'cheng
应消耗标准溶液,ying'xiao'hao'biao'zhun'rong'ye
营养病历编号,ying'yang'bing'li'bian'hao
营养成份,ying'yang'cheng'fen
营养成分编码,ying'yang'cheng'fen'bian'ma
营养成分单位,ying'yang'cheng'fen'dan'wei
营养成分含量,ying'yang'cheng'fen'han'liang
营养成份计算公式,ying'yang'cheng'fen'ji'suan'gong'shi
营养成分数量,ying'yang'cheng'fen'shu'liang
营养成分序号,ying'yang'cheng'fen'xu'hao
营养素限制方案序号,ying'yang'su'xian'zhi'fang'an'xu'hao
营养消耗序号,ying'yang'xiao'hao'xu'hao
营养治疗效果评定,ying'yang'zhi'liao'xiao'guo'ping'ding
营养治疗小结,ying'yang'zhi'liao'xiao'jie
营养专项检查,ying'yang'zhuan'xiang'jian'cha
营养状况评价,ying'yang'zhuang'kuang'ping'jia
营养状况序号,ying'yang'zhuang'kuang'xu'hao
用法与用量等,yong'fa'yu'yong'liang'deng
用户编号,yong'hu'bian'hao
用户代码,yong'hu'dai'ma
用户组名,yong'hu'zu'ming
用量限制,yong'liang'xian'zhi
用途,yong'tu
用药史,yong'yao'shi
用药天数,yong'yao'tian'shu
邮件地址,you'jian'di'zhi
邮件通知标志,you'jian'tong'zhi'biao'zhi
优先处方,you'xian'chu'fang
优先判别,you'xian'pan'bie
邮箱地址,you'xiang'di'zhi
有效期限,you'xiao'qi'xian
优秀分值,you'xiu'fen'zhi
邮政编码,you'zheng'bian'ma
预处理情况,yu'chu'li'qing'kuang
预处理人,yu'chu'li'ren
愈合级别,yu'he'ji'bie
愈合类别,yu'he'lei'bie
愈合情况,yu'he'qing'kuang
与会人员,yu'hui'ren'yuan
预缴金额,yu'jiao'jin'e
预缴其它,yu'jiao'qi'ta
预缴现金,yu'jiao'xian'jin
预缴支票,yu'jiao'zhi'piao
预结果进货额,yu'jie'guo'jin'huo'e
预结果零售额,yu'jie'guo'ling'shou'e
预结果数量,yu'jie'guo'shu'liang
预期目标,yu'qi'mu'biao
语音输出时间,yu'yin'shu'chu'shi'jian
预约标志,yu'yue'biao'zhi
预约号码,yu'yue'hao'ma
预约科室,yu'yue'ke'shi
预约类别,yu'yue'lei'bie
预约密码,yu'yue'mi'ma
预约人数,yu'yue'ren'shu
预约日期,yu'yue'ri'qi
预约限额,yu'yue'xian'e
预约序号,yu'yue'xu'hao
预约总数,yu'yue'zong'shu
语种,yu'zhong
原办法养老金,yuan'ban'fa'yang'lao'jin
原产地国,yuan'chan'di'guo
原冻结额,yuan'dong'jie'e
原辅料编号,yuan'fu'liao'bian'hao
原辅料检验标识,yuan'fu'liao'jian'yan'biao'zhi
原辅料检验判别,yuan'fu'liao'jian'yan'pan'bie
原辅料名称,yuan'fu'liao'ming'cheng
原辅料日期,yuan'fu'liao'ri'qi
原负责人,yuan'fu'ze'ren
员工编号,yuan'gong'bian'hao
员工成份,yuan'gong'cheng'fen
员工代码,yuan'gong'dai'ma
员工级别,yuan'gong'ji'bie
员工类型,yuan'gong'lei'xing
员工密码,yuan'gong'mi'ma
员工民族,yuan'gong'min'zu
员工年龄,yuan'gong'nian'ling
员工判别,yuan'gong'pan'bie
员工性别,yuan'gong'xing'bie
员工姓名,yuan'gong'xing'ming
员工职称,yuan'gong'zhi'cheng
员工职务,yuan'gong'zhi'wu
原工资,yuan'gong'zi
原检定等级,yuan'jian'ding'deng'ji
原件名称,yuan'jian'ming'cheng
原件序号,yuan'jian'xu'hao
原进货额,yuan'jin'huo'e
原进货价,yuan'jin'huo'jia
原进货价格,yuan'jin'huo'jia'ge
原进货金额,yuan'jin'huo'jin'e
原科室,yuan'ke'shi
