阿达帕林,a'da'pa'lin
良性高球蛋白血症,liang'xing'gao'qiu'dan'bai'xue'zheng
良性淋巴肉芽肿病,liang'xing'lin'ba'rou'ya'zhong'bing
良性淋巴网状细胞增多症,liang'xing'lin'ba'wang'zhuang'xi'bao'zeng'duo'zheng
良性粘膜类天疱疮,liang'xing'nian'mo'lei'tian'pao'chuang
良性幼年黑素痣,liang'xing'you'nian'hei'su'zhi
两眼距增宽尿道下裂,liang'yan'ju'zeng'kuan'niao'dao'xia'lie
良谊牌丹青胶囊,liang'yi'pai'dan'qing'jiao'nang
良谊牌洁肤净膏,liang'yi'pai'jie'fu'jing'gao
良谊牌金兰健肤膏,liang'yi'pai'jin'lan'jian'fu'gao
裂唇痣,lie'chun'zhi
裂片形出血,lie'pian'xing'chu'xie
裂头蚴病,lie'tou'you'bing
裂纹舌,lie'wen'she
裂纹性棘皮瘤,lie'wen'xing'ji'pi'liu
裂纹性湿疹,lie'wen'xing'shi'zhen
裂隙,lie'xi
淋巴瘤样肉芽肿病,lin'ba'liu'yang'rou'ya'zhong'bing
淋巴水肿,lin'ba'shui'zhong
淋巴水肿性角皮症,lin'ba'shui'zhong'xing'jiao'pi'zheng
淋巴郁滞性疣病,lin'ba'yu'zhi'xing'you'bing
淋病,lin'bing
淋病奈瑟氏菌,lin'bing'nai'se'shi'jun
林可霉素,lin'ke'mei'su
磷霉素,lin'mei'su
临死前脂肪硬固,lin'si'qian'zhi'fang'ying'gu
磷酸可待因,lin'suan'ke'dai'yin
林蛙粪霉菌,lin'wa'fen'mei'jun
鳞屑,lin'xie
磷脂,lin'zhi
磷脂酰乙醇胺脂质体,lin'zhi'xian'yi'chun'an'zhi'zhi'ti
鳞状毛囊角化病,lin'zhuang'mao'nang'jiao'hua'bing
鳞状毛囊角化病土肥,lin'zhuang'mao'nang'jiao'hua'bing'tu'fei
鳞状细胞癌,lin'zhuang'xi'bao'ai
灵菌素,ling'jun'su
硫代硫酸钠,liu'dai'liu'suan'na
硫代苹果酸金钠,liu'dai'ping'guo'suan'jin'na
流感杆菌的皮肤感染,liu'gan'gan'jun'de'pi'fu'gan'ran
硫化硒,liu'hua'xi
硫磺,liu'huang
硫黄,liu'huang
硫利达嗪,liu'li'da'qin
六氯苯,liu'lv'ben
硫霉素,liu'mei'su
硫脲,liu'niao
硫酸锌,liu'suan'xin
硫酸新霉素,liu'suan'xin'mei'su
流行性斑疹伤寒,liu'xing'xing'ban'zhen'shang'han
流行性关节红斑症,liu'xing'xing'guan'jie'hong'ban'zheng
瘤样狼疮,liu'yang'lang'chuang
龙胆紫,long'dan'zi
隆突部,long'tu'bu
隆突性皮肤纤维肉瘤,long'tu'xing'pi'fu'xian'wei'rou'liu
龙虾肌碱,long'xia'ji'jian
龙线虫病,long'xian'chong'bing
漏斗瘤,lou'dou'liu
瘘管性皮下结核,lou'guan'xing'pi'xia'jie'he
芦氟沙星,lu'fu'sha'xing
炉甘石,lu'gan'shi
卤美他松,lu'mei'ta'song
卤普罗近,lu'pu'luo'jin
庐山霉素,lu'shan'mei'su
颅腕跗骨发育不良,lu'wan'fu'gu'fa'yu'bu'liang
卵巢性侏儒,luan'chao'xing'zhu'ru
卵巢圆管状索肿瘤,luan'chao'yuan'guan'zhuang'suo'zhong'liu
卵巢肿瘤,luan'chao'zhong'liu
挛缩征,luan'suo'zheng
卵圆形糠秕孢子菌,luan'yuan'xing'kang'bi'bao'zi'jun
轮状红斑,lun'zhuang'hong'ban
罗阿丝虫病,luo'a'si'chong'bing
罗德西亚锥虫,luo'de'xi'ya'zhui'chong
罗红霉素,luo'hong'mei'su
落基山斑点热,luo'ji'shan'ban'dian're
瘰疬分枝杆菌,luo'li'fen'zhi'gan'jun
瘰疬分枝杆菌的皮肤感染,luo'li'fen'zhi'gan'jun'de'pi'fu'gan'ran
罗利环素,luo'li'huan'su
瘰疬性皮肤结核,luo'li'xing'pi'fu'jie'he
瘰疬性树胶肿,luo'li'xing'shu'jiao'zhong
瘰疬性苔藓,luo'li'xing'tai'xian
洛美沙星,luo'mei'sha'xing
螺内酯,luo'nei'zhi
罗沙替丁,luo'sha'ti'ding
罗他霉素,luo'ta'mei'su
落屑性红皮病,luo'xie'xing'hong'pi'bing
氯丙嗪,lv'bing'qin
氯痤疮,lv'cuo'chuang
氯氮桌,lv'dan'zhuo
氯碘喹啉,lv'dian'kui'lin
氯法齐明,lv'fa'qi'ming
氯氟舒松,lv'fu'shu'song
绿猴病,lv'hou'bing
绿甲,lv'jia
绿甲综合症,lv'jia'zong'he'zheng
氯米帕明,lv'mi'pa'ming
氯莫环素,lv'mo'huan'su
绿脓杆菌,lv'nong'gan'jun
绿脓杆菌感染,lv'nong'gan'jun'gan'ran
绿脓杆菌龟头炎,lv'nong'gan'jun'gui'tou'yan
绿脓杆菌毛囊炎,lv'nong'gan'jun'mao'nang'yan
绿脓杆菌性外耳道炎,lv'nong'gan'jun'xing'wai'er'dao'yan
绿脓杆菌趾蹼感染,lv'nong'gan'jun'zhi'pu'gan'ran
氯普噻吨,lv'pu'sai'dun
氯已定,lv'yi'ding
氯唑西林,lv'zuo'xi'lin
马鼻疽杆菌,ma'bi'ju'gan'jun
马鼻疽假单胞菌,ma'bi'ju'jia'dan'bao'jun
马鼻疽芽,ma'bi'ju'ya
麻风,ma'feng
麻风分枝杆菌,ma'feng'fen'zhi'gan'jun
麻风恐怖,ma'feng'kong'bu
马内青霉病,ma'nei'qing'mei'bing
麻油,ma'you
麻疹,ma'zhen
麦迪霉素,mai'di'mei'su
麦地那线虫病,mai'di'na'xian'chong'bing
麦粉,mai'fen
麦角固醇,mai'jiao'gu'chun
螨虫皮炎谷痒症,man'chong'pi'yan'gu'yang'zheng
螨恐怖,man'kong'bu
曼氏迭宫绦虫,man'shi'die'gong'tao'chong
慢性穿凿性窦道性溃疡,man'xing'chuan'zao'xing'dou'dao'xing'kui'yang
慢性单纯性苔藓,man'xing'dan'chun'xing'tai'xian
慢性肥厚性银屑病,man'xing'fei'hou'xing'yin'xie'bing
慢性光化性皮炎,man'xing'guang'hua'xing'pi'yan
慢性光线性唇,man'xing'guang'xian'xing'chun
慢性家族性肉芽肿病,man'xing'jia'zu'xing'rou'ya'zhong'bing
慢性结节性红斑,man'xing'jie'jie'xing'hong'ban
慢性局限性扁平苔藓,man'xing'ju'xian'xing'bian'ping'tai'xian
慢性链球菌性溃疡,man'xing'lian'qiu'jun'xing'kui'yang
慢性粘膜皮肤念珠菌病,man'xing'nian'mo'pi'fu'nian'zhu'jun'bing
慢性脓肿性穿掘性脓皮病,man'xing'nong'zhong'xing'chuan'jue'xing'nong'pi'bing
慢性女阴营养不良,man'xing'nv'yin'ying'yang'bu'liang
慢性肉芽肿病,man'xing'rou'ya'zhong'bing
慢性乳头状溃疡性脓皮病,man'xing'ru'tou'zhuang'kui'yang'xing'nong'pi'bing
慢性酸中毒,man'xing'suan'zhong'du
慢性苔藓样角化病,man'xing'tai'xian'yang'jiao'hua'bing
慢性游走性红斑,man'xing'you'zou'xing'hong'ban
锚斑,mao'ban
毛发鼻指趾综合症,mao'fa'bi'zhi'zhi'zong'he'zheng
毛发扁平苔藓,mao'fa'bian'ping'tai'xian
毛发管型,mao'fa'guan'xing
毛发红糠疹,mao'fa'hong'kang'zhen
毛发红色角化病,mao'fa'hong'se'jiao'hua'bing
毛发角化病,mao'fa'jiao'hua'bing
毛发糠疹,mao'fa'kang'zhen
毛发硫营养不良,mao'fa'liu'ying'yang'bu'liang
毛发囊肿,mao'fa'nang'zhong
毛发皮脂腺,mao'fa'pi'zhi'xian
毛发肉芽肿,mao'fa'rou'ya'zhong
毛发上皮瘤,mao'fa'shang'pi'liu
毛发苔藓,mao'fa'tai'xian
毛发腺瘤,mao'fa'xian'liu
毛发牙骨综合症,mao'fa'ya'gu'zong'he'zheng
毛发纵裂症,mao'fa'zong'lie'zheng
毛根鞘囊肿,mao'gen'qiao'nang'zhong
毛汗腺皮脂腺痣,mao'han'xian'pi'zhi'xian'zhi
毛结节菌病,mao'jie'jie'jun'bing
毛霉病,mao'mei'bing
毛母细胞性纤维瘤,mao'mu'xi'bao'xing'xian'wei'liu
毛母质癌,mao'mu'zhi'ai
毛母质瘤,mao'mu'zhi'liu
毛囊虫病,mao'nang'chong'bing
毛囊和毛囊旁角化过度病,mao'nang'he'mao'nang'pang'jiao'hua'guo'du'bing
毛囊角化病,mao'nang'jiao'hua'bing
毛囊良性透明细胞瘤,mao'nang'liang'xing'tou'ming'xi'bao'liu
毛囊瘤,mao'nang'liu
毛囊漏斗部肿瘤,mao'nang'lou'dou'bu'zhong'liu
毛囊漏斗毛母质瘤,mao'nang'lou'dou'mao'mu'zhi'liu
毛囊漏斗毛母质囊肿,mao'nang'lou'dou'mao'mu'zhi'nang'zhong
毛囊粘蛋白病,mao'nang'nian'dan'bai'bing
毛囊上皮瘤,mao'nang'shang'pi'liu
毛囊性闭锁性三联征,mao'nang'xing'bi'suo'xing'san'lian'zheng
毛囊性扁平苔藓,mao'nang'xing'bian'ping'tai'xian
毛囊性脓疱疮,mao'nang'xing'nong'pao'chuang
毛囊性皮肤萎缩,mao'nang'xing'pi'fu'wei'suo
毛囊性软下疳,mao'nang'xing'ruan'xia'gan
毛囊性弹性纤维发育不良,mao'nang'xing'tan'xing'xian'wei'fa'yu'bu'liang
毛囊疹,mao'nang'zhen
毛囊痣,mao'nang'zhi
毛囊周围假性胶样痣,mao'nang'zhou'wei'jia'xing'jiao'yang'zhi
毛囊阻塞三联征,mao'nang'zu'se'san'lian'zheng
毛皮脂腺毛囊,mao'pi'zhi'xian'mao'nang
毛鞘癌,mao'qiao'ai
毛鞘棘皮瘤,mao'qiao'ji'pi'liu
毛乳头,mao'ru'tou
锚丝,mao'si
毛透明蛋白,mao'tou'ming'dan'bai
毛细血管扩张症,mao'xi'xue'guan'kuo'zhang'zheng
毛细血管瘤伴血小板减少性紫癜,mao'xi'xue'guan'liu'ban'xue'xiao'ban'jian'shao'xing'zi'dian
毛细血管瘤血小板减少综合症,mao'xi'xue'guan'liu'xue'xiao'ban'jian'shao'zong'he'zheng
毛细血管渗透综合症,mao'xi'xue'guan'shen'tou'zong'he'zheng
猫眼综合症,mao'yan'zong'he'zheng
锚原纤维,mao'yuan'xian'wei
毛源性毛母细胞瘤,mao'yuan'xing'mao'mu'xi'bao'liu
毛源性粘液瘤,mao'yuan'xing'nian'ye'liu
毛源性纤维瘤,mao'yuan'xing'xian'wei'liu
毛源性肿瘤,mao'yuan'xing'zhong'liu
毛增多症,mao'zeng'duo'zheng
毛周角质管型,mao'zhou'jiao'zhi'guan'xing
毛周纤维瘤,mao'zhou'xian'wei'liu
猫抓病,mao'zhua'bing
猫抓病抗原皮试,mao'zhua'bing'kang'yuan'pi'shi
眉部瘢痕性红斑,mei'bu'ban'hen'xing'hong'ban
梅毒,mei'du
梅毒恐怖,mei'du'kong'bu
梅毒螺旋体血凝试验,mei'du'luo'xuan'ti'xue'ning'shi'yan
霉酚酸,mei'fen'suan
煤酚皂溶液,mei'fen'zao'rong'ye
玫瑰红试验,mei'gui'hong'shi'yan
玫瑰糠疹,mei'gui'kang'zhen
媒焦油,mei'jiao'you
梅克尔细胞,mei'ke'er'xi'bao
美克西酮,mei'ke'xi'tong
美喹他嗪,mei'kui'ta'qin
酶联免疫吸附法,mei'lian'mian'yi'xi'fu'fa
美洛西林,mei'luo'xi'lin
美他环素,mei'ta'huan'su
美替沙腙,mei'ti'sha'zong
美雄酮,mei'xiong'tong
蠓虫叮咬,meng'chong'ding'yao
虻叮咬,meng'ding'yao
蒙古斑,meng'gu'ban
嘧啶核苷酸,mi'ding'he'gan'suan
嘧啶类似物,mi'ding'lei'si'wu
咪康唑,mi'kang'zuo
米康唑,mi'kang'zuo
密库力阿弗它,mi'ku'li'a'fu'ta
糜烂,mi'lan
糜烂性包皮龟头炎,mi'lan'xing'bao'pi'gui'tou'yan
弥漫性黄斑瘤,mi'man'xing'huang'ban'liu
弥漫性胶原病,mi'man'xing'jiao'yuan'bing
弥漫型筋膜炎,mi'man'xing'jin'mo'yan
弥漫性体部血管角皮瘤,mi'man'xing'ti'bu'xue'guan'jiao'pi'liu
弥漫性硬皮病,mi'man'xing'ying'pi'bing
弥漫性掌跖角皮症,mi'man'xing'zhang'zhi'jiao'pi'zheng
弥漫性真性静脉扩张症,mi'man'xing'zhen'xing'jing'mai'kuo'zhang'zheng
米诺地尔,mi'nuo'di'er
米诺环素,mi'nuo'huan'su
面鼻部纤维性丘疹,mian'bi'bu'xian'wei'xing'qiu'zhen
面部对称性网状皮肤萎缩,mian'bu'dui'chen'xing'wang'zhuang'pi'fu'wei'suo
面部干性糠疹,mian'bu'gan'xing'kang'zhen
面部毛细血管扩张,mian'bu'mao'xi'xue'guan'kuo'zhang
面部脓皮病,mian'bu'nong'pi'bing
面部偏侧萎缩,mian'bu'pian'ce'wei'suo
面部肉芽肿,mian'bu'rou'ya'zhong
面部嗜酸性肉芽肿,mian'bu'shi'suan'xing'rou'ya'zhong
面部外胚层发育不良,mian'bu'wai'pei'ceng'fa'yu'bu'liang
面部萎缩性毛发角化病,mian'bu'wei'suo'xing'mao'fa'jiao'hua'bing
面部萎缩性毛发角化症,mian'bu'wei'suo'xing'mao'fa'jiao'hua'zheng
面部先天性外胚层发育不良,mian'bu'xian'tian'xing'wai'pei'ceng'fa'yu'bu'liang
眠尔通,mian'er'tong
面发育不良短身材阴茎阴囊畸型,mian'fa'yu'bu'liang'duan'shen'cai'yin'jing'yin'nang'ji'xing
面红和面红恐惧症,mian'hong'he'mian'hong'kong'ju'zheng
面颈毛囊性红斑黑变病,mian'jing'mao'nang'xing'hong'ban'hei'bian'bing
面纱细胞,mian'sha'xi'bao
免疫,mian'yi
免疫点酶分析,mian'yi'dian'mei'fen'xi
免疫毒性,mian'yi'du'xing
免疫核糖核酸,mian'yi'he'tang'he'suan
免疫疗法,mian'yi'liao'fa
免疫耐受性,mian'yi'nai'shou'xing
免疫潜能细胞,mian'yi'qian'neng'xi'bao
免疫调节,mian'yi'tiao'jie
免疫调节疗法,mian'yi'tiao'jie'liao'fa
免疫相关抗原,mian'yi'xiang'guan'kang'yuan
免疫抑制疗法,mian'yi'yi'zhi'liao'fa
免疫印迹分析,mian'yi'yin'ji'fen'xi
免疫应答,mian'yi'ying'da
免疫佐剂,mian'yi'zuo'ji
面正中黑子病,mian'zheng'zhong'hei'zi'bing
面指趾生殖器综合症,mian'zhi'zhi'sheng'zhi'qi'zong'he'zheng
棉子油,mian'zi'you
敏锐型,min'rui'xing
明矾,ming'fan
摩擦黑变病,mo'ca'hei'bian'bing
摩擦红斑,mo'ca'hong'ban
摩擦水疱,mo'ca'shui'pao
摩擦性黑变病,mo'ca'xing'hei'bian'bing
摩擦性皮肤淀粉样变,mo'ca'xing'pi'fu'dian'fen'yang'bian
摩擦性皮肤淀粉样变病,mo'ca'xing'pi'fu'dian'fen'yang'bian'bing
摩擦性苔癣样疹,mo'ca'xing'tai'xuan'yang'zhen
末端非编码区,mo'duan'fei'bian'ma'qu
末端毛囊瘤,mo'duan'mao'nang'liu
模仿病,mo'fang'bing
模仿菌属,mo'fang'jun'shu
膜攻击复合物,mo'gong'ji'fu'he'wu
莫米松糠酸酯,mo'mi'song'kang'suan'zhi
莫匹罗星,mo'pi'luo'xing
某些系统疾病时伴发的皮肤水疱,mou'xie'xi'tong'ji'bing'shi'ban'fa'de'pi'fu'shui'pao
母斑,mu'ban
母雅司,mu'ya'si
那他霉素,na'ta'mei'su
奈啶酸,nai'ding'suan
萘夫西林钠,nai'fu'xi'lin'na
奈瑟氏菌,nai'se'shi'jun
耐酸纤维,nai'suan'xian'wei
萘替芬,nai'ti'fen
耐血清性,nai'xue'qing'xing
囊性腺样上皮瘤,nang'xing'xian'yang'shang'pi'liu
囊肿,nang'zhong
囊肿性痤疮,nang'zhong'xing'cuo'chuang
蛲虫病,nao'chong'bing
脑回状真皮内痣,nao'hui'zhuang'zhen'pi'nei'zhi
脑腱黄瘤病,nao'jian'huang'liu'bing
脑面血管瘤病综合征,nao'mian'xue'guan'liu'bing'zong'he'zheng
脑膜炎球菌感染,nao'mo'yan'qiu'jun'gan'ran
脑三叉神经血管瘤病综合征,nao'san'cha'shen'jing'xue'guan'liu'bing'zong'he'zheng
内斑块,nei'ban'kuai
内分泌,nei'fen'mi
内分泌病,nei'fen'mi'bing
内根鞘,nei'gen'qiao
内含子,nei'han'zi
内化,nei'hua
内披蛋白,nei'pi'dan'bai
内源性非黑素色素沉着,nei'yuan'xing'fei'hei'su'se'su'chen'zhuo
内源性高甘油血症,nei'yuan'xing'gao'gan'you'xue'zheng
内脏带状疱疹,nei'zang'dai'zhuang'pao'zhen
内致密斑,nei'zhi'mi'ban
内质网,nei'zhi'wang
逆剥,ni'bo
尼泊金,ni'bo'jin
尼卡地平,ni'ka'di'ping
尼克酸,ni'ke'suan
尼龙刷斑状淀粉样变,ni'long'shua'ban'zhuang'dian'fen'yang'bian
泥螺日光性皮炎,ni'luo'ri'guang'xing'pi'yan
尼氏征,ni'shi'zheng
尼索地平,ni'suo'di'ping
拟胸腺药,ni'xiong'xian'yao
逆转录病毒样颗粒,ni'zhuan'lu'bing'du'yang'ke'li
逆转录酶,ni'zhuan'lu'mei
粘蛋白性汗管化生,nian'dan'bai'xing'han'guan'hua'sheng
粘蛋白性脱发,nian'dan'bai'xing'tuo'fa
粘蛋白痣,nian'dan'bai'zhi
粘多糖病异型,nian'duo'tang'bing'yi'xing
捻发音蜂窝织炎,nian'fa'yin'feng'wo'zhi'yan
粘附,nian'fu
粘膜白色海绵痣,nian'mo'bai'se'hai'mian'zhi
粘膜斑,nian'mo'ban
粘膜皮肤眼综合征,nian'mo'pi'fu'yan'zong'he'zheng
粘膜皮肤眼综合症,nian'mo'pi'fu'yan'zong'he'zheng
捻皮癖,nian'pi'pi
粘液瘤,nian'ye'liu
粘液脓性宫颈炎,nian'ye'nong'xing'gong'jing'yan
粘液肉瘤,nian'ye'rou'liu
粘液水肿性苔藓,nian'ye'shui'zhong'xing'tai'xian
粘液性汗腺癌,nian'ye'xing'han'xian'ai
粘液性皮肤角化病,nian'ye'xing'pi'fu'jiao'hua'bing
粘液性水肿,nian'ye'xing'shui'zhong
粘液样囊肿,nian'ye'yang'nang'zhong
念珠菌病,nian'zhu'jun'bing
念珠菌属,nian'zhu'jun'shu
念珠菌性包皮龟头炎,nian'zhu'jun'xing'bao'pi'gui'tou'yan
念珠状错构瘤,nian'zhu'zhuang'cuo'gou'liu
念珠状红苔藓,nian'zhu'zhuang'hong'tai'xian
念珠状链杆菌,nian'zhu'zhuang'lian'gan'jun
念珠状毛发,nian'zhu'zhuang'mao'fa
念珠状疹,nian'zhu'zhuang'zhen
尿布皮炎,niao'bu'pi'yan
尿布银屑病,niao'bu'yin'xie'bing
尿道眼滑膜综合征,niao'dao'yan'hua'mo'zong'he'zheng
鸟分枝杆菌,niao'fen'zhi'gan'jun
尿汗症,niao'han'zheng
尿囊素,niao'nang'su
尿素,niao'su
尿酸疾病智力发育不全,niao'suan'ji'bing'zhi'li'fa'yu'bu'quan
颞部产钳痕迹异常面容,nie'bu'chan'qian'hen'ji'yi'chang'mian'rong
颞动脉炎,nie'dong'mai'yan
柠檬色皮肤,ning'meng'se'pi'fu
凝血酶,ning'xue'mei
凝血酶原,ning'xue'mei'yuan
牛痘,niu'dou
牛痘病毒,niu'dou'bing'du
牛丘疹性口腔炎,niu'qiu'zhen'xing'kou'qiang'yan
扭曲发,niu'qu'fa
牛型布鲁菌,niu'xing'bu'lu'jun
牛牙卷发骨硬化,niu'ya'juan'fa'gu'ying'hua
脓毒败血症疹,nong'du'bai'xue'zheng'zhen
农民颈,nong'min'jing
脓疱,nong'pao
脓疱疮,nong'pao'chuang
脓疱丘疹,nong'pao'qiu'zhen
脓疱性痤疮,nong'pao'xing'cuo'chuang
脓疱性粟粒疹,nong'pao'xing'su'li'zhen
脓疱性细菌疹,nong'pao'xing'xi'jun'zhen
脓疱性血管炎,nong'pao'xing'xue'guan'yan
脓疱型银屑病,nong'pao'xing'yin'xie'bing
脓肿性腺性唇炎,nong'zhong'xing'xian'xing'chun'yan
奴卡菌病,nu'ka'jun'bing
疟疾的皮肤表现,nue'ji'de'pi'fu'biao'xian
诺氟沙星,nuo'fu'sha'xing
挪威疥,nuo'wei'jie
女阴干枯病,nv'yin'gan'ku'bing
女阴干枯症,nv'yin'gan'ku'zheng
女阴瘙痒病,nv'yin'sao'yang'bing
女阴萎缩,nv'yin'wei'suo
女阴萎缩性皮炎,nv'yin'wei'suo'xing'pi'yan
女阴硬化性萎缩性苔藓,nv'yin'ying'hua'xing'wei'suo'xing'tai'xian
偶遇分枝杆菌,ou'yu'fen'zhi'gan'jun
拍红性面颊,pai'hong'xing'mian'jia
哌拉西林,pai'la'xi'lin
哌唑嗪,pai'zuo'qin
潘生丁,pan'sheng'ding
盘尾丝虫病,pan'wei'si'chong'bing
盘状红斑狼疮,pan'zhuang'hong'ban'lang'chuang
旁泌,pang'mi
泡沫状发,pao'mo'zhuang'fa
疱疹性齿龈口腔炎,pao'zhen'xing'chi'yin'kou'qiang'yan
疱疹性肝炎,pao'zhen'xing'gan'yan
疱疹性脑膜炎,pao'zhen'xing'nao'mo'yan
疱疹性湿疹,pao'zhen'xing'shi'zhen
疱疹性外阴阴道炎,pao'zhen'xing'wai'yin'yin'dao'yan
疱疹性须疮,pao'zhen'xing'xu'chuang
疱疹性咽峡炎,pao'zhen'xing'yan'xia'yan
疱疹样脓疱病,pao'zhen'yang'nong'pao'bing
疱疹样皮炎,pao'zhen'yang'pi'yan
疱疹样天疱疮,pao'zhen'yang'tian'pao'chuang
培氟沙星,pei'fu'sha'xing
培酸内酯,pei'suan'nei'zhi
蓬发综合征,peng'fa'zong'he'zheng
硼砂,peng'sha
硼酸,peng'suan
膨胀纹,peng'zhang'wen
蜱斑疹伤寒,pi'ban'zhen'shang'han
蜱叮咬,pi'ding'yao
皮肤阿米巴病,pi'fu'a'mi'ba'bing
皮肤白喉,pi'fu'bai'hou
皮肤病恐怖,pi'fu'bing'kong'bu
皮肤窗技术,pi'fu'chuang'ji'shu
皮肤痘疮样斑状萎缩,pi'fu'dou'chuang'yang'ban'zhuang'wei'suo
皮肤改变,pi'fu'gai'bian
皮肤钙沉着症,pi'fu'gai'chen'zhuo'zheng
皮肤垢着病,pi'fu'gou'zhe'bing
皮肤骨化,pi'fu'gu'hua
皮肤黑热病,pi'fu'hei're'bing
皮肤划痕症,pi'fu'hua'hen'zheng
皮肤化痕症,pi'fu'hua'hen'zheng
皮肤混合瘤,pi'fu'hun'he'liu
皮肤僵硬综合症,pi'fu'jiang'ying'zong'he'zheng
皮肤胶样变性,pi'fu'jiao'yang'bian'xing
皮肤局灶性粘蛋白病,pi'fu'ju'zao'xing'nian'dan'bai'bing
皮肤链隔孢病,pi'fu'lian'ge'bao'bing
皮肤淋巴细胞浸润,pi'fu'lin'ba'xi'bao'jin'run
皮肤毛囊周围纤维瘤病,pi'fu'mao'nang'zhou'wei'xian'wei'liu'bing
皮肤免疫系统,pi'fu'mian'yi'xi'tong
皮肤内黑素,pi'fu'nei'hei'su
皮肤粘膜利士曼原虫,pi'fu'nian'mo'li'shi'man'yuan'chong
皮肤粘膜透明变性,pi'fu'nian'mo'tou'ming'bian'xing
皮肤粘膜眼上皮综合症,pi'fu'nian'mo'yan'shang'pi'zong'he'zheng
皮肤乳头瘤病,pi'fu'ru'tou'liu'bing
皮肤软骨角膜营养不良综合症,pi'fu'ruan'gu'jiao'mo'ying'yang'bu'liang'zong'he'zheng
皮肤神经官能病,pi'fu'shen'jing'guan'neng'bing
皮肤神经痛,pi'fu'shen'jing'tong
皮肤石,pi'fu'shi
皮肤丝虫病,pi'fu'si'chong'bing
皮肤松弛症,pi'fu'song'chi'zheng
皮肤松解症,pi'fu'song'jie'zheng
皮肤隧道样癌,pi'fu'sui'dao'yang'ai
皮肤弹性过度,pi'fu'tan'xing'guo'du
皮肤萎缩,pi'fu'wei'suo
皮肤系统性血管炎疹,pi'fu'xi'tong'xing'xue'guan'yan'zhen
皮肤腺鳞癌,pi'fu'xian'lin'ai
皮肤纤毛性囊肿,pi'fu'xian'mao'xing'nang'zhong
皮肤纤维瘤,pi'fu'xian'wei'liu
皮肤相关淋巴组织,pi'fu'xiang'guan'lin'ba'zu'zhi
皮肤相关性淋巴样组织,pi'fu'xiang'guan'xing'lin'ba'yang'zu'zhi
皮肤行为症,pi'fu'xing'wei'zheng
皮肤异色,pi'fu'yi'se
皮肤异色病,pi'fu'yi'se'bing
皮肤异色病样淀粉样变病,pi'fu'yi'se'bing'yang'dian'fen'yang'bian'bing
皮肤异色病幼年白内障综合征,pi'fu'yi'se'bing'you'nian'bai'nei'zhang'zong'he'zheng
皮肤异色症,pi'fu'yi'se'zheng
皮肤异色症的良性变种,pi'fu'yi'se'zheng'de'liang'xing'bian'zhong
皮肤蝇蛆病,pi'fu'ying'qu'bing
皮肤源性白内障,pi'fu'yuan'xing'bai'nei'zhang
皮肤原藻病,pi'fu'yuan'zao'bing
皮肤再生不良,pi'fu'zai'sheng'bu'liang
皮肤张力线,pi'fu'zhang'li'xian
皮肤猪囊虫病,pi'fu'zhu'nang'chong'bing
皮肌炎,pi'ji'yan
皮角,pi'jiao
皮节,pi'jie
皮面脂质,pi'mian'zhi'zhi
匹莫齐特,pi'mo'qi'te
皮内痣,pi'nei'zhi
铍肉芽肿,pi'rou'ya'zhong
皮痛,pi'tong
皮下藻菌病,pi'xia'zao'jun'bing
皮下脂肪肉芽肿病,pi'xia'zhi'fang'rou'ya'zhong'bing
皮样囊肿,pi'yang'nang'zhong
皮脂类固醇后脂膜炎,pi'zhi'lei'gu'chun'hou'zhi'mo'yan
皮质类固醇紫癜,pi'zhi'lei'gu'chun'zi'dian
皮脂缺乏症,pi'zhi'que'fa'zheng
皮脂腺癌,pi'zhi'xian'ai
皮脂腺错构瘤,pi'zhi'xian'cuo'gou'liu
皮脂腺毛囊瘤,pi'zhi'xian'mao'nang'liu
皮脂腺母质病,pi'zhi'xian'mu'zhi'bing
皮脂腺囊肿,pi'zhi'xian'nang'zhong
皮脂腺上皮瘤,pi'zhi'xian'shang'pi'liu
皮脂腺腺瘤,pi'zhi'xian'xian'liu
皮脂腺痣,pi'zhi'xian'zhi
皮脂溢出,pi'zhi'yi'chu
皮赘,pi'zhui
偏侧肥大症,pian'ce'fei'da'zheng
胼胝,pian'zhi
胼胝病,pian'zhi'bing
嘌呤类似物,piao'ling'lei'si'wu
嘌呤霉素,piao'ling'mei'su
品他,pin'ta
品他螺旋体,pin'ta'luo'xuan'ti
贫血,pin'xue
贫血斑,pin'xue'ban
贫血痣,pin'xue'zhi
贫血综合症,pin'xue'zong'he'zheng
泼尼松,po'ni'song
泼尼松龙,po'ni'song'long
泼尼松龙乙酸酯,po'ni'song'long'yi'suan'zhi
普卡霉素,pu'ka'mei'su
普萘洛尔,pu'nai'luo'er
葡糖神经酰胺,pu'tang'shen'jing'xian'an
葡萄糖脑苷脂病,pu'tao'tang'nao'gan'zhi'bing
葡萄状球菌病,pu'tao'zhuang'qiu'jun'bing
普秃,pu'tu
匍行性软下疳,pu'xing'xing'ruan'xia'gan
匍行疹,pu'xing'zhen
启动子,qi'dong'zi
齐多夫定,qi'duo'fu'ding
脐发育异常,qi'fa'yu'yi'chang
器官样痣,qi'guan'yang'zhi
器官肿大,qi'guan'zhong'da
气球细胞痣,qi'qiu'xi'bao'zhi
其它全身性疾病伴发黑素沉着,qi'ta'quan'shen'xing'ji'bing'ban'fa'hei'su'chen'zhuo
气雾剂,qi'wu'ji
气性坏疽,qi'xing'huai'ju
汽油,qi'you
