阿大多为,a'da'duo'wei
蒸汽交联,zheng'qi'jiao'lian
蒸汽交联工艺,zheng'qi'jiao'lian'gong'yi
蒸汽交联聚乙烯,zheng'qi'jiao'lian'ju'yi'xi
蒸气交联设备,zheng'qi'jiao'lian'she'bei
蒸汽硫化,zheng'qi'liu'hua
蒸气硫化电缆,zheng'qi'liu'hua'dian'lan
蒸汽硫化段,zheng'qi'liu'hua'duan
蒸气硫化绝缘,zheng'qi'liu'hua'jue'yuan
蒸汽消耗量,zheng'qi'xiao'hao'liang
蒸气压,zheng'qi'ya
蒸气压下降,zheng'qi'ya'xia'jiang
争取,zheng'qu
正确,zheng'que
正确动作,zheng'que'dong'zuo
正确无误,zheng'que'wu'wu
正确性,zheng'que'xing
正升,zheng'sheng
正式,zheng'shi
正是,zheng'shi
正是吉安,zheng'shi'ji'an
正式试验,zheng'shi'shi'yan
正式朱毅,zheng'shi'zhu'yi
证书,zheng'shu
正泰冶炼厂,zheng'tai'ye'lian'chang
整套,zheng'tao
整体,zheng'ti
整体更换,zheng'ti'geng'huan
整体更换开关,zheng'ti'geng'huan'kai'guan
整体管式水冷却系统,zheng'ti'guan'shi'shui'leng'que'xi'tong
整体接头,zheng'ti'jie'tou
整体浸渍不滴流绝缘,zheng'ti'jin'zi'bu'di'liu'jue'yuan
整体浸渍绝缘,zheng'ti'jin'zi'jue'yuan
整体浸渍系统,zheng'ti'jin'zi'xi'tong
整体水冷却系统,zheng'ti'shui'leng'que'xi'tong
整体稳定性,zheng'ti'wen'ding'xing
整体性,zheng'ti'xing
整体终端,zheng'ti'zhong'duan
整体终端电缆,zheng'ti'zhong'duan'dian'lan
征文,zheng'wen
争先,zheng'xian
正弦波,zheng'xian'bo
正弦波火花检验,zheng'xian'bo'huo'hua'jian'yan
正弦旋转式圈线矫直器,zheng'xian'xuan'zhuan'shi'quan'xian'jiao'zhi'qi
正向点动,zheng'xiang'dian'dong
正向电压,zheng'xiang'dian'ya
正向力矩控制,zheng'xiang'li'ju'kong'zhi
正向频谱,zheng'xiang'pin'pu
正序,zheng'xu
正序分量,zheng'xu'fen'liang
正序阻抗,zheng'xu'zu'kang
正在,zheng'zai
正在处理,zheng'zai'chu'li
挣扎,zheng'zha
整站,zheng'zhan
政治,zheng'zhi
整治,zheng'zhi
正值,zheng'zhi
整治很,zheng'zhi'hen
郑州,zheng'zhou
正转双螺杆,zheng'zhuan'shuang'luo'gan
正装,zheng'zhuang
整组,zheng'zu
整组试验,zheng'zu'shi'yan
值班,zhi'ban
值班安排,zhi'ban'an'pai
值班表,zhi'ban'biao
值班房,zhi'ban'fang
纸板盒,zhi'ban'he
值班人员,zhi'ban'ren'yuan
值班室,zhi'ban'shi
纸板外箱,zhi'ban'wai'xiang
值班一整天,zhi'ban'yi'zheng'tian
值班员,zhi'ban'yuan
值班长,zhi'ban'zhang
纸包,zhi'bao
纸包扁铜电磁线,zhi'bao'bian'tong'dian'ci'xian
纸包扁铜绕组线,zhi'bao'bian'tong'rao'zu'xian
纸包扁线,zhi'bao'bian'xian
纸包工序,zhi'bao'gong'xu
至保护,zhi'bao'hu
纸包机,zhi'bao'ji
纸包矩形铜电磁线,zhi'bao'ju'xing'tong'dian'ci'xian
纸包绝缘,zhi'bao'jue'yuan
纸包纱包联合机,zhi'bao'sha'bao'lian'he'ji
纸包铜线,zhi'bao'tong'xian
纸包头,zhi'bao'tou
纸包圆铜电磁线,zhi'bao'yuan'tong'dian'ci'xian
纸包圆线,zhi'bao'yuan'xian
纸包纸带绕包,zhi'bao'zhi'dai'rao'bao
指标,zhi'biao
指标查询,zhi'biao'cha'xun
指标化,zhi'biao'hua
指标生成,zhi'biao'sheng'cheng
指标完成情况反,zhi'biao'wan'cheng'qing'kuang'fan
指标注意事项,zhi'biao'zhu'yi'shi'xiang
指标左侧,zhi'biao'zuo'ce
止步,zhi'bu
只测,zhi'ce
只测其,zhi'ce'qi
纸厂,zhi'chang
支撑,zhi'cheng
职称,zhi'cheng
支撑板,zhi'cheng'ban
支撑杆,zhi'cheng'gan
支承构件,zhi'cheng'gou'jian
支撑构件,zhi'cheng'gou'jian
支撑夹具,zhi'cheng'jia'ju
支撑绝缘子,zhi'cheng'jue'yuan'zi
支承螺旋带,zhi'cheng'luo'xuan'dai
支承式电缆,zhi'cheng'shi'dian'lan
支承线,zhi'cheng'xian
支撑硬件,zhi'cheng'ying'jian
支承元件,zhi'cheng'yuan'jian
支持,zhi'chi
之处,zhi'chu
之大,zhi'da
职大,zhi'da
纸带,zhi'dai
纸带编码器,zhi'dai'bian'ma'qi
纸带导向和制动装置,zhi'dai'dao'xiang'he'zhi'dong'zhuang'zhi
纸带断裂,zhi'dai'duan'lie
纸带绝缘,zhi'dai'jue'yuan
纸带绝缘电缆,zhi'dai'jue'yuan'dian'lan
纸带绝缘线,zhi'dai'jue'yuan'xian
纸带拉伸系数,zhi'dai'la'shen'xi'shu
纸带连接装置,zhi'dai'lian'jie'zhuang'zhi
纸带嵌入连接装置,zhi'dai'qian'ru'lian'jie'zhuang'zhi
纸带印字装置,zhi'dai'yin'zi'zhuang'zhi
纸带张力,zhi'dai'zhang'li
纸带张力恒定,zhi'dai'zhang'li'heng'ding
纸带张力控制,zhi'dai'zhang'li'kong'zhi
指导,zhi'dao
直到,zhi'dao
知道,zhi'dao
指导路线,zhi'dao'lu'xian
指导书,zhi'dao'shu
制导用光纤,zhi'dao'yong'guang'xian
值得,zhi'de
指点,zhi'dian
制定,zhi'ding
制订,zhi'ding
指定,zhi'ding
制订本,zhi'ding'ben
制定单位,zhi'ding'dan'wei
制定的,zhi'ding'de
指定负责人,zhi'ding'fu'ze'ren
制定好,zhi'ding'hao
制钉线,zhi'ding'xian
制定选中,zhi'ding'xuan'zhong
制动,zhi'dong
支洞,zhi'dong
制动电流,zhi'dong'dian'liu
制动器,zhi'dong'qi
止动器,zhi'dong'qi
制动系统,zhi'dong'xi'tong
制动线,zhi'dong'xian
制动爪,zhi'dong'zhao
制度,zhi'du
只读存储器,zhi'du'cun'chu'qi
至端子排,zhi'duan'zi'pai
制粉系统,zhi'fen'xi'tong
智锋,zhi'feng
纸隔离层,zhi'ge'li'ceng
纸隔离带,zhi'ge'li'dai
职工,zhi'gong
直观,zhi'guan
纸管,zhi'guan
直管段,zhi'guan'duan
纸辊,zhi'gun
直辊式拉线机,zhi'gun'shi'la'xian'ji
直焊性级聚氨酯漆包线漆,zhi'han'xing'ji'ju'an'zhi'qi'bao'xian'qi
直焊性聚氨脂漆包铜圆线,zhi'han'xing'ju'an'zhi'qi'bao'tong'yuan'xian
直焊性聚氨酯漆包铜圆线,zhi'han'xing'ju'an'zhi'qi'bao'tong'yuan'xian
直焊性聚酰亚胺漆包铜圆线,zhi'han'xing'ju'xian'ya'an'qi'bao'tong'yuan'xian
直焊性漆包铜圆线,zhi'han'xing'qi'bao'tong'yuan'xian
之后,zhi'hou
之后大家,zhi'hou'da'jia
之后该线路,zhi'hou'gai'xian'lu
支化高聚物,zhi'hua'gao'ju'wu
支化聚合物,zhi'hua'ju'he'wu
支化聚乙烯,zhi'hua'ju'yi'xi
置换,zhi'huan
智慧,zhi'hui
滞回,zhi'hui
之机,zhi'ji
之计,zhi'ji
之际,zhi'ji
支架,zhi'jia
支架层,zhi'jia'ceng
支架支撑绝缘子,zhi'jia'zhi'cheng'jue'yuan'zi
之间,zhi'jian
质检处,zhi'jian'chu
置检修,zhi'jian'xiu
纸浆,zhi'jiang
纸浆槽,zhi'jiang'cao
纸浆混合室,zhi'jiang'hun'he'shi
纸浆绝缘,zhi'jiang'jue'yuan
纸浆绝缘电话电缆,zhi'jiang'jue'yuan'dian'hua'dian'lan
纸浆绝缘电缆,zhi'jiang'jue'yuan'dian'lan
纸浆绝缘线,zhi'jiang'jue'yuan'xian
直角插头,zhi'jiao'cha'tou
直角挂板,zhi'jiao'gua'ban
直角机头,zhi'jiao'ji'tou
直角接合,zhi'jiao'jie'he
直角接头,zhi'jiao'jie'tou
直角连接器,zhi'jiao'lian'jie'qi
直接,zhi'jie
直接波,zhi'jie'bo
直接传动,zhi'jie'chuan'dong
直接串音,zhi'jie'chuan'yin
直接淬火线杆,zhi'jie'cui'huo'xian'gan
直接发布,zhi'jie'fa'bu
直接服务区,zhi'jie'fu'wu'qu
直接供电,zhi'jie'gong'dian
直接接地系统,zhi'jie'jie'di'xi'tong
直接接地中线,zhi'jie'jie'di'zhong'xian
直接介入,zhi'jie'jie'ru
直接浸渍法,zhi'jie'jin'zi'fa
直接拉线,zhi'jie'la'xian
直接冷却,zhi'jie'leng'que
直接冷却式模架,zhi'jie'leng'que'shi'mo'jia
直接连接,zhi'jie'lian'jie
直接耦合,zhi'jie'ou'he
直接配线,zhi'jie'pei'xian
直接牵引,zhi'jie'qian'yin
直接牵引拉线机,zhi'jie'qian'yin'la'xian'ji
直接驱动标志轮,zhi'jie'qu'dong'biao'zhi'lun
直接水冷却电缆,zhi'jie'shui'leng'que'dian'lan
直接通信,zhi'jie'tong'xin
直接蒸气硫化,zhi'jie'zheng'qi'liu'hua
直接注射工艺,zhi'jie'zhu'she'gong'yi
至今,zhi'jin
纸进给,zhi'jin'gei
至今继电保护,zhi'jin'ji'dian'bao'hu
直径,zhi'jing
直径比,zhi'jing'bi
直径测量,zhi'jing'ce'liang
直径测量及控制设备,zhi'jing'ce'liang'ji'kong'zhi'she'bei
直径测量系统,zhi'jing'ce'liang'xi'tong
直径公差,zhi'jing'gong'cha
直径控制电路,zhi'jing'kong'zhi'dian'lu
直径控制装置,zhi'jing'kong'zhi'zhuang'zhi
直径快速转换系统,zhi'jing'kuai'su'zhuan'huan'xi'tong
直径缩小缩径,zhi'jing'suo'xiao'suo'jing
直径椭圆度及偏心测量系统,zhi'jing'tuo'yuan'du'ji'pian'xin'ce'liang'xi'tong
纸卷绕包接头,zhi'juan'rao'bao'jie'tou
纸绝缘电缆,zhi'jue'yuan'dian'lan
纸绝缘分阶,zhi'jue'yuan'fen'jie
纸绝缘金属护套充油电缆,zhi'jue'yuan'jin'shu'hu'tao'chong'you'dian'lan
纸绝缘金属护套电缆,zhi'jue'yuan'jin'shu'hu'tao'dian'lan
纸绝缘铅套电缆,zhi'jue'yuan'qian'tao'dian'lan
纸绝缘绕包,zhi'jue'yuan'rao'bao
纸绝缘同心四线组,zhi'jue'yuan'tong'xin'si'xian'zu
纸绝缘线,zhi'jue'yuan'xian
纸绝缘线芯,zhi'jue'yuan'xian'xin
只来,zhi'lai
之类,zhi'lei
致冷器,zhi'leng'qi
制冷设备,zhi'leng'she'bei
致冷设备,zhi'leng'she'bei
致冷致冷作用,zhi'leng'zhi'leng'zuo'yong
治理,zhi'li
直立,zhi'li
制粒挤出机,zhi'li'ji'chu'ji
致力于,zhi'li'yu
支链化合物,zhi'lian'hua'he'wu
直链聚合物,zhi'lian'ju'he'wu
支链聚烯烃,zhi'lian'ju'xi'ting
直链聚乙烯,zhi'lian'ju'yi'xi
直链聚乙烯线性聚乙烯,zhi'lian'ju'yi'xi'xian'xing'ju'yi'xi
质量,zhi'liang
质量保持率,zhi'liang'bao'chi'lv
质量保证,zhi'liang'bao'zheng
质量保证单位,zhi'liang'bao'zheng'dan'wei
质量保证试验,zhi'liang'bao'zheng'shi'yan
质量等级,zhi'liang'deng'ji
质量范围,zhi'liang'fan'wei
质量管理检查员,zhi'liang'guan'li'jian'cha'yuan
质量检查,zhi'liang'jian'cha
质量监督,zhi'liang'jian'du
质量检验,zhi'liang'jian'yan
质量控制,zhi'liang'kong'zhi
质量控制系统,zhi'liang'kong'zhi'xi'tong
质量流量计,zhi'liang'liu'liang'ji
质量认证,zhi'liang'ren'zheng
质量验证试验,zhi'liang'yan'zheng'shi'yan
质量要求,zhi'liang'yao'qiu
质量一致性检验,zhi'liang'yi'zhi'xing'jian'yan
质量因数,zhi'liang'yin'shu
质量优异,zhi'liang'you'yi
治疗,zhi'liao
指令,zhi'ling
直流,zhi'liu
直流班,zhi'liu'ban
滞留部分,zhi'liu'bu'fen
直流厂家,zhi'liu'chang'jia
直流电,zhi'liu'dian
直流电抗器,zhi'liu'dian'kang'qi
直流电缆,zhi'liu'dian'lan
直流电力电缆,zhi'liu'dian'li'dian'lan
直流电桥,zhi'liu'dian'qiao
直流电压,zhi'liu'dian'ya
直流电压强度,zhi'liu'dian'ya'qiang'du
直流电源,zhi'liu'dian'yuan
直流电阻,zhi'liu'dian'zu
直流电阻不平衡,zhi'liu'dian'zu'bu'ping'heng
直流分屏,zhi'liu'fen'ping
直流高压闪络法,zhi'liu'gao'ya'shan'luo'fa
直流柜,zhi'liu'gui
直流回路,zhi'liu'hui'lu
直流火花试验器,zhi'liu'huo'hua'shi'yan'qi
直流击穿,zhi'liu'ji'chuan
直流交流,zhi'liu'jiao'liu
直流接触器,zhi'liu'jie'chu'qi
直流开展,zhi'liu'kai'zhan
直流空开,zhi'liu'kong'kai
直流馈电屏,zhi'liu'kui'dian'ping
直流馈电线,zhi'liu'kui'dian'xian
直流馈线,zhi'liu'kui'xian
直流炉,zhi'liu'lu
直流耐压试验,zhi'liu'nai'ya'shi'yan
直流屏,zhi'liu'ping
滞流区,zhi'liu'qu
直流驱动,zhi'liu'qu'dong
滞留时间,zhi'liu'shi'jian
滞留时间分布,zhi'liu'shi'jian'fen'bu
直流式压铅机,zhi'liu'shi'ya'qian'ji
直流输电技术,zhi'liu'shu'dian'ji'shu
直流伺服电动机,zhi'liu'si'fu'dian'dong'ji
直流系统,zhi'liu'xi'tong
直流系统主变,zhi'liu'xi'tong'zhu'bian
直流增音机,zhi'liu'zeng'yin'ji
支路,zhi'lu
支路单元,zhi'lu'dan'yuan
纸铝箔纵包机,zhi'lv'bo'zong'bao'ji
直埋,zhi'mai
直埋电缆,zhi'mai'dian'lan
直埋电缆地下电缆,zhi'mai'dian'lan'di'xia'dian'lan
直埋敷设,zhi'mai'fu'she
直埋光缆,zhi'mai'guang'lan
直埋式连接盒,zhi'mai'shi'lian'jie'he
致密接头,zhi'mi'jie'tou
指明,zhi'ming
制模,zhi'mo
只能,zhi'neng
智能,zhi'neng
智能变电站,zhi'neng'bian'dian'zhan
智能层,zhi'neng'ceng
智能大楼,zhi'neng'da'lou
智能大厦,zhi'neng'da'sha
智能电网,zhi'neng'dian'wang
智能电网培训,zhi'neng'dian'wang'pei'xun
智能服务网,zhi'neng'fu'wu'wang
智能高速法,zhi'neng'gao'su'fa
智能光信息往返节点,zhi'neng'guang'xin'xi'wang'fan'jie'dian
只能化,zhi'neng'hua
智能化,zhi'neng'hua
智能化变电,zhi'neng'hua'bian'dian
智能化控制系统,zhi'neng'hua'kong'zhi'xi'tong
智能化设备,zhi'neng'hua'she'bei
智能计米器,zhi'neng'ji'mi'qi
智能技术,zhi'neng'ji'shu
智能集线器,zhi'neng'ji'xian'qi
智能接线中心,zhi'neng'jie'xian'zhong'xin
智能卡,zhi'neng'ka
智能控制器,zhi'neng'kong'zhi'qi
智能扫描器,zhi'neng'sao'miao'qi
智能式线材带材断裂检测系统,zhi'neng'shi'xian'cai'dai'cai'duan'lie'jian'ce'xi'tong
智能数据终端,zhi'neng'shu'ju'zhong'duan
只能说是,zhi'neng'shuo'shi
只能说是数字,zhi'neng'shuo'shi'shu'zi
智能外围接口用电缆,zhi'neng'wai'wei'jie'kou'yong'dian'lan
智能网络,zhi'neng'wang'luo
智能信息系统,zhi'neng'xin'xi'xi'tong
智能型绝缘壁厚监控仪,zhi'neng'xing'jue'yuan'bi'hou'jian'kong'yi
智能型线径测量头,zhi'neng'xing'xian'jing'ce'liang'tou
智能型印字机,zhi'neng'xing'yin'zi'ji
智能型质量控制器,zhi'neng'xing'zhi'liang'kong'zhi'qi
智能用户电报通信,zhi'neng'yong'hu'dian'bao'tong'xin
只能由,zhi'neng'you
智能中,zhi'neng'zhong
智能终端,zhi'neng'zhong'duan
智能终端设备,zhi'neng'zhong'duan'she'bei
指派,zhi'pai
纸盘,zhi'pan
纸盘架,zhi'pan'jia
纸盘心,zhi'pan'xin
制品,zhi'pin
纸品,zhi'pin
志平,zhi'ping
制漆,zhi'qi
制漆车间,zhi'qi'che'jian
之前,zhi'qian
之前的,zhi'qian'de
之前正常,zhi'qian'zheng'chang
志强,zhi'qiang
值日,zhi'ri
值日表,zhi'ri'biao
至少,zhi'shao
纸绳,zhi'sheng
制绳机,zhi'sheng'ji
纸绳绝缘线芯,zhi'sheng'jue'yuan'xian'xin
纸绳绕包,zhi'sheng'rao'bao
只剩下,zhi'sheng'xia
只剩下电子式,zhi'sheng'xia'dian'zi'shi
纸绳纸绝缘电缆,zhi'sheng'zhi'jue'yuan'dian'lan
直升装置用电缆,zhi'sheng'zhuang'zhi'yong'dian'lan
只是,zhi'shi
指示,zhi'shi
知识,zhi'shi
致使,zhi'shi
指示灯,zhi'shi'deng
知识竞赛,zhi'shi'jing'sai
指示器,zhi'shi'qi
知识抢修,zhi'shi'qiang'xiu
知识型,zhi'shi'xing
指数测定仪,zhi'shu'ce'ding'yi
指数律折射率分布,zhi'shu'lv'zhe'she'lv'fen'bu
纸塑料分层绝缘,zhi'su'liao'fen'ceng'jue'yuan
纸筒,zhi'tong
纸筒包装线,zhi'tong'bao'zhuang'xian
直通插头,zhi'tong'cha'tou
直通接头,zhi'tong'jie'tou
直通连接,zhi'tong'lian'jie
直通人孔,zhi'tong'ren'kong
直通式接头,zhi'tong'shi'jie'tou
直通式连接器,zhi'tong'shi'lian'jie'qi
直通式压铅机,zhi'tong'shi'ya'qian'ji
直通套管接头,zhi'tong'tao'guan'jie'tou
直通同时导通,zhi'tong'tong'shi'dao'tong
直通线路,zhi'tong'xian'lu
直头连接器,zhi'tou'lian'jie'qi
只投入,zhi'tou'ru
置图,zhi'tu
止推轴承,zhi'tui'zhou'cheng
之外,zhi'wai
只完成,zhi'wan'cheng
职位,zhi'wei
织物,zhi'wu
职务,zhi'wu
织物屏蔽,zhi'wu'ping'bi
值夏线,zhi'xia'xian
支线,zhi'xian
直线单杆,zhi'xian'dan'gan
直线导轮,zhi'xian'dao'lun
支线放大器,zhi'xian'fang'da'qi
直线式储线器,zhi'xian'shi'chu'xian'qi
直线式单头大拉机,zhi'xian'shi'dan'tou'da'la'ji
直线式电缆牵引装置,zhi'xian'shi'dian'lan'qian'yin'zhuang'zhi
直线式拉线,zhi'xian'shi'la'xian
直线式拉线机,zhi'xian'shi'la'xian'ji
支线网络,zhi'xian'wang'luo
知晓,zhi'xiao
置信区间,zhi'xin'qu'jian
之行,zhi'xing
执行,zhi'xing
执行标准,zhi'xing'biao'zhun
执行部门,zhi'xing'bu'men
执行二次,zhi'xing'er'ci
只需,zhi'xu
只需很小,zhi'xu'hen'xiao
只需要接入,zhi'xu'yao'jie'ru
制氧,zhi'yang
只要,zhi'yao
职业,zhi'ye
职业道德,zhi'ye'dao'de
职业能力,zhi'ye'neng'li
职业生涯,zhi'ye'sheng'ya
之一,zhi'yi
指引,zhi'yin
之用,zhi'yong
只有,zhi'you
之余,zhi'yu
置于,zhi'yu
至于,zhi'yu
治愈安顿,zhi'yu'an'dun
职员,zhi'yuan
制约,zhi'yue
制造部大楼,zhi'zao'bu'da'lou
制造参数,zhi'zao'can'shu
制造厂,zhi'zao'chang
制造长度,zhi'zao'chang'du
制造成本,zhi'zao'cheng'ben
制造公差,zhi'zao'gong'cha
制造工序,zhi'zao'gong'xu
制造工艺,zhi'zao'gong'yi
制造工艺标准,zhi'zao'gong'yi'biao'zhun
制造规划及管理信息系统,zhi'zao'gui'hua'ji'guan'li'xin'xi'xi'tong
制造机,zhi'zao'ji
制造阶段,zhi'zao'jie'duan
制造缺陷,zhi'zao'que'xian
制造日期生产日期,zhi'zao'ri'qi'sheng'chan'ri'qi
制造质量,zhi'zao'zhi'liang
职责,zhi'ze
值长,zhi'zhang
纸张力控制,zhi'zhang'li'kong'zhi
直至,zhi'zhi
纸质版,zhi'zhi'ban
直至试验成功,zhi'zhi'shi'yan'cheng'gong
纸质图纸,zhi'zhi'tu'zhi
之中,zhi'zhong
之字线,zhi'zi'xian
直阻,zhi'zu
知足,zhi'zu
制作,zhi'zuo
中保护,zhong'bao'hu
重北机械,zhong'bei'ji'xie
中波,zhong'bo
忠诚贸易,zhong'cheng'mao'yi
重大,zhong'da
重大缺陷,zhong'da'que'xian
中的,zhong'de
中等规格的单线,zhong'deng'gui'ge'de'dan'xian
中等截面型线轧机,zhong'deng'jie'mian'xing'xian'zha'ji
中等密度混合物,zhong'deng'mi'du'hun'he'wu
中等深度的海底电缆,zhong'deng'shen'du'de'hai'di'dian'lan
中等硬度冷拉铜丝,zhong'deng'ying'du'leng'la'tong'si
中低压侧,zhong'di'ya'ce
终点,zhong'dian
重点,zhong'dian
中电投集团公司,zhong'dian'tou'ji'tuan'gong'si
中电压电缆,zhong'dian'ya'dian'lan
中调,zhong'diao
重动,zhong'dong
中断,zhong'duan
中段,zhong'duan
终端,zhong'duan
中断等,zhong'duan'deng
终端电缆,zhong'duan'dian'lan
终端吊线夹板,zhong'duan'diao'xian'jia'ban
终端附件,zhong'duan'fu'jian
终端复接器,zhong'duan'fu'jie'qi
终端告警,zhong'duan'gao'jing
终端盒,zhong'duan'he
终端盒搪铅式黄铜进线套,zhong'duan'he'tang'qian'shi'huang'tong'jin'xian'tao
终端盒搪铅式进线套,zhong'duan'he'tang'qian'shi'jin'xian'tao
终端架,zhong'duan'jia
终端接口设备,zhong'duan'jie'kou'she'bei
终端接头,zhong'duan'jie'tou
终端局,zhong'duan'ju
终端喇叭,zhong'duan'la'ba
终端连接,zhong'duan'lian'jie
终端连接点,zhong'duan'lian'jie'dian
终端连接器,zhong'duan'lian'jie'qi
终端密封装置,zhong'duan'mi'feng'zhuang'zhi
终端设备,zhong'duan'she'bei
终端适配器,zhong'duan'shi'pei'qi
终端数据输出,zhong'duan'shu'ju'shu'chu
终端数据输入,zhong'duan'shu'ju'shu'ru
终端数据数字输入,zhong'duan'shu'ju'shu'zi'shu'ru
终端套管,zhong'duan'tao'guan
终端尾巴电缆,zhong'duan'wei'ba'dian'lan
终端线,zhong'duan'xian
终端线夹,zhong'duan'xian'jia
终端箱,zhong'duan'xiang
终端箱户外,zhong'duan'xiang'hu'wai
终端业务,zhong'duan'ye'wu
终端业务适配器,zhong'duan'ye'wu'shi'pei'qi
终端用户,zhong'duan'yong'hu
终端增音机,zhong'duan'zeng'yin'ji
终端增音机设备,zhong'duan'zeng'yin'ji'she'bei
终端扎结,zhong'duan'zha'jie
终端站间通信,zhong'duan'zhan'jian'tong'xin
终端终点识别符,zhong'duan'zhong'dian'shi'bie'fu
终端中转交换机,zhong'duan'zhong'zhuan'jiao'huan'ji
终端装置,zhong'duan'zhuang'zhi
中发结构,zhong'fa'jie'gou
中发配件,zhong'fa'pei'jian
中共,zhong'gong
中规模集成,zhong'gui'mo'ji'cheng
中规模集成电路,zhong'gui'mo'ji'cheng'dian'lu
中国,zhong'guo
中国报道,zhong'guo'bao'dao
中国大唐集团公司,zhong'guo'da'tang'ji'tuan'gong'si
中国电工器材行业协会,zhong'guo'dian'gong'qi'cai'hang'ye'xie'hui
中国电力,zhong'guo'dian'li
中国电线电缆行业技术开发中心,zhong'guo'dian'xian'dian'lan'hang'ye'ji'shu'kai'fa'zhong'xin
中国电线电缆行业信息中心,zhong'guo'dian'xian'dian'lan'hang'ye'xin'xi'zhong'xin
中国电线电缆进出口联营公司,zhong'guo'dian'xian'dian'lan'jin'chu'kou'lian'ying'gong'si
中国互联网,zhong'guo'hu'lian'wang
中国机械设备进出口总公司,zhong'guo'ji'xie'she'bei'jin'chu'kou'zong'gong'si
中还,zhong'hai
众和,zhong'he
中和槽,zhong'he'cao
中和剂,zhong'he'ji
重荷试验重负荷试验,zhong'he'shi'yan'zhong'fu'he'shi'yan
中和线,zhong'he'xian
中红外光纤,zhong'hong'wai'guang'xian
中后备,zhong'hou'bei
钟辉,zhong'hui
中继,zhong'ji
中继电话站,zhong'ji'dian'hua'zhan
中继电缆,zhong'ji'dian'lan
中继干线,zhong'ji'gan'xian
中级工,zhong'ji'gong
中继塞绳,zhong'ji'sai'sheng
中继线,zhong'ji'xian
中继线路,zhong'ji'xian'lu
中继站,zhong'ji'zhan
中间,zhong'jian
中间测量系统,zhong'jian'ce'liang'xi'tong
中间电缆分线箱,zhong'jian'dian'lan'fen'xian'xiang
中间点温度,zhong'jian'dian'wen'du
中间护套,zhong'jian'hu'tao
中间继电器,zhong'jian'ji'dian'qi
中间件,zhong'jian'jian
中间交叉连接,zhong'jian'jiao'cha'lian'jie
中间接头,zhong'jian'jie'tou
中间拉制,zhong'jian'la'zhi
中间试验,zhong'jian'shi'yan
中间涂层,zhong'jian'tu'ceng
中间退火,zhong'jian'tui'huo
中间线材,zhong'jian'xian'cai
中间相,zhong'jian'xiang
中间轧道,zhong'jian'ya'dao
中间增音机,zhong'jian'zeng'yin'ji
终结,zhong'jie
终结的,zhong'jie'de
终结的工作单,zhong'jie'de'gong'zuo'dan
终接点,zhong'jie'dian
终结流程,zhong'jie'liu'cheng
终结填写,zhong'jie'tian'xie
中介心线,zhong'jie'xin'xian
重均分子量,zhong'jun'fen'zi'liang
中空导线,zhong'kong'dao'xian
中拉,zhong'la
中拉机,zhong'la'ji
中拉机大拉机,zhong'la'ji'da'la'ji
中来,zhong'lai
种类,zhong'lei
重力润滑法,zhong'li'run'hua'fa
重量百分比,zhong'liang'bai'fen'bi
重量法,zhong'liang'fa
中流砥柱,zhong'liu'di'zhu
中密度聚乙烯,zhong'mi'du'ju'yi'xi
中模量的聚芳基酰胺复合棒,zhong'mo'liang'de'ju'fang'ji'xian'an'fu'he'bang
中母线保护,zhong'mu'xian'bao'hu
中那个,zhong'na'ge
中频,zhong'pin
中频电源,zhong'pin'dian'yuan
中频坩埚炉,zhong'pin'gan'guo'lu
中频同轴电缆,zhong'pin'tong'zhou'dian'lan
中秋,zhong'qiu
中秋节,zhong'qiu'jie
中全部,zhong'quan'bu
重视,zhong'shi
中枢控制电缆电视系统,zhong'shu'kong'zhi'dian'lan'dian'shi'xi'tong
中速环形标志器,zhong'su'huan'xing'biao'zhi'qi
中速局域网,zhong'su'ju'yu'wang
中速数字用户线,zhong'su'shu'zi'yong'hu'xian
中同轴电缆,zhong'tong'zhou'dian'lan
重瓦斯,zhong'wa'si
中位数寿命,zhong'wei'shu'shou'ming
中文,zhong'wen
中文乱码,zhong'wen'luan'ma
中文名字,zhong'wen'ming'zi
中午,zhong'wu
重物,zhong'wu
重污区,zhong'wu'qu
中线电流,zhong'xian'dian'liu
中线芯,zhong'xian'xin
中线支承二次回路用电缆,zhong'xian'zhi'cheng'er'ci'hui'lu'yong'dian'lan
中线直接接地,zhong'xian'zhi'jie'jie'di
中心,zhong'xin
重心,zhong'xin
中心凹陷,zhong'xin'ao'xian
中心包带头,zhong'xin'bao'dai'tou
中心承拉构件,zhong'xin'cheng'la'gou'jian
中心导管式储线器,zhong'xin'dao'guan'shi'chu'xian'qi
中心导体,zhong'xin'dao'ti
中心点,zhong'xin'dian
中心断线,zhong'xin'duan'xian
中心放线架,zhong'xin'fang'xian'jia
中心放线盘,zhong'xin'fang'xian'pan
中心放线站,zhong'xin'fang'xian'zhan
中心股放线架,zhong'xin'gu'fang'xian'jia
中心管式,zhong'xin'guan'shi
中心管式带状光纤光缆,zhong'xin'guan'shi'dai'zhuang'guang'xian'guang'lan
中心管式光缆,zhong'xin'guan'shi'guang'lan
中心环,zhong'xin'huan
中心及圆度控制系统,zhong'xin'ji'yuan'du'kong'zhi'xi'tong
中心加强构件式光缆,zhong'xin'jia'qiang'gou'jian'shi'guang'lan
中心加强件,zhong'xin'jia'qiang'jian
中心绞合线股,zhong'xin'jiao'he'xian'gu
