阿巴赖,a'ba'lai
新疆各民族文化促进会,xin'jiang'ge'min'zu'wen'hua'cu'jin'hui
新疆哈萨克族东迁甘肃和青海,xin'jiang'ha'sa'ke'zu'dong'qian'gan'su'he'qing'hai
新疆回族文化促进会,xin'jiang'hui'zu'wen'hua'cu'jin'hui
新疆建省后哈萨克地区的统治机构,xin'jiang'jian'sheng'hou'ha'sa'ke'di'qu'de'tong'zhi'ji'gou
新疆满族的婚姻,xin'jiang'man'zu'de'hun'yin
新疆蒙古族文化促进会,xin'jiang'meng'gu'zu'wen'hua'cu'jin'hui
新疆省的历史,xin'jiang'sheng'de'li'shi
新疆维吾尔自治区,xin'jiang'wei'wu'er'zi'zhi'qu
新疆伊斯兰教,xin'jiang'yi'si'lan'jiao
新教,xin'jiao
新中国成立后乌孜别克族的教育事业,xin'zhong'guo'cheng'li'hou'wu'zi'bie'ke'zu'de'jiao'yu'shi'ye
行国,xing'guo
行肯萨林,xing'ken'sa'lin
星靡,xing'mi
兴生胡,xing'sheng'hu
匈奴,xiong'nu
匈奴南将军,xiong'nu'nan'jiang'jun
兄死弟及的收继婚,xiong'si'di'ji'de'shou'ji'hun
秀尕,xiu'ga
休循国,xiu'xun'guo
徐干,xu'gan
许婚,xu'hun
徐松,xu'song
徐天尧,xu'tian'yao
徐学功,xu'xue'gong
须耶利苏摩,xu'ye'li'su'mo
宣白头誓,xuan'bai'tou'shi
玄奘,xuan'zang
宣忠斡罗思扈卫亲军,xuan'zhong'wo'luo'si'hu'wei'qin'jun
薛延陀,xue'yan'tuo
薛延陀汗国,xue'yan'tuo'han'guo
巡礼,xun'li
薰马肠,xun'ma'chang
逊奈提,xun'nai'ti
逊尼派,xun'ni'pai
雅克萨之战及投归清朝的俄罗斯族,ya'ke'sa'zhi'zhan'ji'tou'gui'qing'chao'de'e'luo'si'zu
牙老瓦赤,ya'lao'wa'chi
压迫民族,ya'po'min'zu
压辕女,ya'yuan'nv
咽,yan
厌带夷栗陀,yan'dai'yi'li'tuo
闫膏珍,yan'gao'zhen
焉耆,yan'qi
烟齐户,yan'qi'hu
焉耆回族自治县,yan'qi'hui'zu'zi'zhi'xian
宴席曲,yan'xi'qu
扬吉尔汗,yang'ji'er'han
羊毛工,yang'mao'gong
羊肉泡馍,yang'rou'pao'mo
羊肉粥,yang'rou'zhou
羊血灌肠,yang'xue'guan'chang
杨应琚,yang'ying'ju
杨增新,yang'zeng'xin
杨缵绪,yang'zuan'xu
尧乐博斯,yao'le'bo'si
曳咥河大战,ye'die'he'da'zhan
叶尔羌汗国,ye'er'qiang'han'guo
叶菲莫夫与驯养马鹿,ye'fei'mo'fu'yu'xun'yang'ma'lu
叶护,ye'hu
叶护可汗,ye'hu'ke'han
叶护太子,ye'hu'tai'zi
野里术,ye'li'shu
夜落隔归化,ye'luo'ge'gui'hua
夜落隔通顺,ye'luo'ge'tong'shun
夜落纥,ye'luo'he
夜落纥密礼遏,ye'luo'he'mi'li'e
耶律大石,ye'lv'da'shi
耶律大石入侵辖戛斯,ye'lv'da'shi'ru'qin'xia'jia'si
耶律木薛,ye'lv'mu'xue
耶律普速完,ye'lv'pu'su'wan
耶律松山,ye'lv'song'shan
耶律燕山,ye'lv'yan'shan
耶律夷列,ye'lv'yi'lie
耶律直鲁古,ye'lv'zhi'lu'gu
野蛮民族,ye'man'min'zu
也末,ye'mo
叶木什,ye'mu'shen
叶什杜克,ye'shen'du'ke
耶酥,ye'su
也先,ye'xian
业余哈萨克柯尔克孜剧团,ye'yu'ha'sa'ke'ke'er'ke'zi'ju'tuan
翼,yi
伊卜拉欣本阿赫马德,yi'bo'la'xin'ben'a'he'ma'de
依禅,yi'chan
依禅派,yi'chan'pai
挹怛国,yi'da'guo
亦都护,yi'du'hu
亦都护布哈里噶造寺碑,yi'du'hu'bu'ha'li'ga'zao'si'bei
亦都护高昌王世勋之碑,yi'du'hu'gao'chang'wang'shi'xun'zhi'bei
伊尔哈里阿不勒哈依尔,yi'er'ha'li'a'bu'le'ha'yi'er
伊尔哈齐伯克,yi'er'ha'qi'bo'ke
伊匐,yi'fu
益福的哈鲁丁,yi'fu'de'ha'lu'ding
依赫瓦尼,yi'he'wa'ni
亦黑迷失,yi'hei'mi'shi
依兰格格,yi'lan'ge'ge
伊里底蜜施骨咄禄毗伽可汗,yi'li'di'mi'shi'gu'duo'lu'pi'ga'ke'han
伊犁哈萨克自治州,yi'li'ha'sa'ke'zi'zhi'zhou
伊犁河上游昭苏土墩墓地人种,yi'li'he'shang'you'zhao'su'tu'dun'mu'di'ren'zhong
伊利克汗纳赛尔,yi'li'ke'han'na'sai'er
伊犁贸易圈,yi'li'mao'yi'quan
伊蠡王,yi'li'wang
伊犁新满营,yi'li'xin'man'ying
伊玛目,yi'ma'mu
伊玛尼,yi'ma'ni
伊米德史,yi'mi'de'shi
伊敏诺夫,yi'min'nuo'fu
伊难,yi'nan
夷男,yi'nan
移涅可汗,yi'nie'ke'han
伊宁回族大寺,yi'ning'hui'zu'da'si
乙毗咄陆可汗,yi'pi'duo'lu'ke'han
乙毗沙钵罗叶护可汗,yi'pi'sha'bo'luo'ye'hu'ke'han
乙毗射匮可汗,yi'pi'she'kui'ke'han
乙屈利失乙毗可汗,yi'qu'li'shi'yi'pi'ke'han
伊然可汗,yi'ran'ke'han
以儒诠经,yi'ru'quan'jing
伊萨克,yi'sa'ke
伊什罕伯克,yi'shen'han'bo'ke
乙失钵,yi'shi'bo
伊斯哈克伯克,yi'si'ha'ke'bo'ke
伊斯坎达尔,yi'si'kan'da'er
伊斯兰教,yi'si'lan'jiao
伊斯兰教历,yi'si'lan'jiao'li
伊斯麻,yi'si'ma
伊斯玛业勒汗,yi'si'ma'ye'le'han
亦思马因,yi'si'ma'yin
一抬派,yi'tai'pai
乙息记可汗,yi'xi'ji'ke'han
伊循都尉,yi'xun'du'wei
依扎布,yi'zha'bu
伊秩靡,yi'zhi'mi
伊质泥师都,yi'zhi'ni'shi'dou
伊稚斜单于,yi'zhi'xie'chan'yu
乙注车鼻可汗,yi'zhu'che'bi'ke'han
印花布,yin'hua'bu
鹰笛,ying'di
英吉沙小刀,ying'ji'sha'xiao'dao
英武威远可汗,ying'wu'wei'yuan'ke'han
英义可汗,ying'yi'ke'han
右部鲜卑叛晋,you'bu'xian'bei'pan'jin
右谷蠡王,you'gu'li'wang
尤勒巴尔斯汗,you'le'ba'er'si'han
尤鲁都斯县革命政权的建立,you'lu'dou'si'xian'ge'ming'zheng'quan'de'jian'li
游牧民族,you'mu'min'zu
尤努斯别克,you'nu'si'bie'ke
右贤王,you'xian'wang
油香,you'xiang
於除鞬,yu'chu'jian
鱼炖子,yu'dun'zi
玉古伦赤的斤,yu'gu'lun'chi'de'jin
盂兰盆节,yu'lan'pen'jie
玉满巴依,yu'man'ba'yi
玉努斯,yu'nu'si
玉山巴依,yu'shan'ba'yi
郁射设,yu'she'she
玉素布,yu'su'bu
玉素甫,yu'su'fu
玉素甫哈斯哈吉甫,yu'su'fu'ha'si'ha'ji'fu
玉素甫哈斯哈吉甫墓,yu'su'fu'ha'si'ha'ji'fu'mu
玉素甫卡迪尔汗,yu'su'fu'ka'di'er'han
玉素甫卡迪尔汗麻扎,yu'su'fu'ka'di'er'han'ma'zha
于阗,yu'tian
于阗塞语,yu'tian'sai'yu
语文改革会,yu'wen'gai'ge'hui
禹占林,yu'zhan'lin
宇宙树,yu'zhou'shu
玉兹,yu'zi
玉资伯克,yu'zi'bo'ke
元代回回食品,yuan'dai'hui'hui'shi'pin
元贵靡,yuan'gui'mi
元和郡县图志,yuan'he'jun'xian'tu'zhi
袁纥树者,yuan'he'shu'zhe
缘起性空,yuan'qi'xing'kong
原始民族,yuan'shi'min'zu
悦般,yue'ban
越居,yue'ju
岳璘帖穆尔,yue'lin'tie'mu'er
悦般乐,yue'pan'le
月钱,yue'qian
乐师传,yue'shi'chuan
岳瓦什,yue'wa'shen
月仙帖木儿,yue'xian'tie'mu'er
月氏,yue'zhi
岳钟琪,yue'zhong'qi
云雀,yun'que
在国际比赛中获奖的自治区各民族运动员,zai'guo'ji'bi'sai'zhong'huo'jiang'de'zi'zhi'qu'ge'min'zu'yun'dong'yuan
再乃甫吉力克巴叶娃,zai'nai'fu'ji'li'ke'ba'ye'wa
在全国民运会上夺冠的运动员,zai'quan'guo'min'yun'hui'shang'duo'guan'de'yun'dong'yuan
在全运会上夺冠的自治区各民族运动员,zai'quan'yun'hui'shang'duo'guan'de'zi'zhi'qu'ge'min'zu'yun'dong'yuan
宰桑,zai'sang
宰牲,zai'sheng
宰牲节,zai'sheng'jie
赞摩寺,zan'mo'si
赞手舞姿,zan'shou'wu'zi
咱雅班第达,zan'ya'ban'di'da
咱雅班第达传,zan'ya'ban'di'da'chuan
赞珠,zan'zhu
藏传佛教,zang'chuan'fo'jiao
赠箭交友,zeng'jian'jiao'you
札仓,zha'cang
札刺亦儿,zha'ci'yi'er
扎迪瓦勒,zha'di'wa'le
扎尔额爷,zha'er'e'ye
扎尔固齐,zha'er'gu'qi
扎哈沁,zha'ha'qin
扎昆固萨,zha'kun'gu'sa
扎马鲁丁,zha'ma'lu'ding
扎萨克,zha'sa'ke
翟斌,zhai'bin
斋戒,zhai'jie
翟梨里,zhai'li'li
张格尔,zhang'ge'er
章嘉呼图克图,zhang'jia'hu'tu'ke'tu
张骞,zhang'qian
彰信可汗,zhang'xin'ke'han
张治中,zhang'zhi'zhong
赵博,zhao'bo
昭怙厘寺,zhao'hu'li'si
昭礼可汗,zhao'li'ke'han
赵荣,zhao'rong
昭武九姓,zhao'wu'jiu'xing
哲布尊丹巴呼图克图,zhe'bu'zun'dan'ba'hu'tu'ke'tu
哲合林耶,zhe'he'lin'ye
哲库恩杜里,zhe'ku'en'du'li
者那则,zhe'na'ze
镇国王子,zhen'guo'wang'zi
镇海,zhen'hai
真理的入门,zhen'li'de'ru'men
真一,zhen'yi
真珠叶护可汗,zhen'zhu'ye'hu'ke'han
证婚礼,zheng'hun'li
郑吉,zheng'ji
正教真诠,zheng'jiao'zhen'quan
蒸气浴,zheng'qi'yu
征西纪略,zheng'xi'ji'lue
睁眼包子,zheng'yan'bao'zi
蒸鱼,zheng'yu
职贡图与哒国,zhi'gong'tu'yu'da'guo
智海,zhi'hai
智取梁乡庙,zhi'qu'liang'xiang'miao
至圣,zhi'sheng
郅支城,zhi'zhi'cheng
郅支单于,zhi'zhi'dan'yu
中俄会订塔城哈萨克归附条约,zhong'e'hui'ding'ta'cheng'ha'sa'ke'gui'fu'tiao'yue
中国东正教会,zhong'guo'dong'zheng'jiao'hui
中国工农红军西路军左支队,zhong'guo'gong'nong'hong'jun'xi'lu'jun'zuo'zhi'dui
中国穆斯林进行曲,zhong'guo'mu'si'lin'jin'xing'qu
中国土耳其斯坦之声,zhong'guo'tu'er'qi'si'tan'zhi'sheng
中行说,zhong'hang'shuo
种榅,zhong'wen
中玉兹,zhong'yu'zi
重云,zhong'yun
仲云,zhong'yun
忠贞可汗,zhong'zhen'ke'han
种族主义,zhong'zu'zhu'yi
竺法护,zhu'fa'hu
主麻,zhu'ma
朱士行,zhu'shi'xing
朱邪阿厥,zhu'xie'a'jue
朱邪赤心,zhu'xie'chi'xin
朱邪辅国,zhu'xie'fu'guo
朱邪骨咄支,zhu'xie'gu'duo'zhi
朱邪孤注,zhu'xie'gu'zhu
朱邪尽忠,zhu'xie'jin'zhong
朱邪执宜,zhu'xie'zhi'yi
抓饭,zhua'fan
