阿拉伯联盟经济理事会,a'la'bo'lian'meng'jing'ji'li'shi'hui
先行水泥浆,xian'xing'shui'ni'jiang
现行值,xian'xing'zhi
现有井,xian'you'jing
先知传感器,xian'zhi'chuan'gan'qi
线状晶体管,xian'zhuang'jing'ti'guan
线状阴极,xian'zhuang'yin'ji
相变,xiang'bian
镶边,xiang'bian
相变圈闭,xiang'bian'quan'bi
详表,xiang'biao
相层型,xiang'ceng'xing
相差异,xiang'cha'yi
香肠,xiang'chang
相称,xiang'chen
镶齿钻头,xiang'chi'zuan'tou
相重叠的,xiang'chong'die'de
想出,xiang'chu
相带,xiang'dai
相的,xiang'de
相等,xiang'deng
相等的,xiang'deng'de
相地层典型剖面,xiang'di'ceng'dian'xing'pou'mian
向电性,xiang'dian'xing
相对孔隙度,xiang'dui'kong'xi'du
相对燃耗,xiang'dui'ran'hao
相对误差,xiang'dui'wu'cha
相分析,xiang'fen'xi
相关系,xiang'guan'xi
相关系图,xiang'guan'xi'tu
相关项目效果,xiang'guan'xiang'mu'xiao'guo
香蕉,xiang'jiao
橡胶定子,xiang'jiao'ding'zi
相控制的,xiang'kong'zhi'de
相类型,xiang'lei'xing
向量元,xiang'liang'yuan
相模式,xiang'mo'shi
项目经理,xiang'mu'jing'li
橡皮擦,xiang'pi'ca
向前插值,xiang'qian'cha'zhi
镶嵌地块,xiang'qian'di'kuai
向前流动,xiang'qian'liu'dong
相三角图,xiang'san'jiao'tu
向上变细层序,xiang'shang'bian'xi'ceng'xu
详述,xiang'shu
相似,xiang'si
相似变换,xiang'si'bian'huan
相似的,xiang'si'de
相图,xiang'tu
相位指示器,xiang'wei'zhi'shi'qi
详细说明,xiang'xi'shuo'ming
想象力,xiang'xiang'li
想象力类推法,xiang'xiang'li'lei'tui'fa
相型,xiang'xing
相序,xiang'xu
相序列分析,xiang'xu'lie'fen'xi
相旋回,xiang'xuan'hui
相演变,xiang'yan'bian
相原理,xiang'yuan'li
象征,xiang'zheng
象征常量,xiang'zheng'chang'liang
相走向,xiang'zou'xiang
相组,xiang'zu
相组合,xiang'zu'he
小部分,xiao'bu'fen
消除,xiao'chu
消除器,xiao'chu'qi
消除信号,xiao'chu'xin'hao
消磁头,xiao'ci'tou
校定,xiao'ding
小端,xiao'duan
消防泵,xiao'fang'beng
消防车,xiao'fang'che
消防储水池,xiao'fang'chu'shui'chi
消防船,xiao'fang'chuan
小纺锤属,xiao'fang'chui'shu
消防的,xiao'fang'de
消防队,xiao'fang'dui
消防队员,xiao'fang'dui'yuan
消防费,xiao'fang'fei
消防斧,xiao'fang'fu
消防干管,xiao'fang'gan'guan
消防供水管线,xiao'fang'gong'shui'guan'xian
消防集水系统,xiao'fang'ji'shui'xi'tong
消防警报系统,xiao'fang'jing'bao'xi'tong
消防局,xiao'fang'ju
消防龙头,xiao'fang'long'tou
消防帽盔,xiao'fang'mao'kui
消防面具,xiao'fang'mian'ju
消防器材,xiao'fang'qi'cai
消防情报实地调查,xiao'fang'qing'bao'shi'di'diao'cha
消防人员,xiao'fang'ren'yuan
消防软管架,xiao'fang'ruan'guan'jia
消防砂,xiao'fang'sha
消防设备,xiao'fang'she'bei
消防栓,xiao'fang'shuan
消防水,xiao'fang'shui
消防水泵,xiao'fang'shui'beng
消防水池,xiao'fang'shui'chi
消防水罐,xiao'fang'shui'guan
消防水龙带,xiao'fang'shui'long'dai
消防水枪,xiao'fang'shui'qiang
消防水需要量,xiao'fang'shui'xu'yao'liang
消防梯,xiao'fang'ti
消防艇,xiao'fang'ting
消防桶,xiao'fang'tong
消防需水率,xiao'fang'xu'shui'lv
消防演习,xiao'fang'yan'xi
消防业,xiao'fang'ye
消防用水储罐,xiao'fang'yong'shui'chu'guan
消防用水量,xiao'fang'yong'shui'liang
消防员,xiao'fang'yuan
消防站,xiao'fang'zhan
消防作业,xiao'fang'zuo'ye
消费,xiao'fei
小沟,xiao'gou
消光,xiao'guang
消光现象,xiao'guang'xian'xiang
消光值,xiao'guang'zhi
效果,xiao'guo
消耗,xiao'hao
消耗的,xiao'hao'de
消耗式载体,xiao'hao'shi'zai'ti
消耗物,xiao'hao'wu
小环礁,xiao'huan'jiao
消毁式过油管射孔器,xiao'hui'shi'guo'you'guan'she'kong'qi
消毁式射孔器,xiao'hui'shi'she'kong'qi
小孔,xiao'kong
小孔隙,xiao'kong'xi
效力,xiao'li
效率,xiao'lv
效率比,xiao'lv'bi
效率合约,xiao'lv'he'yue
效率曲线,xiao'lv'qu'xian
效率图,xiao'lv'tu
效率因子,xiao'lv'yin'zi
效率值,xiao'lv'zhi
小面,xiao'mian
消灭,xiao'mie
消灭火炬,xiao'mie'huo'ju
消灭器,xiao'mie'qi
消灭者,xiao'mie'zhe
消泡剂,xiao'pao'ji
消去,xiao'qu
消去法,xiao'qu'fa
消散,xiao'san
小数部分,xiao'shu'bu'fen
小鼠洞,xiao'shu'dong
小数砝码,xiao'shu'fa'ma
小桶,xiao'tong
小线,xiao'xian
小心滑倒,xiao'xin'hua'dao
小型手泵,xiao'xing'shou'beng
消音器,xiao'yin'qi
效应器官,xiao'ying'qi'guan
消元法,xiao'yuan'fa
小指,xiao'zhi
小钻压井,xiao'zuan'ya'jing
楔出,xie'chu
携带机理,xie'dai'ji'li
携带速度,xie'dai'su'du
携带系数,xie'dai'xi'shu
卸扣,xie'kou
卸扣猫头,xie'kou'mao'tou
卸料点,xie'liao'dian
泄流阀,xie'liu'fa
泄流河,xie'liu'he
泄漏,xie'lou
斜向器,xie'xiang'qi
楔形接触区,xie'xing'jie'chu'qu
楔形物,xie'xing'wu
卸压,xie'ya
卸压管线,xie'ya'guan'xian
泻盐,xie'yan
卸载,xie'zai
新采石油,xin'cai'shi'you
新产品试制基金,xin'chan'pin'shi'zhi'ji'jin
信贷公司,xin'dai'gong'si
信贷合同,xin'dai'he'tong
信道的频率划分,xin'dao'de'pin'lv'hua'fen
新地时期,xin'di'shi'qi
心电图描记器,xin'dian'tu'miao'ji'qi
信号,xin'hao
信号计数器,xin'hao'ji'shu'qi
信号旗手,xin'hao'qi'shou
信号桥楼,xin'hao'qiao'lou
信号手枪,xin'hao'shou'qiang
辛苦地工作,xin'ku'de'gong'zuo
信任,xin'ren
新调制的,xin'tiao'zhi'de
锌铁尖晶石,xin'tie'jian'jing'shi
信息结束,xin'xi'jie'shu
信息结束符,xin'xi'jie'shu'fu
信线,xin'xian
新鲜催化剂,xin'xian'cui'hua'ji
新鲜度,xin'xian'du
新鲜进料,xin'xian'jin'liao
新鲜进料转化率,xin'xian'jin'liao'zhuan'hua'lv
新鲜空气,xin'xian'kong'qi
新鲜露头,xin'xian'lu'tou
新鲜岩心,xin'xian'yan'xin
新鲜岩样,xin'xian'yan'yang
新修复的钻头,xin'xiu'fu'de'zuan'tou
心脏,xin'zang
心轴,xin'zhou
新钻具或接头磨扣,xin'zuan'ju'huo'jie'tou'mo'kou
新钻头磨合,xin'zuan'tou'mo'he
星表误差,xing'biao'wu'cha
形成,xing'cheng
形成花边,xing'cheng'hua'bian
形成原纤维,xing'cheng'yuan'xian'wei
兴奋剂,xing'fen'ji
型接头,xing'jie'tou
星历表,xing'li'biao
形梁,xing'liang
型坯,xing'pi
星期二,xing'qi'er
星期六,xing'qi'liu
星期日,xing'qi'ri
星期三,xing'qi'san
星期四,xing'qi'si
星期五,xing'qi'wu
星期一,xing'qi'yi
形式,xing'shi
行使,xing'shi
形式参数,xing'shi'can'shu
形式地址,xing'shi'di'zhi
形式逻辑,xing'shi'luo'ji
形式语言,xing'shi'yu'yan
行使职权的人,xing'shi'zhi'quan'de'ren
形式主义,xing'shi'zhu'yi
形态糙度,xing'tai'cao'du
形态层组,xing'tai'ceng'zu
形态属,xing'tai'shu
形态种,xing'tai'zhong
行星齿轮,xing'xing'chi'lun
行星齿轮系,xing'xing'chi'lun'xi
行星齿轮装置,xing'xing'chi'lun'zhuang'zhi
行星际的,xing'xing'ji'de
行星减速齿轮,xing'xing'jian'su'chi'lun
型压力接头,xing'ya'li'jie'tou
幸运地,xing'yun'de
行政机关,xing'zheng'ji'guan
形状,xing'zhuang
形状相同的盆地,xing'zhuang'xiang'tong'de'pen'di
形状因子,xing'zhuang'yin'zi
修井,xiu'jing
修井工具,xiu'jing'gong'ju
修井液,xiu'jing'ye
锈膜,xiu'mo
修饰,xiu'shi
休闲裤,xiu'xian'ku
修正,xiu'zheng
修整工,xiu'zheng'gong
修正曲线,xiu'zheng'qu'xian
蓄电池,xu'dian'chi
续发地震,xu'fa'di'zhen
虚假因素,xu'jia'yin'su
虚镜象点,xu'jing'xiang'dian
虚距,xu'ju
虚力,xu'li
虚零,xu'ling
蓄能器,xu'neng'qi
虚拟水流,xu'ni'shui'liu
虚拟资本,xu'ni'zi'ben
虚拟资产,xu'ni'zi'chan
絮凝,xu'ning
絮凝沉降,xu'ning'chen'jiang
絮凝促进剂,xu'ning'cu'jin'ji
絮凝的,xu'ning'de
絮凝点,xu'ning'dian
絮凝剂,xu'ning'ji
絮凝控制,xu'ning'kong'zhi
絮凝力,xu'ning'li
絮凝器,xu'ning'qi
絮凝试验,xu'ning'shi'yan
絮凝体,xu'ning'ti
絮凝脱油法,xu'ning'tuo'you'fa
絮凝物,xu'ning'wu
絮凝效应,xu'ning'xiao'ying
絮凝性,xu'ning'xing
絮凝状,xu'ning'zhuang
絮片体,xu'pian'ti
需求弹性,xu'qiu'tan'xing
虚伪性,xu'wei'xing
虚象,xu'xiang
绪言,xu'yan
需要,xu'yao
虚圆点,xu'yuan'dian
絮状残渣,xu'zhuang'can'zha
絮状物,xu'zhuang'wu
旋风,xuan'feng
悬浮,xuan'fu
选举,xuan'ju
选录,xuan'lu
选频电路,xuan'pin'dian'lu
选频放大器,xuan'pin'fang'da'qi
选频器,xuan'pin'qi
选频网络,xuan'pin'wang'luo
旋启式止回阀,xuan'qi'shi'zhi'hui'fa
玄武岩蚀变红粘土,xuan'wu'yan'shi'bian'hong'nian'tu
悬崖,xuan'ya
选择,xuan'ze
选择性组构,xuan'ze'xing'zu'gou
旋转扩口机,xuan'zhuan'kuo'kou'ji
旋转钻井,xuan'zhuan'zuan'jing
削边刀,xue'bian'dao
学期考试,xue'qi'kao'shi
削弱,xue'ruo
削蚀作用,xue'shi'zuo'yong
靴子,xue'zi
循环泵,xun'huan'beng
循环充填,xun'huan'chong'tian
循环法砾石充填,xun'huan'fa'li'shi'chong'tian
循环罐,xun'huan'guan
循环借位,xun'huan'jie'wei
循环进位,xun'huan'jin'wei
循环进位移位,xun'huan'jin'wei'yi'wei
循环泥浆,xun'huan'ni'jiang
循环式砾石充填,xun'huan'shi'li'shi'chong'tian
循环移位,xun'huan'yi'wei
循环语句,xun'huan'yu'ju
汛期,xun'qi
迅速,xun'su
询问,xun'wen
询问符,xun'wen'fu
熏蒸消毒剂,xun'zheng'xiao'du'ji
压扁层理,ya'bian'ceng'li
压扁构造,ya'bian'gou'zao
轧边机,ya'bian'ji
压扁作用,ya'bian'zuo'yong
压差,ya'cha
牙齿,ya'chi
压倒的力量,ya'dao'de'li'liang
压花薄膜,ya'hua'bao'mo
压降曲线,ya'jiang'qu'xian
压降试井,ya'jiang'shi'jing
鸭脚板,ya'jiao'ban
压紧螺丝,ya'jin'luo'si
压井管线,ya'jing'guan'xian
压井液,ya'jing'ye
压力,ya'li
压力泵,ya'li'beng
压力表,ya'li'biao
压力波动,ya'li'bo'dong
压力过高,ya'li'guo'gao
压力降,ya'li'jiang
压力均衡,ya'li'jun'heng
压力平衡管,ya'li'ping'heng'guan
压力润滑,ya'li'run'hua
压力瞬时下降,ya'li'shun'shi'xia'jiang
压力梯度,ya'li'ti'du
压力通风,ya'li'tong'feng
压力通风系统,ya'li'tong'feng'xi'tong
压裂,ya'lie
压裂泵,ya'lie'beng
压裂参数,ya'lie'can'shu
压裂操作,ya'lie'cao'zuo
压裂层段,ya'lie'ceng'duan
压裂车,ya'lie'che
压裂处理,ya'lie'chu'li
压裂处理规模,ya'lie'chu'li'gui'mo
压裂辅助蒸汽驱工艺,ya'lie'fu'zhu'zheng'qi'qu'gong'yi
压裂工具,ya'lie'gong'ju
压裂工艺,ya'lie'gong'yi
压裂管柱,ya'lie'guan'zhu
压裂规模,ya'lie'gui'mo
压裂和酸化,ya'lie'he'suan'hua
压裂后反映,ya'lie'hou'fan'ying
压裂监测仪,ya'lie'jian'ce'yi
压裂监视仪,ya'lie'jian'shi'yi
压裂井,ya'lie'jing
压裂喷砂器,ya'lie'pen'sha'qi
压裂评价,ya'lie'ping'jia
压裂评价测井,ya'lie'ping'jia'ce'jing
压裂砂,ya'lie'sha
压裂设备,ya'lie'she'bei
压裂酸化,ya'lie'suan'hua
压裂梯度,ya'lie'ti'du
压裂液,ya'lie'ye
压裂液残渣,ya'lie'ye'can'zha
压裂液返排量,ya'lie'ye'fan'pai'liang
压裂液罐,ya'lie'ye'guan
压裂液滤失性,ya'lie'ye'lv'shi'xing
压裂液破胶时间,ya'lie'ye'po'jiao'shi'jian
压裂液添加剂,ya'lie'ye'tian'jia'ji
压裂液效率,ya'lie'ye'xiao'lv
压裂用的支撑粒,ya'lie'yong'de'zhi'cheng'li
压裂作业,ya'lie'zuo'ye
压裂作业监控车,ya'lie'zuo'ye'jian'kong'che
牙轮,ya'lun
牙轮打捞器,ya'lun'da'lao'qi
牙轮钻头,ya'lun'zuan'tou
压滤器,ya'lv'qi
亚麻,ya'ma
亚麻油树胶,ya'ma'you'shu'jiao
压配合,ya'pei'he
牙签,ya'qian
牙嵌离合器,ya'qian'li'he'qi
压上去,ya'shang'qu
压实地层,ya'shi'di'ceng
压缩空气,ya'suo'kong'qi
压缩力,ya'suo'li
压缩破坏,ya'suo'po'huai
压缩强度,ya'suo'qiang'du
亚铁磁性材料,ya'tie'ci'xing'cai'liao
亚铁的,ya'tie'de
亚铁量法,ya'tie'liang'fa
亚旋回,ya'xuan'hui
亚乙基胺,ya'yi'ji'an
压铸的,ya'zhu'de
押租,ya'zu
沿岸堤,yan'an'di
沿岸沼泽,yan'an'zhao'ze
岩层断裂,yan'ceng'duan'lie
岩层孔道面,yan'ceng'kong'dao'mian
岩层渗透性,yan'ceng'shen'tou'xing
岩层压缩率,yan'ceng'ya'suo'lv
延长,yan'chang
延长储层测试,yan'chang'chu'ceng'ce'shi
延长范围,yan'chang'fan'wei
延迟,yan'chi
烟橱,yan'chu
烟囱挡板,yan'cong'dang'ban
烟道,yan'dao
烟道板,yan'dao'ban
烟道气,yan'dao'qi
烟道气热损失,yan'dao'qi're'sun'shi
烟道气脱硫过程,yan'dao'qi'tuo'liu'guo'cheng
验电器,yan'dian'qi
验电术,yan'dian'shu
沿断层线聚集,yan'duan'ceng'xian'ju'ji
延发电雷管,yan'fa'dian'lei'guan
眼杆,yan'gan
严格,yan'ge
眼光,yan'guang
沿海沙丘,yan'hai'sha'qiu
雁行断层,yan'hang'duan'ceng
雁行断错,yan'hang'duan'cuo
雁行构造,yan'hang'gou'zao
雁行构造型式,yan'hang'gou'zao'xing'shi
雁行裂缝,yan'hang'lie'feng
雁行裂隙,yan'hang'lie'xi
雁行排列,yan'hang'pai'lie
雁行式裂缝,yan'hang'shi'lie'feng
雁行透镜体,yan'hang'tou'jing'ti
雁行褶皱,yan'hang'zhe'zhou
雁行褶皱作用,yan'hang'zhe'zhou'zuo'yong
烟化,yan'hua
演化带,yan'hua'dai
演化单位,yan'hua'dan'wei
演化过程,yan'hua'guo'cheng
演化模式,yan'hua'mo'shi
演化趋向,yan'hua'qu'xiang
演化序列,yan'hua'xu'lie
烟灰,yan'hui
烟火具,yan'huo'ju
眼界,yan'jie
眼睛,yan'jing
眼镜,yan'jing
盐垒,yan'lei
眼脸,yan'lian
雁列线,yan'lie'xian
沿面流速,yan'mian'liu'su
研磨端面,yan'mo'duan'mian
研磨性地层,yan'mo'xing'di'ceng
眼皮,yan'pi
延期,yan'qi
烟气分析仪,yan'qi'fen'xi'yi
延期和续定条款,yan'qi'he'xu'ding'tiao'kuan
烟气透平,yan'qi'tou'ping
烟气循环,yan'qi'xun'huan
烟气余热回收,yan'qi'yu're'hui'shou
沿切线方向飞出,yan'qie'xian'fang'xiang'fei'chu
盐穹,yan'qiong
眼球,yan'qiu
眼球状构造,yan'qiu'zhuang'gou'zao
眼球状煤,yan'qiu'zhuang'mei
眼圈,yan'quan
焰色白云岩,yan'se'bai'yun'yan
焰色反应,yan'se'fan'ying
焰色泥灰岩,yan'se'ni'hui'yan
焰色试验,yan'se'shi'yan
衍射测微计,yan'she'ce'wei'ji
延伸,yan'shen
延伸度,yan'shen'du
延伸断裂,yan'shen'duan'lie
延伸范围,yan'shen'fan'wei
延伸管,yan'shen'guan
延伸接头,yan'shen'jie'tou
延伸井,yan'shen'jing
延伸流变学,yan'shen'liu'bian'xue
延伸型的,yan'shen'xing'de
延伸钻井,yan'shen'zuan'jing
延伸钻井程序,yan'shen'zuan'jing'cheng'xu
岩石可钻性,yan'shi'ke'zuan'xing
岩石硬度,yan'shi'ying'du
验收,yan'shou
盐霜,yan'shuang
淹塔,yan'ta
烟雾发生器,yan'wu'fa'sheng'qi
盐雾室腐蚀试验,yan'wu'shi'fu'shi'shi'yan
演习,yan'xi
岩相混合程度,yan'xiang'hun'he'cheng'du
岩相圈闭,yan'xiang'quan'bi
岩相识别,yan'xiang'shi'bie
岩相数据库,yan'xiang'shu'ju'ku
岩相学,yan'xiang'xue
岩屑,yan'xie
岩心,yan'xin
岩心穿透深度,yan'xin'chuan'tou'shen'du
岩心夹持筒,yan'xin'jia'chi'tong
岩心受冲刷,yan'xin'shou'chong'shua
岩心爪,yan'xin'zhao
岩性,yan'xing
雁形节理,yan'xing'jie'li
雁形褶皱,yan'xing'zhe'zhou
延续层序,yan'xu'ceng'xu
岩样,yan'yang
验油比重计,yan'you'bi'zhong'ji
烟羽,yan'yu
岩藻糖石,yan'zao'tang'shi
岩藻甾醇,yan'zao'zai'chun
严重错误码,yan'zhong'cuo'wu'ma
严重飞溅,yan'zhong'fei'jian
眼状油气田,yan'zhuang'you'qi'tian
沿走向,yan'zou'xiang
演奏者,yan'zou'zhe
岩组,yan'zu
样板,yang'ban
羊齿,yang'chi
羊齿烷,yang'chi'wan
洋底,yang'di
洋底沉积,yang'di'chen'ji
洋底岩相,yang'di'yan'xiang
阳电性的,yang'dian'xing'de
阳根,yang'gen
氧化膜,yang'hua'mo
氧化铁,yang'hua'tie
氧化亚铁,yang'hua'ya'tie
阳极,yang'ji
阳极电流的直流分量,yang'ji'dian'liu'de'zhi'liu'fen'liang
仰角,yang'jiao
仰角方位,yang'jiao'fang'wei
仰角引导单元,yang'jiao'yin'dao'dan'yuan
阳离子,yang'li'zi
羊毛,yang'mao
羊毛状物,yang'mao'zhuang'wu
阳模板,yang'mu'ban
样品筒,yang'pin'tong
氧气,yang'qi
氧熔剂切割,yang'rong'ji'qie'ge
羊肉,yang'rou
氧乙烯,yang'yi'xi
氧乙烯取代度,yang'yi'xi'qu'dai'du
药方,yao'fang
摇杆机构,yao'gan'ji'gou
遥控器,yao'kong'qi
液滴,ye'di
液动阀,ye'dong'fa
液动试压泵,ye'dong'shi'ya'beng
液封,ye'feng
液封泵,ye'feng'beng
液罐,ye'guan
叶红素,ye'hong'su
液化,ye'hua
液化区,ye'hua'qu
液化石油气,ye'hua'shi'you'qi
叶迹,ye'ji
液控学会,ye'kong'xue'hui
叶理,ye'li
液力传动,ye'li'chuan'dong
叶理构造,ye'li'gou'zao
液力霰弹系统,ye'li'xian'dan'xi'tong
液流冲蚀破坏,ye'liu'chong'shi'po'huai
液流孔眼,ye'liu'kong'yan
液流旁通,ye'liu'pang'tong
液流速度,ye'liu'su'du
液流填充砾石衬管,ye'liu'tian'chong'li'shi'chen'guan
液流通道,ye'liu'tong'dao
液流通量,ye'liu'tong'liang
液流压力,ye'liu'ya'li
液流噪声,ye'liu'zao'sheng
液流转向,ye'liu'zhuan'xiang
叶轮,ye'lun
液面,ye'mian
液面高度波动,ye'mian'gao'du'bo'dong
液面回声探测仪,ye'mian'hui'sheng'tan'ce'yi
液面撞击,ye'mian'zhuang'ji
液敏页岩,ye'min'ye'yan
液膜,ye'mo
液膜蒸馏器,ye'mo'zheng'liu'qi
页片剥离山,ye'pian'bo'li'shan
叶片状,ye'pian'zhuang
叶片状的,ye'pian'zhuang'de
叶片状构造,ye'pian'zhuang'gou'zao
叶素,ye'su
叶酸,ye'suan
液态物质,ye'tai'wu'zhi
液体,ye'ti
液体处理设施,ye'ti'chu'li'she'shi
液体沥青,ye'ti'li'qing
液体砾石比率,ye'ti'li'shi'bi'lv
液体砾石混合物,ye'ti'li'shi'hun'he'wu
液体流入,ye'ti'liu'ru
液体罗盘,ye'ti'luo'pan
液体潜流,ye'ti'qian'liu
液体压头损失,ye'ti'ya'tou'sun'shi
液体质量控制,ye'ti'zhi'liang'kong'zhi
野外编辑磁带,ye'wai'bian'ji'ci'dai
野外标绘,ye'wai'biao'hui
野外采集,ye'wai'cai'ji
野外采样,ye'wai'cai'yang
野外参数,ye'wai'can'shu
野外草图,ye'wai'cao'tu
野外操作,ye'wai'cao'zuo
野外操作手册,ye'wai'cao'zuo'shou'ce
野外测量,ye'wai'ce'liang
野外插件,ye'wai'cha'jian
野外磁带,ye'wai'ci'dai
野外磁带格式,ye'wai'ci'dai'ge'shi
野外的,ye'wai'de
野外地震记录,ye'wai'di'zhen'ji'lu
野外地震学家,ye'wai'di'zhen'xue'jia
野外地质学,ye'wai'di'zhi'xue
野外调查,ye'wai'diao'cha
野外队,ye'wai'dui
野外队队部,ye'wai'dui'dui'bu
野外队队长,ye'wai'dui'dui'zhang
野外方法,ye'wai'fang'fa
野外方法设计,ye'wai'fang'fa'she'ji
野外分析箱,ye'wai'fen'xi'xiang
野外格式,ye'wai'ge'shi
野外勾画等高线,ye'wai'gou'hua'deng'gao'xian
野外观测系统,ye'wai'guan'ce'xi'tong
野外观测装置,ye'wai'guan'ce'zhuang'zhi
野外环境,ye'wai'huan'jing
野外记录,ye'wai'ji'lu
野外记录本,ye'wai'ji'lu'ben
野外记录滤波器,ye'wai'ji'lu'lv'bo'qi
野外记录特性,ye'wai'ji'lu'te'xing
野外计时,ye'wai'ji'shi
野外计算机系统,ye'wai'ji'suan'ji'xi'tong
野外极性转换,ye'wai'ji'xing'zhuan'huan
野外检波器,ye'wai'jian'bo'qi
野外检查,ye'wai'jian'cha
野外静校正,ye'wai'jing'jiao'zheng
野外经验,ye'wai'jing'yan
野外勘探系统,ye'wai'kan'tan'xi'tong
野外排列,ye'wai'pai'lie
野外评价,ye'wai'ping'jia
野外实验室,ye'wai'shi'yan'shi
野外适用性,ye'wai'shi'yong'xing
野外数据,ye'wai'shu'ju
野外台,ye'wai'tai
野外填图,ye'wai'tian'tu
野外条件,ye'wai'tiao'jian
野外相关器,ye'wai'xiang'guan'qi
野外研究实验室,ye'wai'yan'jiu'shi'yan'shi
野外样品,ye'wai'yang'pin
野外仪器,ye'wai'yi'qi
野外用双筒望远镜,ye'wai'yong'shuang'tong'wang'yuan'jing
野外预处理系统,ye'wai'yu'chu'li'xi'tong
野外原图,ye'wai'yuan'tu
野外振摆仪,ye'wai'zhen'bai'yi
野外质量控制,ye'wai'zhi'liang'kong'zhi
野外指南,ye'wai'zhi'nan
野外装置,ye'wai'zhuang'zhi
野外作业,ye'wai'zuo'ye
野外作业图板,ye'wai'zuo'ye'tu'ban
液位指示器,ye'wei'zhi'shi'qi
液析,ye'xi
液下爆炸,ye'xia'bao'zha
液相,ye'xiang
叶形线,ye'xing'xian
液压传感系统,ye'ya'chuan'gan'xi'tong
液压大钳,ye'ya'da'qian
液压绞车,ye'ya'jiao'che
液压离合器,ye'ya'li'he'qi
液压猫头,ye'ya'mao'tou
液压旋转头,ye'ya'xuan'zhuan'tou
液压油,ye'ya'you
液压油箱,ye'ya'you'xiang
页岩,ye'yan
液柱,ye'zhu
液柱压力,ye'zhu'ya'li
叶状剥落,ye'zhuang'bo'luo
页状剥落节理,ye'zhuang'bo'luo'jie'li
页状剥落丘,ye'zhuang'bo'luo'qiu
液状沉积流,ye'zhuang'chen'ji'liu
叶状体,ye'zhuang'ti
乙胺,yi'an
一百,yi'bai
一百万,yi'bai'wan
易爆气,yi'bao'qi
易爆气体环境,yi'bao'qi'ti'huan'jing
易爆性,yi'bao'xing
乙苯,yi'ben
乙苯脱氢,yi'ben'tuo'qing
仪表盘,yi'biao'pan
乙丙共聚物,yi'bing'gong'ju'wu
乙丙三元共聚物,yi'bing'san'yuan'gong'ju'wu
易剥裂页岩,yi'bo'lie'ye'yan
翼部生产井,yi'bu'sheng'chan'jing
翼部注水,yi'bu'zhu'shui
异操作,yi'cao'zuo
异常波,yi'chang'bo
异常调度程序,yi'chang'diao'du'cheng'xu
异常检查,yi'chang'jian'cha
异常快钻进,yi'chang'kuai'zuan'jin
异常条件,yi'chang'tiao'jian
异常向量,yi'chang'xiang'liang
异常允许,yi'chang'yun'xu
异常状态,yi'chang'zhuang'tai
乙撑,yi'cheng
乙撑丙二烯单体,yi'cheng'bing'er'xi'dan'ti
乙撑脲树脂,yi'cheng'niao'shu'zhi
溢出,yi'chu
逸出的气体,yi'chu'de'qi'ti
逸出气体,yi'chu'qi'ti
乙醇,yi'chun
乙醇胺,yi'chun'an
乙醇分解,yi'chun'fen'jie
乙醇脲,yi'chun'niao
乙醇酸乙酯,yi'chun'suan'yi'zhi
乙醇脱水,yi'chun'tuo'shui
一次变分,yi'ci'bian'fen
一次变分方程,yi'ci'bian'fen'fang'cheng
一次方,yi'ci'fang
一次分离,yi'ci'fen'li
一次接触混相压力,yi'ci'jie'chu'hun'xiang'ya'li
一次近似,yi'ci'jin'si
一次鸣震,yi'ci'ming'zhen
一次弯曲,yi'ci'wan'qu
一次性桥塞,yi'ci'xing'qiao'sai
一等大地网,yi'deng'da'di'wang
一等水准,yi'deng'shui'zhun
易点燃性,yi'dian'ran'xing
易读的,yi'du'de
逸度系数,yi'du'xi'shu
乙二胺,yi'er'an
乙二胺四醋酸,yi'er'an'si'cu'suan
乙二胺四乙酸,yi'er'an'si'yi'suan
乙二胺四乙酸滴定法,yi'er'an'si'yi'suan'di'ding'fa
乙二胺四乙酸试剂,yi'er'an'si'yi'suan'shi'ji
乙二胺四乙酸盐,yi'er'an'si'yi'suan'yan
乙二醇,yi'er'chun
乙二醇单乙醚,yi'er'chun'dan'yi'mi
乙二醇单乙醚乙酸酯,yi'er'chun'dan'yi'mi'yi'suan'zhi
乙二醇一丁醚,yi'er'chun'yi'ding'mi
乙二醇乙醚,yi'er'chun'yi'mi
乙二酸,yi'er'suan
翼阀,yi'fa
一个地区最下部的可能产油砂层,yi'ge'di'qu'zui'xia'bu'de'ke'neng'chan'you'sha'ceng
一个事件,yi'ge'shi'jian
一根钻杆,yi'gen'zuan'gan
异或逻辑,yi'huo'luo'ji
乙基,yi'ji
乙基苯,yi'ji'ben
乙基吡啶,yi'ji'bi'ding
一级反应,yi'ji'fan'ying
一级反应动力学,yi'ji'fan'ying'dong'li'xue
乙基硅油,yi'ji'gui'you
乙基化,yi'ji'hua
乙基化剂,yi'ji'hua'ji
遗迹化石,yi'ji'hua'shi
乙基化作用,yi'ji'hua'zuo'yong
乙基环己烷,yi'ji'huan'ji'wan
乙基环戊烷,yi'ji'huan'wu'wan
乙基己烷,yi'ji'ji'wan
一级精度配合,yi'ji'jing'du'pei'he
乙基硫酸,yi'ji'liu'suan
一级膜转换,yi'ji'mo'zhuan'huan
乙基萘,yi'ji'nai
乙基萘胺,yi'ji'nai'an
一级三角测量,yi'ji'san'jiao'ce'liang
一级生化需氧量,yi'ji'sheng'hua'xu'yang'liang
乙基叔丁基醚,yi'ji'shu'ding'ji'mi
