阿鼻,a'bi
三世无障碍智戒,san'shi'wu'zhang'ai'zhi'jie
三时业,san'shi'ye
三世诸佛,san'shi'zhu'fo
三受,san'shou
三檀,san'tan
三通力,san'tong'li
三土,san'tu
三涂,san'tu
三味,san'wei
三五,san'wu
三武,san'wu
三无差别,san'wu'cha'bie
三无漏根,san'wu'lou'gen
三无漏学,san'wu'lou'xue
三无为,san'wu'wei
三无性,san'wu'xing
三贤,san'xian
三贤四善根,san'xian'si'shan'gen
三想,san'xiang
三相,san'xiang
三相续,san'xiang'xu
三心,san'xin
散心,san'xin
三性,san'xing
三修,san'xiu
三学,san'xue
三衍,san'yan
三业,san'ye
散业,san'ye
三业供养,san'ye'gong'yang
三耶三佛,san'ye'san'fo
三耶三菩,san'ye'san'pu
三业相应,san'ye'xiang'ying
三疑,san'yi
三衣,san'yi
三一二乘,san'yi'er'cheng
三印,san'yin
三因,san'yin
三因佛性,san'yin'fo'xing
三因三果,san'yin'san'guo
三有,san'you
三余,san'yu
三语,san'yu
三缘,san'yuan
三灾,san'zai
三藏,san'zang
三藏法师,san'zang'fa'shi
三藏教,san'zang'jiao
三藏十二部,san'zang'shi'er'bu
三障,san'zhang
三照,san'zhao
三支,san'zhi
三智,san'zhi
三治,san'zhi
三支比量,san'zhi'bi'liang
三种爱,san'zhong'ai
三种布施,san'zhong'bu'shi
三种禅,san'zhong'chan
三种阐提,san'zhong'chan'ti
三种常,san'zhong'chang
三种成佛,san'zhong'cheng'fo
三种慈悲,san'zhong'ci'bei
三种大智,san'zhong'da'zhi
三种法相,san'zhong'fa'xiang
三种供养,san'zhong'gong'yang
三种悔法,san'zhong'hui'fa
三种回向,san'zhong'hui'xiang
三种见惑,san'zhong'jian'huo
三种精进,san'zhong'jing'jin
三种律仪,san'zhong'lv'yi
三种念佛,san'zhong'nian'fo
三种菩提,san'zhong'pu'ti
三种清净,san'zhong'qing'jing
三种忍行,san'zhong'ren'xing
三种三观,san'zhong'san'guan
三种身苦,san'zhong'shen'ku
三种世间,san'zhong'shi'jian
三种思惑,san'zhong'si'huo
三种相,san'zhong'xiang
三种有,san'zhong'you
三种圆融,san'zhong'yuan'rong
三转法轮,san'zhuan'fa'lun
三庄严,san'zhuang'yan
三资粮,san'zi'liang
三自性,san'zi'xing
三尊,san'zun
色,se
色尘,se'chen
色处,se'chu
色谛,se'di
色法,se'fa
色即是空,se'ji'shi'kong
色界,se'jie
色界十八天,se'jie'shi'ba'tian
色境,se'jing
色具,se'ju
色入,se'ru
色身,se'shen
色无边处定,se'wu'bian'chu'ding
色相,se'xiang
色心,se'xin
色有,se'you
色蕴,se'yun
僧宝,seng'bao
僧宝果,seng'bao'guo
僧残,seng'can
僧璨,seng'can
僧伽,seng'ga
僧伽蓝,seng'ga'lan
僧伽蓝摩,seng'ga'lan'mo
僧伽梨,seng'ga'li
僧戒,seng'jie
僧侣,seng'lv
僧祇,seng'qi
僧祇部,seng'qi'bu
僧祇律,seng'qi'lv
僧祇物,seng'qi'wu
僧物,seng'wu
刹帝利,sha'di'li
沙劫,sha'jie
沙界,sha'jie
沙门,sha'men
沙弥,sha'mi
沙弥尼,sha'mi'ni
杀生,sha'sheng
杀生戒,sha'sheng'jie
杀业,sha'ye
善恶,shan'e
善恶无记三性,shan'e'wu'ji'san'xing
善法,shan'fa
善根,shan'gen
善果,shan'guo
善慧地,shan'hui'di
善见城,shan'jian'cheng
善劫,shan'jie
善力,shan'li
善男子,shan'nan'zi
善女人,shan'nv'ren
善巧,shan'qiao
善神,shan'shen
善逝,shan'shi
善士女,shan'shi'nv
善施长者,shan'shi'zhang'zhe
善逝子,shan'shi'zi
善宿男,shan'su'nan
善宿女,shan'su'nv
善现,shan'xian
善现天,shan'xian'tian
善心,shan'xin
善心所,shan'xin'suo
善业,shan'ye
善因,shan'yin
善月,shan'yue
善知识,shan'zhi'shi
上乘,shang'cheng
上二界,shang'er'jie
上方,shang'fang
上根,shang'gen
上界,shang'jie
上界天,shang'jie'tian
上慢,shang'man
上求下化,shang'qiu'xia'hua
上人,shang'ren
上座,shang'zuo
少光天,shao'guang'tian
少净天,shao'jing'tian
少林寺,shao'lin'si
烧香,shao'xiang
烧指,shao'zhi
阇多伽,she'duo'jia
舌根,she'gen
摄化利生,she'hua'li'sheng
摄化随缘,she'hua'sui'yuan
舍戒,she'jie
舍觉支,she'jue'zhi
舍利,she'li
阇梨,she'li
舍利弗,she'li'fu
舍利塔,she'li'ta
舍利子,she'li'zi
摄律仪戒,she'lv'yi'jie
奢摩他,she'mo'ta
摄摩腾,she'mo'teng
舍那大戒,she'na'da'jie
摄善法戒,she'shan'fa'jie
舌舌,she'she
舌识,she'shi
摄受,she'shou
舍受,she'shou
阇陀伽,she'tuo'jia
舍卫,she'wei
舍卫国,she'wei'guo
舍无量心,she'wu'liang'xin
舌相,she'xiang
摄心,she'xin
舍心,she'xin
摄众生戒,she'zhong'sheng'jie
身安乐行,shen'an'le'xing
深禅定,shen'chan'ding
神道,shen'dao
身灯,shen'deng
身恶作,shen'e'zuo
深法,shen'fa
深法忍,shen'fa'ren
身根,shen'gen
身光,shen'guang
身见,shen'jian
身戒,shen'jie
深经,shen'jing
神境通,shen'jing'tong
神境智证通,shen'jing'zhi'zheng'tong
身苦,shen'ku
神力,shen'li
身轮,shen'lun
身密,shen'mi
深妙,shen'miao
身器十二,shen'qi'shi'er
身清净,shen'qing'jing
身忍行,shen'ren'xing
身入,shen'ru
身如意通,shen'ru'yi'tong
神识,shen'shi
身识,shen'shi
身受,shen'shou
神通,shen'tong
神通乘,shen'tong'cheng
神通如意,shen'tong'ru'yi
身土,shen'tu
身相,shen'xiang
身笑,shen'xiao
深心,shen'xin
身心,shen'xin
身心受业,shen'xin'shou'ye
深行,shen'xing
深行阿阇梨,shen'xing'a'she'li
神秀,shen'xiu
身业,shen'ye
身语心轮,shen'yu'xin'lun
神咒,shen'zhou
身子,shen'zi
深总持,shen'zong'chi
神足,shen'zu
神足通,shen'zu'tong
生报,sheng'bao
圣财,sheng'cai
胜乘,sheng'cheng
声处,sheng'chu
胜处,sheng'chu
圣谛,sheng'di
圣典,sheng'dian
生法二空观,sheng'fa'er'kong'guan
生法二身,sheng'fa'er'shen
生佛,sheng'fo
生佛一如,sheng'fo'yi'ru
圣果,sheng'guo
胜果,sheng'guo
生化二身,sheng'hua'er'shen
生即无生,sheng'ji'wu'sheng
圣教,sheng'jiao
圣教量,sheng'jiao'liang
生空,sheng'kong
生空三昧,sheng'kong'san'mei
生空智,sheng'kong'zhi
声量,sheng'liang
生灭,sheng'mie
生灭去来,sheng'mie'qu'lai
生灭去来一异断常,sheng'mie'qu'lai'yi'yi'duan'chang
声明,sheng'ming
圣人,sheng'ren
声入,sheng'ru
圣僧,sheng'seng
生身,sheng'shen
生身供,sheng'shen'gong
生死,sheng'si
生死岸,sheng'si'an
生死长夜,sheng'si'chang'ye
生死缚,sheng'si'fu
生死海,sheng'si'hai
生死即涅槃,sheng'si'ji'nie'pan
生死流,sheng'si'liu
生死轮,sheng'si'lun
生死肉身菩萨,sheng'si'rou'shen'pu'sa
生酥,sheng'su
生酥经,sheng'su'jing
圣胎,sheng'tai
声闻,sheng'wen
声闻藏,sheng'wen'cang
声闻乘,sheng'wen'cheng
声闻菩提,sheng'wen'pu'ti
声闻僧,sheng'wen'seng
声闻畏苦障,sheng'wen'wei'ku'zhang
声闻缘觉,sheng'wen'yuan'jue
生相,sheng'xiang
圣行,sheng'xing
胜行,sheng'xing
圣言,sheng'yan
胜业,sheng'ye
胜义,sheng'yi
胜义谛,sheng'yi'di
胜义法,sheng'yi'fa
胜义空,sheng'yi'kong
胜义僧,sheng'yi'seng
圣印,sheng'yin
生因,sheng'yin
胜因,sheng'yin
声音念诵,sheng'yin'nian'song
圣应,sheng'ying
声杖,sheng'zhang
圣众,sheng'zhong
世,shi
十八变,shi'ba'bian
十八不共法,shi'ba'bu'gong'fa
十八层地狱,shi'ba'ceng'di'yu
十八界,shi'ba'jie
十八空,shi'ba'kong
十八罗汉,shi'ba'luo'han
十八生处,shi'ba'sheng'chu
十八天,shi'ba'tian
十八物,shi'ba'wu
十八应真,shi'ba'ying'zhen
实报寂光,shi'bao'ji'guang
实报土,shi'bao'tu
识变,shi'bian
十遍处定,shi'bian'chu'ding
十波罗密,shi'bo'luo'mi
十波罗密菩萨,shi'bo'luo'mi'pu'sa
十波罗夷,shi'bo'luo'yi
十不二门,shi'bu'er'men
十不善业,shi'bu'shan'ye
识藏,shi'cang
式叉,shi'cha
式叉摩那尼,shi'cha'mo'na'ni
式叉尼,shi'cha'ni
十缠,shi'chan
尸城,shi'cheng
十乘观,shi'cheng'guan
实乘菩萨,shi'cheng'pu'sa
十重戒,shi'chong'jie
十重无明,shi'chong'wu'ming
十重障,shi'chong'zhang
是处非处力,shi'chu'fei'chu'li
世出世间,shi'chu'shi'jian
十大弟子,shi'da'di'zi
十德,shi'de
世谛,shi'di
十地,shi'di
十谛,shi'di
释帝,shi'di
十地心,shi'di'xin
释典,shi'dian
事度,shi'du
十度,shi'du
十度三行,shi'du'san'hang
十恶,shi'e
十恩,shi'en
十二部经,shi'er'bu'jing
十二处,shi'er'chu
十二地,shi'er'di
十二法入,shi'er'fa'ru
十二分教,shi'er'fen'jiao
十二光佛,shi'er'guang'fo
十二门禅,shi'er'men'chan
十二入,shi'er'ru
十二头陀,shi'er'tou'tuo
十二无为,shi'er'wu'wei
十二行法轮,shi'er'xing'fa'lun
十二行相,shi'er'xing'xiang
十二因缘,shi'er'yin'yuan
十二有支,shi'er'you'zhi
十二缘门,shi'er'yuan'men
十二缘起,shi'er'yuan'qi
十二愿王,shi'er'yuan'wang
十二真如,shi'er'zhen'ru
十二支,shi'er'zhi
十二重城,shi'er'zhong'cheng
世法,shi'fa
十法界,shi'fa'jie
十发趣心,shi'fa'qu'xin
十法行,shi'fa'xing
释梵,shi'fan
释梵护法,shi'fan'hu'fa
十烦恼,shi'fan'nao
十方,shi'fang
十方净土,shi'fang'jing'tu
十方刹,shi'fang'sha
十方业普现色身,shi'fang'ye'pu'xian'se'shen
十甘露王,shi'gan'lu'wang
十根本烦恼,shi'gen'ben'fan'nao
师姑,shi'gu
事观,shi'guan
识海,shi'hai
十行,shi'hang
十号,shi'hao
实化二身,shi'hua'er'shen
十回向,shi'hui'xiang
十惑,shi'huo
实际,shi'ji
示寂,shi'ji
实际理地,shi'ji'li'di
释迦,shi'jia
释迦牟尼,shi'jia'mou'ni
世间,shi'jian
十见,shi'jian
世间禅,shi'jian'chan
世间法,shi'jian'fa
世间解,shi'jian'jie
世间相常住,shi'jian'xiang'chang'zhu
实教,shi'jiao
世界,shi'jie
十戒,shi'jie
十界,shi'jie
识界,shi'jie
十界互具,shi'jie'hu'ju
十界权实,shi'jie'quan'shi
十界唯心,shi'jie'wei'xin
十界一念,shi'jie'yi'nian
十界一心平等大念,shi'jie'yi'xin'ping'deng'da'nian
十金刚心,shi'jin'gang'xin
十金刚心向果,shi'jin'gang'xin'xiang'guo
实经,shi'jing
始觉,shi'jue
实空,shi'kong
十苦,shi'ku
事理,shi'li
十利,shi'li
十力,shi'li
事理二忏,shi'li'er'chan
十力明,shi'li'ming
事理三千,shi'li'san'qian
事理无碍法界,shi'li'wu'ai'fa'jie
十莲华藏世界,shi'lian'hua'zang'shi'jie
十六观,shi'liu'guan
十六观门,shi'liu'guan'men
十六罗汉,shi'liu'luo'han
十六神我,shi'liu'shen'wo
十六特胜,shi'liu'te'sheng
十六心,shi'liu'xin
十六心行,shi'liu'xin'xing
十六行,shi'liu'xing
十六行相,shi'liu'xing'xiang
十六游增地狱,shi'liu'you'zeng'di'yu
十六知见,shi'liu'zhi'jian
十轮,shi'lun
尸罗,shi'luo
尸罗波罗密,shi'luo'bo'luo'mi
尸罗不清净,shi'luo'bu'qing'jing
十魔,shi'mo
十念,shi'nian
十念处,shi'nian'chu
十念往生,shi'nian'wang'sheng
十普门,shi'pu'men
十七地,shi'qi'di
尸弃佛,shi'qi'fo
世亲,shi'qin
事忍,shi'ren
十忍,shi'ren
十如,shi'ru
十如来地,shi'ru'lai'di
十如是,shi'ru'shi
十善,shi'shan
十善戒,shi'shan'jie
十善菩萨,shi'shan'pu'sa
十善巧,shi'shan'qiao
十善十恶,shi'shan'shi'e
十善业道,shi'shan'ye'dao
十身,shi'shen
识身,shi'shen
十圣,shi'sheng
湿生,shi'sheng
湿生化生,shi'sheng'hua'sheng
十胜行,shi'sheng'xing
十使,shi'shi
十师,shi'shi
始士,shi'shi
施食,shi'shi
识食,shi'shi
食时,shi'shi
施食会,shi'shi'hui
释师子,shi'shi'zi
食四分,shi'si'fen
十四根,shi'si'gen
势速,shi'su
世俗谛,shi'su'di
释提桓因,shi'ti'huan'yin
十万亿佛土,shi'wan'yi'fo'tu
十王,shi'wang
实我,shi'wo
十无碍,shi'wu'ai
识无边处定,shi'wu'bian'chu'ding
识无边处天,shi'wu'bian'chu'tian
十无二,shi'wu'er
十无尽藏,shi'wu'jin'cang
十无尽戒,shi'wu'jin'jie
施无畏,shi'wu'wei
十习因,shi'xi'yin
示现,shi'xian
世相,shi'xiang
事相,shi'xiang
实相,shi'xiang
实相般若,shi'xiang'bo're
实相法界,shi'xiang'fa'jie
实相法身,shi'xiang'fa'shen
实相观,shi'xiang'guan
实相慧,shi'xiang'hui
实相经典,shi'xiang'jing'dian
实相念佛,shi'xiang'nian'fo
实相身,shi'xiang'shen
实相为物二身,shi'xiang'wei'wu'er'shen
实相无漏大海,shi'xiang'wu'lou'da'hai
实相无相,shi'xiang'wu'xiang
实相义,shi'xiang'yi
实相印,shi'xiang'yin
十信,shi'xin
十心,shi'xin
识心,shi'xin
是心是佛,shi'xin'shi'fo
实性,shi'xing
施行,shi'xing
事修,shi'xiu
十玄门,shi'xuan'men
世眼,shi'yan
实眼,shi'yan
十业,shi'ye
世依,shi'yi
十一遍使,shi'yi'bian'shi
十一遍行惑,shi'yi'bian'xing'huo
十一法,shi'yi'fa
十一果,shi'yi'guo
十一苦法,shi'yi'ku'fa
十一切处,shi'yi'qie'chu
十一位,shi'yi'wei
十一想,shi'yi'xiang
十因,shi'yin
十因十果,shi'yin'shi'guo
实有,shi'you
实语,shi'yu
誓愿,shi'yuan
誓愿安乐行,shi'yuan'an'le'xing
识蕴,shi'yun
事造,shi'zao
十斋日,shi'zhai'ri
事障,shi'zhang
十障,shi'zhang
事证,shi'zheng
势至,shi'zhi
实智,shi'zhi
世智辨聪,shi'zhi'bian'cong
世智辨聪难,shi'zhi'bian'cong'nan
势至观,shi'zhi'guan
十支论,shi'zhi'lun
十种不净,shi'zhong'bu'jing
十种方便,shi'zhong'fang'bian
十种方便戒,shi'zhong'fang'bian'jie
十种方便学处,shi'zhong'fang'bian'xue'chu
十种供养,shi'zhong'gong'yang
十种观法,shi'zhong'guan'fa
十种行愿,shi'zhong'xing'yuan
十种依果,shi'zhong'yi'guo
十种有依行轮,shi'zhong'you'yi'xing'lun
十种智力,shi'zhong'zhi'li
十种智明,shi'zhong'zhi'ming
十种众生,shi'zhong'zhong'sheng
十种自在,shi'zhong'zi'zai
十住,shi'zhu
施主,shi'zhu
识住,shi'zhu
十住心,shi'zhu'xin
师子,shi'zi
释子,shi'zi
师子吼,shi'zi'hou
狮子吼,shi'zi'hou
师子身中虫,shi'zi'shen'zhong'chong
师子座,shi'zi'zuo
狮子座,shi'zi'zuo
十宗,shi'zong
世尊,shi'zun
释尊,shi'zun
受持,shou'chi
受记,shou'ji
授记,shou'ji
受戒,shou'jie
受戒犍度,shou'jie'jian'du
受戒入位,shou'jie'ru'wei
受具,shou'ju
受决,shou'jue
授决,shou'jue
受空,shou'kong
首楞严,shou'leng'yan
寿命,shou'ming
受随,shou'sui
首陀,shou'tuo
首陀罗,shou'tuo'luo
寿相,shou'xiang
受想行识,shou'xiang'xing'shi
手印,shou'yin
受用身,shou'yong'shen
受用土,shou'yong'tu
受蕴,shou'yun
寿者,shou'zhe
寿者相,shou'zhe'xiang
数门,shu'men
熟酥味,shu'su'wei
数息观,shu'xi'guan
数息门,shu'xi'men
树下坐,shu'xia'zuo
树想,shu'xiang
衰相,shuai'xiang
双流,shuang'liu
双圆,shuang'yuan
双运,shuang'yun
水忏,shui'chan
水忏法,shui'chan'fa
水大,shui'da
水风火灾,shui'feng'huo'zai
水轮,shui'lun
睡眠,shui'mian
睡眠盖,shui'mian'gai
睡眠欲,shui'mian'yu
水想观,shui'xiang'guan
水月,shui'yue
水灾,shui'zai
顺后受业,shun'hou'shou'ye
顺化,shun'hua
顺生受业,shun'sheng'shou'ye
顺世,shun'shi
顺现受业,shun'xian'shou'ye
说出苦道无所畏,shuo'chu'ku'dao'wu'suo'wei
说出世部,shuo'chu'shi'bu
说法,shuo'fa
说假部,shuo'jia'bu
说通,shuo'tong
说一切有部,shuo'yi'qie'you'bu
说因部,shuo'yin'bu
说障道无所畏,shuo'zhang'dao'wu'suo'wei
说障法无所畏,shuo'zhang'fa'wu'suo'wei
说转部,shuo'zhuan'bu
四阿含,si'a'han
四不可得,si'bu'ke'de
四不可轻,si'bu'ke'qing
四不可说,si'bu'ke'shuo
四不可思议,si'bu'ke'si'yi
四不生,si'bu'sheng
四不退,si'bu'tui
四禅,si'chan
四禅八定,si'chan'ba'ding
四禅定,si'chan'ding
四禅天,si'chan'tian
四尘,si'chen
四重,si'chong
四重八重,si'chong'ba'chong
四重禁,si'chong'jin
四重五逆,si'chong'wu'ni
四大,si'da
四大本空,si'da'ben'kong
四大部经,si'da'bu'jing
四大不调,si'da'bu'tiao
四大部洲,si'da'bu'zhou
四大弟子,si'da'di'zi
四大分散,si'da'fen'san
四大名山,si'da'ming'shan
四大菩萨,si'da'pu'sa
四大种,si'da'zhong
四倒,si'dao
四道,si'dao
四德,si'de
四德处,si'de'chu
四德乐邦,si'de'le'bang
四等,si'deng
四谛,si'di
四谛十六行相,si'di'shi'liu'xing'xiang
四颠倒,si'dian'dao
四堕,si'duo
四恶趣,si'e'qu
四恩,si'en
四法,si'fa
四法不坏,si'fa'bu'huai
四法界,si'fa'jie
四法界观,si'fa'jie'guan
四法印,si'fa'yin
四烦恼,si'fan'nao
四梵行,si'fan'xing
四吠陀,si'fei'tuo
四分,si'fen
四分律,si'fen'lv
四分宗,si'fen'zong
四佛土,si'fo'tu
四佛知见,si'fo'zhi'jian
四归法,si'gui'fa
四果,si'guo
四行,si'hang
四行相,si'hang'xiang
四弘誓愿,si'hong'shi'yuan
思慧,si'hui
思惑,si'huo
四机,si'ji
思假,si'jia
四加行,si'jia'hang
四教,si'jiao
四劫,si'jie
四界,si'jie
四觉,si'jue
四空,si'kong
四空处,si'kong'chu
四空定,si'kong'ding
四空天,si'kong'tian
四苦,si'ku
四类出家,si'lei'chu'jia
四力,si'li
四漏,si'lou
四论,si'lun
四曼,si'man
四满成佛,si'man'cheng'fo
四魔,si'mo
死魔,si'mo
四难,si'nan
四念处,si'nian'chu
四念住,si'nian'zhu
四取,si'qu
四忍,si'ren
四如实观,si'ru'shi'guan
四如实智,si'ru'shi'zhi
四如意足,si'ru'yi'zu
四善根,si'shan'gen
四摄法,si'she'fa
四身,si'shen
四神足,si'shen'zu
四圣,si'sheng
四生,si'sheng
四生百劫,si'sheng'bai'jie
四圣谛,si'sheng'di
四事,si'shi
四食,si'shi
四十八愿,si'shi'ba'yuan
四事法门,si'shi'fa'men
四事供佛,si'shi'gong'fo
四食时,si'shi'shi
寺十种异名,si'shi'zhong'yi'ming
四识住,si'shi'zhu
四天王,si'tian'wang
四天王天,si'tian'wang'tian
四天下,si'tian'xia
四土,si'tu
四王,si'wang
四王忉利,si'wang'dao'li
四位,si'wei
四微,si'wei
思惟,si'wei
四威仪,si'wei'yi
四无碍辩,si'wu'ai'bian
四无碍解,si'wu'ai'jie
四无碍智,si'wu'ai'zhi
四无阂智,si'wu'he'zhi
四无量心,si'wu'liang'xin
四无明,si'wu'ming
四无畏,si'wu'wei
四向,si'xiang
四相,si'xiang
死相,si'xiang
四向四果,si'xiang'si'guo
四邪命,si'xie'ming
四心,si'xin
四姓阶级,si'xing'jie'ji
四修,si'xiu
四寻思,si'xun'si
四寻思观,si'xun'si'guan
四熏习,si'xun'xi
四衍,si'yan
四一,si'yi
四依,si'yi
四依法,si'yi'fa
四有,si'you
死有,si'you
四欲,si'yu
四缘,si'yuan
四增盛,si'zeng'sheng
四障,si'zhang
四正勤,si'zheng'qin
四正胜,si'zheng'sheng
四智,si'zhi
四众,si'zhong
四种阿含经,si'zhong'a'han'jing
四种布施,si'zhong'bu'shi
四种成佛,si'zhong'cheng'fo
四种佛土,si'zhong'fo'tu
四种观行,si'zhong'guan'xing
四种轮王,si'zhong'lun'wang
四种念诵,si'zhong'nian'song
四种涅槃,si'zhong'nie'pan
四种平等,si'zhong'ping'deng
四种人,si'zhong'ren
四种三昧,si'zhong'san'mei
四种三昧耶,si'zhong'san'mei'ye
四种死,si'zhong'si
四种往生,si'zhong'wang'sheng
四种我,si'zhong'wo
四种行人,si'zhong'xing'ren
四种璎珞庄严,si'zhong'ying'luo'zhuang'yan
四种缘起,si'zhong'yuan'qi
四种庄严,si'zhong'zhuang'yan
四种资粮,si'zhong'zi'liang
四种总持,si'zhong'zong'chi
四重罪,si'zhong'zui
四洲,si'zhou
四住,si'zhu
四住地,si'zhu'di
宿报,su'bao
俗尘,su'chen
素怛缆,su'da'lan
苏怛罗,su'da'luo
俗谛,su'di
宿福,su'fu
俗戒,su'jie
宿命,su'ming
宿命力,su'ming'li
宿命明,su'ming'ming
宿命通,su'ming'tong
宿命智通,su'ming'zhi'tong
俗人,su'ren
宿善,su'shan
宿世,su'shi
素食,su'shi
俗我,su'wo
宿习,su'xi
苏悉地,su'xi'di
苏悉地羯罗,su'xi'di'jie'luo
宿因,su'yin
宿愿,su'yuan
宿缘,su'yuan
宿愿力,su'yuan'li
宿债,su'zhai
俗智,su'zhi
宿植,su'zhi
宿作,su'zuo
随烦恼,sui'fan'nao
随分,sui'fen
随分果,sui'fen'guo
随分觉,sui'fen'jue
随类,sui'lei
随类不定,sui'lei'bu'ding
随类应身,sui'lei'ying'shen
随眠,sui'mian
随顺,sui'shun
随他权教,sui'ta'quan'jiao
随他意语,sui'ta'yi'yu
随喜,sui'xi
随喜功德,sui'xi'gong'de
随形好,sui'xing'hao
随缘,sui'yuan
随缘不变,sui'yuan'bu'bian
随缘假,sui'yuan'jia
随缘真如,sui'yuan'zhen'ru
随自实教,sui'zi'shi'jiao
随自意语,sui'zi'yi'yu
所遍计,suo'bian'ji
所藏,suo'cang
娑界,suo'jie
娑罗双树,suo'luo'shuang'shu
娑婆,suo'po
娑婆世界,suo'po'shi'jie
所缘,suo'yuan
所缘缘,suo'yuan'yuan
所知依,suo'zhi'yi
所知障,suo'zhi'zhang
所作,suo'zuo
他化自在天,ta'hua'zi'zai'tian
他力,ta'li
他受用身,ta'shou'yong'shen
他受用土,ta'shou'yong'tu
塔寺坚固,ta'si'jian'gu
他心通,ta'xin'tong
他心智,ta'xin'zhi
台教,tai'jiao
胎金,tai'jin
胎生,tai'sheng
胎藏界,tai'zang'jie
台宗,tai'zong
贪爱,tan'ai
檀波罗蜜,tan'bo'luo'mi
贪嗔痴,tan'chen'chi
叹大褒圆,tan'da'bao'yuan
檀度,tan'du
贪毒,tan'du
贪恚痴,tan'hui'chi
贪结,tan'jie
檀林,tan'lin
昙摩,tan'mo
檀那,tan'na
贪使,tan'shi
昙无,tan'wu
檀信,tan'xin
贪欲,tan'yu
贪欲嗔恚愚痴,tan'yu'chen'hui'yu'chi
贪欲盖,tan'yu'gai
贪欲使,tan'yu'shi
檀越,tan'yue
檀主,tan'zhu
贪著,tan'zhu
唐捐,tang'juan
唐三藏,tang'san'zang
特尊,te'zun
体大,ti'da
剃发,ti'fa
醍醐,ti'hu
醍醐经,ti'hu'jing
醍醐味,ti'hu'wei
体空,ti'kong
体空观,ti'kong'guan
体空教,ti'kong'jiao
体灭,ti'mie
提婆达多,ti'po'da'duo
体相,ti'xiang
体相用,ti'xiang'yong
体性,ti'xing
体用,ti'yong
天,tian
天乘,tian'cheng
天道,tian'dao
天龙,tian'long
天龙八部,tian'long'ba'bu
天魔,tian'mo
天魔外道,tian'mo'wai'dao
天趣,tian'qu
天人,tian'ren
天人师,tian'ren'shi
天台,tian'tai
天台八教,tian'tai'ba'jiao
天台大师,tian'tai'da'shi
天台三教,tian'tai'san'jiao
天台宗,tian'tai'zong
天堂,tian'tang
天眼,tian'yan
天眼力,tian'yan'li
天眼明,tian'yan'ming
天眼通,tian'yan'tong
天竺,tian'zhu
天尊,tian'zun
调御丈夫,tiao'yu'zhang'fu
铁钵,tie'bo
铁剌林地狱,tie'la'lin'di'yu
铁轮王,tie'lun'wang
铁树,tie'shu
铁丸地狱,tie'wan'di'yu
铁围结集,tie'wei'jie'ji
铁围山,tie'wei'shan
听教,ting'jiao
停心,ting'xin
听衣,ting'yi
通别二序,tong'bie'er'xu
同参,tong'can
同分妄见,tong'fen'wang'jian
同行,tong'hang
通慧,tong'hui
通惑,tong'huo
通教,tong'jiao
通教十地,tong'jiao'shi'di
通戒,tong'jie
同居,tong'ju
通力,tong'li
铜轮王,tong'lun'wang
通明禅,tong'ming'chan
通明慧,tong'ming'hui
通念佛,tong'nian'fo
通受,tong'shou
同体大悲,tong'ti'da'bei
通途,tong'tu
同相,tong'xiang
通序,tong'xu
铜鍱部,tong'ye'bu
童子,tong'zi
头北面西,tou'bei'mian'xi
偷盗,tou'dao
头光,tou'guang
头面作礼,tou'mian'zuo'li
头上安头,tou'shang'an'tou
头陀,tou'tuo
头陀十八物,tou'tuo'shi'ba'wu
头陀行,tou'tuo'xing
荼毗,tu'pi
涂香,tu'xiang
退转,tui'zhuan
托钵,tuo'bo
托钵天王,tuo'bo'tian'wang
陀罗尼,tuo'luo'ni
陀罗尼三昧,tuo'luo'ni'san'mei
托胎,tuo'tai
外道,wai'dao
外典,wai'dian
外凡,wai'fan
外护,wai'hu
外护善知识,wai'hu'shan'zhi'shi
外教,wai'jiao
外空,wai'kong
外无为,wai'wu'wei
外缘,wai'yuan
万德洪名,wan'de'hong'ming
万法,wan'fa
万法唯识,wan'fa'wei'shi
万法无滞,wan'fa'wu'zhi
万法一如,wan'fa'yi'ru
万行,wan'hang
万劫,wan'jie
万境,wan'jing
万字,wan'zi
妄分别,wang'fen'bie
往还二回向,wang'huan'er'hui'xiang
往还衣,wang'huan'yi
妄见,wang'jian
妄境界,wang'jing'jie
往来八千返,wang'lai'ba'qian'fan
妄念,wang'nian
妄染,wang'ran
忘忍,wang'ren
往生,wang'sheng
妄想,wang'xiang
往相,wang'xiang
妄心,wang'xin
妄心熏习,wang'xin'xun'xi
妄业,wang'ye
妄语,wang'yu
妄语戒,wang'yu'jie
妄语十罪,wang'yu'shi'zui
妄缘,wang'yuan
妄执,wang'zhi
位不退,wei'bu'tui
味尘,wei'chen
微尘,wei'chen
微尘数,wei'chen'shu
威德,wei'de
威德三昧,wei'de'san'mei
违境,wei'jing
唯境无识,wei'jing'wu'shi
位妙,wei'miao
维摩,wei'mo
维摩诘,wei'mo'jie
沩山,wei'shan
唯神,wei'shen
威神力,wei'shen'li
唯识,wei'shi
唯识观,wei'shi'guan
唯识所变,wei'shi'suo'bian
唯识无境,wei'shi'wu'jing
唯识宗,wei'shi'zong
违顺,wei'shun
微微心,wei'wei'xin
唯物,wei'wu
微细生死,wei'xi'sheng'si
唯心,wei'xin
唯心法界,wei'xin'fa'jie
唯心净土,wei'xin'jing'tu
威仪,wei'yi
威仪师,wei'yi'shi
唯愿无行,wei'yuan'wu'xing
闻成就,wen'cheng'jiu
闻持,wen'chi
闻持陀罗尼,wen'chi'tuo'luo'ni
