阿姨,a'yi
女排,nv'pai
女朋友,nv'peng'you
女人,nv'ren
女人不闲,nv'ren'bu'xian
女生,nv'sheng
女娃娃,nv'wa'wa
女性,nv'xing
女友,nv'you
哦啊,o'a
噢噢,o'o
讴歌,ou'ge
偶看,ou'kan
欧莱雅,ou'lai'ya
欧盟,ou'meng
欧文,ou'wen
偶在,ou'zai
怕不怕,pa'bu'pa
爬到,pa'dao
爬树,pa'shu
爬树的,pa'shu'de
派对,pai'dui
排列,pai'lie
排名,pai'ming
排序,pai'xu
拍学,pai'xue
牌子,pai'zi
判断,pan'duan
潘家园,pan'jia'yuan
盘壳栎,pan'ke'li
攀爬,pan'pa
潘潘,pan'pan
盼盼,pan'pan
盘数,pan'shu
叛逃,pan'tao
旁边,pang'bian
旁边的,pang'bian'de
跑两圈,pao'liang'quan
跑哪儿去了,pao'na'er'qu'le
泡泡,pao'pao
泡泡堂,pao'pao'tang
佩服,pei'fu
培训,pei'xun
培养,pei'yang
培育,pei'yu
配乐,pei'yue
配置,pei'zhi
盆距兰,pen'ju'lan
喷水池,pen'shui'chi
碰到,peng'dao
彭涛,peng'tao
碰头,peng'tou
朋友,peng'you
朋友的,peng'you'de
皮薄,pi'bao
批量,pi'liang
毗邻,pi'lin
批评,pi'ping
脾气,pi'qi
偏害共生,pian'hai'gong'sheng
偏好,pian'hao
偏利共生,pian'li'gong'sheng
骗人,pian'ren
骗人的,pian'ren'de
篇文章,pian'wen'zhang
偏斜,pian'xie
便宜,pian'yi
便宜不,pian'yi'bu
偏移量,pian'yi'liang
漂亮,piao'liang
频度,pin'du
贫困,pin'kun
频率,pin'lv
拼命,pin'ming
拼音,pin'yin
平方的,ping'fang'de
平方米,ping'fang'mi
评个,ping'ge
苹果,ping'guo
平衡,ping'heng
评价,ping'jia
评价啊,ping'jia'a
平均,ping'jun
平均温度,ping'jun'wen'du
评论,ping'lun
屏幕,ping'mu
评判,ping'pan
坪坡,ping'po
平时,ping'shi
平时我们,ping'shi'wo'men
平四,ping'si
平坦,ping'tan
评委,ping'wei
评委的,ping'wei'de
平卧,ping'wo
平卧阴石蕨,ping'wo'yin'shi'jue
评阅,ping'yue
评职称,ping'zhi'cheng
坡度,po'du
坡向,po'xiang
普遍,pu'bian
普查,pu'cha
匍匐,pu'fu
铺面,pu'mian
匍生,pu'sheng
匍生石豆兰,pu'sheng'shi'dou'lan
葡桃,pu'tao
起床,qi'chuang
启动,qi'dong
启动一下,qi'dong'yi'xia
气阀,qi'fa
气概,qi'gai
七号,qi'hao
其后,qi'hou
气候,qi'hou
期间,qi'jian
期刊,qi'kan
起来,qi'lai
齐鲁大地,qi'lu'da'di
其内,qi'nei
气派,qi'pai
气人啊,qi'ren'a
其实,qi'shi
其他,qi'ta
气息,qi'xi
气象学,qi'xiang'xue
企业,qi'ye
启用,qi'yong
汽油,qi'you
其余,qi'yu
气质,qi'zhi
其中,qi'zhong
起重机,qi'zhong'ji
其中一个,qi'zhong'yi'ge
恰当,qia'dang
钱不够了,qian'bu'gou'le
茜草科,qian'cao'ke
前几天,qian'ji'tian
前几天给我打电话,qian'ji'tian'gei'wo'da'dian'hua
前进,qian'jin
签了合同,qian'le'he'tong
前两天,qian'liang'tian
荨麻科,qian'ma'ke
前面,qian'mian
钱呢,qian'ne
钱少,qian'shao
前途,qian'tu
千万,qian'wan
千万别退,qian'wan'bie'tui
谦虚,qian'xu
前一段时间,qian'yi'duan'shi'jian
前一段时间按,qian'yi'duan'shi'jian'an
签约,qian'yue
签约了,qian'yue'le
潜在,qian'zai
前站,qian'zhan
强多了,qiang'duo'le
强烈的,qiang'lie'de
强忍都不怕,qiang'ren'dou'bu'pa
强势一点,qiang'shi'yi'dian
强行,qiang'xing
壳斗科,qiao'dou'ke
乔灌木,qiao'guan'mu
乔木,qiao'mu
俏皮话,qiao'pi'hua
切合,qie'he
秦姐,qin'jie
亲近,qin'jin
亲密,qin'mi
亲人,qin'ren
亲缘种,qin'yuan'zhong
清楚,qing'chu
清单,qing'dan
青岛,qing'dao
请的保姆,qing'de'bao'mu
青冈,qing'gang
清高,qing'gao
清国,qing'guo
清河,qing'he
请教,qing'jiao
请教一下,qing'jiao'yi'xia
情况,qing'kuang
情况下,qing'kuang'xia
庆鲁,qing'lu
请你,qing'ni
请你吃饭,qing'ni'chi'fan
轻松,qing'song
请问,qing'wen
倾斜,qing'xie
倾斜度,qing'xie'du
情谊,qing'yi
穷得很,qiong'dei'hen
穷人,qiong'ren
穷学生,qiong'xue'sheng
琼崖,qiong'ya
琼崖舌蕨,qiong'ya'she'jue
琼崖是,qiong'ya'shi
琼崖石,qiong'ya'shi
琼崖石韦,qiong'ya'shi'wei
秋华,qiu'hua
球兰,qiu'lan
求实,qiu'shi
求证,qiu'zheng
求助,qiu'zhu
去吧,qu'ba
去不去,qu'bu'qu
取出来,qu'chu'lai
取词,qu'ci
渠道,qu'dao
去的,qu'de
取得,qu'de
去的话,qu'de'hua
去掉,qu'diao
驱动,qu'dong
区段,qu'duan
区分,qu'fen
去给你,qu'gei'ni
去过,qu'guo
去过的,qu'guo'de
去过哦,qu'guo'o
去过一次,qu'guo'yi'ci
去过一个,qu'guo'yi'ge
区号,qu'hao
去看看,qu'kan'kan
去了,qu'le
去了北京,qu'le'bei'jing
去了吗,qu'le'ma
去了哪,qu'le'na
去了哪儿,qu'le'na'er
去了一次,qu'le'yi'ci
去哪儿,qu'na'er
去年,qu'nian
去年不再,qu'nian'bu'zai
去年的,qu'nian'de
去取,qu'qu
去上网,qu'shang'wang
趋势,qu'shi
取土,qu'tu
区外,qu'wai
去外国,qu'wai'guo
区系,qu'xi
去下,qu'xia
趋向,qu'xiang
取样,qu'yang
取样杆,qu'yang'gan
去野外,qu'ye'wai
去一次,qu'yi'ci
去一下,qu'yi'xia
区域,qu'yu
全部,quan'bu
全部取样,quan'bu'qu'yang
全称,quan'cheng
全程共,quan'cheng'gong
全方位,quan'fang'wei
全高,quan'gao
全国,quan'guo
全化,quan'hua
劝你,quan'ni
全世界,quan'shi'jie
泉水,quan'shui
全文,quan'wen
权限,quan'xian
全新,quan'xin
全选,quan'xuan
确保,que'bao
缺乏,que'fa
雀眉,que'mei
却是,que'shi
确实,que'shi
缺失,que'shi
确实有误差,que'shi'you'wu'cha
缺水,que'shui
缺陷,que'xian
群公告,qun'gong'gao
群号,qun'hao
群集,qun'ji
群里,qun'li
群落,qun'luo
群体,qun'ti
然而,ran'er
然后,ran'hou
让我,rang'wo
热带,re'dai
热带林,re'dai'lin
热带雨林,re'dai'yu'lin
热点,re'dian
热河,re'he
热辣果敢,re'la'guo'gan
热闹,re'nao
热气球,re'qi'qiu
热情,re'qing
热线,re'xian
热心,re'xin
认错,ren'cuo
人的,ren'de
人多,ren'duo
任何,ren'he
人家,ren'jia
人家给,ren'jia'gei
人间爱,ren'jian'ai
人就,ren'jiu
人口,ren'kou
人口多了,ren'kou'duo'le
人民,ren'min
人肉,ren'rou
人生,ren'sheng
认识,ren'shi
人士,ren'shi
认同,ren'tong
认为,ren'wei
人为干扰,ren'wei'gan'rao
人文,ren'wen
人物,ren'wu
任务,ren'wu
人像,ren'xiang
人选,ren'xuan
任意,ren'yi
人员,ren'yuan
人在,ren'zai
人在潘家园,ren'zai'pan'jia'yuan
认账,ren'zhang
认真,ren'zhen
认证,ren'zheng
仍然,reng'ran
日本,ri'ben
日期,ri'qi
日语,ri'yu
日子,ri'zi
绒毛,rong'mao
绒毛润楠,rong'mao'run'nan
容器,rong'qi
榕属,rong'shu
榕树,rong'shu
容易,rong'yi
荣誉,rong'yu
如果,ru'guo
如果不是,ru'guo'bu'shi
如果那时候,ru'guo'na'shi'hou
如果哦,ru'guo'o
如果有,ru'guo'you
入口,ru'kou
入侵,ru'qin
入侵植物,ru'qin'zhi'wu
如有可能,ru'you'ke'neng
软件,ruan'jian
软件包,ruan'jian'bao
瑞士,rui'shi
润国,run'guo
润楠,run'nan
润色,run'se
散步,san'bu
三叉苦,san'cha'ku
三个,san'ge
三级搜,san'ji'sou
三角,san'jiao
三角形,san'jiao'xing
三聚氰胺,san'ju'qing'an
散热孔,san're'kong
散热性能,san're'xing'neng
三台,san'tai
三亚,san'ya
三种,san'zhong
三种附生,san'zhong'fu'sheng
桑科,sang'ke
扫描,sao'miao
骚扰,sao'rao
嫂子,sao'zi
色狼不厌啊,se'lang'bu'yan'a
森环保所,sen'huan'bao'suo
森环森保所,sen'huan'sen'bao'suo
森林,sen'lin
森林生态,sen'lin'sheng'tai
森林细根,sen'lin'xi'gen
啥都没有,sha'dou'mei'you
傻鸟,sha'niao
啥事,sha'shi
杀手,sha'shou
啥意思,sha'yi'si
筛选,shai'xuan
筛子,shai'zi
删除,shan'chu
删除此文件,shan'chu'ci'wen'jian
山地,shan'di
山地常绿,shan'di'chang'lv
山地常绿林,shan'di'chang'lv'lin
山地雨林,shan'di'yu'lin
删掉,shan'diao
山顶,shan'ding
山东,shan'dong
山东高校,shan'dong'gao'xiao
山矾,shan'fan
善黄皮,shan'huang'pi
山脊,shan'ji
山姜,shan'jiang
山龙眼,shan'long'yan
山脉,shan'mai
山泉水,shan'quan'shui
山上,shan'shang
山师,shan'shi
山下,shan'xia
山子,shan'zi
上班,shang'ban
上班了,shang'ban'le
上边,shang'bian
上不了,shang'bu'liao
上层,shang'ceng
上车,shang'che
商城,shang'cheng
上次,shang'ci
上的,shang'de
上过,shang'guo
上海,shang'hai
上海去了,shang'hai'qu'le
商户,shang'hu
商家,shang'jia
上街吃粽子没有,shang'jie'chi'zong'zi'mei'you
上进,shang'jin
上九,shang'jiu
上课,shang'ke
上课的,shang'ke'de
上了,shang'le
商量,shang'liang
商量一下,shang'liang'yi'xia
上锣鼓,shang'luo'gu
上门,shang'men
上面,shang'mian
商品,shang'pin
商铺,shang'pu
商丘,shang'qiu
上去,shang'qu
上山,shang'shan
上述,shang'shu
上属于,shang'shu'yu
上网,shang'wang
上网不受限制,shang'wang'bu'shou'xian'zhi
上学,shang'xue
上一代人的,shang'yi'dai'ren'de
尚有,shang'you
上周,shang'zhou
少部分,shao'bu'fen
少不入川,shao'bu'ru'chuan
少的,shao'de
稍等,shao'deng
稍等啊,shao'deng'a
芍兰,shao'lan
少了,shao'le
少了一件,shao'le'yi'jian
少林,shao'lin
稍稍,shao'shao
少数,shao'shu
少数民族,shao'shu'min'zu
烧水喝,shao'shui'he
少伟,shao'wei
稍微,shao'wei
稍微修改,shao'wei'xiu'gai
少一个,shao'yi'ge
社会,she'hui
设计,she'ji
舌蕨,she'jue
设立,she'li
设么好,she'me'hao
摄氏度,she'shi'du
舌头,she'tou
设为,she'wei
摄影,she'ying
设置,she'zhi
伸出,shen'chu
伸到,shen'dao
身份证,shen'fen'zheng
审稿人,shen'gao'ren
什么,shen'me
什么的,shen'me'de
什么好东东,shen'me'hao'dong'dong
什么嫩,shen'me'nen
什么呢,shen'me'ni
什么时候,shen'me'shi'hou
什么时候答辩,shen'me'shi'hou'da'bian
什么问题,shen'me'wen'ti
什么影响,shen'me'ying'xiang
什么原因,shen'me'yuan'yin
神庙,shen'miao
甚念,shen'nian
申请,shen'qing
身上,shen'shang
身体,shen'ti
沈阳,shen'yang
甚至,shen'zhi
省的,sheng'de
省得你,sheng'de'ni
省份,sheng'fen
省会,sheng'hui
生活,sheng'huo
生活不错,sheng'huo'bu'cuo
生活待遇,sheng'huo'dai'yu
生活得,sheng'huo'dei
生活得不粗,sheng'huo'dei'bu'cu
生活方便,sheng'huo'fang'bian
生活型,sheng'huo'xing
升级,sheng'ji
生境,sheng'jing
生理,sheng'li
生米,sheng'mi
生命,sheng'ming
生气,sheng'qi
生日,sheng'ri
省事,sheng'shi
生水,sheng'shui
生态,sheng'tai
生态旅游,sheng'tai'lv'you
生态体积,sheng'tai'ti'ji
生态系统,sheng'tai'xi'tong
生态习性,sheng'tai'xi'xing
生态学,sheng'tai'xue
生态学报,sheng'tai'xue'bao
生态学会,sheng'tai'xue'hui
省藤,sheng'teng
生物,sheng'wu
生物多样性,sheng'wu'duo'yang'xing
生物多样性的,sheng'wu'duo'yang'xing'de
生物多要哪个行,sheng'wu'duo'yao'na'ge'xing
生物量,sheng'wu'liang
生物系,sheng'wu'xi
生物学,sheng'wu'xue
生意,sheng'yi
生意圈,sheng'yi'quan
剩余,sheng'yu
声誉,sheng'yu
生长,sheng'zhang
生长型,sheng'zhang'xing
生长在,sheng'zhang'zai
生殖健康,sheng'zhi'jian'kang
绳子,sheng'zi
是啊,shi'a
石壁,shi'bi
是必备的,shi'bi'bei'de
识别,shi'bie
是不是,shi'bu'shi
是不是都,shi'bu'shi'dou
是不是要,shi'bu'shi'yao
时不要,shi'bu'yao
匙唇兰,shi'chun'lan
师大,shi'da
是代码了,shi'dai'ma'le
使得,shi'de
实地,shi'di
师弟,shi'di
是地主,shi'di'zhu
石吊龃苔,shi'diao'ju'tai
石豆,shi'dou
石豆兰,shi'dou'lan
石豆毛兰,shi'dou'mao'lan
湿度,shi'du
是多少,shi'duo'shao
释放,shi'fang
石峰,shi'feng
石峰顶,shi'feng'ding
是否,shi'fou
是个,shi'ge
适合,shi'he
是很,shi'hen
时候,shi'hou
时候来,shi'hou'lai
石斛,shi'hu
实际,shi'ji
湿季,shi'ji
实践,shi'jian
时间,shi'jian
时间爱你,shi'jian'ai'ni
时间段,shi'jian'duan
时间少,shi'jian'shao
世界,shi'jie
师姐,shi'jie
世界兰花,shi'jie'lan'hua
市静安,shi'jing'an
石景山,shi'jing'shan
试卷,shi'juan
视觉,shi'jue
时空,shi'kong
试了一试,shi'le'yi'shi
实力,shi'li
石榴树,shi'liu'shu
师妹,shi'mei
师母,shi'mu
视频,shi'pin
时期,shi'qi
事情,shi'qing
十全九美,shi'quan'jiu'mei
十全十美,shi'quan'shi'mei
湿润,shi'run
实生苗,shi'sheng'miao
试试,shi'shi
实施,shi'shi
实时,shi'shi
试试看,shi'shi'kan
是台座,shi'tai'zuo
食堂,shi'tang
食堂不大,shi'tang'bu'da
食堂吃饭,shi'tang'chi'fan
石头面,shi'tou'mian
仕途,shi'tu
失望了,shi'wang'le
石韦,shi'wei
是我,shi'wo
失误,shi'wu
是无恶,shi'wu'e
事先,shi'xian
实现,shi'xian
石仙,shi'xian
实现偶那个,shi'xian'ou'na'ge
石仙桃,shi'xian'tao
师小红,shi'xiao'hong
湿行常绿,shi'xing'chang'lv
湿性常绿阔叶林,shi'xing'chang'lv'kuo'ye'lin
师兄,shi'xiong
师兄们,shi'xiong'men
试验,shi'yan
实验,shi'yan
实验员,shi'yan'yuan
是要好好学习,shi'yao'hao'hao'xue'xi
事业,shi'ye
事业大内,shi'ye'da'nei
十一,shi'yi
试一试,shi'yi'shi
示意图,shi'yi'tu
十一月份,shi'yi'yue'fen
适应,shi'ying
适应方法,shi'ying'fang'fa
适应社会,shi'ying'she'hui
使用,shi'yong
实用,shi'yong
使用方法,shi'yong'fang'fa
使用权,shi'yong'quan
使用人,shi'yong'ren
实用性,shi'yong'xing
石油,shi'you
是指,shi'zhi
湿重,shi'zhong
狮子王,shi'zi'wang
受不了,shou'bu'liao
收藏,shou'cang
首次,shou'ci
收到,shou'dao
受到了,shou'dao'le
收到了吧,shou'dao'le'ba
手电,shou'dian
首都师大,shou'du'shi'da
手段,shou'duan
收费,shou'fei
手机,shou'ji
收集,shou'ji
手机号,shou'ji'hao
首家,shou'jia
收款人,shou'kuan'ren
收录,shou'lu
寿命,shou'ming
收钱,shou'qian
收入,shou'ru
受伤,shou'shang
收拾一下,shou'shi'yi'xia
手头,shou'tou
首选,shou'xuan
首页,shou'ye
手中,shou'zhong
树顶,shu'ding
熟饭,shu'fan
舒服,shu'fu
束缚,shu'fu
树干,shu'gan
树干上,shu'gan'shang
树高,shu'gao
树冠,shu'guan
书籍,shu'ji
数据,shu'ju
数据比较,shu'ju'bi'jiao
数据集,shu'ju'ji
数据库,shu'ju'ku
树立,shu'li
梳理,shu'li
数量,shu'liang
树苗,shu'miao
书名,shu'ming
数目,shu'mu
树木,shu'mu
树木上,shu'mu'shang
树皮,shu'pi
熟人,shu'ren
输入,shu'ru
蜀山,shu'shan
树上,shu'shang
树身,shu'shen
树神,shu'shen
熟识,shu'shi
熟悉,shu'xi
属下,shu'xia
树下,shu'xia
属于,shu'yu
术语,shu'yu
数着,shu'zhe
树种,shu'zhong
数字,shu'zi
刷牙,shua'ya
帅哥,shuai'ge
帅气,shuai'qi
帅小伙,shuai'xiao'huo
爽吧,shuang'ba
双胞胎,shuang'bao'tai
双击,shuang'ji
双绳法,shuang'sheng'fa
双收的,shuang'shou'de
双双,shuang'shuang
双筒,shuang'tong
双子叶,shuang'zi'ye
睡不着,shui'bu'zhao
睡大觉,shui'da'jiao
睡大觉放寒假爱上的人吹灭大惊失色开发及附件多,shui'da'jiao'fang'han'jia'ai'shang'de'ren'chui'mie'da'jing'shi'se'kai'fa'ji'fu'jian'duo
谁的,shui'de
水分,shui'fen
谁敢,shui'gan
水沟边,shui'gou'bian
睡觉,shui'jiao
水晶鞋,shui'jing'xie
睡了,shui'le
睡了个方块,shui'le'ge'fang'kuai
睡了一觉,shui'le'yi'jiao
水量,shui'liang
水龙骨科,shui'long'gu'ke
谁能,shui'neng
水平,shui'ping
水生,shui'sheng
水生木子,shui'sheng'mu'zi
谁说,shui'shuo
谁也少,shui'ye'shao
睡一会,shui'yi'hui
谁有,shui'you
谁有吗,shui'you'ma
税玉民,shui'yu'min
税玉民内的,shui'yu'min'nei'de
水中,shui'zhong
顺风,shun'feng
顺丰,shun'feng
顺路了,shun'lu'le
说吧,shuo'ba
硕博,shuo'bo
说不好,shuo'bu'hao
说不了,shuo'bu'liao
说的,shuo'de
说的不一样,shuo'de'bu'yi'yang
说服力,shuo'fu'li
说跟我,shuo'gen'wo
说话,shuo'hua
说了,shuo'le
说明,shuo'ming
硕士,shuo'shi
说说,shuo'shuo
说要,shuo'yao
说一下,shuo'yi'xia
四川,si'chuan
四大,si'da
死的,si'de
死的有机质,si'de'you'ji'zhi
私服开始打发,si'fu'kai'shi'da'fa
四结交亲眼荣,si'jie'jiao'qin'yan'rong
思考,si'kao
四楞,si'leng
思路,si'lu
司马,si'ma
司马南,si'ma'nan
死木,si'mu
私人,si'ren
四舍五入,si'she'wu'ru
死树,si'shu
斯塔夫,si'ta'fu
四条,si'tiao
死亡,si'wang
思想,si'xiang
死心眼,si'xin'yan
四张,si'zhang
送不送,song'bu'song
送到,song'dao
送的花,song'de'hua
送过去,song'guo'qu
送货,song'huo
送货上门,song'huo'shang'men
松了,song'le
松林,song'lin
宋永昌,song'yong'chang
搜狗,sou'gou
搜狗五笔,sou'gou'wu'bi
搜狐,sou'hu
搜集,sou'ji
搜索,sou'suo
速度,su'du
塑料,su'liao
塑料袋,su'liao'dai
塑料套,su'liao'tao
诉求,su'qiu
宿舍,su'she
素质,su'zhi
宿主,su'zhu
算了,suan'le
算了吧,suan'le'ba
酸奶了,suan'nai'le
算起来,suan'qi'lai
算是,suan'shi
随便,sui'bian
虽然,sui'ran
碎桃,sui'tao
碎叶蒲桃,sui'ye'pu'tao
随意,sui'yi
随意的,sui'yi'de
岁月,sui'yue
随着,sui'zhe
孙老师,sun'lao'shi
孙尚香,sun'shang'xiang
孙叔才,sun'shu'cai
所长,suo'chang
所长去了,suo'chang'qu'le
所处,suo'chu
所带,suo'dai
索道,suo'dao
所得分机会,suo'de'fen'ji'hui
所里,suo'li
所里吃,suo'li'chi
所里的情况,suo'li'de'qing'kuang
所属,suo'shu
所研究,suo'yan'jiu
所以,suo'yi
所有,suo'you
所有的,suo'you'de
所在,suo'zai
所在国,suo'zai'guo
所占,suo'zhan
他们,ta'men
她们,ta'men
它们,ta'men
踏实,ta'shi
他说,ta'shuo
踏雪,ta'xue
太不讲道理,tai'bu'jiang'dao'li
太长,tai'chang
太粗,tai'cu
态度,tai'du
太多,tai'duo
太多的,tai'duo'de
太多了,tai'duo'le
太费时间,tai'fei'shi'jian
太高,tai'gao
太久了,tai'jiu'le
太酷,tai'ku
苔类,tai'lei
太平公主,tai'ping'gong'zhu
泰山医学院,tai'shan'yi'xue'yuan
台湾,tai'wan
苔藓,tai'xian
苔藓备注,tai'xian'bei'zhu
太小,tai'xiao
太远了,tai'yuan'le
弹不出,tan'bu'chu
弹不出来,tan'bu'chu'lai
弹出,tan'chu
谈得来,tan'de'lai
谈对象,tan'dui'xiang
探戈,tan'ge
碳固定,tan'gu'ding
谈过,tan'guo
谈过分手的,tan'guo'fen'shou'de
叹了,tan'le
谈判,tan'pan
谈谈,tan'tan
探讨,tan'tao
弹跳,tan'tiao
探险,tan'xian
唐庄,tang'zhuang
淘宝,tao'bao
淘宝网,tao'bao'wang
桃花运,tao'hua'yun
讨论,tao'lun
讨人喜欢,tao'ren'xi'huan
涛涛,tao'tao
特别,te'bie
特别的,te'bie'de
特别是,te'bie'shi
特称为,te'cheng'wei
特点,te'dian
特殊,te'shu
特殊符号,te'shu'fu'hao
特性,te'xing
特有,te'you
特征,te'zheng
藤本,teng'ben
藤黄科,teng'huang'ke
疼你,teng'ni
提不出来,ti'bu'chu'lai
剔除,ti'chu
提出,ti'chu
提出过,ti'chu'guo
提到,ti'dao
提高,ti'gao
提供,ti'gong
体积,ti'ji
提交,ti'jiao
提了一台,ti'le'yi'tai
题录,ti'lu
题目,ti'mu
提前,ti'qian
提前去,ti'qian'qu
提取,ti'qu
提示,ti'shi
体现的,ti'xian'de
提些建议,ti'xie'jian'yi
题意,ti'yi
提议,ti'yi
体育,ti'yu
梯子,ti'zi
天班,tian'ban
天不早了,tian'bu'zao'le
填充,tian'chong
天地,tian'di
天地存我心,tian'di'cun'wo'xin
天地村我心,tian'di'cun'wo'xin
天地间,tian'di'jian
天府之国,tian'fu'zhi'guo
天高云淡,tian'gao'yun'dan
添加,tian'jia
天津,tian'jin
天冷了,tian'leng'le
天料木,tian'liao'mu
添麻烦,tian'ma'fan
天南星,tian'nan'xing
天南星科,tian'nan'xing'ke
天平,tian'ping
天气,tian'qi
天气不好,tian'qi'bu'hao
天然林,tian'ran'lin
天然气,tian'ran'qi
天数,tian'shu
天天,tian'tian
天晚,tian'wan
天下,tian'xia
填写,tian'xie
跳到,tiao'dao
条件,tiao'jian
条件啊,tiao'jian'a
条舌兰,tiao'she'lan
调试,tiao'shi
条文,tiao'wen
条线,tiao'xian
挑选,tiao'xuan
铁角蕨,tie'jiao'jue
铁路,tie'lu
铁路局,tie'lu'ju
贴膜,tie'mo
帖子,tie'zi
挺不错,ting'bu'cuo
听过,ting'guo
挺好,ting'hao
挺好吧,ting'hao'ba
挺好的,ting'hao'de
听了,ting'le
听说,ting'shuo
听说过,ting'shuo'guo
听说了,ting'shuo'le
听说她对他女朋友非常好,ting'shuo'ta'dui'ta'nv'peng'you'fei'chang'hao
听听,ting'ting
同胞,tong'bao
同步,tong'bu
同城,tong'cheng
佟大为,tong'da'wei
通风,tong'feng
通过,tong'guo
通过比较,tong'guo'bi'jiao
统计,tong'ji
痛快,tong'kuai
同情,tong'qing
同纬度,tong'wei'du
同学,tong'xue
同学没有,tong'xue'mei'you
通讯录,tong'xun'lu
同意,tong'yi
统一,tong'yi
同义词,tong'yi'ci
统一的题目,tong'yi'de'ti'mu
同一个种,tong'yi'ge'zhong
通知,tong'zhi
同志,tong'zhi
通知我,tong'zhi'wo
通知一下,tong'zhi'yi'xia
童子,tong'zi
投出去,tou'chu'qu
投出去以后,tou'chu'qu'yi'hou
头都大了,tou'dou'da'le
投稿,tou'gao
投入,tou'ru
投诉,tou'su
透透气,tou'tou'qi
头之前,tou'zhi'qian
投资,tou'zi
土地,tu'di
土垫层,tu'dian'ceng
图鉴,tu'jian
途径,tu'jing
图片,tu'pian
图谱,tu'pu
土壤,tu'rang
图书,tu'shu
图书馆,tu'shu'guan
土体,tu'ti
图像,tu'xiang
土样,tu'yang
团员,tuan'yuan
团圆,tuan'yuan
推迟,tui'chi
推荐,tui'jian
推荐一下,tui'jian'yi'xia
退款,tui'kuan
推销,tui'xiao
推销一下,tui'xiao'yi'xia
退休金,tui'xiu'jin
拓宽,tuo'kuan
拖拉机,tuo'la'ji
拖泥带水,tuo'ni'dai'shui
托配啤酒,tuo'pei'pi'jiu
拖着,tuo'zhe
挖出来,wa'chu'lai
哇凉,wa'liang
瓦你们,wa'ni'men
挖墙脚,wa'qiang'jiao
娃娃,wa'wa
外边,wai'bian
外边住,wai'bian'zhu
外层,wai'ceng
外人不得,wai'ren'bu'de
外省,wai'sheng
外围,wai'wei
外文,wai'wen
完毕,wan'bi
万沉不了,wan'chen'bu'liao
完成,wan'cheng
完成不了,wan'cheng'bu'liao
万德,wan'de
玩法,wan'fa
万方,wan'fang
完好,wan'hao
完好无损,wan'hao'wu'sun
玩会吧,wan'hui'ba
完了就没有了,wan'liao'jiu'mei'you'le
完美,wan'mei
完美版本,wan'mei'ban'ben
万难,wan'nan
皖南,wan'nan
万能,wan'neng
玩去,wan'qu
万人敌,wan'ren'di
晚上,wan'shang
万寿山,wan'shou'shan
玩玩,wan'wan
完整,wan'zheng
往北,wang'bei
王兵,wang'bing
望夫成龙,wang'fu'cheng'long
网格,wang'ge
网关,wang'guan
王辉,wang'hui
忘记,wang'ji
王慷林,wang'kang'lin
网孔,wang'kong
王老师,wang'lao'shi
网老四,wang'lao'si
忘了,wang'le
网路,wang'lu
网络,wang'luo
王宁,wang'ning
望去,wang'qu
枉然,wang'ran
网傻瓜,wang'sha'gua
网上,wang'shang
网上银行,wang'shang'yin'hang
网速,wang'su
网通,wang'tong
往往,wang'wang
王五,wang'wu
王熙凤,wang'xi'feng
网页,wang'ye
网页都打不开,wang'ye'dou'da'bu'kai
网页上,wang'ye'shang
网易,wang'yi
网银,wang'yin
望远镜,wang'yuan'jing
王云和,wang'yun'he
网站,wang'zhan
网站上,wang'zhan'shang
王者,wang'zhe
网址,wang'zhi
围城,wei'cheng
围成,wei'cheng
违法,wei'fa
为工作,wei'gong'zuo
微观,wei'guan
维管,wei'guan
维管束,wei'guan'shu
维管植物,wei'guan'zhi'wu
维护,wei'hu
微环境,wei'huan'jing
未婚,wei'hun
微机,wei'ji
维基百科,wei'ji'bai'ke
未来,wei'lai
为了,wei'le
微粒,wei'li
为嘛,wei'ma
卫矛,wei'mao
为你,wei'ni
围墙,wei'qiang
委屈,wei'qu
为人不识,wei'ren'bu'shi
为什么,wei'shen'me
微生物,wei'sheng'wu
微生物的,wei'sheng'wu'de
未说,wei'shuo
委婉,wei'wan
微小,wei'xiao
位于,wei'yu
为止,wei'zhi
位置,wei'zhi
未知,wei'zhi
为主,wei'zhu
温带,wen'dai
温带林,wen'dai'lin
文档,wen'dang
稳定,wen'ding
稳定了,wen'ding'le
稳定性,wen'ding'xing
温度,wen'du
温度湿度,wen'du'shi'du
温度与,wen'du'yu
文国,wen'guo
文件,wen'jian
文件夹,wen'jian'jia
文具店,wen'ju'dian
问卷调查,wen'juan'diao'cha
文科,wen'ke
蚊母树,wen'mu'shu
文凭,wen'ping
温湿度,wen'shi'du
温湿度计,wen'shi'du'ji
温湿记,wen'shi'ji
问她,wen'ta
问题,wen'ti
问问,wen'wen
问问一下,wen'wen'yi'xia
问我呢,wen'wo'ne
文献,wen'xian
问斩,wen'zhan
文章,wen'zhang
文章了,wen'zhang'le
文章目录,wen'zhang'mu'lu
文章有用,wen'zhang'you'yong
我啊,wo'a
我啊很羡慕他女朋友,wo'a'hen'xian'mu'ta'nv'peng'you
我爱你,wo'ai'ni
我办公五十三人,wo'ban'gong'wu'shi'san'ren
我办理,wo'ban'li
我不太清楚,wo'bu'tai'qing'chu
我不太想搬家,wo'bu'tai'xiang'ban'jia
我的,wo'de
我的改了,wo'de'gai'le
我的手机,wo'de'shou'ji
