阿母白媒人,a'mu'bai'mei'ren
为有暗香来,wei'you'an'xiang'lai
未有不得人者也,wei'you'bu'de'ren'zhe'ye
未有不嗜杀人者也,wei'you'bu'shi'sha'ren'zhe'ye
惟有层冰积雪,wei'you'ceng'bing'ji'xue
惟有长江水,wei'you'chang'jiang'shui
惟有池塘自碧,wei'you'chi'tang'zi'bi
惟有垂杨自舞,wei'you'chui'yang'zi'wu
未有得人者也,wei'you'de'ren'zhe'ye
唯有德者能之,wei'you'de'zhe'neng'zhi
唯有杜康,wei'you'du'kang
卫有恶人焉,wei'you'e'ren'yan
未有封侯之赏,wei'you'feng'hou'zhi'shang
未有夫子也,wei'you'fu'zi'ye
惟有归来是,wei'you'gui'lai'shi
惟有旧家秋娘,wei'you'jiu'jia'qiu'niang
惟有旧时山共水,wei'you'jiu'shi'shan'gong'shui
未有涓埃答圣朝,wei'you'juan'ai'da'sheng'chao
未有孔子也,wei'you'kong'zi'ye
惟有阑干,wei'you'lan'gan
惟有蓝桥路近,wei'you'lan'qiao'lu'jin
惟有泪千行,wei'you'lei'qian'hang
惟有两行低雁,wei'you'liang'hang'di'yan
惟有楼前流水,wei'you'lou'qian'liu'shui
唯有门前镜湖水,wei'you'men'qian'jing'hu'shui
惟有门前镜湖水,wei'you'men'qian'jing'hu'shui
未有命戒,wei'you'ming'jie
未有能动者也,wei'you'neng'dong'zhe'ye
未有能服人者也,wei'you'neng'fu'ren'zhe'ye
未有能济者也,wei'you'neng'ji'zhe'ye
未有能善于其终者也,wei'you'neng'shan'yu'qi'zhong'zhe'ye
谓有奇景,wei'you'qi'jing
惟有轻别,wei'you'qing'bie
唯有蜻蜓蛱蝶飞,wei'you'qing'ting'jia'die'fei
未有仁而遗其亲者也,wei'you'ren'er'yi'qi'qin'zhe'ye
未有人行,wei'you'ren'xing
惟有少年心,wei'you'shao'nian'xin
未有甚於此时者也,wei'you'shen'yu'ci'shi'zhe'ye
未有盛於孔子也,wei'you'sheng'yu'kong'zi'ye
未有疏於此时者也,wei'you'shu'yu'ci'shi'zhe'ye
未有天地,wei'you'tian'di
未有天地可知邪,wei'you'tian'di'ke'zhi'xie
未有小人而仁者也,wei'you'xiao'ren'er'ren'zhe'ye
魏有信陵,wei'you'xin'ling
惟有杨花糁径,wei'you'yang'hua'shen'jing
未有义而後其君者也,wei'you'yi'er'hou'qi'jun'zhe'ye
惟有饮者留其名,wei'you'yin'zhe'liu'qi'ming
惟有幽人自来去,wei'you'you'ren'zi'lai'qu
惟有游丝,wei'you'you'si
惟有御沟声断,wei'you'yu'gou'sheng'duan
未有与焉,wei'you'yu'yan
为有源头活水来,wei'you'yuan'tou'huo'shui'lai
未有知其修者,wei'you'zhi'qi'xiu'zhe
未有子孙而有孙子可乎,wei'you'zi'sun'er'you'sun'zi'ke'hu
微雨霭芳原,wei'yu'ai'fang'yuan
围于陈蔡之间,wei'yu'chen'cai'zhi'jian
为予大用,wei'yu'da'yong
为余浩叹,wei'yu'hao'tan
微雨花间画闲,wei'yu'hua'jian'hua'xian
微雨燕双飞,wei'yu'yan'shuang'fei
唯予与汝知而未尝死,wei'yu'yu'ru'zhi'er'wei'chang'si
惟馀钟磬音,wei'yu'zhong'qing'yin
微云淡月,wei'yun'dan'yue
未云何龙,wei'yun'he'long
为在从众,wei'zai'cong'zhong
伟哉造化,wei'zai'zao'hua
卫遭宋桓司马,wei'zao'song'huan'si'ma
为长者折枝语人曰,wei'zhang'zhe'zhe'zhi'yu'ren'yue
为赵魏老则优,wei'zhao'wei'lao'ze'you
为者败之,wei'zhe'bai'zhi
威振四海,wei'zhen'si'hai
为政不难,wei'zheng'bu'nan
为政不因先王之道,wei'zheng'bu'yin'xian'wang'zhi'dao
为政第二,wei'zheng'di'er
为政以德,wei'zheng'yi'de
谓之蔽蒙之民,wei'zhi'bi'meng'zhi'min
谓之不道,wei'zhi'bu'dao
未之尝言,wei'zhi'chang'yan
为之踌躇满志,wei'zhi'chou'chu'man'zhi
谓之篡夫,wei'zhi'cuan'fu
谓之道枢,wei'zhi'dao'shu
谓之倒置之民,wei'zhi'dao'zhi'zhi'min
为之斗斛以量之,wei'zhi'dou'hu'yi'liang'zhi
未至二三里,wei'zhi'er'san'li
为之而四顾,wei'zhi'er'si'gu
为治而已矣,wei'zhi'er'yi'yi
为之符玺以信之,wei'zhi'fu'xi'yi'xin'zhi
为之傅之,wei'zhi'fu'zhi
谓之固矣,wei'zhi'gu'yi
谓之贵贵,wei'zhi'gui'gui
为之诡遇,wei'zhi'gui'yu
未知何处是潇湘,wei'zhi'he'chu'shi'xiao'xiang
未知今之所谓是之非五十九非也,wei'zhi'jin'zhi'suo'wei'shi'zhi'fei'wu'shi'jiu'fei'ye
谓之冥冥,wei'zhi'ming'ming
为彘谋曰,wei'zhi'mou'yue
为彘谋则去之,wei'zhi'mou'ze'qu'zhi
为之奈何,wei'zhi'nai'he
未之能行,wei'zhi'neng'xing
唯止能止众止,wei'zhi'neng'zhi'zhong'zhi
未知牝牡之合而作,wei'zhi'pin'mu'zhi'he'er'zuo
未知其孰贤,wei'zhi'qi'shu'xian
为之权衡以称之,wei'zhi'quan'heng'yi'cheng'zhi
谓至仁不孝,wei'zhi'ren'bu'xiao
谓之人乐,wei'zhi'ren'le
唯至人乃能游于世而不僻,wei'zhi'ren'nai'neng'you'yu'shi'er'bu'pi
为之仁义以矫之,wei'zhi'ren'yi'yi'jiao'zhi
卫之善射者也,wei'zhi'shan'she'zhe'ye
为之司其名之名嬴法得其两见,wei'zhi'si'qi'ming'zhi'ming'ying'fa'de'qi'liang'jian
未之思也,wei'zhi'si'ye
谓之天乐,wei'zhi'tian'le
谓之天民,wei'zhi'tian'min
谓之天子,wei'zhi'tian'zi
为之伪谓之失,wei'zhi'wei'wei'zhi'shi
谓之吴孟子,wei'zhi'wu'meng'zi
未之学也,wei'zhi'xue'ye
谓之一夫,wei'zhi'yi'fu
谓之义之徒,wei'zhi'yi'zhi'tu
谓之以知养恬,wei'zhi'yi'zhi'yang'tian
谓之有司,wei'zhi'you'si
为之犹贤乎已,wei'zhi'you'xian'hu'yi
未之有也,wei'zhi'you'ye
唯之与阿,wei'zhi'yu'a
为之于未有,wei'zhi'yu'wei'you
为之于未有治,wei'zhi'yu'wei'you'zhi
为之兆也,wei'zhi'zhao'ye
惟智者为能以小事大,wei'zhi'zhe'wei'neng'yi'xiao'shi'da
谓之真人,wei'zhi'zhen'ren
谓之至人,wei'zhi'zhi'ren
未知中否,wei'zhi'zhong'fou
谓之自暴也,wei'zhi'zi'bao'ye
谓之自弃也,wei'zhi'zi'qi'ye
谓之尊贤,wei'zhi'zun'xian
唯种也不知其身之所以愁,wei'zhong'ye'bu'zhi'qi'shen'zhi'suo'yi'chou
唯种也能知亡之所以存,wei'zhong'ye'neng'zhi'wang'zhi'suo'yi'cun
为诸侯度,wei'zhu'hou'du
为诸侯忧,wei'zhu'hou'you
惟助为有公田,wei'zhu'wei'you'gong'tian
惟兹臣庶,wei'zi'chen'shu
微子第十八,wei'zi'di'shi'ba
为子骨肉肌肤,wei'zi'gu'rou'ji'fu
微子去之,wei'zi'qu'zhi
未足以逞其能也,wei'zu'yi'cheng'qi'neng'ye
未足以活身,wei'zu'yi'huo'shen
未足与议也,wei'zu'yu'yi'ye
温伯雪子适齐,wen'bo'xue'zi'shi'qi
温伯雪子曰,wen'bo'xue'zi'yue
闻不若塞,wen'bu'ruo'sai
文不在兹乎,wen'bu'zai'zi'hu
文采风流今尚存,wen'cai'feng'liu'jin'shang'cun
问苍波无语,wen'cang'bo'wu'yu
闻蝉但益悲,wen'chan'dan'yi'bei
文成破体书在纸,wen'cheng'po'ti'shu'zai'zhi
闻船中夜弹琵琶者,wen'chuan'zhong'ye'tan'pi'pa'zhe
问春何苦勿勿,wen'chun'he'ku'wu'wu
问春何在,wen'chun'he'zai
问答乃未已,wen'da'nai'wei'yi
闻大王有意督过之,wen'da'wang'you'yi'du'guo'zhi
闻道故林相识多,wen'dao'gu'lin'xiang'shi'duo
问道归凤翔,wen'dao'gui'feng'xiang
闻道汉家天子使,wen'dao'han'jia'tian'zi'shi
闻道黄龙戍,wen'dao'huang'long'shu
闻道绮陌东头,wen'dao'qi'mo'dong'tou
闻道有先之后,wen'dao'you'xian'zhi'hou
闻道欲来相问讯,wen'dao'yu'lai'xiang'wen'xun
闻道玉门犹被遮,wen'dao'yu'men'you'bei'zhe
闻道中原遗老,wen'dao'zhong'yuan'yi'lao
温椟而藏诸,wen'du'er'cang'zhu
问杜曲人家在否,wen'du'qu'ren'jia'zai'fou
闻而非也,wen'er'fei'ye
稳泛沧浪空阔,wen'fan'cang'lang'kong'kuo
问繁华谁解,wen'fan'hua'shui'jie
闻风坐相悦,wen'feng'zuo'xiang'yue
文公与之处,wen'gong'yu'zhi'chu
温故而知新,wen'gu'er'zhi'xin
问谷奚事,wen'gu'xi'shi
闻官军收河南河北,wen'guan'jun'shou'he'nan'he'bei
闻广成子在于空同之上,wen'guang'cheng'zi'zai'yu'kong'tong'zhi'shang
问国之大禁,wen'guo'zhi'da'jin
问何人会解连环,wen'he'ren'hui'jie'lian'huan
问何人又卸,wen'he'ren'you'xie
问何物能令公喜,wen'he'wu'neng'ling'gong'xi
文侯傥然,wen'hou'tang'ran
问桓公曰,wen'huan'gong'yue
闻蟪蛄之流声,wen'hui'gu'zhi'liu'sheng
文惠君曰,wen'hui'jun'yue
问基时说与,wen'ji'shi'shuo'yu
问交于子张,wen'jiao'yu'zi'zhang
问君何所之,wen'jun'he'suo'zhi
问君能有几多愁,wen'jun'neng'you'ji'duo'chou
问君西游何时还,wen'jun'xi'you'he'shi'hai
闻君行仁政,wen'jun'xing'ren'zheng
闻君行圣人之政,wen'jun'xing'sheng'ren'zhi'zheng
问客何为来,wen'ke'he'wei'lai
闻郎江上唱歌声,wen'lang'jiang'shang'chang'ge'sheng
闻乐不乐,wen'le'bu'le
闻雷车之声则捧其首而立,wen'lei'che'zhi'sheng'ze'peng'qi'shou'er'li
闻邻笛悲甚,wen'lin'di'bei'shen
问刘十九,wen'liu'shi'jiu
问梅开未,wen'mei'kai'wei
稳耐风波愿始从,wen'nai'feng'bo'yuan'shi'cong
文期酒会,wen'qi'jiu'hui
闻其乐而知其德,wen'qi'le'er'zhi'qi'de
问其仆曰,wen'qi'pu'yue
问其与饮食者,wen'qi'yu'yin'shi'zhe
闻琴解佩神仙侣,wen'qin'jie'pei'shen'xian'lv
问秋香浓未,wen'qiu'xiang'nong'wei
问渠哪得清如许,wen'qu'na'de'qing'ru'xu
问渠那得清如许,wen'qu'na'de'qing'ru'xu
温泉水滑洗凝脂,wen'quan'shui'hua'xi'ning'zhi
问人于他邦,wen'ren'yu'ta'bang
闻人足音跫然而喜矣,wen'ren'zu'yin'qiong'ran'er'xi'yi
温柔便入深乡,wen'rou'bian'ru'shen'xiang
文胜质则史,wen'sheng'zhi'ze'shi
问世间情是何物,wen'shi'jian'qing'shi'he'wu
文史星历,wen'shi'xing'li
问谁留楚佩,wen'shui'liu'chu'pei
问谁调玉髓,wen'shui'tiao'yu'sui
问谁同是忆花人,wen'shui'tong'shi'yi'hua'ren
闻说鸡鸣见日升,wen'shuo'ji'ming'jian'ri'sheng
闻斯二者,wen'si'er'zhe
闻斯行之,wen'si'xing'zhi
闻斯行诸,wen'si'xing'zhu
问松我醉如何,wen'song'wo'zui'ru'he
问他有甚堪悲处,wen'ta'you'shen'kan'bei'chu
文王发政施仁,wen'wang'fa'zheng'shi'ren
文王观于国,wen'wang'guan'yu'guo
文王观于臧,wen'wang'guan'yu'zang
文王何可当也,wen'wang'he'ke'dang'ye
文王既没,wen'wang'ji'mei
闻王命而遂不果,wen'wang'ming'er'sui'bu'guo
文王其犹未邪,wen'wang'qi'you'wei'xie
文王生於岐周,wen'wang'sheng'yu'qi'zhou
文王事昆夷,wen'wang'shi'kun'yi
文王视民如伤,wen'wang'shi'min'ru'shang
文王是也,wen'wang'shi'ye
文王顺纣而不敢逆,wen'wang'shun'zhou'er'bu'gan'ni
文王我师也,wen'wang'wo'shi'ye
文王以百里,wen'wang'yi'bai'li
文王以民力为台为沼,wen'wang'yi'min'li'wei'tai'wei'zhao
文王一怒而安天下之民,wen'wang'yi'nu'er'an'tian'xia'zhi'min
文王欲举而授之政,wen'wang'yu'ju'er'shou'zhi'zheng
文王于是焉以为大师,wen'wang'yu'shi'yan'yi'wei'da'shi
文王之谓也,wen'wang'zhi'wei'ye
文王之囿,wen'wang'zhi'you
闻文王作兴,wen'wen'wang'zuo'xing
文翁翻教授,wen'weng'fan'jiao'shou
问我来何方,wen'wo'lai'he'fang
文武并用,wen'wu'bing'yong
文武伦经,wen'wu'lun'jing
文武殊材,wen'wu'shu'cai
文武之道,wen'wu'zhi'dao
闻吾子达于至道,wen'wu'zi'da'yu'zhi'dao
文献不足故也,wen'xian'bu'zu'gu'ye
闻弦歌之声,wen'xian'ge'zhi'sheng
问姓惊初见,wen'xing'jing'chu'jian
文行忠信,wen'xing'zhong'xin
问偃湖何日,wen'yan'hu'he'ri
问言与谁餐,wen'yan'yu'shui'can
问燕子来时,wen'yan'zi'lai'shi
闻义不能徙,wen'yi'bu'neng'xi
问一得三,wen'yi'de'san
闻以有翼飞者矣,wen'yi'you'yi'fei'zhe'yi
闻以有知知者矣,wen'yi'you'zhi'zhi'zhe'yi
问因循过了青春,wen'yin'xun'guo'le'qing'chun
闻有国有家者,wen'you'guo'you'jia'zhe
问于桀溺,wen'yu'jie'ni
问与孔子,wen'yu'kong'zi
问於孟子,wen'yu'meng'zi
问玉堂何似,wen'yu'tang'he'si
问与曾子,wen'yu'zeng'zi
问于仲尼曰,wen'yu'zhong'ni'yue
问院落凄凉,wen'yuan'luo'qi'liang
问臧奚事,wen'zang'xi'shi
文章本天成,wen'zhang'ben'tian'cheng
文章何处哭秋风,wen'zhang'he'chu'ku'qiu'feng
文章合为时而著,wen'zhang'he'wei'shi'er'zhu
文章千古事,wen'zhang'qian'gu'shi
文章憎命达,wen'zhang'zeng'ming'da
闻者足戒,wen'zhe'zu'jie
文质彬彬,wen'zhi'bin'bin
问之不肯道姓名,wen'zhi'bu'ken'dao'xing'ming
闻之夫子曰,wen'zhi'fu'zi'yue
文之以礼乐,wen'zhi'yi'li'le
闻诸副墨之子,wen'zhu'fu'mo'zhi'zi
闻诛一夫纣矣,wen'zhu'yi'fu'zhou'yi
闻姊家有阁子,wen'zi'jia'you'ge'zi
瓮牖绳枢之子,weng'you'sheng'shu'zhi'zi
我爱其礼,wo'ai'qi'li
我安逃此而可,wo'an'tao'ci'er'ke
我辈复登临,wo'bei'fu'deng'lin
我悲人之自丧者,wo'bei'ren'zhi'zi'sang'zhe
我本楚狂人,wo'ben'chu'kuang'ren
我本将心向明月,wo'ben'jiang'xin'xiang'ming'yue
我必不仁也,wo'bi'bu'ren'ye
我必不忠,wo'bi'bu'zhong
我必卖之,wo'bi'mai'zhi
我必先之,wo'bi'xian'zhi
我病君来高歌饮,wo'bing'jun'lai'gao'ge'yin
我不敢废,wo'bu'gan'fei
我不贯与小人乘,wo'bu'guan'yu'xiao'ren'cheng
我不忍以夫子之道,wo'bu'ren'yi'fu'zi'zhi'dao
我不若公阅休,wo'bu'ruo'gong'yue'xiu
我不若胜,wo'bu'ruo'sheng
我不识能至否乎,wo'bu'shi'neng'zhi'fou'hu
我不意子学古之道,wo'bu'yi'zi'xue'gu'zhi'dao
我不欲人之加诸我也,wo'bu'yu'ren'zhi'jia'zhu'wo'ye
我持白璧一双,wo'chi'bai'bi'yi'shuang
我持长瓢坐巴丘,wo'chi'chang'piao'zuo'ba'qiu
我从去年辞帝京,wo'cong'qu'nian'ci'di'jing
我待贾者也,wo'dai'jia'zhe'ye
我得斗升之水然活耳,wo'dei'dou'sheng'zhi'shui'ran'huo'er
我得夫子之道矣,wo'dei'fu'zi'zhi'dao'yi
我独泊兮,wo'du'bo'xi
我独不得出,wo'du'bu'de'chu
我独何能无概,wo'du'he'neng'wu'gai
我独昏昏,wo'du'hun'hun
我独闷闷,wo'du'men'men
我独贤劳也,wo'du'xian'lao'ye
我独异于人,wo'du'yi'yu'ren
我对曰无违,wo'dui'yue'wu'wei
我非爱其财而易之以羊也,wo'fei'ai'qi'cai'er'yi'zhi'yi'yang'ye
我非生而知之者,wo'fei'sheng'er'zhi'zhi'zhe
我非尧舜之道,wo'fei'yao'shun'zhi'dao
我怫然而怒,wo'fu'ran'er'nu
我歌今与君殊科,wo'ge'jin'yu'jun'shu'ke
我歌月徘徊,wo'ge'yue'pai'huai
我果非也邪,wo'guo'fei'ye'xie
我果是也,wo'guo'shi'ye
我行殊未已,wo'hang'shu'wei'yi
我何以过人哉,wo'he'yi'guo'ren'zai
我何以汤之聘币为哉,wo'he'yi'tang'zhi'pin'bi'wei'zai
卧后清宵细细长,wo'hou'qing'xiao'xi'xi'chang
我讳穷久矣,wo'hui'qiong'jiu'yi
我寄愁心与明月,wo'ji'chou'xin'yu'ming'yue
我家洗砚池头树,wo'jia'xi'yan'chi'tou'shu
我家襄水曲,wo'jia'xiang'shui'qu
我见青山多妩媚,wo'jian'qing'shan'duo'wu'mei
我将得邑金,wo'jiang'de'yi'jin
我将劳君,wo'jiang'lao'jun
我将去之,wo'jiang'qu'zhi
我竭力耕田,wo'jie'li'geng'tian
我决起而飞,wo'jue'qi'er'fei
我觉其间,wo'jue'qi'jian
我觉山高,wo'jue'shan'gao
卧看牵牛织女星,wo'kan'qian'niu'zhi'nv'xing
卧看桃叶送兰舟,wo'kan'tao'ye'song'lan'zhou
我叩其两端而竭焉,wo'kou'qi'liang'duan'er'jie'yan
我来吊古,wo'lai'diao'gu
我来正逢秋雨节,wo'lai'zheng'feng'qiu'yu'jie
卧龙跃马终黄土,wo'long'yue'ma'zhong'huang'tu
卧龙诸葛,wo'long'zhu'ge
我们参照了,wo'men'can'zhao'le
我们这里,wo'men'zhei'li
我明告子,wo'ming'gao'zi
我命绝今日,wo'ming'jue'jin'ri
我明语子,wo'ming'yu'zi
我其杓之人邪,wo'qi'biao'zhi'ren'xie
我其内热与,wo'qi'nei're'yu
我岂若处畎亩之中,wo'qi'ruo'chu'quan'mu'zhi'zhong
我且必为镆铘,wo'qie'bi'wei'mo'ye
我且南游吴越之王,wo'qie'nan'you'wu'yue'zhi'wang
我且往见,wo'qie'wang'jian
我且直之,wo'qie'zhi'zhi
我劝天公重抖擞,wo'quan'tian'gong'chong'dou'sou
我善养吾浩然之气,wo'shan'yang'wu'hao'ran'zhi'qi
我善治马,wo'shan'zhi'ma
我善治木,wo'shan'zhi'mu
我善治埴,wo'shan'zhi'zhi
我生待明日,wo'sheng'dai'ming'ri
我世世为洴澼絖,wo'shi'shi'wei'ping'pi'kuang
我使掌与女乘,wo'shi'zhang'yu'nv'cheng
我守其一以处其和,wo'shou'qi'yi'yi'chu'qi'he
我树之成而实五石,wo'shu'zhi'cheng'er'shi'wu'shi
我四十不动心,wo'si'shi'bu'dong'xin
我虽不敏,wo'sui'bu'min
我腾跃而上,wo'teng'yue'er'shang
我畏段某耶,wo'wei'duan'mou'ye
我未见好仁者,wo'wei'jian'hao'ren'zhe
我未见力不足者,wo'wei'jian'li'bu'zu'zhe
我为女遂于大明之上矣,wo'wei'nv'sui'yu'da'ming'zhi'shang'yi
我为汝言其大略,wo'wei'ru'yan'qi'da'lue
我为鱼肉,wo'wei'yu'rou
我未之见也,wo'wei'zhi'jian'ye
我闻琵琶已叹息,wo'wen'pi'pa'yi'tan'xi
我闻吾子达于至道,wo'wen'wu'zi'da'yu'zhi'dao
卧闻岳阳城里钟,wo'wen'yue'yang'cheng'li'zhong
我无官守,wo'wu'guan'shou
我无能焉,wo'wu'neng'yan
我无是也,wo'wu'shi'ye
我无所处,wo'wu'suo'chu
我武惟扬,wo'wu'wei'yang
我无言责也,wo'wu'yan'ze'ye
我舞影凌乱,wo'wu'ying'ling'luan
我无舟车,wo'wu'zhou'che
我先出则子止,wo'xian'chu'ze'zi'zhi
我笑他人看不穿,wo'xiao'ta'ren'kan'bu'chuan
我心素已闲,wo'xin'su'yi'xian
我学不厌而教不倦也,wo'xue'bu'yan'er'jiao'bu'juan'ye
我言秋日胜春朝,wo'yan'qiu'ri'sheng'chun'zhao
我亦多情,wo'yi'duo'qing
我亦教之,wo'yi'jiao'zhi
我亦举家清,wo'yi'ju'jia'qing
我亦人也,wo'yi'ren'ye
我亦胜我,wo'yi'sheng'wo
我亦虱其间,wo'yi'shi'qi'jian
我以吾仁,wo'yi'wu'ren
我以吾义,wo'yi'wu'yi
我亦欲正人心,wo'yi'yu'zheng'ren'xin
我犹不足贵也,wo'you'bu'zu'gui'ye
我有道也,wo'you'dao'ye
我又何恶焉,wo'you'he'e'yan
我有嘉宾,wo'you'jia'bin
我有迷魂招不得,wo'you'mi'hun'zhao'bu'de
我有亲父母,wo'you'qin'fu'mu
我有亲父兄,wo'you'qin'fu'xiong
我有三宝,wo'you'san'bao
我有圣人之道而无圣人之才,wo'you'sheng'ren'zhi'dao'er'wu'sheng'ren'zhi'cai
我由未免为乡人也,wo'you'wei'mian'wei'xiang'ren'ye
我欲乘风归去,wo'yu'cheng'feng'gui'qu
我於辞命,wo'yu'ci'ming
我欲伐宗脍,wo'yu'fa'zong'kuai
我愚人之心也哉,wo'yu'ren'zhi'xin'ye'zai
我与汝终不近也,wo'yu'ru'zhong'bu'jin'ye
我与若不能相知也,wo'yu'ruo'bu'neng'xiang'zhi'ye
我与若知之,wo'yu'ruo'zhi'zhi
我欲行礼,wo'yu'xing'li
我欲寻诗宽久旅,wo'yu'xun'shi'kuan'jiu'lv
我欲因之梦吴越,wo'yu'yin'zhi'meng'wu'yue
我欲与君相知,wo'yu'yu'jun'xiang'zhi
我欲中国而授孟子室,wo'yu'zhong'guo'er'shou'meng'zi'shi
卧舆中困甚,wo'yu'zhong'kun'shen
我遭谗口身落此,wo'zao'chan'kou'shen'luo'ci
我早生华发,wo'zao'sheng'hua'fa
我则悍矣,wo'ze'han'yi
我则或一日而返焉,wo'ze'huo'yi'ri'er'fan'yan
我则劳于君,wo'ze'lao'yu'jun
我则异于是,wo'ze'yi'yu'shi
我丈夫也,wo'zhang'fu'ye
卧着孤鹤驾天风,wo'zhe'gu'he'jia'tian'feng
我之不贤与,wo'zhi'bu'xian'yu
我之大贤与,wo'zhi'da'xian'yu
我知入数而已,wo'zhi'ru'shu'er'yi
我之谓风波之民,wo'zhi'wei'feng'bo'zhi'min
我之谓也,wo'zhi'wei'ye
我志在寥阔,wo'zhi'zai'liao'kuo
我知之濠上也,wo'zhi'zhi'hao'shang'ye
我住长江头,wo'zhu'chang'jiang'tou
我住长江尾,wo'zhu'chang'jiang'wei
我自不驱卿,wo'zi'bu'qu'qing
我自横刀向天笑,wo'zi'heng'dao'xiang'tian'xiao
我自中宵成转侧,wo'zi'zhong'xiao'cheng'zhuan'ce
我醉君复乐,wo'zui'jun'fu'le
我最怜君中宵舞,wo'zui'lian'jun'zhong'xiao'wu
吾爱孟夫子,wu'ai'meng'fu'zi
吾爱汝至,wu'ai'ru'zhi
吾安得夫忘言之人而与之言哉,wu'an'de'fu'wang'yan'zhi'ren'er'yu'zhi'yan'zai
吾安用足哉,wu'an'yong'zu'zai
五百年必有王者兴,wu'bai'nian'bi'you'wang'zhe'xing
五百岁为秋,wu'bai'sui'wei'qiu
无暴其气,wu'bao'qi'qi
无暴其气者,wu'bao'qi'qi'zhe
吾辈处今日之中国,wu'bei'chu'jin'ri'zhi'zhong'guo
吾必谓之学矣,wu'bi'wei'zhi'xue'yi
吾必以仲子为巨擘焉,wu'bi'yi'zhong'zi'wei'ju'bo'yan
五变而形名可举,wu'bian'er'xing'ming'ke'ju
无边光景一时新,wu'bian'guang'jing'yi'shi'xin
无边落木萧萧下,wu'bian'luo'mu'xiao'xiao'xia
无边丝雨细如愁,wu'bian'si'yu'xi'ru'chou
吾不敖无告,wu'bu'ao'wu'gao
无不成也,wu'bu'cheng'ye
吾不得而见之矣,wu'bu'de'er'jian'zhi'yi
吾不反不侧,wu'bu'fan'bu'ce
吾不复梦见周公,wu'bu'fu'meng'jian'zhou'gong
无不毁也,wu'bu'hui'ye
吾不能变心以从俗兮,wu'bu'neng'bian'xin'yi'cong'su'xi
物不能离也,wu'bu'neng'li'ye
吾不能学太上之忘情也,wu'bu'neng'xue'tai'shang'zhi'wang'qing'ye
吾不能御,wu'bu'neng'yu
吾不忍其觳觫,wu'bu'ren'qi'hu'su
乌不日黔而黑,wu'bu'ri'qian'er'hei
吾不如老农,wu'bu'ru'lao'nong
吾不如老圃,wu'bu'ru'lao'pu
吾不徒行以为之椁,wu'bu'tu'xing'yi'wei'zhi'guo
无不忘也,wu'bu'wang'ye
吾不为是也,wu'bu'wei'shi'ye
无不为已,wu'bu'wei'yi
五不孝也,wu'bu'xiao'ye
吾不信也,wu'bu'xin'ye
五步一楼,wu'bu'yi'lou
无不迎也,wu'bu'ying'ye
无不有也,wu'bu'you'ye
吾不欲观之矣,wu'bu'yu'guan'zhi'yi
吾不与祭,wu'bu'yu'ji
吾不欲见也,wu'bu'yu'jian'ye
吾不与也,wu'bu'yu'ye
吾不与之为事,wu'bu'yu'zhi'wei'shi
污不至阿其所好,wu'bu'zhi'e'qi'suo'hao
吾不知其恶也,wu'bu'zhi'qi'e'ye
吾不知其美也,wu'bu'zhi'qi'mei'ye
吾不知其名,wu'bu'zhi'qi'ming
吾不知其异也,wu'bu'zhi'qi'yi'ye
吾不知天地之大全也,wu'bu'zhi'tian'di'zhi'da'quan'ye
吾不知之矣,wu'bu'zhi'zhi'yi
吾不惴焉,wu'bu'zhui'yan
无不走也,wu'bu'zou'ye
无才日衰老,wu'cai'ri'shuai'lao
无藏逆于得,wu'cang'ni'yu'de
无恻隐之心,wu'ce'yin'zhi'xin
吾尝济乎觞深之渊,wu'chang'ji'hu'shang'shen'zhi'yuan
吾长见笑于大方之家,wu'chang'jian'xiao'yu'da'fang'zhi'jia
吾尝居山穴之中矣,wu'chang'ju'shan'xue'zhi'zhong'yi
吾尝跂而望矣,wu'chang'qi'er'wang'yi
吾尝闻大勇於夫子矣,wu'chang'wen'da'yong'yu'fu'zi'yi
吾尝闻之矣,wu'chang'wen'zhi'yi
吾尝语曰,wu'chang'yu'yue
无常职而赐於上者,wu'chang'zhi'er'ci'yu'shang'zhe
吾尝终日不食,wu'chang'zhong'ri'bu'shi
吾尝终日而思矣,wu'chang'zhong'ri'er'si'yi
雾朝烟暮,wu'chao'yan'mu
物彻疏明,wu'che'shu'ming
雾沉半垒,wu'chen'ban'lei
无臣而为有臣,wu'chen'er'wei'you'chen
无臣于下,wu'chen'yu'xia
物成生理谓之形,wu'cheng'sheng'li'wei'zhi'xing
无成与亏,wu'cheng'yu'kui
吾诚愿与汝相守以死,wu'cheng'yuan'yu'ru'xiang'shou'yi'si
吾充吾爱汝之心,wu'chong'wu'ai'ru'zhi'xin
物出不得先物也,wu'chu'bu'dei'xian'wu'ye
无处不伤心,wu'chu'bu'shang'xin
无处不消魂,wu'chu'bu'xiao'hun
吴楚东南坼,wu'chu'dong'nan'che
无出而阳,wu'chu'er'yang
无处而之,wu'chu'er'zhi
无处话凄凉,wu'chu'hua'qi'liang
无处觅萧声,wu'chu'mi'xiao'sheng
吾处身也,wu'chu'shen'ye
无处无服始安道,wu'chu'wu'fu'shi'an'dao
无处着清香,wu'chu'zhe'qing'xiang
无传其溢言,wu'chuan'qi'yi'yan
无此道而为此服者,wu'ci'dao'er'wei'ci'fu'zhe
无辞让之心,wu'ci'rang'zhi'xin
吾辞受趣舍,wu'ci'shou'qu'she
吾从板外相为应答,wu'cong'ban'wai'xiang'wei'ying'da
吾从而师之,wu'cong'er'shi'zhi
