阿那吒王,a'na'zha'wang
若遇吾我贡高者,ruo'yu'wu'wo'gong'gao'zhe
若遇邪见者,ruo'yu'xie'jian'zhe
若遇邪淫者,ruo'yu'xie'yin'zhe
若遇饮食无度者,ruo'yu'yin'shi'wu'du'zhe
若遇最下贫穷,ruo'yu'zui'xia'pin'qiong
若再履践,ruo'zai'lv'jian
若在世时,ruo'zai'shi'shi
三海之内,san'hai'zhi'nei
三目鬼王,san'mu'gui'wang
三七日内勿杀害,san'qi'ri'nei'wu'sha'hai
三七日中念其名,san'qi'ri'zhong'nian'qi'ming
三世如来同赞叹十方菩萨共皈依,san'shi'ru'lai'tong'zan'tan'shi'fang'pu'sa'gong'gui'yi
三十生中,san'shi'sheng'zhong
三世一切佛,san'shi'yi'qie'fo
三途六道绝尘埃,san'tu'liu'dao'jue'chen'ai
散殃鬼王,san'yang'gui'wang
三业恶因之所招感,san'ye'e'yin'zhi'suo'zhao'gan
三者,san'zhe
丧失性命,sang'shi'xing'ming
色究竟天,se'jiu'jing'tian
色中无大种,se'zhong'wu'da'zhong
刹利,sha'li
善果日增,shan'guo'ri'zeng
善见天,shan'jian'tian
善禁是毒,shan'jin'shi'du
善男子善女人,shan'nan'zi'shan'nv'ren
善能为母发如是大愿,shan'neng'wei'mu'fa'ru'shi'da'yuan
山神,shan'shen
善逝,shan'shi
山石微尘,shan'shi'wei'chen
善思念之,shan'si'nian'zhi
山王佛,shan'wang'fo
善习结果,shan'xi'jie'guo
善现天,shan'xian'tian
善哉菩萨,shan'zai'pu'sa
善哉善哉,shan'zai'shan'zai
尚恶习在,shang'e'xi'zai
上火彻下,shang'huo'che'xia
尚获此报,shang'huo'ci'bao
尚为菩萨,shang'wei'pu'sa
尚在阿鼻地狱,shang'zai'a'bi'di'yu
少光天,shao'guang'tian
烧脚地狱,shao'jiao'di'yu
少净天,shao'jing'tian
少失父母恩爱者,shao'shi'fu'mu'en'ai'zhe
烧手地狱,shao'shou'di'yu
烧香供养,shao'xiang'gong'yang
少香少花,shao'xiang'shao'hua
少有空缺,shao'you'kong'que
舍此报已,she'ci'bao'yi
摄毒鬼王,she'du'gui'wang
设或暂信,she'huo'zan'xin
设使顶受,she'shi'ding'shou
设食供养,she'shi'gong'yang
舍邪归正,she'xie'gui'zheng
舍一得万报,she'yi'de'wan'bao
设欲求男女,she'yu'qiu'nan'nv
设斋供养,she'zhai'gong'yang
舍诸等物,she'zhu'deng'wu
审定之后,shen'ding'zhi'hou
神鬼助持,shen'gui'zhu'chi
身居常寂光,shen'ju'chang'ji'guang
身口意业,shen'kou'yi'ye
深生珍重,shen'sheng'zhen'zhong
神识昏昧,shen'shi'hun'mei
深誓愿故,shen'shi'yuan'gu
身为大长者子,shen'wei'da'zhang'zhe'zi
慎勿杀害,shen'wu'sha'hai
慎五辛酒肉,shen'wu'xin'jiu'rou
身亦不住心,shen'yi'bu'zhu'xin
呻吟久卧床,shen'yin'jiu'wo'chuang
甚欲利益,shen'yu'li'yi
生革络首,sheng'ge'luo'shou
生恭敬心,sheng'gong'jing'xin
生何世界,sheng'he'shi'jie
生何天中,sheng'he'tian'zhong
圣母,sheng'mu
圣女答曰,sheng'nv'da'yue
圣女问曰,sheng'nv'wen'yue
圣女又问,sheng'nv'you'wen
圣女又问大鬼王曰,sheng'nv'you'wen'da'gui'wang'yue
圣女又问鬼王无毒曰,sheng'nv'you'wen'gui'wang'wu'du'yue
生人天中,sheng'ren'tian'zhong
生生勇力强,sheng'sheng'yong'li'qiang
生时死时,sheng'shi'si'shi
生时又无善因,sheng'shi'you'wu'shan'yin
生死道中,sheng'si'dao'zhong
生死业缘,sheng'si'ye'yuan
生天人中,sheng'tian'ren'zhong
生天以来,sheng'tian'yi'lai
生为梵志,sheng'wei'fan'zhi
生长以来皆不识,sheng'zhang'yi'lai'jie'bu'shi
圣者,sheng'zhe
生者自利,sheng'zhe'zi'li
生尊贵家,sheng'zun'gui'jia
十八日,shi'ba'ri
十八者,shi'ba'zhe
尸波罗蜜音,shi'bo'luo'mi'yin
誓不作法王,shi'bu'zuo'fa'wang
是产难时,shi'chan'nan'shi
是丑陋女人,shi'chou'lou'nv'ren
是大地狱,shi'da'di'yu
是大鬼王,shi'da'gui'wang
是大鬼王主命者,shi'da'gui'wang'zhu'ming'zhe
是大国王等,shi'da'guo'wang'deng
是大菩萨,shi'da'pu'sa
是大士慈悲愿故,shi'da'shi'ci'bei'yuan'gu
是等辈人,shi'deng'bei'ren
是地藏菩萨,shi'di'zang'pu'sa
是地藏菩萨摩诃萨,shi'di'zang'pu'sa'mo'he'sa
是地藏菩萨摩诃萨具大慈悲,shi'di'zang'pu'sa'mo'he'sa'ju'da'ci'bei
十二者,shi'er'zhe
十方无量世界,shi'fang'wu'liang'shi'jie
十方诸佛,shi'fang'zhu'fo
实非鬼也,shi'fei'gui'ye
是故地藏,shi'gu'di'zang
是故地藏菩萨具大慈悲,shi'gu'di'zang'pu'sa'ju'da'ci'bei
是故福利,shi'gu'fu'li
是故观世音,shi'gu'guan'shi'yin
是故观音汝当知,shi'gu'guan'yin'ru'dang'zhi
是故普广,shi'gu'pu'guang
是故汝等,shi'gu'ru'deng
是故我今对佛世尊,shi'gu'wo'jin'dui'fo'shi'zun
是故长者,shi'gu'zhang'zhe
是故众生,shi'gu'zhong'sheng
时鬼王无毒者,shi'gui'wang'wu'du'zhe
是国王等,shi'guo'wang'deng
是何神德,shi'he'shen'de
使获不可思议神力,shi'huo'bu'ke'si'yi'shen'li
使获大利,shi'huo'da'li
释迦牟尼佛,shi'jia'mou'ni'fo
世间解,shi'jian'jie
世界名净住,shi'jie'ming'jing'zhu
使近恶兽,shi'jin'e'shou
十九者,shi'jiu'zhe
誓救众生,shi'jiu'zhong'sheng
时觉华定自在王如来,shi'jue'hua'ding'zi'zai'wang'ru'lai
时空中有声,shi'kong'zhong'you'sheng
使令安乐,shi'ling'an'le
使令归佛,shi'ling'gui'fo
使令解脱,shi'ling'jie'tuo
十六者,shi'liu'zhe
是迷路人,shi'mi'lu'ren
是命终人,shi'ming'zhong'ren
是南阎浮提众生,shi'nan'yan'fu'ti'zhong'sheng
使牛耕之,shi'niu'geng'zhi
时婆罗门女,shi'po'luo'men'nv
示其眷属所生界,shi'qi'juan'shu'suo'sheng'jie
十七者,shi'qi'zhe
食顷之间,shi'qing'zhi'jian
是人百返生于三十三天,shi'ren'bai'fan'sheng'yu'san'shi'san'tian
是人毕竟得菩萨摩顶授记,shi'ren'bi'jing'de'pu'sa'mo'ding'shou'ji
是人不久得阿罗汉果,shi'ren'bu'jiu'de'a'luo'han'guo
是人超越三十劫罪,shi'ren'chao'yue'san'shi'jie'zui
是人当得百返生于三十三天,shi'ren'dang'de'bai'fan'sheng'yu'san'shi'san'tian
是人当得菩萨遣所在土地鬼神,shi'ren'dang'de'pu'sa'qian'suo'zai'tu'di'gui'shen
是人当得千返生于六欲天中,shi'ren'dang'de'qian'fan'sheng'yu'liu'yu'tian'zhong
是人得遇恒河沙佛,shi'ren'de'yu'heng'he'sha'fo
是人得遇无量诸佛,shi'ren'de'yu'wu'liang'zhu'fo
是人福利,shi'ren'fu'li
是人更能三七日中,shi'ren'geng'neng'san'qi'ri'zhong
是人更能转读经典,shi'ren'geng'neng'zhuan'du'jing'dian
是人功德,shi'ren'gong'de
是人获大果报,shi'ren'huo'da'guo'bao
是人既发大悲心,shi'ren'ji'fa'da'bei'xin
是人居处,shi'ren'ju'chu
是人眷属,shi'ren'juan'shu
是人命终之后,shi'ren'ming'zhong'zhi'hou
是人年既长大,shi'ren'nian'ji'zhang'da
是人千万劫中,shi'ren'qian'wan'jie'zhong
是人若能塑画地藏菩萨形像,shi'ren'ruo'neng'su'hua'di'zang'pu'sa'xing'xiang
是人若是业报,shi'ren'ruo'shi'ye'bao
是人若是业报命尽,shi'ren'ruo'shi'ye'bao'ming'jin
是人先当念地藏菩萨名万遍,shi'ren'xian'dang'nian'di'zang'pu'sa'ming'wan'bian
是人于睡梦中,shi'ren'yu'shui'meng'zhong
是人于无上道,shi'ren'yu'wu'shang'dao
是人于贤劫千佛会中,shi'ren'yu'xian'jie'qian'fo'hui'zhong
是人则见佛,shi'ren'ze'jian'fo
使汝早毕是愿,shi'ru'zao'bi'shi'yuan
十三岁毕,shi'san'sui'bi
十三者,shi'san'zhe
是善男女等,shi'shan'nan'nv'deng
是善男子等,shi'shan'nan'zi'deng
是善男子善女人,shi'shan'nan'zi'shan'nv'ren
是善女人,shi'shan'nv'ren
是善知识,shi'shan'zhi'shi
是时,shi'shi
是时忉利天雨无量香华,shi'shi'dao'li'tian'yu'wu'liang'xiang'hua
是时圣女,shi'shi'sheng'nv
是事实否,shi'shi'shi'fou
是石是火,shi'shi'shi'huo
时世有佛,shi'shi'you'fo
是事云何,shi'shi'yun'he
时狮子奋迅具足万行如来,shi'shi'zi'fen'xun'ju'zu'wan'hang'ru'lai
十四日,shi'si'ri
十四者,shi'si'zhe
使未来世末法众生,shi'wei'lai'shi'mo'fa'zhong'sheng
使我眷属,shi'wo'juan'shu
使我云何流布,shi'wo'yun'he'liu'bu
是我早令舍宅土地灵祇,shi'wo'zao'ling'she'zhai'tu'di'ling'qi
十五日,shi'wu'ri
是五无间罪,shi'wu'wu'jian'zui
十五者,shi'wu'zhe
示现一切色,shi'xian'yi'qie'se
是新生子,shi'xin'sheng'zi
是阎浮提人,shi'yan'fu'ti'ren
是阎浮提行善之人,shi'yan'fu'ti'xing'shan'zhi'ren
十一者,shi'yi'zhe
实有地狱,shi'you'di'yu
十有一二,shi'you'yi'er
誓愿救拔,shi'yuan'jiu'ba
誓愿深重,shi'yuan'shen'zhong
是长者久证无生,shi'zhang'zhe'jiu'zheng'wu'sheng
时长者子,shi'zhang'zhe'zi
时长者子因发愿言,shi'zhang'zhe'zi'yin'fa'yuan'yan
十者,shi'zhe
是知识有大力故,shi'zhi'shi'you'da'li'gu
是中能塑画,shi'zhong'neng'su'hua
是众生等,shi'zhong'sheng'deng
是诸不如意事,shi'zhu'bu'ru'yi'shi
是诸鬼王,shi'zhu'gui'wang
使诸火烧,shi'zhu'huo'shao
是诸眷属,shi'zhu'juan'shu
是诸人等,shi'zhu'ren'deng
是诸日等,shi'zhu'ri'deng
使诸天龙八部,shi'zhu'tian'long'ba'bu
是诸天人,shi'zhu'tian'ren
是诸众等,shi'zhu'zhong'deng
是诸众生,shi'zhu'zhong'sheng
是诸罪众,shi'zhu'zui'zhong
狮子吼音,shi'zi'hou'yin
是罪报人乃至堕大恶趣,shi'zui'bao'ren'nai'zhi'duo'da'e'qu
使罪人抱,shi'zui'ren'bao
世尊,shi'zun
世尊从顶门上,shi'zun'cong'ding'men'shang
世尊告定自在王菩萨,shi'zun'gao'ding'zi'zai'wang'pu'sa
世尊告普广菩萨及四众等,shi'zun'gao'pu'guang'pu'sa'ji'si'zhong'deng
世尊举金色臂,shi'zun'ju'jin'se'bi
世尊举身放大光明,shi'zun'ju'shen'fang'da'guang'ming
世尊舒金色臂,shi'zun'shu'jin'se'bi
使作方便,shi'zuo'fang'bian
受大苦时,shou'da'ku'shi
受大快乐,shou'da'kuai'le
手复铜爪,shou'fu'tong'zhao
授灌顶水,shou'guan'ding'shui
受极大苦,shou'ji'da'ku
授记十斋,shou'ji'shi'zhai
受极重罪,shou'ji'zhong'zui
寿命不可计劫,shou'ming'bu'ke'ji'jie
寿命增益,shou'ming'zeng'yi
寿命增长,shou'ming'zeng'zhang
寿命转增除罪障,shou'ming'zhuan'zeng'chu'zui'zhang
寿年百岁,shou'nian'bai'sui
寿年十三,shou'nian'shi'san
受胜妙乐,shou'sheng'miao'le
受无量乐,shou'wu'liang'le
手中金锡,shou'zhong'jin'xi
数那由他,shu'na'you'ta
数如恒河沙,shu'ru'heng'he'sha
树神,shu'shen
睡梦之间,shui'meng'zhi'jian
睡梦之中悉不安,shui'meng'zhi'zhong'xi'bu'an
说卑使下贱报,shuo'bei'shi'xia'jian'bao
说边地受生报,shuo'bian'di'shou'sheng'bao
说不能尽,shuo'bu'neng'jin
说丑陋癃残报,shuo'chou'lou'long'can'bao
说地藏菩萨于娑婆世界,shuo'di'zang'pu'sa'yu'suo'po'shi'jie
说返生鞭挞现受报,shuo'fan'sheng'bian'ta'xian'shou'bao
说骨肉分离报,shuo'gu'rou'fen'li'bao
说饥渴咽病报,shuo'ji'ke'yan'bing'bao
说偈赞佛,shuo'ji'zan'fo
说惊狂丧命报,shuo'jing'kuang'sang'ming'bao
说眷属斗诤报,shuo'juan'shu'dou'zheng'bao
说狂迷取死报,shuo'kuang'mi'qu'si'bao
说轮回递偿报,shuo'lun'hui'di'chang'bao
说盲聋喑哑报,shuo'mang'long'yin'ya'bao
说贫穷苦楚报,shuo'pin'qiong'ku'chu'bao
说其功德,shuo'qi'gong'de
说禽兽饥饿报,shuo'qin'shou'ji'e'bao
说雀鸽鸳鸯报,shuo'que'ge'yuan'yang'bao
说是语时,shuo'shi'yu'shi
说是语已,shuo'shi'yu'yi
说宿殃短命报,shuo'su'yang'duan'ming'bao
说娑婆世界及阎浮提罪苦众生,shuo'suo'po'shi'jie'ji'yan'fu'ti'zui'ku'zhong'sheng
说所求阙绝报,shuo'suo'qiu'que'jue'bao
说所求违愿报,shuo'suo'qiu'wei'yuan'bao
说天地灾杀报,shuo'tian'di'zai'sha'bao
说无舌百舌报,shuo'wu'she'bai'she'bao
说无舌疮口报,shuo'wu'she'chuang'kou'bao
说阎浮提布施校量,shuo'yan'fu'ti'bu'shi'xiao'liang
说亿劫轮回地狱报,shuo'yi'jie'lun'hui'di'yu'bao
说永处恶道报,shuo'yong'chu'e'dao'bao
说永在畜生报,shuo'yong'zai'chu'sheng'bao
四百千万亿阿僧祇劫,si'bai'qian'wan'yi'a'seng'qi'jie
四方天王俱从座起,si'fang'tian'wang'ju'cong'zuo'qi
死后有报,si'hou'you'bao
四目鬼王,si'mu'gui'wang
斯人有业障惑故,si'ren'you'ye'zhang'huo'gu
死虽日浅,si'sui'ri'qian
四天王,si'tian'wang
四天王闻已,si'tian'wang'wen'yi
四天王言,si'tian'wang'yan
思忆父母及诸眷属,si'yi'fu'mu'ji'zhu'juan'shu
四者,si'zhe
私自念言,si'zi'nian'yan
速超圣地,su'chao'sheng'di
苏怛拏,su'da'na
速得解脱,su'de'jie'tuo
宿福深厚,su'fu'shen'hou
宿福受生,su'fu'shou'sheng
塑画地藏菩萨形像,su'hua'di'zang'pu'sa'xing'xiang
塑画地藏形像,su'hua'di'zang'xing'xiang
塑画威容,su'hua'wei'rong
宿命皆通,su'ming'jie'tong
速说我母生界,su'shuo'wo'mu'sheng'jie
宿殃重罪,su'yang'zhong'zui
宿有殃报,su'you'yang'bao
宿智命通,su'zhi'ming'tong
虽立是愿不思议,sui'li'shi'yuan'bu'si'yi
遂卖家宅,sui'mai'jia'zhai
随其根性,sui'qi'gen'xing
虽闻如来诚实之语,sui'wen'ru'lai'cheng'shi'zhi'yu
随业报应,sui'ye'bao'ying
随业受报,sui'ye'shou'bao
随意获男女,sui'yi'huo'nan'nv
随愿功不唐,sui'yuan'gong'bu'tang
虽至极重,sui'zhi'ji'zhong
所度人天,suo'du'ren'tian
所发誓愿劫数,suo'fa'shi'yuan'jie'shu
所负担物,suo'fu'dan'wu
所过土地,suo'guo'tu'di
所获福利,suo'huo'fu'li
所获功德福利,suo'huo'gong'de'fu'li
所积尘数,suo'ji'chen'shu
娑婆,suo'po
娑婆世界,suo'po'shi'jie
所求皆如意,suo'qiu'jie'ru'yi
所求遂意,suo'qiu'sui'yi
所食鱼鳖,suo'shi'yu'bie
所受报处,suo'shou'bao'chu
所受报应,suo'shou'bao'ying
所受福利,suo'shou'fu'li
所受果报,suo'shou'guo'bao
所受生处,suo'shou'sheng'chu
所受生身,suo'shou'sheng'shen
所谓白毫相光,suo'wei'bai'hao'xiang'guang
所谓大圆满光明云,suo'wei'da'yuan'man'guang'ming'yun
所谓大者,suo'wei'da'zhe
所谓恶毒鬼王,suo'wei'e'du'gui'wang
所谓恶目鬼王,suo'wei'e'mu'gui'wang
所为善事,suo'wei'shan'shi
所谓四天王天,suo'wei'si'tian'wang'tian
所谓檀波罗蜜音,suo'wei'tan'bo'luo'mi'yin
所有草木丛林,suo'you'cao'mu'cong'lin
所有地狱处分身地藏菩萨,suo'you'di'yu'chu'fen'shen'di'zang'pu'sa
所有地狱及三恶道,suo'you'di'yu'ji'san'e'dao
所有功德及不思议威神之力,suo'you'gong'de'ji'bu'si'yi'wei'shen'zhi'li
所有人民,suo'you'ren'min
所愿速成,suo'yuan'su'cheng
所造恶业,suo'zao'e'ye
所种善根,suo'zhong'shan'gen
他方坏时,ta'fang'huai'shi
他化自在天,ta'hua'zi'zai'tian
他界次坏,ta'jie'ci'huai
他人为其称念佛名,ta'ren'wei'qi'cheng'nian'fo'ming
叹未曾有,tan'wei'ceng'you
檀越之人,tan'yue'zhi'ren
倘来问佛,tang'lai'wen'fo
唐于阗国三藏沙门实叉难陀译,tang'yu'tian'guo'san'zang'sha'men'shi'cha'nan'tuo'yi
涕泪哀恋,ti'lei'ai'lian
涕泪悲叹,ti'lei'bei'tan
啼泪号泣,ti'lei'hao'qi
提携接手,ti'xie'jie'shou
体性皆无尽,ti'xing'jie'wu'jin
替与减负,ti'yu'jian'fu
天龙八部,tian'long'ba'bu
天龙鬼神,tian'long'gui'shen
天龙护念,tian'long'hu'nian
天人师,tian'ren'shi
天人问佛是何因佛言地藏菩萨至,tian'ren'wen'fo'shi'he'yin'fo'yan'di'zang'pu'sa'zhi
天神,tian'shen
天衣珠璎,tian'yi'zhu'ying
调伏刚强众生,tiao'fu'gang'qiang'zhong'sheng
调御丈夫,tiao'yu'zhang'fu
铁驴铁马,tie'lv'tie'ma
铁蛇铁狗,tie'she'tie'gou
铁网铁绳,tie'wang'tie'sheng
铁围山内,tie'wei'shan'nei
铁围之内,tie'wei'zhi'nei
铁屋地狱,tie'wu'di'yu
听我说之,ting'wo'shuo'zhi
听我为母所发广大誓愿,ting'wo'wei'mu'suo'fa'guang'da'shi'yuan
听吾今日于忉利天宫,ting'wu'jin'ri'yu'dao'li'tian'gong
同布施者,tong'bu'shi'zhe
同行十善,tong'hang'shi'shan
同生极乐邦,tong'sheng'ji'le'bang
铜锁地狱,tong'suo'di'yu
偷窃常住财物谷米,tou'qie'chang'zhu'cai'wu'gu'mi
头头救拔如是众生,tou'tou'jiu'ba'ru'shi'zhong'sheng
头足相就,tou'zu'xiang'jiu
土地丰壤,tu'di'feng'rang
吐火驰逐狱墙之上,tu'huo'chi'zhu'yu'qiang'zhi'shang
脱得出离,tuo'de'chu'li
脱获善利,tuo'huo'shan'li
脱获罪报,tuo'huo'zui'bao
脱苦生天堂,tuo'ku'sheng'tian'tang
脱入暂出,tuo'ru'zan'chu
拖拽罪人,tuo'zhuai'zui'ren
晚生善处,wan'sheng'shan'chu
万死千生,wan'si'qian'sheng
万死万生,wan'si'wan'sheng
望仁者说,wang'ren'zhe'shuo
亡失父母,wang'shi'fu'mu
妄语,wang'yu
望诸骨肉眷属,wang'zhu'gu'rou'juan'shu
违背戒律,wei'bei'jie'lv
未测之间,wei'ce'zhi'jian
未成就,wei'cheng'jiu
未出家时,wei'chu'jia'shi
未出三界,wei'chu'san'jie
为大梵王,wei'da'fan'wang
唯当速说,wei'dang'su'shuo
未得出离,wei'de'chu'li
未得受生,wei'de'shou'sheng
未得消除,wei'de'xiao'chu
为帝释身,wei'di'shi'shen
未定轻重,wei'ding'qing'zhong
未度,wei'du
唯好食啖鱼鳖之属,wei'hao'shi'dan'yu'bie'zhi'shu
未合解脱,wei'he'jie'tuo
为何事故,wei'he'shi'gu
卫护是经,wei'hu'shi'jing
卫护是人,wei'hu'shi'ren
未久之间,wei'jiu'zhi'jian
未来百千万亿劫中,wei'lai'bai'qian'wan'yi'jie'zhong
未来世中,wei'lai'shi'zhong
未来现在善男女等,wei'lai'xian'zai'shan'nan'nv'deng
未来现在诸世界中,wei'lai'xian'zai'zhu'shi'jie'zhong
未来现在诸众生等,wei'lai'xian'zai'zhu'zhong'sheng'deng
未来之世,wei'lai'zhi'shi
为临终人修此圣因,wei'lin'zhong'ren'xiu'ci'sheng'yin
未满三日,wei'man'san'ri
未免兴谤,wei'mian'xing'bang
为母设供修福,wei'mu'she'gong'xiu'fu
为母说法,wei'mu'shuo'fa
为其自身,wei'qi'zi'shen
未全生信,wei'quan'sheng'xin
唯然顶受,wei'ran'ding'shou
唯然世尊,wei'ran'shi'zun
为入定观,wei'ru'ding'guan
为善为恶,wei'shan'wei'e
威神势力,wei'shen'shi'li
为是病人,wei'shi'bing'ren
为是罪苦六道众生,wei'shi'zui'ku'liu'dao'zhong'sheng
为碎地狱,wei'sui'di'yu
为王臣女,wei'wang'chen'nv
为未来世末法众生,wei'wei'lai'shi'mo'fa'zhong'sheng
为未来现在一切众等,wei'wei'lai'xian'zai'yi'qie'zhong'deng
为未来众生遣知利益,wei'wei'lai'zhong'sheng'qian'zhi'li'yi
为我等说,wei'wo'deng'shuo
为我解说,wei'wo'jie'shuo
为我说之,wei'wo'shuo'zhi
为下贱人,wei'xia'jian'ren
未献佛僧,wei'xian'fo'seng
为现在未来一切众生,wei'xian'zai'wei'lai'yi'qie'zhong'sheng
为小国王,wei'xiao'guo'wang
为修功德,wei'xiu'gong'de
为修营斋,wei'xiu'ying'zhai
为阎浮提苦众生,wei'yan'fu'ti'ku'zhong'sheng
未愿成佛者,wei'yuan'cheng'fo'zhe
唯愿仁者,wei'yuan'ren'zhe
唯愿世尊,wei'yuan'shi'zun
唯愿听受,wei'yuan'ting'shou
为造福利,wei'zao'fu'li
未斋食竟,wei'zhai'shi'jing
未知魂神在何趣,wei'zhi'hun'shen'zai'he'qu
未知生处,wei'zhi'sheng'chu
未知我母生处何趣,wei'zhi'wo'mu'sheng'chu'he'qu
未知罪福,wei'zhi'zui'fu
唯撞胸背,wei'zhuang'xiong'bei
为作方便,wei'zuo'fang'bian
为作功德,wei'zuo'gong'de
伪作沙门,wei'zuo'sha'men
闻此经典,wen'ci'jing'dian
闻地藏名,wen'di'cang'ming
闻地藏菩萨名,wen'di'zang'pu'sa'ming
问地藏菩萨言,wen'di'zang'pu'sa'yan
闻佛所言,wen'fo'suo'yan
问鬼王曰,wen'gui'wang'yue
闻即信受,wen'ji'xin'shou
闻健自修,wen'jian'zi'xiu
闻名见形,wen'ming'jian'xing
闻菩萨名,wen'pu'sa'ming
闻仁者说,wen'ren'zhe'shuo
闻汝名者,wen'ru'ming'zhe
闻是地藏菩萨摩诃萨名者,wen'shi'di'zang'pu'sa'mo'he'sa'ming'zhe
闻是佛名,wen'shi'fo'ming
闻是佛名者,wen'shi'fo'ming'zhe
闻释迦牟尼佛,wen'shi'jia'mou'ni'fo
闻是菩萨名字,wen'shi'pu'sa'ming'zi
文殊师利,wen'shu'shi'li
文殊师利白佛言,wen'shu'shi'li'bai'fo'yan
问讯世尊,wen'xun'shi'zun
闻于如来,wen'yu'ru'lai
我本业缘,wo'ben'ye'yuan
我毕是形,wo'bi'shi'xing
我常日夜,wo'chang'ri'ye
我承佛如来威神力故,wo'cheng'fo'ru'lai'wei'shen'li'gu
我从久远劫来,wo'cong'jiu'yuan'jie'lai
我从昔来,wo'cong'xi'lai
我粗说之,wo'cu'shuo'zhi
我等鬼王,wo'deng'gui'wang
我等今者与诸鬼王,wo'deng'jin'zhe'yu'zhu'gui'wang
我等千万亿菩萨摩诃萨,wo'deng'qian'wan'yi'pu'sa'mo'he'sa
我等诸鬼王,wo'deng'zhu'gui'wang
我方证涅槃,wo'fang'zheng'nie'pan
我父我母,wo'fu'wo'mu
我观地藏菩萨,wo'guan'di'zang'pu'sa
我观如是辈人,wo'guan'ru'shi'bei'ren
我观是阎浮众生,wo'guan'shi'yan'fu'zhong'sheng
我观未来及现在众生,wo'guan'wei'lai'ji'xian'zai'zhong'sheng
我观阎浮众生,wo'guan'yan'fu'zhong'sheng
我观业道众生,wo'guan'ye'dao'zhong'sheng
我渐度脱,wo'jian'du'tuo
我皆主之,wo'jie'zhu'zhi
我今承佛威力,wo'jin'cheng'fo'wei'li
我今承佛威神,wo'jin'cheng'fo'wei'shen
我今承佛威神及仁者问,wo'jin'cheng'fo'wei'shen'ji'ren'zhe'wen
我今见闻得受持愿解如来真实义,wo'jin'jian'wen'de'shou'chi'yuan'jie'ru'lai'zhen'shi'yi
我今尽未来际,wo'jin'jin'wei'lai'ji
我今身心,wo'jin'shen'xin
我今示汝母之去处,wo'jin'shi'ru'mu'zhi'qu'chu
我今宿植善因缘称扬地藏真功德,wo'jin'su'zhi'shan'yin'yuan'cheng'yang'di'zang'zhen'gong'de
我今题此颂,wo'jin'ti'ci'song
我今为未来现在一切众生,wo'jin'wei'wei'lai'xian'zai'yi'qie'zhong'sheng
我今为未来众生,wo'jin'wei'wei'lai'zhong'sheng
我今又蒙佛付嘱,wo'jin'you'meng'fo'fu'zhu
我今有小疑事,wo'jin'you'xiao'yi'shi
我今云何得到狱所,wo'jin'yun'he'de'dao'yu'suo
我久知是大士,wo'jiu'zhi'shi'da'shi
我某甲等,wo'mou'jia'deng
我母死后,wo'mu'si'hou
我母死来未久,wo'mu'si'lai'wei'jiu
我母所习,wo'mu'suo'xi
我母邪见,wo'mu'xie'jian
我然后方成正觉,wo'ran'hou'fang'cheng'zheng'jue
我是汝所瞻礼者,wo'shi'ru'suo'zhan'li'zhe
我所分身,wo'suo'fen'shen
我闻世尊与十方无量诸佛,wo'wen'shi'zun'yu'shi'fang'wu'liang'zhu'fo
我闻铁围之内,wo'wen'tie'wei'zhi'nei
我亦百千方便,wo'yi'bai'qian'fang'bian
我已过去久修善根,wo'yi'guo'qu'jiu'xiu'shan'gen
我以母亡之日,wo'yi'mu'wang'zhi'ri
我疑是事,wo'yi'shi'shi
我欲令是命终之人,wo'yu'ling'shi'ming'zhong'zhi'ren
我终未愿成佛,wo'zhong'wei'yuan'cheng'fo
我自失母以来,wo'zi'shi'mu'yi'lai
我自至忉利,wo'zi'zhi'dao'li
无不解脱,wu'bu'jie'tuo
无不是业,wu'bu'shi'ye
无不是罪,wu'bu'shi'zui
无常大鬼,wu'chang'da'gui
无处可问,wu'chu'ke'wen
无处希望福力救拔,wu'chu'xi'wang'fu'li'jiu'ba
悟此事已,wu'ci'shi'yi
吾当为汝分别解说,wu'dang'wei'ru'fen'bie'jie'shuo
吾当为汝分别说之,wu'dang'wei'ru'fen'bie'shuo'zhi
吾当忧念,wu'dang'you'nian
无盗贼厄,wu'dao'zei'e
勿得先食,wu'dei'xian'shi
无毒答曰,wu'du'da'yue
无毒合掌,wu'du'he'zhang
无读诵性,wu'du'song'xing
无毒问曰,wu'du'wen'yue
无法而不造,wu'fa'er'bu'zao
无烦天,wu'fan'tian
无非是铜是铁,wu'fei'shi'tong'shi'tie
无非是罪,wu'fei'shi'zui
吾分是形,wu'fen'shi'xing
吾复何虑,wu'fu'he'lv
吾观地藏威神力,wu'guan'di'zang'wei'shen'li
吾观汝母,wu'guan'ru'mu
吾即涅槃,wu'ji'nie'pan
无间地狱,wu'jian'di'yu
无间狱者,wu'jian'yu'zhe
无间罪报,wu'jian'zui'bao
无解脱日,wu'jie'tuo'ri
无解脱时,wu'jie'tuo'shi
吾今说之,wu'jin'shuo'zhi
吾今为汝及未来现在天人众等,wu'jin'wei'ru'ji'wei'lai'xian'zai'tian'ren'zhong'deng
吾今殷勤,wu'jin'yin'qin
吾今殷勤付嘱汝,wu'jin'yin'qin'fu'zhu'ru
吾今于忉利天宫,wu'jin'yu'dao'li'tian'gong
无肯代受,wu'ken'dai'shou
无量光天,wu'liang'guang'tian
无量合一身,wu'liang'he'yi'shen
无量欢喜,wu'liang'huan'xi
