阿拉伯胶,a'la'bo'jiao
一价皂,yi'jia'zao
抑菌活性,yi'jun'huo'xing
抑菌剂,yi'jun'ji
抑菌作用,yi'jun'zuo'yong
医疗保险药品目录,yi'liao'bao'xian'yao'pin'mu'lu
衣膜强度,yi'mo'qiang'du
仪器装置,yi'qi'zhuang'zhi
医师处方,yi'shi'chu'fang
乙酸乙酯,yi'suan'yi'zhi
抑酞酶,yi'tai'mei
易涂布,yi'tu'bu
易涂展和洗除,yi'tu'zhan'he'xi'chu
乙烯醋酸乙烯共聚物,yi'xi'cu'suan'yi'xi'gong'ju'wu
乙酰胆碱,yi'xian'dan'jian
乙酰胆碱酯酶,yi'xian'dan'jian'zhi'mei
异形片状,yi'xing'pian'zhuang
易氧化药物,yi'yang'hua'yao'wu
医药工程,yi'yao'gong'cheng
异硬脂酸异硬酯,yi'ying'zhi'suan'yi'ying'zhi
阴道泡腾片,yin'dao'pao'teng'pian
阴道片,yin'dao'pian
阴道栓,yin'dao'shuan
引力势能,yin'li'shi'neng
阴离子,yin'li'zi
阴离子型,yin'li'zi'xing
因素试验,yin'su'shi'yan
印字包装,yin'zi'bao'zhuang
硬度,ying'du
硬膏剂,ying'gao'ji
英国药典,ying'guo'yao'dian
硬胶囊剂,ying'jiao'nang'ji
应力缓和,ying'li'huan'he
影细胞,ying'xi'bao
影响药效,ying'xiang'yao'xiao
营养输液,ying'yang'shu'ye
营养素,ying'yang'su
应用,ying'yong
应用部位,ying'yong'bu'wei
应用次数,ying'yong'ci'shu
应用面积,ying'yong'mian'ji
硬脂醇,ying'zhi'chun
硬脂酸,ying'zhi'suan
硬脂酸甘油酯,ying'zhi'suan'gan'you'zhi
硬脂酸镁,ying'zhi'suan'mei
硬脂酰胺,ying'zhi'xian'an
用前摇匀,yong'qian'yao'yun
用药对象,yong'yao'dui'xiang
用药品种,yong'yao'pin'zhong
用药品种总数,yong'yao'pin'zhong'zong'shu
用药医嘱单,yong'yao'yi'zhu'dan
用药指导,yong'yao'zhi'dao
用药指南,yong'yao'zhi'nan
用药咨询,yong'yao'zi'xun
有机胺皂,you'ji'an'zao
有机弱碱,you'ji'ruo'jian
有机弱酸,you'ji'ruo'suan
油类药物,you'lei'yao'wu
油腻感,you'ni'gan
油溶性,you'rong'xing
油溶性抗氧剂,you'rong'xing'kang'yang'ji
油水分配系数,you'shui'fen'pei'xi'shu
油酸,you'suan
油酸乙酯,you'suan'yi'zhi
有效半衰期,you'xiao'ban'shuai'qi
有效部位,you'xiao'bu'wei
有效成分,you'xiao'cheng'fen
有效成分片,you'xiao'cheng'fen'pian
有效成分溶解度,you'xiao'cheng'fen'rong'jie'du
有效径,you'xiao'jing
有效率,you'xiao'lv
有效浓度,you'xiao'nong'du
有效期,you'xiao'qi
有效性,you'xiao'xing
油性凝胶剂,you'xing'ning'jiao'ji
右旋糖,you'xuan'tang
右旋体,you'xuan'ti
优质低碳不锈钢贮罐,you'zhi'di'tan'bu'xiu'gang'zhu'guan
油脂性基质,you'zhi'xing'ji'zhi
预处理,yu'chu'li
预冻,yu'dong
预防药学,yu'fang'yao'xue
阈剂量,yu'ji'liang
预胶化淀粉,yu'jiao'hua'dian'fen
鱼雷形,yu'lei'xing
玉米油,yu'mi'you
原材料,yuan'cai'liao
圆二色谱法,yuan'er'se'pu'fa
原辅料,yuan'fu'liao
远红外干燥,yuan'hong'wai'gan'zao
原料药,yuan'liao'yao
原料药物,yuan'liao'yao'wu
圆盘法,yuan'pan'fa
圆片状,yuan'pian'zhuang
圆栓体模型,yuan'shuan'ti'mo'xing
圆形度,yuan'xing'du
圆柱形,yuan'zhu'xing
圆椎平板粘度计,yuan'zhui'ping'ban'nian'du'ji
圆锥形,yuan'zhui'xing
月桂醇硫酸钠,yue'gui'chun'liu'suan'na
月桂氮草酮,yue'gui'dan'cao'tong
匀化法,yun'hua'fa
匀浆流延成膜法,yun'jiang'liu'yan'cheng'mo'fa
运输贮存,yun'shu'zhu'cun
杂质,za'zhi
杂质检查,za'zhi'jian'cha
再分散,zai'fen'san
载体,zai'ti
载体无毒,zai'ti'wu'du
在线清洗,zai'xian'qing'xi
在线清洗程序,zai'xian'qing'xi'cheng'xu
载药量,zai'yao'liang
藏红花油,zang'hong'hua'you
皂甙,zao'dai
皂化值,zao'hua'zhi
皂土,zao'tu
泽聚氧乙烯脂肪醇醚,ze'ju'yang'yi'xi'zhi'fang'chun'mi
增补,zeng'bu
增加药物稳定性,zeng'jia'yao'wu'wen'ding'xing
增溶,zeng'rong
增溶剂,zeng'rong'ji
增溶能力,zeng'rong'neng'li
增溶作用,zeng'rong'zuo'yong
轧铝盖,zha'lv'gai
粘冲,zhan'chong
胀性流动,zhang'xing'liu'dong
胀性流体,zhang'xing'liu'ti
蔗糖水溶液,zhe'tang'shui'rong'ye
真密度,zhen'mi'du
真溶液,zhen'rong'ye
真溶液型,zhen'rong'ye'xing
振实密度,zhen'shi'mi'du
真伪鉴别,zhen'wei'jian'bie
蒸发,zheng'fa
蒸馏法,zheng'liu'fa
蒸馏器装隔沫装置,zheng'liu'qi'zhuang'ge'mo'zhuang'zhi
蒸馏水,zheng'liu'shui
蒸汽夹层锅,zheng'qi'jia'ceng'guo
致癌实验,zhi'ai'shi'yan
致癌物,zhi'ai'wu
制备,zhi'bei
制备方法,zhi'bei'fang'fa
制备过程,zhi'bei'guo'cheng
制备理论,zhi'bei'li'lun
制备散剂,zhi'bei'san'ji
制备要求,zhi'bei'yao'qiu
直肠,zhi'chang
直肠给药,zhi'chang'gei'yao
直肠淋巴系统,zhi'chang'lin'ba'xi'tong
直肠上静脉,zhi'chang'shang'jing'mai
直肠栓,zhi'chang'shuan
直肠下静脉,zhi'chang'xia'jing'mai
脂多糖,zhi'duo'tang
脂肪乳剂,zhi'fang'ru'ji
脂肪酸山梨坦,zhi'fang'suan'shan'li'tan
脂肪酸酯,zhi'fang'suan'zhi
脂肪油,zhi'fang'you
置换价,zhi'huan'jia
制剂,zhi'ji
制剂辅料,zhi'ji'fu'liao
制剂工艺,zhi'ji'gong'yi
制剂规范,zhi'ji'gui'fan
制剂技术,zhi'ji'ji'shu
致畸试验,zhi'ji'shi'yan
致畸物,zhi'ji'wu
制剂学,zhi'ji'xue
直接,zhi'jie
直接匀化法,zhi'jie'yun'hua'fa
制粒,zhi'li
质量保证,zhi'liang'bao'zheng
质量标准,zhi'liang'biao'zhun
质量管理,zhi'liang'guan'li
质量管理程序,zhi'liang'guan'li'cheng'xu
质量管理方法,zhi'liang'guan'li'fang'fa
质量基准,zhi'liang'ji'zhun
质量检查,zhi'liang'jian'cha
质量控制,zhi'liang'kong'zhi
质量评定,zhi'liang'ping'ding
质量稳定,zhi'liang'wen'ding
质量要求,zhi'liang'yao'qiu
治疗等效,zhi'liao'deng'xiao
治疗等效值,zhi'liao'deng'xiao'zhi
治疗量,zhi'liao'liang
治疗学,zhi'liao'xue
治疗药物临测,zhi'liao'yao'wu'lin'ce
治疗有效浓度,zhi'liao'you'xiao'nong'du
治疗指数,zhi'liao'zhi'shu
治疗作用,zhi'liao'zuo'yong
滞留时间,zhi'liu'shi'jian
致敏试验,zhi'min'shi'yan
致敏作用,zhi'min'zuo'yong
植入,zhi'ru
植入剂,zhi'ru'ji
植入片,zhi'ru'pian
制软材,zhi'ruan'cai
制湿颗粒,zhi'shi'ke'li
致死量,zhi'si'liang
止痛剂,zhi'tong'ji
直线相关,zhi'xian'xiang'guan
纸型片剂,zhi'xing'pian'ji
制药化学,zhi'yao'hua'xue
制药设备,zhi'yao'she'bei
制药原料,zhi'yao'yuan'liao
执业药师,zhi'ye'yao'shi
执业医师,zhi'ye'yi'shi
执业助理医师,zhi'ye'zhu'li'yi'shi
置阴凉处贮存,zhi'yin'liang'chu'zhu'cun
脂质类物质,zhi'zhi'lei'wu'zhi
脂质体,zhi'zhi'ti
脂质体制剂,zhi'zhi'ti'zhi'ji
钟摆状,zhong'bai'zhuang
中成药,zhong'cheng'yao
中毒,zhong'du
中国药典,zhong'guo'yao'dian
中间体,zhong'jian'ti
重结晶,zhong'jie'jing
种类,zhong'lei
重量差异,zhong'liang'cha'yi
中西药复方,zhong'xi'yao'fu'fang
中西药结合,zhong'xi'yao'jie'he
中心药房,zhong'xin'yao'fang
中性硬质玻璃,zhong'xing'ying'zhi'bo'li
中药,zhong'yao
中药材,zhong'yao'cai
中药产品,zhong'yao'chan'pin
中药成分,zhong'yao'cheng'fen
中药片剂,zhong'yao'pian'ji
中药散剂,zhong'yao'san'ji
中药汤剂,zhong'yao'tang'ji
中药学理论,zhong'yao'xue'li'lun
中药药理学,zhong'yao'yao'li'xue
中药注射剂,zhong'yao'zhu'she'ji
重蒸馏水,zhong'zheng'liu'shui
种族差异,zhong'zu'cha'yi
贮藏条件,zhu'cang'tiao'jian
贮存过程,zhu'cun'guo'cheng
主动靶向制剂,zhu'dong'ba'xiang'zhi'ji
主动转运,zhu'dong'zhuan'yun
主分子,zhu'fen'zi
主管药师,zhu'guan'yao'shi
助流剂,zhu'liu'ji
助滤剂,zhu'lv'ji
主任药师,zhu'ren'yao'shi
助溶,zhu'rong
助溶剂,zhu'rong'ji
助溶作用,zhu'rong'zuo'yong
注射给药,zhu'she'gei'yao
注射剂,zhu'she'ji
注射剂的制备,zhu'she'ji'de'zhi'bei
注射剂类,zhu'she'ji'lei
注射液,zhu'she'ye
注射用,zhu'she'yong
注射用溶媒,zhu'she'yong'rong'mei
注射用乳剂,zhu'she'yong'ru'ji
注射用水,zhu'she'yong'shui
注射用油,zhu'she'yong'you
助悬剂,zhu'xuan'ji
主药含量,zhu'yao'han'liang
贮运技术,zhu'yun'ji'shu
专家小组,zhuan'jia'xiao'zu
转相临界点,zhuan'xiang'lin'jie'dian
转型,zhuan'xing
专业名词,zhuan'ye'ming'ci
专有名称,zhuan'you'ming'cheng
装量差异,zhuang'liang'cha'yi
浊点,zhuo'dian
着色剂,zhuo'se'ji
自动翻塞机,zi'dong'fan'sai'ji
自动灌封机,zi'dong'guan'feng'ji
自动落盖轧盖机,zi'dong'luo'gai'ya'gai'ji
自发凝结,zi'fa'ning'jie
自乳化药物,zi'ru'hua'yao'wu
自身免疫,zi'shen'mian'yi
自调式给药系统制剂,zi'tiao'shi'gei'yao'xi'tong'zhi'ji
自调式释药系统,zi'tiao'shi'shi'yao'xi'tong
紫外,zi'wai
自由流动液体,zi'you'liu'dong'ye'ti
自由水分,zi'you'shui'fen
综合利用,zong'he'li'yong
综合性应用,zong'he'xing'ying'yong
综合症,zong'he'zheng
总揿次,zong'qin'ci
组胺,zu'an
阻滞剂,zu'zhi'ji
最大径,zui'da'jing
最大耐受剂量,zui'da'nai'shou'ji'liang
最大无作用剂量,zui'da'wu'zuo'yong'ji'liang
最大增溶浓度,zui'da'zeng'rong'nong'du
最小显著差数,zui'xiao'xian'zhu'cha'shu
最小有效量,zui'xiao'you'xiao'liang
最小致死剂量,zui'xiao'zhi'si'ji'liang
遵医嘱,zun'yi'zhu
佐剂,zuo'ji
左旋糖,zuo'xuan'tang
左旋体,zuo'xuan'ti
作用,zuo'yong
