啊吃过啦,a'chi'guo'la
苏果卷,su'guo'juan
苏果卡,su'guo'ka
苏果了,su'guo'le
苏果券,su'guo'quan
苏豪,su'hao
苏酒,su'jiu
苏客,su'ke
苏科版,su'ke'ban
苏美达,su'mei'da
苏南,su'nan
苏宁的,su'ning'de
苏宁环球,su'ning'huan'qiu
苏宁睿城,su'ning'rui'cheng
宿迁的,su'qian'de
苏舜,su'shun
苏通卡,su'tong'ka
苏源,su'yuan
苏源大道,su'yuan'da'dao
算赖,suan'lai
算了哎,suan'le'ai
算了班,suan'le'ban
算了包,suan'le'bao
算了啵,suan'le'bo
算南京,suan'nan'jing
酸汤肥牛,suan'tang'fei'niu
随便哎,sui'bian'ai
随便吃吃,sui'bian'chi'chi
随家仓,sui'jia'cang
岁邻居,sui'lin'ju
随你哎,sui'ni'ai
随园,sui'yuan
笋瓜,sun'gua
孙可,sun'ke
所街,suo'jie
锁金,suo'jin
锁金村,suo'jin'cun
所以哎,suo'yi'ai
他吊,ta'diao
他来南京,ta'lai'nan'jing
塌皮,ta'pi
他在南京,ta'zai'nan'jing
太摆,tai'bai
太摆了,tai'bai'le
太不上,tai'bu'shang
太不上路子,tai'bu'shang'lu'zi
泰冯路,tai'feng'lu
泰和园,tai'he'yuan
泰煌,tai'huang
太垮,tai'kua
泰来苑,tai'lai'yuan
太平北路,tai'ping'bei'lu
太平村,tai'ping'cun
太平花苑,tai'ping'hua'yuan
太平门,tai'ping'men
太平南路,tai'ping'nan'lu
太平商场,tai'ping'shang'chang
太平巷,tai'ping'xiang
泰山新村,tai'shan'xin'cun
泰尚房,tai'shang'fang
太屎,tai'shi
抬石头,tai'shi'tou
太甩,tai'shuai
太甩了,tai'shuai'le
太阳舞,tai'yang'wu
泰亿,tai'yi
泰州的,tai'zhou'de
泰州了,tai'zhou'le
泰州人,tai'zhou'ren
太子山,tai'zi'shan
谈不起来,tan'bu'qi'lai
谈的啊,tan'de'a
探店,tan'dian
谈对象,tan'dui'xiang
谈对象的,tan'dui'xiang'de
谈对象啦,tan'dui'xiang'la
谈对象了,tan'dui'xiang'le
谈个对象,tan'ge'dui'xiang
谈过对象,tan'guo'dui'xiang
碳烤鱼,tan'kao'yu
谭桥,tan'qiao
汤包,tang'bao
棠城,tang'cheng
堂吉诃德,tang'ji'he'de
汤家凤,tang'jia'feng
汤泉,tang'quan
唐人游,tang'ren'you
汤山,tang'shan
糖芋苗,tang'yu'miao
堂子街,tang'zi'jie
陶谷新村,tao'gu'xin'cun
讨论版,tao'lun'ban
掏螃蟹,tao'pang'xie
淘淘巷,tao'tao'xiang
套头了,tao'tou'le
讨喜,tao'xi
陶苑,tao'yuan
疼的一笔,teng'de'yi'bi
腾飞园,teng'fei'yuan
疼死咯,teng'si'lo
藤子村,teng'zi'cun
体臣,ti'chen
缇香,ti'xiang
体育大厦,ti'yu'da'sha
天奥,tian'ao
天保,tian'bao
天保驾校,tian'bao'jia'xiao
天保桥,tian'bao'qiao
天地花园,tian'di'hua'yuan
天地新城,tian'di'xin'cheng
天福园,tian'fu'yuan
天泓山庄,tian'hong'shan'zhuang
天华硅谷,tian'hua'gui'gu
天加,tian'jia
天津新村,tian'jin'xin'cun
天京,tian'jing
天景山,tian'jing'shan
天郡,tian'jun
甜寇,tian'kou
天龙寺,tian'long'si
天目湖,tian'mu'hu
天目路,tian'mu'lu
天热死了,tian're'si'le
天润城,tian'run'cheng
天生桥,tian'sheng'qiao
天狮百盛,tian'shi'bai'sheng
天使园,tian'shi'yuan
天堂村,tian'tang'cun
天堂寨,tian'tang'zhai
天勋,tian'xun
天印,tian'yin
天印大道,tian'yin'da'dao
天印花园,tian'yin'hua'yuan
天印山,tian'yin'shan
天元城,tian'yuan'cheng
天元东路,tian'yuan'dong'lu
天元吉第,tian'yuan'ji'di
天元路,tian'yuan'lu
天元西路,tian'yuan'xi'lu
天元中路,tian'yuan'zhong'lu
天泽苑,tian'ze'yuan
天之都,tian'zhi'dou
天之蓝,tian'zhi'lan
天之手,tian'zhi'shou
铁匠营,tie'jiang'ying
铁路北街,tie'lu'bei'jie
铁山寺,tie'shan'si
铁心桥,tie'xin'qiao
听不起来,ting'bu'qi'lai
统宝,tong'bao
同策,tong'ce
通达学院,tong'da'xue'yuan
彤德莱,tong'de'lai
通淮街,tong'huai'jie
通济街,tong'ji'jie
通济门,tong'ji'men
童家巷,tong'jia'xiang
铜井,tong'jing
同庆楼,tong'qing'lou
同人会,tong'ren'hui
同仁医院,tong'ren'yi'yuan
铜山,tong'shan
童卫路,tong'wei'lu
同曦,tong'xi
同曦鸣城,tong'xi'ming'cheng
通修,tong'xiu
通修课,tong'xiu'ke
通院,tong'yuan
同座位,tong'zuo'wei
头昏死了,tou'hun'si'le
头凯,tou'kai
头脑不好,tou'nao'bu'hao
头脑不好啊,tou'nao'bu'hao'a
头脑不好的,tou'nao'bu'hao'de
头脑坏了,tou'nao'huai'le
头脑子,tou'nao'zi
头西昏,tou'xi'hun
兔宝,tu'bao
土菜馆,tu'cai'guan
土城头,tu'cheng'tou
图东,tu'dong
土老比,tu'lao'bi
土木院,tu'mu'yuan
途牛,tu'niu
土山路,tu'shan'lu
团券,tuan'quan
托乐嘉,tuo'le'jia
拓园,tuo'yuan
瓦罐面,wa'guan'mian
瓦库,wa'ku
哇哇叫,wa'wa'jiao
外语院,wai'yu'yuan
玩哎,wan'ai
万帮,wan'bang
玩博会,wan'bo'hui
玩不起来了,wan'bu'qi'lai'le
万达西地,wan'da'xi'di
万汇,wan'hui
烷基苯,wan'ji'ben
万尚城,wan'shang'cheng
晚上怎么说,wan'shang'zen'me'shuo
万寿村,wan'shou'cun
湾仔岛,wan'zai'dao
弯子口,wan'zi'kou
网板路,wang'ban'lu
忘得了,wang'de'le
王府大街,wang'fu'da'jie
王府园,wang'fu'yuan
汪家村,wang'jia'cun
网巾市,wang'jin'shi
王全,wang'quan
望湘园,wang'xiang'yuan
王子牛蛙,wang'zi'niu'wa
危包,wei'bao
卫岗,wei'gang
维爵,wei'jue
未来城,wei'lai'cheng
未来域,wei'lai'yu
维利康,wei'li'kang
威尼斯水城,wei'ni'si'shui'cheng
卫庄,wei'zhuang
文博苑,wen'bo'yuan
文昌阁,wen'chang'ge
文昌巷,wen'chang'xiang
文德楼,wen'de'lou
文鼎,wen'ding
文鼎广场,wen'ding'guang'chang
文鼎雅苑,wen'ding'ya'yuan
文化名园,wen'hua'ming'yuan
文济,wen'ji
文靖,wen'jing
文靖路,wen'jing'lu
文康苑,wen'kang'yuan
文澜路,wen'lan'lu
文理楼,wen'li'lou
问你哎,wen'ni'ai
温莎,wen'sha
文体路,wen'ti'lu
闻天馆,wen'tian'guan
问问哎,wen'wen'ai
文苑路,wen'yuan'lu
我啊能,wo'a'neng
我哎,wo'ai
我膀子,wo'bang'zi
我不好讲,wo'bu'hao'jiang
我不欢喜,wo'bu'huan'xi
我不谈对象,wo'bu'tan'dui'xiang
我不在南京,wo'bu'zai'nan'jing
我不知道爱,wo'bu'zhi'dao'ai
我才吃过,wo'cai'chi'guo
我吃过咯,wo'chi'guo'ge
我处,wo'chu
我错赖,wo'cuo'lai
我带你买,wo'dai'ni'mai
我带你问问,wo'dai'ni'wen'wen
我到南京,wo'dao'nan'jing
我到南京了,wo'dao'nan'jing'le
我到新街口,wo'dao'xin'jie'kou
我到新街口了,wo'dao'xin'jie'kou'le
我的儿,wo'de'er
我的妈哎,wo'de'ma'ai
我滴儿,wo'di'er
我滴个乖,wo'di'ge'guai
我滴个乖乖,wo'di'ge'guai'guai
我滴个妈,wo'di'ge'ma
我地乖,wo'di'guai
我滴妈,wo'di'ma
我吊,wo'diao
我懂哎,wo'dong'ai
我都记不得了,wo'dou'ji'bu'de'le
我都么得,wo'dou'me'de
我对南京,wo'dui'nan'jing
我烦不了,wo'fan'bu'liao
沃阁,wo'ge
我跟我家人,wo'gen'wo'jia'ren
我挂水,wo'gua'shui
我滚你妈,wo'gun'ni'ma
我还么得,wo'hai'me'de
我还在南京,wo'hai'zai'nan'jing
我欢喜,wo'huan'xi
我回南京,wo'hui'nan'jing
我回南京了,wo'hui'nan'jing'le
我记不得了,wo'ji'bu'de'le
我家对象,wo'jia'dui'xiang
我家儿子,wo'jia'er'zi
我家老子,wo'jia'lao'zi
我家女儿,wo'jia'nv'er
我江宁,wo'jiang'ning
我结束,wo'jie'shu
我结束了,wo'jie'shu'le
我就搞不懂了,wo'jiu'gao'bu'dong'le
我就笑笑,wo'jiu'xiao'xiao
我就在南京,wo'jiu'zai'nan'jing
我来查查,wo'lai'cha'cha
我来火,wo'lai'huo
我来看下,wo'lai'kan'xia
我来南京,wo'lai'nan'jing
我来问他,wo'lai'wen'ta
我来问问,wo'lai'wen'wen
我来问问他,wo'lai'wen'wen'ta
我来问下,wo'lai'wen'xia
我来问一下,wo'lai'wen'yi'xia
我来想想,wo'lai'xiang'xiang
我来找找,wo'lai'zhao'zhao
我老婆婆,wo'lao'po'po
我两真的,wo'liang'zhen'de
卧龙湖,wo'long'hu
我马到,wo'ma'dao
我马来,wo'ma'lai
我马去,wo'ma'qu
我马上睡觉了,wo'ma'shang'shui'jiao'le
我马上洗澡,wo'ma'shang'xi'zao
我蛮来,wo'man'lai
我蛮去,wo'man'qu
我么的,wo'me'de
我没肯,wo'mei'ken
我们南京,wo'men'nan'jing
我哪边,wo'na'bian
我哪块,wo'na'kuai
我南京,wo'nan'jing
我南京的,wo'nan'jing'de
我南京人,wo'nan'jing'ren
我呢的,wo'ne'de
我去南京,wo'qu'nan'jing
我去新街口,wo'qu'xin'jie'kou
我上床咯,wo'shang'chuang'ge
我上地铁,wo'shang'di'tie
我上地铁了,wo'shang'di'tie'le
我屎,wo'shi
我是南京,wo'shi'nan'jing
我是南京的,wo'shi'nan'jing'de
我是南京人,wo'shi'nan'jing'ren
我谈对象,wo'tan'dui'xiang
我头脑,wo'tou'nao
我头脑不好,wo'tou'nao'bu'hao
我忘得了,wo'wang'de'le
我洗过澡,wo'xi'guo'zao
我洗过澡了,wo'xi'guo'zao'le
我嫌烦,wo'xian'fan
我现在在南京,wo'xian'zai'zai'nan'jing
我晓得爱,wo'xiao'de'ai
我也记不得了,wo'ye'ji'bu'de'le
我也看到的,wo'ye'kan'dao'de
我也么得,wo'ye'me'de
我也是爱,wo'ye'shi'ai
我也是的呢,wo'ye'shi'de'ne
我也说嘛,wo'ye'shuo'ma
我也在南京,wo'ye'zai'nan'jing
我月票,wo'yue'piao
我在奥体,wo'zai'ao'ti
我在地铁站,wo'zai'di'tie'zhan
我在夫子庙,wo'zai'fu'zi'miao
我在高淳,wo'zai'gao'chun
我在鼓楼,wo'zai'gu'lou
我在挂水,wo'zai'gua'shui
我在江宁,wo'zai'jiang'ning
我在六合,wo'zai'lu'he
我在迈皋桥,wo'zai'mai'gao'qiao
我在南京,wo'zai'nan'jing
我在南京啊,wo'zai'nan'jing'a
我在南京了,wo'zai'nan'jing'le
我在南京呢,wo'zai'nan'jing'ne
我在浦口,wo'zai'pu'kou
我在水游城,wo'zai'shui'you'cheng
我在仙林,wo'zai'xian'lin
我在新街口,wo'zai'xin'jie'kou
我在珠江路,wo'zai'zhu'jiang'lu
我早呢,wo'zao'ne
我怎么讲,wo'zen'me'jiang
我知道哎,wo'zhi'dao'ai
我知道来,wo'zhi'dao'lai
伍佰村,wu'bai'cun
物地,wu'di
武定门,wu'ding'men
武定新村,wu'ding'xin'cun
无二带鬼,wu'er'dai'gui
乌饭,wu'fan
五福家园,wu'fu'jia'yuan
五福街,wu'fu'jie
武湖,wu'hu
武家嘴,wu'jia'zui
吴健雄,wu'jian'xiong
五老村,wu'lao'cun
无聊哎,wu'liao'ai
无聊的一笔,wu'liao'de'yi'bi
无聊的一次,wu'liao'de'yi'ci
五马渡,wu'ma'du
无事佬,wu'shi'lao
五十五所,wu'shi'wu'suo
五十中,wu'shi'zhong
五所村,wu'suo'cun
五台花园,wu'tai'hua'yuan
五塘村,wu'tang'cun
五条巷,wu'tiao'xiang
梧桐树,wu'tong'shu
梧桐语,wu'tong'yu
无锡站,wu'xi'zhan
无线谷,wu'xian'gu
五香蛋,wu'xiang'dan
无想寺,wu'xiang'si
五星电器,wu'xing'dian'qi
武夷花园,wu'yi'hua'yuan
武夷绿洲,wu'yi'lv'zhou
武夷商城,wu'yi'shang'cheng
乌衣巷,wu'yi'xiang
无源,wu'yuan
西安门,xi'an'men
洗把澡,xi'ba'zao
西厂门,xi'chang'men
洗车子,xi'che'zi
西祠,xi'ci
西祠胡同,xi'ci'hu'tong
西祠街区,xi'ci'jie'qu
西堤国际,xi'di'guo'ji
喜多屋,xi'duo'wu
西瓜节,xi'gua'jie
洗过啦,xi'guo'la
洗过了吗,xi'guo'le'ma
洗过澡,xi'guo'zao
洗过澡啦,xi'guo'zao'la
洗过澡了,xi'guo'zao'le
洗过澡了吗,xi'guo'zao'le'ma
西家大塘,xi'jia'da'tang
西津渡,xi'jin'du
席卡,xi'ka
西康路,xi'kang'lu
西流湾,xi'liu'wan
西流湾公园,xi'liu'wan'gong'yuan
熙南里,xi'nan'li
西善花苑,xi'shan'hua'yuan
西善桥,xi'shan'qiao
西水湾,xi'shui'wan
西塘,xi'tang
西缇,xi'ti
西提国际,xi'ti'guo'ji
洗脱,xi'tuo
嬉戏谷,xi'xi'gu
洗洗弄弄,xi'xi'nong'nong
洗洗上床,xi'xi'shang'chuang
喜相逢,xi'xiang'feng
戏校,xi'xiao
喜星,xi'xing
习字册,xi'zi'ce
下班迟,xia'ban'chi
下班赖,xia'ban'lai
下床气,xia'chuang'qi
下大桥,xia'da'qiao
下浮桥,xia'fu'qiao
下关,xia'guan
下关的,xia'guan'de
下关区,xia'guan'qu
瞎讲,xia'jiang
瞎讲八道,xia'jiang'ba'dao
瞎讲的,xia'jiang'de
下款,xia'kuan
下马坊,xia'ma'fang
虾婆,xia'po
夏奇拉,xia'qi'la
下桥了,xia'qiao'le
霞区,xia'qu
夏日祭,xia'ri'ji
下雨哎,xia'yu'ai
嫌大,xian'da
现代快报,xian'dai'kuai'bao
鲜道,xian'dao
仙二,xian'er
先锋广场,xian'feng'guang'chang
先锋书店,xian'feng'shu'dian
现管,xian'guan
仙鹤街,xian'he'jie
仙鹤门,xian'he'men
仙鹤桥,xian'he'qiao
咸货,xian'huo
仙居华庭,xian'ju'hua'ting
仙居雅苑,xian'ju'ya'yuan
仙林,xian'lin
仙林大道,xian'lin'da'dao
仙林大学城,xian'lin'da'xue'cheng
仙林的,xian'lin'de
仙林湖,xian'lin'hu
仙林了,xian'lin'le
仙林校区,xian'lin'xiao'qu
仙林中心,xian'lin'zhong'xin
仙龙湾,xian'long'wan
先声药业,xian'sheng'yao'ye
嫌小,xian'xiao
仙一,xian'yi
仙隐北路,xian'yin'bei'lu
现在南京,xian'zai'nan'jing
现在在南京,xian'zai'zai'nan'jing
想哎,xiang'ai
香椿头,xiang'chun'tou
象房村,xiang'fang'cun
相干,xiang'gan
享购,xiang'gou
祥和雅苑,xiang'he'ya'yuan
项记,xiang'ji
香江蕉叶,xiang'jiang'jiao'ye
香江美,xiang'jiang'mei
想你哎,xiang'ni'ai
想你赖,xiang'ni'lai
象山路,xiang'shan'lu
香山美墅,xiang'shan'mei'shu
响水,xiang'shui
向阳桥,xiang'yang'qiao
向阳渔港,xiang'yang'yu'gang
香溢紫郡,xiang'yi'zi'jun
香樟园,xiang'zhang'yuan
小百合,xiao'bai'he
小班化,xiao'ban'hua
小包间,xiao'bao'jian
小逼样的,xiao'bi'yang'de
小不在意,xiao'bu'zai'yi
小仇,xiao'chou
小厨娘,xiao'chu'niang
小脆,xiao'cui
小大概,xiao'da'gai
小呆比,xiao'dai'bi
小呆子,xiao'dai'zi
小丹阳,xiao'dan'yang
晓得哎,xiao'de'ai
晓得来,xiao'de'lai
小二子,xiao'er'zi
小粉桥,xiao'fen'qiao
小杆子,xiao'gan'zi
小高考,xiao'gao'kao
小行,xiao'hang
小黑车,xiao'hei'che
小红山,xiao'hong'shan
小荤,xiao'hun
小火瓦巷,xiao'huo'wa'xiang
效价,xiao'jia
孝敬为,xiao'jing'wei
小莲庄,xiao'lian'zhuang
孝林卫,xiao'lin'wei
孝陵,xiao'ling
孝陵卫,xiao'ling'wei
小龙湾,xiao'long'wan
小乱,xiao'luan
小马牛肉面,xiao'ma'niu'rou'mian
小毛娃,xiao'mao'wa
小妹头,xiao'mei'tou
笑门,xiao'men
小南京,xiao'nan'jing
小男娃,xiao'nan'wa
小潘西,xiao'pan'xi
消泡剂,xiao'pao'ji
小泡子,xiao'pao'zi
小袍子子,xiao'pao'zi'zi
小寝,xiao'qin
小轻松,xiao'qing'song
晓山,xiao'shan
小市街,xiao'shi'jie
小四门,xiao'si'men
小苏果,xiao'su'guo
小苏烟,xiao'su'yan
小他,xiao'ta
小桃园,xiao'tao'yuan
小天堂,xiao'tian'tang
小托班,xiao'tuo'ban
小卫街,xiao'wei'jie
小尾羊,xiao'wei'yang
小香港,xiao'xiang'gang
小行路,xiao'xing'lu
小学科,xiao'xue'ke
小姨娘,xiao'yi'niang
小银星,xiao'yin'xing
小营,xiao'ying
小营村,xiao'ying'cun
小鱼锅贴,xiao'yu'guo'tie
小元宵,xiao'yuan'xiao
小中考,xiao'zhong'kao
小煮面,xiao'zhu'mian
晓庄,xiao'zhuang
晓庄学院,xiao'zhuang'xue'yuan
歇比,xie'bi
歇得了,xie'de'le
蟹黄汤包,xie'huang'tang'bao
歇火,xie'huo
卸甲甸,xie'jia'dian
歇下来,xie'xia'lai
协众,xie'zhong
新安江街,xin'an'jiang'jie
新百,xin'bai
新城大厦,xin'cheng'da'sha
新城科技园,xin'cheng'ke'ji'yuan
新城市,xin'cheng'shi
新城市广场,xin'cheng'shi'guang'chang
信大,xin'da
新地中心,xin'di'zhong'xin
新东新,xin'dong'xin
新港,xin'gang
新港开发区,xin'gang'kai'fa'qu
新贵之都,xin'gui'zhi'du
新河苑,xin'he'yuan
新华大厦,xin'hua'da'sha
新华日报,xin'hua'ri'bao
信辉,xin'hui
新江中,xin'jiang'zhong
新街,xin'jie
心结咯,xin'jie'ge
新街口,xin'jie'kou
新街口啊,xin'jie'kou'a
新街口吧,xin'jie'kou'ba
新街口的,xin'jie'kou'de
新街口啦,xin'jie'kou'la
新街口了,xin'jie'kou'le
新街口呢,xin'jie'kou'ne
新景祥,xin'jing'xiang
新空,xin'kong
新理想,xin'li'xiang
新门口,xin'men'kou
新模范,xin'mo'fan
新模范马路,xin'mo'fan'ma'lu
新南苑,xin'nan'yuan
新奇特,xin'qi'te
新世纪广场,xin'shi'ji'guang'chang
新世界中心,xin'shi'jie'zhong'xin
新石器,xin'shi'qi
新石器烤肉,xin'shi'qi'kao'rou
新四方,xin'si'fang
新亭,xin'ting
新亭路,xin'ting'lu
信息工程大学,xin'xi'gong'cheng'da'xue
辛香汇,xin'xiang'hui
新寓,xin'yu
鑫园,xin'yuan
新杂志,xin'za'zhi
心脏科,xin'zang'ke
新庄,xin'zhuang
新庄广场,xin'zhuang'guang'chang
行哎,xing'ai
星甸,xing'dian
兴都花园,xing'dou'hua'yuan
幸福蓝海,xing'fu'lan'hai
幸福美地,xing'fu'mei'di
星火路,xing'huo'lu
行借口,xing'jie'kou
兴隆大街,xing'long'da'jie
姓名贴,xing'ming'tie
兴卫村,xing'wei'cun
星雨华府,xing'yu'hua'fu
兴元嘉园,xing'yuan'jia'yuan
凶死了,xiong'si'le
雄州镇,xiong'zhou'zhen
绣花巷,xiu'hua'xiang
秀客,xiu'ke
许府巷,xu'fu'xiang
旭日爱上城,xu'ri'ai'shang'cheng
旭日华庭,xu'ri'hua'ting
旭日景城,xu'ri'jing'cheng
旭日上城,xu'ri'shang'cheng
徐师大,xu'shi'da
盱眙,xu'yi
盱眙县,xu'yi'xian
蓿园,xu'yuan
徐州的,xu'zhou'de
徐州话,xu'zhou'hua
徐州人,xu'zhou'ren
徐庄,xu'zhuang
徐庄软件园,xu'zhuang'ruan'jian'yuan
宣传委,xuan'chuan'wei
轩皇,xuan'huang
玄武大道,xuan'wu'da'dao
玄武饭店,xuan'wu'fan'dian
玄武湖,xuan'wu'hu
玄武湖公园,xuan'wu'hu'gong'yuan
玄武门,xuan'wu'men
玄武区,xuan'wu'qu
玄武中专,xuan'wu'zhong'zhuan
雪菜肉丝,xue'cai'rou'si
学工处,xue'gong'chu
学海路,xue'hai'lu
学驾驶,xue'jia'shi
学交,xue'jiao
学练案,xue'lian'an
学团联,xue'tuan'lian
学习委,xue'xi'wei
学业路,xue'ye'lu
雪月饼,xue'yue'bing
学则,xue'ze
学则路,xue'ze'lu
雪中彩影,xue'zhong'cai'ying
鸭德堡,ya'de'bao
亚东城,ya'dong'cheng
亚东新城,ya'dong'xin'cheng
亚东新城区,ya'dong'xin'cheng'qu
呀来,ya'lai
亚马达,ya'ma'da
亚青村,ya'qing'cun
亚青会,ya'qing'hui
鸭四件,ya'si'jian
牙疼话,ya'teng'hua
桠溪,ya'xi
鸭血,ya'xue
鸭血粉丝,ya'xue'fen'si
鸭血粉丝汤,ya'xue'fen'si'tang
鸭肫,ya'zhun
鸭子店,ya'zi'dian
烟波渔港,yan'bo'yu'gang
盐仓桥,yan'cang'qiao
盐城的,yan'cheng'de
盐城人,yan'cheng'ren
验房师,yan'fang'shi
盐葛,yan'ge
晏公庙,yan'gong'miao
沿江工业开发区,yan'jiang'gong'ye'kai'fa'qu
燕江路,yan'jiang'lu
沿江镇,yan'jiang'zhen
延龄巷,yan'ling'xiang
燕山路,yan'shan'lu
盐水鹅,yan'shui'e
盐水鸭,yan'shui'ya
燕语华庭,yan'yu'hua'ting
燕子矶,yan'zi'ji
扬巴,yang'ba
杨公井,yang'gong'jing
洋呼,yang'hu
扬剧,yang'ju
羊皮巷,yang'pi'xiang
羊山,yang'shan
羊山公园,yang'shan'gong'yuan
扬泰,yang'tai
杨卫泽,yang'wei'ze
养志,yang'zhi
扬州,yang'zhou
扬州啊,yang'zhou'a
扬州吧,yang'zhou'ba
扬州的,yang'zhou'de
扬州话,yang'zhou'hua
扬州了,yang'zhou'le
扬州呢,yang'zhou'ne
扬州人,yang'zhou'ren
扬州玩,yang'zhou'wan
洋珠巷,yang'zhu'xiang
杨庄,yang'zhuang
扬子,yang'zi
扬子江大道,yang'zi'jiang'da'dao
扬子石化,yang'zi'shi'hua
扬子晚报,yang'zi'wan'bao
要哎,yao'ai
要迟,yao'chi
药大,yao'da
要挂水,yao'gua'shui
尧化,yao'hua
尧化门,yao'hua'men
尧化新村,yao'hua'xin'cun
尧佳路,yao'jia'lu
药科,yao'ke
药科大,yao'ke'da
药科大学,yao'ke'da'xue
要来南京,yao'lai'nan'jing
尧林仙居,yao'lin'xian'ju
药事,yao'shi
也迟,ye'chi
野道,ye'dao
耶夫蒂奇,ye'fu'di'qi
液晶谷,ye'jing'gu
也看到的,ye'kan'dao'de
夜里面,ye'li'mian
夜里头,ye'li'tou
也么的,ye'me'de
冶山,ye'shan
冶山镇,ye'shan'zhen
也行哎,ye'xing'ai
也在南京,ye'zai'nan'jing
一把头,yi'ba'tou
一笔,yi'bi
一比比,yi'bi'bi
一笔雕凿,yi'bi'diao'zao
一笔屎,yi'bi'shi
壹城,yi'cheng
易充值,yi'chong'zhi
一次头,yi'ci'tou
一沓,yi'da
一当,yi'dang
一得儿,yi'de'er
一等货,yi'deng'huo
一等价钱,yi'deng'jia'qian
一点不错,yi'dian'bu'cuo
一点大,yi'dian'da
易付宝,yi'fu'bao
逸夫馆,yi'fu'guan
一斧子,yi'fu'zi
一工,yi'gong
易购卡,yi'gou'ka
意怪,yi'guai
一号出口,yi'hao'chu'kou
颐和家园,yi'he'jia'yuan
颐和路,yi'he'lu
颐和南园,yi'he'nan'yuan
怡湖华庭,yi'hu'hua'ting
已婚啦,yi'hun'la
挹江门,yi'jiang'men
怡景花园,yi'jing'hua'yuan
一句吊话,yi'ju'diao'hua
一米,yi'mi
一米多高,yi'mi'duo'gao
一米米,yi'mi'mi
依诺,yi'nuo
颐尚温泉,yi'shang'wen'quan
议事园,yi'shi'yuan
易思博,yi'si'bo
一踏,yi'ta
一头劲,yi'tou'jin
艺文馆,yi'wen'guan
逸仙桥,yi'xian'qiao
一线通,yi'xian'tong
一样哎,yi'yang'ai
一一当当,yi'yi'dang'dang
医院挂水,yi'yuan'gua'shui
依云溪谷,yi'yun'xi'gu
仪征,yi'zheng
宜芝多,yi'zhi'duo
一枝园,yi'zhi'yuan
一樽,yi'zun
一尊皇牛,yi'zun'huang'niu
一尊牛排,yi'zun'niu'pai
银城,yin'cheng
银城东苑,yin'cheng'dong'yuan
银城花园,yin'cheng'hua'yuan
银城街,yin'cheng'jie
殷高巷,yin'gao'xiang
印鉴章,yin'jian'zhang
银龙花园,yin'long'hua'yuan
银楼,yin'lou
银桥市场,yin'qiao'shi'chang
殷巷,yin'xiang
银杏湖,yin'xing'hu
影壁,ying'bi
迎财神,ying'cai'shen
迎春里,ying'chun'li
英华达,ying'hua'da
应天,ying'tian
应天大街,ying'tian'da'jie
应天西路,ying'tian'xi'lu
应天学院,ying'tian'xue'yuan
樱铁村,ying'tie'cun
硬腿子,ying'tui'zi
樱驼,ying'tuo
樱驼村,ying'tuo'cun
樱驼花园,ying'tuo'hua'yuan
营苑,ying'yuan
硬正,ying'zheng
用不起来,yong'bu'qi'lai
用不起来了,yong'bu'qi'lai'le
永宁镇,yong'ning'zhen
永庆巷,yong'qing'xiang
永阳镇,yong'yang'zhen
有哎,you'ai
游城,you'cheng
有点个,you'dian'ge
有吊用,you'diao'yong
油坊,you'fang
油坊桥,you'fang'qiao
游府,you'fu
游府西街,you'fu'xi'jie
优歌美地,you'ge'mei'di
有关物质,you'guan'wu'zhi
优客,you'ke
有空来南京,you'kong'lai'nan'jing
优力锋,you'li'feng
又麻又辣,you'ma'you'la
优漫卡通,you'man'ka'tong
又么得,you'me'de
有南京,you'nan'jing
油汀,you'ting
有文章,you'wen'zhang
悠仙美地,you'xian'mei'di
游小,you'xiao
友谊河路,you'yi'he'lu
友谊桥,you'yi'qiao
油油油,you'you'you
游园卡,you'yuan'ka
游子山,you'zi'shan
育才公寓,yu'cai'gong'yu
玉带,yu'dai
玉带园,yu'dai'yuan
御道,yu'dao
御道街,yu'dao'jie
玉葛,yu'ge
芋贵人,yu'gui'ren
雨花,yu'hua
雨花茶,yu'hua'cha
雨花路,yu'hua'lu
雨花南路,yu'hua'nan'lu
雨花区,yu'hua'qu
雨花台,yu'hua'tai
雨花台区,yu'hua'tai'qu
雨花台中学,yu'hua'tai'zhong'xue
雨花西路,yu'hua'xi'lu
雨花新村,yu'hua'xin'cun
俞家巷,yu'jia'xiang
郁金香路,yu'jin'xiang'lu
玉兰路,yu'lan'lu
裕民家园,yu'min'jia'yuan
玉桥,yu'qiao
玉桥市场,yu'qiao'shi'chang
羽绒衫,yu'rong'shan
雨润,yu'run
雨润大街,yu'run'da'jie
雨山,yu'shan
雨山西路,yu'shan'xi'lu
鱼市街,yu'shi'jie
御水湾,yu'shui'wan
玉塘村,yu'tang'cun
鱼汤面,yu'tang'mian
雨污分流,yu'wu'fen'liu
育英二外,yu'ying'er'wai
语院,yu'yuan
园东路,yuan'dong'lu
袁老大,yuan'lao'da
渊声巷,yuan'sheng'xiang
元通,yuan'tong
元通站,yuan'tong'zhan
院系杯,yuan'xi'bei
员休,yuan'xiu
院选,yuan'xuan
圆桌武士,yuan'zhuo'wu'shi
月安,yue'an
月安街,yue'an'jie
阅城,yue'cheng
阅城国际,yue'cheng'guo'ji
悦府,yue'fu
粤鸿和,yue'hong'he
阅江,yue'jiang
阅江广场,yue'jiang'guang'chang
阅江楼,yue'jiang'lou
阅景,yue'jing
阅景龙华,yue'jing'long'hua
