阿巴迪征,a'ba'di'zheng
颞横内侧区,nie'heng'nei'ce'qu
颞横外侧区,nie'heng'wai'ce'qu
颞极,nie'ji
颞桥束,nie'qiao'shu
颞上沟,nie'shang'gou
颞上回,nie'shang'hui
颞上区,nie'shang'qu
颞下沟,nie'xia'gou
颞下回,nie'xia'hui
颞下区,nie'xia'qu
颞叶,nie'ye
颞叶癫痫,nie'ye'dian'xian
颞叶疝压迹,nie'ye'shan'ya'ji
颞叶损害综合征,nie'ye'sun'hai'zong'he'zheng
颞中回,nie'zhong'hui
颞中区,nie'zhong'qu
凝固性过高,ning'gu'xing'guo'gao
宁神定,ning'shen'ding
凝视,ning'shi
凝视性眼球震颤,ning'shi'xing'yan'qiu'zhen'chan
扭转痉挛,niu'zhuan'jing'luan
扭转性肌张力障碍,niu'zhuan'xing'ji'zhang'li'zhang'ai
脓腔,nong'qiang
诺菲尼末梢,nuo'fei'ni'mo'shao
诺特纳格尔型,nuo'te'na'ge'er'xing
诺特纳格尔综合征,nuo'te'na'ge'er'zong'he'zheng
诺稳固衡,nuo'wen'gu'heng
欧勃肌营养不良,ou'bo'ji'ying'yang'bu'liang
呕吐反射,ou'tu'fan'she
帕金森氏病,pa'jin'sen'shi'bing
帕金森综合征,pa'jin'sen'zong'he'zheng
帕里诺眼肌麻痹,pa'li'nuo'yan'ji'ma'bi
帕里诺综合征,pa'li'nuo'zong'he'zheng
哌苯甲醇,pai'ben'jia'chun
哌醋甲酯,pai'cu'jia'zhi
哌咪清,pai'mi'qing
排尿,pai'niao
排尿晕厥,pai'niao'yun'jue
排尿中枢,pai'niao'zhong'shu
排泄障碍,pai'xie'zhang'ai
襻霉素,pan'mei'su
蟠曲反射,pan'qu'fan'she
蹒跚,pan'shan
蹒跚步态,pan'shan'bu'tai
潘生丁,pan'sheng'ding
潘氏试验,pan'shi'shi'yan
潘特生,pan'te'sheng
膀胱,pang'guang
膀胱神经无力,pang'guang'shen'jing'wu'li
旁结,pang'jie
旁绳状体,pang'sheng'zhuang'ti
旁突体,pang'tu'ti
旁正中,pang'zheng'zhong
疱疹净,pao'zhen'jing
胚神经孔,pei'shen'jing'kong
喷射性呕吐,pen'she'xing'ou'tu
喷嚏反射,pen'ti'fan'she
皮层性失语,pi'ceng'xing'shi'yu
皮层运动区活动过度,pi'ceng'yun'dong'qu'huo'dong'guo'du
皮层运动区活动障碍,pi'ceng'yun'dong'qu'huo'dong'zhang'ai
皮肤的,pi'fu'de
皮肤书写觉,pi'fu'shu'xie'jue
皮肤书写觉丧失,pi'fu'shu'xie'jue'sang'shi
皮肌炎,pi'ji'yan
皮克病脑叶萎缩,pi'ke'bing'nao'ye'wei'suo
疲劳,pi'lao
匹莫林,pi'mo'lin
皮区,pi'qu
皮样囊肿,pi'yang'nang'zhong
皮质,pi'zhi
皮质顶盖纤维,pi'zhi'ding'gai'xian'wei
皮质感觉性失语,pi'zhi'gan'jue'xing'shi'yu
皮质橄榄纤维,pi'zhi'gan'lan'xian'wei
皮质核束,pi'zhi'he'shu
皮质脊髓侧束,pi'zhi'ji'sui'ce'shu
皮质脊髓前束,pi'zhi'ji'sui'qian'shu
皮质静脉血,pi'zhi'jing'mai'xue
皮质脑干束,pi'zhi'nao'gan'shu
皮质脑桥束,pi'zhi'nao'qiao'shu
皮质丘脑纤维,pi'zhi'qiu'nao'xian'wei
皮质外轴索再生障碍,pi'zhi'wai'zhou'suo'zai'sheng'zhang'ai
皮质网状纤维,pi'zhi'wang'zhuang'xian'wei
皮质纹,pi'zhi'wen
皮质纹状体纤维,pi'zhi'wen'zhuang'ti'xian'wei
皮质下脑病,pi'zhi'xia'nao'bing
皮质下脑炎,pi'zhi'xia'nao'yan
皮质下丘投射,pi'zhi'xia'qiu'tou'she
偏侧大脑皮层切除术,pian'ce'da'nao'pi'ceng'qie'chu'shu
偏侧肥大,pian'ce'fei'da
偏侧感觉迟钝,pian'ce'gan'jue'chi'dun
偏侧感觉过敏,pian'ce'gan'jue'guo'min
偏侧共济失调,pian'ce'gong'ji'shi'tiao
偏侧痉挛,pian'ce'jing'luan
偏侧颅骨肥大,pian'ce'lu'gu'fei'da
偏侧颅骨切除术,pian'ce'lu'gu'qie'chu'shu
偏侧面肌痉挛,pian'ce'mian'ji'jing'luan
偏侧热觉缺失,pian'ce're'jue'que'shi
偏侧色盲,pian'ce'se'mang
偏侧失用症,pian'ce'shi'yong'zheng
偏侧听觉障碍,pian'ce'ting'jue'zhang'ai
偏侧痛觉减退,pian'ce'tong'jue'jian'tui
偏侧痛觉缺失,pian'ce'tong'jue'que'shi
偏侧味觉缺失,pian'ce'wei'jue'que'shi
偏侧萎缩,pian'ce'wei'suo
偏侧舞蹈病,pian'ce'wu'dao'bing
偏侧下身麻木,pian'ce'xia'shen'ma'mu
偏侧协同运动不能,pian'ce'xie'tong'yun'dong'bu'neng
偏侧嗅觉缺失,pian'ce'xiu'jue'que'shi
偏侧震颤麻痹,pian'ce'zhen'chan'ma'bi
偏盲,pian'mang
偏盲性瞳孔反应,pian'mang'xing'tong'kong'fan'ying
偏身辨距不能,pian'shen'bian'ju'bu'neng
偏身颤抖,pian'shen'chan'dou
偏身感觉障碍,pian'shen'gan'jue'zhang'ai
偏身肌无力,pian'shen'ji'wu'li
偏身投掷症,pian'shen'tou'zhi'zheng
偏瘫,pian'tan
偏瘫步态,pian'tan'bu'tai
偏瘫否认,pian'tan'fou'ren
偏瘫后的,pian'tan'hou'de
偏瘫性头痛,pian'tan'xing'tou'tong
偏头痛,pian'tou'tong
偏头痛闪烁幻象,pian'tou'tong'shan'shuo'huan'xiang
偏振显微镜,pian'zhen'xian'wei'jing
偏执狂,pian'zhi'kuang
胼胝上回,pian'zhi'shang'hui
胼胝体,pian'zhi'ti
胼胝体发育不良,pian'zhi'ti'fa'yu'bu'liang
胼胝体沟,pian'zhi'ti'gou
胼胝体下区,pian'zhi'ti'xia'qu
胼胝下回,pian'zhi'xia'hui
评估,ping'gu
平衡不稳,ping'heng'bu'wen
平衡感知,ping'heng'gan'zhi
平衡失调,ping'heng'shi'tiao
平面定位障碍,ping'mian'ding'wei'zhang'ai
平卧,ping'wo
屏障,ping'zhang
破罐音,po'guan'yin
破裂,po'lie
泼尼松,po'ni'song
破伤风,po'shang'feng
破伤风痉挛,po'shang'feng'jing'luan
普粑嗪,pu'ba'qin
普鲁卡因酰胺,pu'lu'ka'yin'xian'an
普鲁氯哌嗪,pu'lu'lv'pai'qin
普塞普反射,pu'sai'pu'fan'she
普塞普手术,pu'sai'pu'shou'shu
葡糖脑苷脂,pu'tang'nao'gan'zhi
葡萄糖耐量因子,pu'tao'tang'nai'liang'yin'zi
葡萄糖脑苷脂沉积症,pu'tao'tang'nao'gan'zhi'chen'ji'zheng
扑痫酮,pu'xian'tong
扑翼样震颤,pu'yi'yang'zhen'chan
气管食管瘘,qi'guan'shi'guan'lou
起立困难,qi'li'kun'nan
气脑造影术,qi'nao'zao'ying'shu
器质性脑病,qi'zhi'xing'nao'bing
前穿质,qian'chuan'zhi
潜伏期,qian'fu'qi
前根,qian'gen
前角,qian'jiao
前叩击收缩,qian'kou'ji'shou'suo
前连合,qian'lian'he
前裂,qian'lie
前脑内侧束,qian'nao'nei'ce'shu
前旁嗅沟,qian'pang'xiu'gou
前说话区,qian'shuo'hua'qu
前髓帆,qian'sui'fan
前索,qian'suo
前庭功能,qian'ting'gong'neng
前庭脊髓束,qian'ting'ji'sui'shu
前庭区,qian'ting'qu
前庭神经上核,qian'ting'shen'jing'shang'he
前庭神经元炎,qian'ting'shen'jing'yuan'yan
前庭小脑纤维,qian'ting'xiao'nao'xian'wei
前庭性眩晕,qian'ting'xing'xuan'yun
前庭性眼球震颤,qian'ting'xing'yan'qiu'zhen'chan
前外侧,qian'wai'ce
前外侧沟,qian'wai'ce'gou
前外侧皮质,qian'wai'ce'pi'zhi
前囟,qian'xin
前杏仁区,qian'xing'ren'qu
迁移性,qian'yi'xing
牵张反射,qian'zhang'fan'she
前正中裂,qian'zheng'zhong'lie
羟氨苄青霉素,qiang'an'bian'qing'mei'su
羟次甲氢龙,qiang'ci'jia'qing'long
强力霉素,qiang'li'mei'su
羟脑苷脂,qiang'nao'gan'zhi
强迫姿势,qiang'po'zi'shi
羟嗪,qiang'qin
强握反射,qiang'wo'fan'she
羟戊丁氨酯,qiang'wu'ding'an'zhi
羟烯脑苷脂,qiang'xi'nao'gan'zhi
腔隙性梗塞,qiang'xi'xing'geng'se
腔隙状态,qiang'xi'zhuang'tai
羟乙基淀粉,qiang'yi'ji'dian'fen
羟乙基磺酸戊双脒,qiang'yi'ji'huang'suan'wu'shuang'mi
羟乙基芦丁,qiang'yi'ji'lu'ding
羟乙哌吖,qiang'yi'pai'a
强直,qiang'zhi
强直性癫痫发作,qiang'zhi'xing'dian'xian'fa'zuo
强直性反射,qiang'zhi'xing'fan'she
强直性痉挛,qiang'zhi'xing'jing'luan
强直性瞳孔,qiang'zhi'xing'tong'kong
强直阵挛发作,qiang'zhi'zhen'luan'fa'zuo
鞘磷脂沉积症,qiao'lin'zhi'chen'ji'zheng
桥脑顶盖综合征,qiao'nao'ding'gai'zong'he'zheng
桥脑旁正中综合征,qiao'nao'pang'zheng'zhong'zong'he'zheng
桥曲,qiao'qu
桥延体,qiao'yan'ti
切除,qie'chu
切迹,qie'ji
切片机,qie'pian'ji
侵犯,qin'fan
禽距,qin'ju
沁泪反射,qin'lei'fan'she
亲神经元的,qin'shen'jing'yuan'de
侵蚀,qin'shi
情感性痉挛,qing'gan'xing'jing'luan
青光眼,qing'guang'yan
氢化麦角碱,qing'hua'mai'jiao'jian
氢化泼尼松龙,qing'hua'po'ni'song'long
轻昏迷,qing'hun'mi
氢氯噻嗪,qing'lv'sai'qin
青霉胺,qing'mei'an
轻偏瘫,qing'pian'tan
青少年型家族性黑蒙性白痴,qing'shao'nian'xing'jia'zu'xing'hei'meng'xing'bai'chi
轻瘫,qing'tan
轻躁狂,qing'zao'kuang
穹窿,qiong'long
穹窿连合,qiong'long'lian'he
穹窿下器,qiong'long'xia'qi
球后视神经炎,qiu'hou'shi'shen'jing'yan
球麻痹,qiu'ma'bi
球囊,qiu'nang
丘脑,qiu'nao
丘脑带,qiu'nao'dai
丘脑辐射,qiu'nao'fu'she
丘脑脚,qiu'nao'jiao
丘脑切开术,qiu'nao'qie'kai'shu
丘脑髓纹,qiu'nao'sui'wen
丘脑纹状体纤维,qiu'nao'wen'zhuang'ti'xian'wei
丘脑下体,qiu'nao'xia'ti
丘脑性痴呆,qiu'nao'xing'chi'dai
丘脑综合征,qiu'nao'zong'he'zheng
丘系,qiu'xi
丘系三角,qiu'xi'san'jiao
去大脑,qu'da'nao
去大脑僵直,qu'da'nao'jiang'zhi
躯干共济失调症,qu'gan'gong'ji'shi'tiao'zheng
屈肌反射,qu'ji'fan'she
去甲安定,qu'jia'an'ding
去甲丙咪嗪,qu'jia'bing'mi'qin
去甲羟安定,qu'jia'qiang'an'ding
去甲肾上腺素能通路,qu'jia'shen'shang'xian'su'neng'tong'lu
去甲替林,qu'jia'ti'lin
去甲万古霉素,qu'jia'wan'gu'mei'su
去皮层强直,qu'pi'ceng'qiang'zhi
屈曲,qu'qu
屈曲性损伤,qu'qu'xing'sun'shang
去神经支配,qu'shen'jing'zhi'pei
躯体感觉,qu'ti'gan'jue
躯体位置觉缺失,qu'ti'wei'zhi'jue'que'shi
区域性疼痛,qu'yu'xing'teng'tong
醛固酮,quan'gu'tong
拳击员脑炎,quan'ji'yuan'nao'yan
犬惊病,quan'jing'bing
全面性痴呆,quan'mian'xing'chi'dai
全身肌紧张,quan'shen'ji'jin'zhang
全瘫,quan'tan
缺血,que'xue
缺血性白质脑病,que'xue'xing'bai'zhi'nao'bing
缺血性梗塞,que'xue'xing'geng'se
缺血性肌病,que'xue'xing'ji'bing
缺血性脊髓软化,que'xue'xing'ji'sui'ruan'hua
缺血性脑血管病,que'xue'xing'nao'xue'guan'bing
缺血性神经病,que'xue'xing'shen'jing'bing
缺氧,que'yang
染色质,ran'se'zhi
桡骨膜反射,rao'gu'mo'fan'she
热带痉挛性截瘫,re'dai'jing'luan'xing'jie'tan
惹利埃病,re'li'ai'bing
惹利埃综合征,re'li'ai'zong'he'zheng
热性痛觉,re'xing'tong'jue
热性痛觉缺失,re'xing'tong'jue'que'shi
日射性脑炎,ri'she'xing'nao'yan
溶酶体,rong'mei'ti
绒球,rong'qiu
绒球脚,rong'qiu'jiao
溶神经细胞素,rong'shen'jing'xi'bao'su
溶髓鞘质素,rong'sui'qiao'zhi'su
肉桂苯哌嗪,rou'gui'ben'pai'qin
柔脑膜,rou'nao'mo
柔脑膜瘤,rou'nao'mo'liu
柔脑膜炎,rou'nao'mo'yan
肉芽肿,rou'ya'zhong
褥疮,ru'chuang
乳多空病毒,ru'duo'kong'bing'du
乳果糖,ru'guo'tang
乳酶生,ru'mei'sheng
入睡前幻觉,ru'shui'qian'huan'jue
乳头被盖束,ru'tou'bei'gai'shu
乳头脚,ru'tou'jiao
乳头丘脑束,ru'tou'qiu'nao'shu
乳头区,ru'tou'qu
乳头上交叉,ru'tou'shang'jiao'cha
乳头体,ru'tou'ti
乳头主束,ru'tou'zhu'shu
乳突囟,ru'tu'xin
乳突炎,ru'tu'yan
软膜,ruan'mo
软脑膜漏斗,ruan'nao'mo'lou'dou
弱视,ruo'shi
弱智,ruo'zhi
萨尔博征,sa'er'bo'zheng
塞甘先兆征,sai'gan'xian'zhao'zheng
噻吗洛尔,sai'ma'luo'er
塞因法,sai'yin'fa
三倍体症,san'bei'ti'zheng
三叉丘系,san'cha'qiu'xi
三叉神经脊束,san'cha'shen'jing'ji'shu
三叉神经节,san'cha'shen'jing'jie
三叉神经切迹,san'cha'shen'jing'qie'ji
三叉神经痛,san'cha'shen'jing'tong
三叉小脑纤维,san'cha'xiao'nao'xian'wei
三氮唑核苷,san'dan'zuo'he'gan
三碘甲状腺氨酸钠,san'dian'jia'zhuang'xian'an'suan'na
散发性呆小病,san'fa'xing'dai'xiao'bing
三氟哌丁苯,san'fu'pai'ding'ben
三氟噻吨,san'fu'sai'dun
三环类抗抑郁药,san'huan'lei'kang'yi'yu'yao
三甲双酮,san'jia'shuang'tong
三角,san'jiao
三期梅毒,san'qi'mei'du
三羟甲基,san'qiang'jia'ji
三乙基羟化四甲胺,san'yi'ji'qiang'hua'si'jia'an
三唑仑,san'zuo'lun
三唑酮,san'zuo'tong
色觉,se'jue
色素,se'su
沙丁胺醇,sha'ding'an'chun
砂瘤小体,sha'liu'xiao'ti
沙哑,sha'ya
筛板,shai'ban
筛骨钩突,shai'gu'gou'tu
筛骨外侧部,shai'gu'wai'ce'bu
闪电性神经病,shan'dian'xing'shen'jing'bing
山顶,shan'ding
山梗菜碱,shan'geng'cai'jian
闪光暗点,shan'guang'an'dian
山坡,shan'po
闪烁视觉,shan'shuo'shi'jue
上凹,shang'ao
上后裂,shang'hou'lie
上睑下垂,shang'jian'xia'chui
上清液,shang'qing'ye
上丘,shang'qiu
上丘臂,shang'qiu'bi
上丘脑,shang'qiu'nao
上丘脑沟,shang'qiu'nao'gou
上矢状窦,shang'shi'zhuang'dou
上矢状窦横索,shang'shi'zhuang'dou'heng'suo
上下性偏盲,shang'xia'xing'pian'mang
上行性偏瘫,shang'xing'xing'pian'tan
上运动神经元麻痹,shang'yun'dong'shen'jing'yuan'ma'bi
上纵束,shang'zong'shu
少年进行性球麻痹,shao'nian'jin'xing'xing'qiu'ma'bi
少年型黑蒙性白痴,shao'nian'xing'hei'meng'xing'bai'chi
少年型家族性进行性脊肌萎缩症,shao'nian'xing'jia'zu'xing'jin'xing'xing'ji'ji'wei'suo'zheng
少年型神经节苷脂沉积病,shao'nian'xing'shen'jing'jie'gan'zhi'chen'ji'bing
少突胶质瘤,shao'tu'jiao'zhi'liu
少突胶质细胞,shao'tu'jiao'zhi'xi'bao
少突胶质细胞瘤,shao'tu'jiao'zhi'xi'bao'liu
舌回,she'hui
舌痉挛,she'jing'luan
舌下的,she'xia'de
舌下三角,she'xia'san'jiao
舌下神经袢,she'xia'shen'jing'pan
舌咽神经颈动脉窦支,she'yan'shen'jing'jing'dong'mai'dou'zhi
舌营养神经病,she'ying'yang'shen'jing'bing
深部感觉,shen'bu'gan'jue
深部感觉迟钝,shen'bu'gan'jue'chi'dun
深部感觉过敏,shen'bu'gan'jue'guo'min
深部感觉缺失,shen'bu'gan'jue'que'shi
深层反射,shen'ceng'fan'she
渗出,shen'chu
深感觉,shen'gan'jue
伸肌,shen'ji
神经板,shen'jing'ban
神经胞浆,shen'jing'bao'jiang
神经变性的,shen'jing'bian'xing'de
神经表皮的,shen'jing'biao'pi'de
神经病,shen'jing'bing
神经病性关节病,shen'jing'bing'xing'guan'jie'bing
神经病学,shen'jing'bing'xue
神经病学家,shen'jing'bing'xue'jia
神经成形术,shen'jing'cheng'xing'shu
神经传导速度,shen'jing'chuan'dao'su'du
神经刺激,shen'jing'ci'ji
神经丛,shen'jing'cong
神经丛炎,shen'jing'cong'yan
神经递质,shen'jing'di'zhi
神经电图,shen'jing'dian'tu
神经电位,shen'jing'dian'wei
神经毒素,shen'jing'du'su
神经断端神经瘤,shen'jing'duan'duan'shen'jing'liu
神经分泌,shen'jing'fen'mi
神经缝术,shen'jing'feng'shu
神经沟,shen'jing'gou
神经固定,shen'jing'gu'ding
神经管,shen'jing'guan
神经管闭合不全,shen'jing'guan'bi'he'bu'quan
神经管节,shen'jing'guan'jie
神经化学,shen'jing'hua'xue
神经活检,shen'jing'huo'jian
神经嵴,shen'jing'ji
神经肌接头,shen'jing'ji'jie'tou
神经机能加强法,shen'jing'ji'neng'jia'qiang'fa
神经肌强直,shen'jing'ji'qiang'zhi
神经激素,shen'jing'ji'su
神经脊髓炎,shen'jing'ji'sui'yan
神经肌梭,shen'jing'ji'suo
神经肌无力,shen'jing'ji'wu'li
神经挤压伤,shen'jing'ji'ya'shang
神经肌炎,shen'jing'ji'yan
神经腱器,shen'jing'jian'qi
神经胶质,shen'jing'jiao'zhi
神经胶质被膜,shen'jing'jiao'zhi'bei'mo
神经胶质粒,shen'jing'jiao'zhi'li
神经胶质瘤,shen'jing'jiao'zhi'liu
神经胶质瘤病,shen'jing'jiao'zhi'liu'bing
神经胶质肉瘤,shen'jing'jiao'zhi'rou'liu
神经胶质细胞,shen'jing'jiao'zhi'xi'bao
神经胶质细胞瘤,shen'jing'jiao'zhi'xi'bao'liu
神经胶质原的,shen'jing'jiao'zhi'yuan'de
神经胶质原纤维的,shen'jing'jiao'zhi'yuan'xian'wei'de
神经胶质毡,shen'jing'jiao'zhi'zhan
神经节,shen'jing'jie
神经节苷脂,shen'jing'jie'gan'zhi
神经节苷脂沉积症,shen'jing'jie'gan'zhi'chen'ji'zheng
神经节胶质神经瘤,shen'jing'jie'jiao'zhi'shen'jing'liu
神经解剖学,shen'jing'jie'pou'xue
神经节切除术,shen'jing'jie'qie'chu'shu
神经节神经胶质瘤,shen'jing'jie'shen'jing'jiao'zhi'liu
神经节细胞,shen'jing'jie'xi'bao
神经节细胞瘤,shen'jing'jie'xi'bao'liu
神经节细胞缺乏症,shen'jing'jie'xi'bao'que'fa'zheng
神经节炎,shen'jing'jie'yan
神经节阻滞,shen'jing'jie'zu'zhi
神经孔,shen'jing'kong
神经叩击器,shen'jing'kou'ji'qi
神经淋巴瘤病,shen'jing'lin'ba'liu'bing
神经瘤,shen'jing'liu
神经瘤病,shen'jing'liu'bing
神经梅毒,shen'jing'mei'du
神经迷路炎,shen'jing'mi'lu'yan
神经膜,shen'jing'mo
神经膜鞘,shen'jing'mo'qiao
神经膜细胞,shen'jing'mo'xi'bao
神经内丛,shen'jing'nei'cong
神经内的,shen'jing'nei'de
神经内分泌,shen'jing'nei'fen'mi
神经内膜,shen'jing'nei'mo
神经能,shen'jing'neng
神经旁的,shen'jing'pang'de
神经胚,shen'jing'pei
神经牵伸术,shen'jing'qian'shen'shu
神经鞘,shen'jing'qiao
神经鞘氨醇,shen'jing'qiao'an'chun
神经鞘氨醇己三糖苷,shen'jing'qiao'an'chun'ji'san'tang'gan
神经鞘氨醇酶,shen'jing'qiao'an'chun'mei
神经鞘氨脂,shen'jing'qiao'an'zhi
神经鞘半乳糖苷,shen'jing'qiao'ban'ru'tang'gan
神经鞘磷脂,shen'jing'qiao'lin'zhi
神经鞘瘤,shen'jing'qiao'liu
神经鞘糖脂,shen'jing'qiao'tang'zhi
神经鞘细胞,shen'jing'qiao'xi'bao
神经鞘炎,shen'jing'qiao'yan
神经鞘脂,shen'jing'qiao'zhi
神经鞘脂代谢障碍,shen'jing'qiao'zhi'dai'xie'zhang'ai
神经鞘脂类,shen'jing'qiao'zhi'lei
神经鞘脂类沉积症,shen'jing'qiao'zhi'lei'chen'ji'zheng
神经切断术,shen'jing'qie'duan'shu
神经融合术,shen'jing'rong'he'shu
神经肉瘤,shen'jing'rou'liu
神经软化,shen'jing'ruan'hua
神经上皮,shen'jing'shang'pi
神经上皮瘤,shen'jing'shang'pi'liu
神经生物学,shen'jing'sheng'wu'xue
神经视网膜炎,shen'jing'shi'wang'mo'yan
神经失用症,shen'jing'shi'yong'zheng
神经束膜,shen'jing'shu'mo
神经束膜内膜炎,shen'jing'shu'mo'nei'mo'yan
神经束上皮,shen'jing'shu'shang'pi
神经衰弱,shen'jing'shuai'ruo
神经松解,shen'jing'song'jie
神经髓鞘磷脂沉积症,shen'jing'sui'qiao'lin'zhi'chen'ji'zheng
神经套管术,shen'jing'tao'guan'shu
神经痛,shen'jing'tong
神经痛性肌萎缩,shen'jing'tong'xing'ji'wei'suo
神经外膜,shen'jing'wai'mo
神经外伤,shen'jing'wai'shang
神经微管,shen'jing'wei'guan
神经吻合术,shen'jing'wen'he'shu
神经细胞瘤,shen'jing'xi'bao'liu
神经细胞体,shen'jing'xi'bao'ti
神经细胞学,shen'jing'xi'bao'xue
神经细胞营养不良,shen'jing'xi'bao'ying'yang'bu'liang
神经系统状态,shen'jing'xi'tong'zhuang'tai
神经纤维,shen'jing'xian'wei
神经纤维瘤,shen'jing'xian'wei'liu
神经纤维瘤病,shen'jing'xian'wei'liu'bing
神经纤维酸,shen'jing'xian'wei'suan
神经纤维网,shen'jing'xian'wei'wang
神经型阿米巴病,shen'jing'xing'a'mi'ba'bing
神经性耳聋,shen'jing'xing'er'long
神经性关节病,shen'jing'xing'guan'jie'bing
神经性痉挛,shen'jing'xing'jing'luan
神经性麻痹,shen'jing'xing'ma'bi
神经性皮炎,shen'jing'xing'pi'yan
神经星形细胞瘤,shen'jing'xing'xing'xi'bao'liu
神经性循环衰弱,shen'jing'xing'xun'huan'shuai'ruo
神经性营养不良,shen'jing'xing'ying'yang'bu'liang
神经性紫癜,shen'jing'xing'zi'dian
神经炎,shen'jing'yan
神经样的,shen'jing'yang'de
神经疫苗,shen'jing'yi'miao
神经异位,shen'jing'yi'wei
神经印迹,shen'jing'yin'ji
神经硬化,shen'jing'ying'hua
神经营养,shen'jing'ying'yang
神经营养不良,shen'jing'ying'yang'bu'liang
神经元,shen'jing'yuan
神经元发育不全,shen'jing'yuan'fa'yu'bu'quan
神经元接头,shen'jing'yuan'jie'tou
神经元萎缩,shen'jing'yuan'wei'suo
神经原纤维,shen'jing'yuan'xian'wei
神经原性肺水肿,shen'jing'yuan'xing'fei'shui'zhong
神经原性关节病,shen'jing'yuan'xing'guan'jie'bing
神经元性膀胱,shen'jing'yuan'xing'pang'guang
神经元性休克,shen'jing'yuan'xing'xiu'ke
神经元学说,shen'jing'yuan'xue'shuo
神经元炎,shen'jing'yuan'yan
神经元营养质,shen'jing'yuan'ying'yang'zhi
神经运动,shen'jing'yun'dong
神经褶,shen'jing'zhe
神经症,shen'jing'zheng
神经脂瘤病,shen'jing'zhi'liu'bing
神经中毒的,shen'jing'zhong'du'de
神经终器,shen'jing'zhong'qi
神经终丝,shen'jing'zhong'si
神经轴突再生征,shen'jing'zhou'tu'zai'sheng'zheng
神经轴性营养不良,shen'jing'zhou'xing'ying'yang'bu'liang
神经组织老化,shen'jing'zu'zhi'lao'hua
神经组织内的淀粉状蛋白,shen'jing'zu'zhi'nei'de'dian'fen'zhuang'dan'bai
神经组织学,shen'jing'zu'zhi'xue
神经组织再生,shen'jing'zu'zhi'zai'sheng
肾上腺素能,shen'shang'xian'su'neng
伸舌性白痴,shen'she'xing'bai'chi
肾性肌病,shen'xing'ji'bing
呻吟,shen'yin
伸展损伤,shen'zhan'sun'shang
伸直,shen'zhi
神志不清,shen'zhi'bu'qing
生活力缺失,sheng'huo'li'que'shi
生理性震颤,sheng'li'xing'zhen'chan
圣路易型脑炎,sheng'lu'yi'xing'nao'yan
声嘶,sheng'si
绳状体,sheng'zhuang'ti
噬胞突作用,shi'bao'tu'zuo'yong
视错觉,shi'cuo'jue
失读,shi'du
视辐射,shi'fu'she
室管膜,shi'guan'mo
室管膜瘤,shi'guan'mo'liu
室间孔,shi'jian'kong
嗜碱性细胞,shi'jian'xing'xi'bao
视交叉,shi'jiao'cha
视交叉蛛网膜炎,shi'jiao'cha'zhu'wang'mo'yan
失禁,shi'jin
视觉,shi'jue
视觉缺失,shi'jue'que'shi
视觉性共济失调,shi'jue'xing'gong'ji'shi'tiao
视觉性失用,shi'jue'xing'shi'yong
视觉性萎缩,shi'jue'xing'wei'suo
视觉异常,shi'jue'yi'chang
视觉诱发电位,shi'jue'you'fa'dian'wei
视觉障碍,shi'jue'zhang'ai
视联络区,shi'lian'luo'qu
失眠,shi'mian
视前区,shi'qian'qu
嗜染质,shi'ran'zhi
失认,shi'ren
视上垂体束,shi'shang'chui'ti'shu
视上交叉,shi'shang'jiao'cha
视上连合,shi'shang'lian'he
视上区,shi'shang'qu
视神经脊髓炎,shi'shen'jing'ji'sui'yan
视神经胶质瘤,shi'shen'jing'jiao'zhi'liu
视神经孔,shi'shen'jing'kong
视神经乳头水肿,shi'shen'jing'ru'tou'shui'zhong
视神经乳头炎,shi'shen'jing'ru'tou'yan
视神经视网膜病,shi'shen'jing'shi'wang'mo'bing
视神经视网膜炎,shi'shen'jing'shi'wang'mo'yan
视神经萎缩,shi'shen'jing'wei'suo
噬神经细胞作用,shi'shen'jing'xi'bao'zuo'yong
视神经血管环,shi'shen'jing'xue'guan'huan
视神经炎,shi'shen'jing'yan
视束,shi'shu
嗜睡,shi'shui
嗜苏丹性脑白质营养不良,shi'su'dan'xing'nao'bai'zhi'ying'yang'bu'liang
失算,shi'suan
嗜酸性肉芽肿,shi'suan'xing'rou'ya'zhong
噬髓鞘细胞,shi'sui'qiao'xi'bao
使瘫痪,shi'tan'huan
实体觉缺失,shi'ti'jue'que'shi
视网膜,shi'wang'mo
视网膜病变,shi'wang'mo'bing'bian
视网膜电图,shi'wang'mo'dian'tu
视网膜神经胶质肉瘤,shi'wang'mo'shen'jing'jiao'zhi'rou'liu
视网膜小脑血管,shi'wang'mo'xiao'nao'xue'guan
视网膜小脑血管瘤病,shi'wang'mo'xiao'nao'xue'guan'liu'bing
视网膜血管瘤综合征,shi'wang'mo'xue'guan'liu'zong'he'zheng
失误,shi'wu
失写,shi'xie
失协调,shi'xie'tiao
视野,shi'ye
视野计,shi'ye'ji
视隐窝,shi'yin'wo
适应,shi'ying
失用,shi'yong
失语,shi'yu
视原性眼球震颤,shi'yuan'xing'yan'qiu'zhen'chan
实质,shi'zhi
实质性梅毒,shi'zhi'xing'mei'du
室周带,shi'zhou'dai
室周器,shi'zhou'qi
视抓握反射,shi'zhua'wo'fan'she
矢状缝融合症,shi'zhuang'feng'rong'he'zheng
矢状面,shi'zhuang'mian
视锥,shi'zhui
十字架姿势,shi'zi'jia'zi'shi
手法,shou'fa
手足搐搦,shou'zu'chu'nuo
