阿贝他片苯扎贝特,a'bei'ta'pian'ben'zha'bei'te
血浆血管紧张素,xue'jiang'xue'guan'jin'zhang'su
血浆乙醇胶试验,xue'jiang'yi'chun'jiao'shi'yan
血浆一氧化氮含量测定,xue'jiang'yi'yang'hua'dan'han'liang'ce'ding
血浆游离血红蛋白,xue'jiang'you'li'xue'hong'dan'bai
血浆游离血红蛋白定量国产试剂,xue'jiang'you'li'xue'hong'dan'bai'ding'liang'guo'chan'shi'ji
血浆游离血红蛋白定量进口试剂,xue'jiang'you'li'xue'hong'dan'bai'ding'liang'jin'kou'shi'ji
血浆鱼精蛋白副凝试验,xue'jiang'yu'jing'dan'bai'fu'ning'shi'yan
血浆置换术,xue'jiang'zhi'huan'shu
血交叉试验,xue'jiao'cha'shi'yan
血竭,xue'jie
血竭免煎,xue'jie'mian'jian
血康口服液,xue'kang'kou'fu'ye
血库提血单,xue'ku'ti'xue'dan
薛理新,xue'li'xin
血流图,xue'liu'tu
血氯测定,xue'lv'ce'ding
血滤引流,xue'lv'yin'liu
血镁测定,xue'mei'ce'ding
血钠测定,xue'na'ce'ding
血尿,xue'niao
血尿常规,xue'niao'chang'gui
血尿三杯试验,xue'niao'san'bei'shi'yan
血尿渗透压渗透量,xue'niao'shen'tou'ya'shen'tou'liang
血尿酸,xue'niao'suan
血尿酸测定,xue'niao'suan'ce'ding
血尿硒测定,xue'niao'xi'ce'ding
血凝酶,xue'ning'mei
血宁片,xue'ning'pian
血培养,xue'pei'yang
血培养国产,xue'pei'yang'guo'chan
血培养及鉴定,xue'pei'yang'ji'jian'ding
血培养加药敏,xue'pei'yang'jia'yao'min
血培养鉴定分析,xue'pei'yang'jian'ding'fen'xi
血培养进口,xue'pei'yang'jin'kou
薛萍,xue'ping
血平板,xue'ping'ban
血葡萄糖测定,xue'pu'tao'tang'ce'ding
血气分析,xue'qi'fen'xi
血气分析国产试剂,xue'qi'fen'xi'guo'chan'shi'ji
血气分析加离子分析,xue'qi'fen'xi'jia'li'zi'fen'xi
血气分析进口试剂,xue'qi'fen'xi'jin'kou'shi'ji
血气酸碱分析申请单,xue'qi'suan'jian'fen'xi'shen'qing'dan
血气胸,xue'qi'xiong
血气胸伴开放性伤口,xue'qi'xiong'ban'kai'fang'xing'shang'kou
血清,xue'qing
血清癌胚抗原,xue'qing'ai'pei'kang'yuan
血清白蛋白,xue'qing'bai'dan'bai
血清白蛋白测定,xue'qing'bai'dan'bai'ce'ding
血清病,xue'qing'bing
血清丙氨酸氨基转移酶,xue'qing'bing'an'suan'an'ji'zhuan'yi'mei
血清丙氨酸氨基转移酶测定,xue'qing'bing'an'suan'an'ji'zhuan'yi'mei'ce'ding
血清丙氨酸转氨酶,xue'qing'bing'an'suan'zhuan'an'mei
血清病样反应,xue'qing'bing'yang'fan'ying
血清病样药物疹,xue'qing'bing'yang'yao'wu'zhen
血清层粘连蛋白测定,xue'qing'ceng'zhan'lian'dan'bai'ce'ding
血清雌二醇,xue'qing'ci'er'chun
血清促黄体生成素测定,xue'qing'cu'huang'ti'sheng'cheng'su'ce'ding
血清促黄体素,xue'qing'cu'huang'ti'su
血清促甲状腺激素测定,xue'qing'cu'jia'zhuang'xian'ji'su'ce'ding
血清促甲状腺激素放免法,xue'qing'cu'jia'zhuang'xian'ji'su'fang'mian'fa
血清促甲状腺激素酶免法,xue'qing'cu'jia'zhuang'xian'ji'su'mei'mian'fa
血清促甲状腺素,xue'qing'cu'jia'zhuang'xian'su
血清促卵泡刺激素,xue'qing'cu'luan'pao'ci'ji'su
血清促卵泡素,xue'qing'cu'luan'pao'su
血清催乳素,xue'qing'cui'ru'su
血清蛋白电泳,xue'qing'dan'bai'dian'yong
血清胆碱脂酶,xue'qing'dan'jian'zhi'mei
血清胆碱脂酶测定,xue'qing'dan'jian'zhi'mei'ce'ding
血清低密度脂蛋白胆固醇,xue'qing'di'mi'du'zhi'dan'bai'dan'gu'chun
血清低密度脂蛋白胆固醇测定,xue'qing'di'mi'du'zhi'dan'bai'dan'gu'chun'ce'ding
血清淀粉酶,xue'qing'dian'fen'mei
血清钙,xue'qing'gai
血清干化学分析,xue'qing'gan'hua'xue'fen'xi
血清甘油三脂,xue'qing'gan'you'san'zhi
血清甘油三酯,xue'qing'gan'you'san'zhi
血清甘油三酯测定,xue'qing'gan'you'san'zhi'ce'ding
血清高密度脂蛋白胆固醇,xue'qing'gao'mi'du'zhi'dan'bai'dan'gu'chun
血清高密度脂蛋白胆固醇测定,xue'qing'gao'mi'du'zhi'dan'bai'dan'gu'chun'ce'ding
血清睾酮,xue'qing'gao'tong
血清睾酮放免法,xue'qing'gao'tong'fang'mian'fa
血清睾酮酶免法,xue'qing'gao'tong'mei'mian'fa
血清谷氨酰基转移酶,xue'qing'gu'an'xian'ji'zhuan'yi'mei
血清谷氨酰基转移酶测定,xue'qing'gu'an'xian'ji'zhuan'yi'mei'ce'ding
血清谷氨酰转肽酶,xue'qing'gu'an'xian'zhuan'tai'mei
血清骨特异硷性磷酸酶,xue'qing'gu'te'yi'jian'xing'lin'suan'mei
血清骨型碱性磷酸酶质量测定,xue'qing'gu'xing'jian'xing'lin'suan'mei'zhi'liang'ce'ding
血清骨源硷性磷酸酶,xue'qing'gu'yuan'jian'xing'lin'suan'mei
血清核苷酸酶,xue'qing'he'gan'suan'mei
血清黄体生成素,xue'qing'huang'ti'sheng'cheng'su
血清极低密度脂蛋白胆固醇,xue'qing'ji'di'mi'du'zhi'dan'bai'dan'gu'chun
血清肌酐,xue'qing'ji'gan
血清肌酐测定,xue'qing'ji'gan'ce'ding
血清肌红蛋白,xue'qing'ji'hong'dan'bai
血清肌红蛋白定量,xue'qing'ji'hong'dan'bai'ding'liang
血清肌红蛋白定量国产试剂,xue'qing'ji'hong'dan'bai'ding'liang'guo'chan'shi'ji
血清肌红蛋白定量进口试剂,xue'qing'ji'hong'dan'bai'ding'liang'jin'kou'shi'ji
血清肌凝蛋白轻链进口试剂,xue'qing'ji'ning'dan'bai'qing'lian'jin'kou'shi'ji
血清肌酸测定,xue'qing'ji'suan'ce'ding
血清肌酸激酶,xue'qing'ji'suan'ji'mei
血清肌酸激酶测定,xue'qing'ji'suan'ji'mei'ce'ding
血清肌酸磷酸激酶,xue'qing'ji'suan'lin'suan'ji'mei
血清钾,xue'qing'jia
血清甲状腺刺激抗体,xue'qing'jia'zhuang'xian'ci'ji'kang'ti
血清甲状腺激素释放试验放免法,xue'qing'jia'zhuang'xian'ji'su'shi'fang'shi'yan'fang'mian'fa
血清甲状腺激素释放试验酶免法,xue'qing'jia'zhuang'xian'ji'su'shi'fang'shi'yan'mei'mian'fa
血清甲状腺摄取放免法,xue'qing'jia'zhuang'xian'she'qu'fang'mian'fa
血清甲状腺摄取酶免法,xue'qing'jia'zhuang'xian'she'qu'mei'mian'fa
血清间接胆红素,xue'qing'jian'jie'dan'hong'su
血清碱性磷酸酶,xue'qing'jian'xing'lin'suan'mei
血清碱性磷酸酶测定,xue'qing'jian'xing'lin'suan'mei'ce'ding
血清结合胆红素,xue'qing'jie'he'dan'hong'su
血清结合胆酸放免测定,xue'qing'jie'he'dan'suan'fang'mian'ce'ding
血清结合珠蛋白,xue'qing'jie'he'zhu'dan'bai
血清巨球蛋白,xue'qing'ju'qiu'dan'bai
血清抗果唾腺染色体抗体,xue'qing'kang'guo'tuo'xian'ran'se'ti'kang'ti
血清抗核抗体,xue'qing'kang'he'kang'ti
血清康华氏反应,xue'qing'kang'hua'shi'fan'ying
血清抗甲状腺球蛋白抗体,xue'qing'kang'jia'zhuang'xian'qiu'dan'bai'kang'ti
血清抗甲状腺微粒体,xue'qing'kang'jia'zhuang'xian'wei'li'ti
血清抗甲状腺微粒体抗体,xue'qing'kang'jia'zhuang'xian'wei'li'ti'kang'ti
血清抗胰蛋白酶,xue'qing'kang'yi'dan'bai'mei
血清类风湿因子,xue'qing'lei'feng'shi'yin'zi
血清冷球蛋白,xue'qing'leng'qiu'dan'bai
血清离子钙,xue'qing'li'zi'gai
血清亮氨酸氨基肽酶,xue'qing'liang'an'suan'an'ji'tai'mei
血清磷,xue'qing'lin
血清磷酸葡萄糖脱氢酶,xue'qing'lin'suan'pu'tao'tang'tuo'qing'mei
血清磷酯,xue'qing'lin'zhi
血清卵泡刺激素放免法,xue'qing'luan'pao'ci'ji'su'fang'mian'fa
血清卵泡刺激素酶免法,xue'qing'luan'pao'ci'ji'su'mei'mian'fa
血清氯,xue'qing'lv
血清氯化物,xue'qing'lv'hua'wu
血清镁,xue'qing'mei
血清梅毒试验,xue'qing'mei'du'shi'yan
血清镁化学法,xue'qing'mei'hua'xue'fa
血清门冬氨酸转氨酶,xue'qing'men'dong'an'suan'zhuan'an'mei
血清泌乳素,xue'qing'mi'ru'su
血清泌乳素测定,xue'qing'mi'ru'su'ce'ding
血清钠,xue'qing'na
血清尿素,xue'qing'niao'su
血清尿素氮测定,xue'qing'niao'su'dan'ce'ding
血清尿酸,xue'qing'niao'suan
血清尿酸测定,xue'qing'niao'suan'ce'ding
血清皮质醇,xue'qing'pi'zhi'chun
血清皮质醇放免法,xue'qing'pi'zhi'chun'fang'mian'fa
血清皮质醇酶免法,xue'qing'pi'zhi'chun'mei'mian'fa
血清葡萄糖,xue'qing'pu'tao'tang
血清前白蛋白,xue'qing'qian'bai'dan'bai
血清羟基丁酸脱氢酶测定,xue'qing'qiang'ji'ding'suan'tuo'qing'mei'ce'ding
血清醛固酮,xue'qing'quan'gu'tong
血清溶菌酶测定,xue'qing'rong'jun'mei'ce'ding
血清绒毛膜促性激素,xue'qing'rong'mao'mo'cu'xing'ji'su
血清乳酸脱氢酶,xue'qing'ru'suan'tuo'qing'mei
血清肾素活性基础,xue'qing'shen'su'huo'xing'ji'chu
血清肾素活性激发含基础,xue'qing'shen'su'huo'xing'ji'fa'han'ji'chu
血清生长激素,xue'qing'sheng'zhang'ji'su
血清生长激素测定,xue'qing'sheng'zhang'ji'su'ce'ding
血清视黄醇结合蛋白,xue'qing'shi'huang'chun'jie'he'dan'bai
血清瘦素检测试剂,xue'qing'shou'su'jian'ce'shi'ji
血清酸性磷酸酶,xue'qing'suan'xing'lin'suan'mei
血清酸性糖蛋白,xue'qing'suan'xing'tang'dan'bai
血清碳酸氢根,xue'qing'tan'suan'qing'gen
血清天冬氨酸氨基转移酶,xue'qing'tian'dong'an'suan'an'ji'zhuan'yi'mei
血清天门冬氨酸氨基转移酶测定,xue'qing'tian'men'dong'an'suan'an'ji'zhuan'yi'mei'ce'ding
血清铁,xue'qing'tie
血清铁蛋白测定,xue'qing'tie'dan'bai'ce'ding
血清铁蛋白发光法,xue'qing'tie'dan'bai'fa'guang'fa
血清铁蛋白国产试剂,xue'qing'tie'dan'bai'guo'chan'shi'ji
血清铁蛋白进口试剂,xue'qing'tie'dan'bai'jin'kou'shi'ji
血清铁国产试剂,xue'qing'tie'guo'chan'shi'ji
血清铁结合力,xue'qing'tie'jie'he'li
血清铁进口试剂,xue'qing'tie'jin'kou'shi'ji
血清铜,xue'qing'tong
血清铜兰蛋白,xue'qing'tong'lan'dan'bai
血清同型半胱氨酸,xue'qing'tong'xing'ban'guang'an'suan
血清铜氧化酶,xue'qing'tong'yang'hua'mei
血清透明质酸酶测定,xue'qing'tou'ming'zhi'suan'mei'ce'ding
血清脱氢表雄酮及硫酸酯测定,xue'qing'tuo'qing'biao'xiong'tong'ji'liu'suan'zhi'ce'ding
血清唾液酸,xue'qing'tuo'ye'suan
血清微白蛋白,xue'qing'wei'bai'dan'bai
血清胃泌素测定,xue'qing'wei'mi'su'ce'ding
血清胃泌素国产试剂,xue'qing'wei'mi'su'guo'chan'shi'ji
血清胃泌素进口试剂,xue'qing'wei'mi'su'jin'kou'shi'ji
血清微球蛋白,xue'qing'wei'qiu'dan'bai
血清维生素测定,xue'qing'wei'sheng'su'ce'ding
血清无机磷,xue'qing'wu'ji'lin
血清腺苷脱氨酶,xue'qing'xian'gan'tuo'an'mei
血清纤维蛋白原降解产物,xue'qing'xian'wei'dan'bai'yuan'jiang'jie'chan'wu
血清纤维连结蛋白,xue'qing'xian'wei'lian'jie'dan'bai
血清锌,xue'qing'xin
血清性肝炎,xue'qing'xing'gan'yan
血清性关节炎,xue'qing'xing'guan'jie'yan
血清性过敏反应,xue'qing'xing'guo'min'fan'ying
血清型胶原免疫组化测定,xue'qing'xing'jiao'yuan'mian'yi'zu'hua'ce'ding
血清性荨麻疹,xue'qing'xing'xun'ma'zhen
血清药物浓度测定,xue'qing'yao'wu'nong'du'ce'ding
血清药物浓度测定免疫学法,xue'qing'yao'wu'nong'du'ce'ding'mian'yi'xue'fa
血清叶酸国产试剂,xue'qing'ye'suan'guo'chan'shi'ji
血清叶酸进口试剂,xue'qing'ye'suan'jin'kou'shi'ji
血清胰岛素,xue'qing'yi'dao'su
血清胰岛素测定,xue'qing'yi'dao'su'ce'ding
血清乙酰胆碱受体抗体国产试剂,xue'qing'yi'xian'dan'jian'shou'ti'kang'ti'guo'chan'shi'ji
血清乙酰胆碱受体抗体进口试剂,xue'qing'yi'xian'dan'jian'shou'ti'kang'ti'jin'kou'shi'ji
血清有机磷酸酯酶,xue'qing'you'ji'lin'suan'zhi'mei
血清游离钙,xue'qing'you'li'gai
血清游离钙测定,xue'qing'you'li'gai'ce'ding
血清游离钙放免法,xue'qing'you'li'gai'fang'mian'fa
血清游离钙酶免法,xue'qing'you'li'gai'mei'mian'fa
血清孕酮放免法,xue'qing'yun'tong'fang'mian'fa
血清孕酮酶免法,xue'qing'yun'tong'mei'mian'fa
血清脂肪酶,xue'qing'zhi'fang'mei
血清直接胆红素,xue'qing'zhi'jie'dan'hong'su
血清直接胆红素测定,xue'qing'zhi'jie'dan'hong'su'ce'ding
血清直接胆红质,xue'qing'zhi'jie'dan'hong'zhi
血清酯结合唾液酸,xue'qing'zhi'jie'he'tuo'ye'suan
血清转肽酶,xue'qing'zhuan'tai'mei
血清转铁蛋白,xue'qing'zhuan'tie'dan'bai
血清总蛋白,xue'qing'zong'dan'bai
血清总蛋白测定,xue'qing'zong'dan'bai'ce'ding
血清总胆固醇,xue'qing'zong'dan'gu'chun
血清总胆固醇测定,xue'qing'zong'dan'gu'chun'ce'ding
血清总胆红素,xue'qing'zong'dan'hong'su
血清总胆红素测定,xue'qing'zong'dan'hong'su'ce'ding
血清总胆红质,xue'qing'zong'dan'hong'zhi
血清总胆汁酸,xue'qing'zong'dan'zhi'suan
血清总胆汁酸测定,xue'qing'zong'dan'zhi'suan'ce'ding
血清总胆汁酸循环酶法,xue'qing'zong'dan'zhi'suan'xun'huan'mei'fa
血清总钙,xue'qing'zong'gai
血清总甲状腺素,xue'qing'zong'jia'zhuang'xian'su
血清总三碘甲腺原氨酸,xue'qing'zong'san'dian'jia'xian'yuan'an'suan
血清总铁结合力,xue'qing'zong'tie'jie'he'li
血清总铁结合力测定,xue'qing'zong'tie'jie'he'li'ce'ding
血球蛋白比值,xue'qiu'dan'bai'bi'zhi
血容量,xue'rong'liang
血容量监测,xue'rong'liang'jian'ce
血色病,xue'se'bing
血色病性心肌病,xue'se'bing'xing'xin'ji'bing
血渗透压,xue'shen'tou'ya
血生化十四项,xue'sheng'hua'shi'si'xiang
血生化十项,xue'sheng'hua'shi'xiang
血栓球蛋白,xue'shuan'qiu'dan'bai
血栓溶解剂输注术,xue'shuan'rong'jie'ji'shu'zhu'shu
血栓实验室,xue'shuan'shi'yan'shi
血栓弹力图,xue'shuan'tan'li'tu
血栓弹力图试验,xue'shuan'tan'li'tu'shi'yan
血栓调节蛋白测定,xue'shuan'tiao'jie'dan'bai'ce'ding
血拴通,xue'shuan'tong
血栓通粉针,xue'shuan'tong'fen'zhen
血栓通胶囊,xue'shuan'tong'jiao'nang
血拴通注射液,xue'shuan'tong'zhu'she'ye
血栓通注射液,xue'shuan'tong'zhu'she'ye
血栓消融器,xue'shuan'xiao'rong'qi
血栓心脉宁胶囊,xue'shuan'xin'mai'ning'jiao'nang
血栓性闭塞性脉管炎,xue'shuan'xing'bi'se'xing'mai'guan'yan
血栓性静脉炎,xue'shuan'xing'jing'mai'yan
血栓性内痔,xue'shuan'xing'nei'zhi
血栓性偏瘫,xue'shuan'xing'pian'tan
血栓性外痔,xue'shuan'xing'wai'zhi
血栓性外痔切除术,xue'shuan'xing'wai'zhi'qie'chu'shu
血栓性血小板减少性紫癜,xue'shuan'xing'xue'xiao'ban'jian'shao'xing'zi'dian
血丝虫病抗体检测,xue'si'chong'bing'kang'ti'jian'ce
血速宁注射液,xue'su'ning'zhu'she'ye
血糖,xue'tang
血糖测试笔,xue'tang'ce'shi'bi
血糖干式,xue'tang'gan'shi
血糖试纸,xue'tang'shi'zhi
血糖水试验,xue'tang'shui'shi'yan
血糖性昏迷,xue'tang'xing'hun'mi
血糖仪,xue'tang'yi
血铁测定,xue'tie'ce'ding
血酮体定性,xue'tong'ti'ding'xing
血透病人护理常规,xue'tou'bing'ren'hu'li'chang'gui
血透导管,xue'tou'dao'guan
血透后失衡综合征,xue'tou'hou'shi'heng'zong'he'zheng
穴位封闭,xue'wei'feng'bi
穴位结扎,xue'wei'jie'za
血微量离子测定镁,xue'wei'liang'li'zi'ce'ding'mei
血微量离子测定铁,xue'wei'liang'li'zi'ce'ding'tie
穴位埋线疗法,xue'wei'mai'xian'liao'fa
穴位挑治埋针,xue'wei'tiao'zhi'mai'zhen
穴位贴敷疗法,xue'wei'tie'fu'liao'fa
穴位注射,xue'wei'zhu'she
穴位注射水针,xue'wei'zhu'she'shui'zhen
血温监测,xue'wen'jian'ce
血无机磷测定,xue'wu'ji'lin'ce'ding
血细胞分析,xue'xi'bao'fen'xi
血细胞计数项指标,xue'xi'bao'ji'shu'xiang'zhi'biao
血细胞形态学,xue'xi'bao'xing'tai'xue
血吸虫病,xue'xi'chong'bing
血吸虫孵化试验,xue'xi'chong'fu'hua'shi'yan
血吸虫环卵试验,xue'xi'chong'huan'luan'shi'yan
血吸虫免疫酶标,xue'xi'chong'mian'yi'mei'biao
血吸虫皮肤试验,xue'xi'chong'pi'fu'shi'yan
血吸虫性肝炎,xue'xi'chong'xing'gan'yan
血吸虫性肝硬化,xue'xi'chong'xing'gan'ying'hua
血细菌培养,xue'xi'jun'pei'yang
血小板,xue'xiao'ban
血小板病,xue'xiao'ban'bing
血小板机能不全血小板无力症,xue'xiao'ban'ji'neng'bu'quan'xue'xiao'ban'wu'li'zheng
血小板计数,xue'xiao'ban'ji'shu
血小板减少伴血管瘤综合征,xue'xiao'ban'jian'shao'ban'xue'guan'liu'zong'he'zheng
血小板减少性紫癜,xue'xiao'ban'jian'shao'xing'zi'dian
血小板减少症,xue'xiao'ban'jian'shao'zheng
血小板聚集,xue'xiao'ban'ju'ji
血小板聚集力功能测定,xue'xiao'ban'ju'ji'li'gong'neng'ce'ding
血小板聚集试验,xue'xiao'ban'ju'ji'shi'yan
血小板膜流动性测定,xue'xiao'ban'mo'liu'dong'xing'ce'ding
血小板膜糖蛋白测定,xue'xiao'ban'mo'tang'dan'bai'ce'ding
血小板膜糖蛋白分子数测定,xue'xiao'ban'mo'tang'dan'bai'fen'zi'shu'ce'ding
血小板粘附力,xue'xiao'ban'nian'fu'li
血小板粘附试验,xue'xiao'ban'nian'fu'shi'yan
血小板平均体积,xue'xiao'ban'ping'jun'ti'ji
血小板伸展分型,xue'xiao'ban'shen'zhan'fen'xing
血小板体积分布宽度,xue'xiao'ban'ti'ji'fen'bu'kuan'du
血小板形态分析,xue'xiao'ban'xing'tai'fen'xi
血小板因子有效性测定,xue'xiao'ban'yin'zi'you'xiao'xing'ce'ding
血小板增多,xue'xiao'ban'zeng'duo
血小板增多症,xue'xiao'ban'zeng'duo'zheng
血小板直径测定,xue'xiao'ban'zhi'jing'ce'ding
血型,xue'xing
血型播散型肺结核,xue'xing'bo'san'xing'fei'jie'he
血型不合,xue'xing'bu'he
血型反定型,xue'xing'fan'ding'xing
血型分型五型国产试剂,xue'xing'fen'xing'wu'xing'guo'chan'shi'ji
血型分型五型进口试剂,xue'xing'fen'xing'wu'xing'jin'kou'shi'ji
血性腹水,xue'xing'fu'shui
血型鉴定,xue'xing'jian'ding
血型抗体效价测定,xue'xing'kang'ti'xiao'jia'ce'ding
血型酶处理正反型进口试剂,xue'xing'mei'chu'li'zheng'fan'xing'jin'kou'shi'ji
学性食管炎,xue'xing'shi'guan'yan
血性食管炎,xue'xing'shi'guan'yan
血胸,xue'xiong
血循环中抗凝物质存在,xue'xun'huan'zhong'kang'ning'wu'zhi'cun'zai
血压,xue'ya
血压达静片,xue'ya'da'jing'pian
血压计,xue'ya'ji
血压监测,xue'ya'jian'ce
血压危象,xue'ya'wei'xiang
血压下降,xue'ya'xia'jiang
血氧,xue'yang
血氧饱和度监测,xue'yang'bao'he'du'jian'ce
血药浓度,xue'yao'nong'du
血药浓度测定色谱分析,xue'yao'nong'du'ce'ding'se'pu'fen'xi
血药浓度监测,xue'yao'nong'du'jian'ce
血液八项,xue'ye'ba'xiang
血液病房,xue'ye'bing'fang
血液病科,xue'ye'bing'ke
血液病科门诊,xue'ye'bing'ke'men'zhen
血液病科普通病区,xue'ye'bing'ke'pu'tong'bing'qu
血液病科师干病室,xue'ye'bing'ke'shi'gan'bing'shi
血液病科实验室,xue'ye'bing'ke'shi'yan'shi
血液病实验室,xue'ye'bing'shi'yan'shi
血液查寄生虫,xue'ye'cha'ji'sheng'chong
血液查疟原虫,xue'ye'cha'nue'yuan'chong
血液查微丝蚴,xue'ye'cha'wei'si'you
血液常规检验,xue'ye'chang'gui'jian'yan
血液动力学测压,xue'ye'dong'li'xue'ce'ya
血液灌注,xue'ye'guan'zhu
血液光量子自体血回输治疗,xue'ye'guang'liang'zi'zi'ti'xue'hui'shu'zhi'liao
血液或尿液氨基酸分析,xue'ye'huo'niao'ye'an'ji'suan'fen'xi
血液或体液培养仪器法,xue'ye'huo'ti'ye'pei'yang'yi'qi'fa
血液加温治疗,xue'ye'jia'wen'zhi'liao
血液检验单,xue'ye'jian'yan'dan
血液净化中心,xue'ye'jing'hua'zhong'xin
血液净化中心治疗记录单,xue'ye'jing'hua'zhong'xin'zhi'liao'ji'lu'dan
血液临床检验登记簿,xue'ye'lin'chuang'jian'yan'deng'ji'bu
血液流变检查,xue'ye'liu'bian'jian'cha
血液滤过,xue'ye'lv'guo
血液滤过置换液,xue'ye'lv'guo'zhi'huan'ye
血液免疫实验室,xue'ye'mian'yi'shi'yan'shi
血液内科护理常规,xue'ye'nei'ke'hu'li'chang'gui
血液粘稠度,xue'ye'nian'chou'du
血液虐原虫检查,xue'ye'nue'yuan'chong'jian'cha
血液三项,xue'ye'san'xiang
血液十五项,xue'ye'shi'wu'xiang
血液实验室,xue'ye'shi'yan'shi
血液特殊检验,xue'ye'te'shu'jian'yan
血液体液隔离,xue'ye'ti'ye'ge'li
血液透析,xue'ye'tou'xi
血液透析记录,xue'ye'tou'xi'ji'lu
血液透析滤过,xue'ye'tou'xi'lv'guo
血液透析浓缩液,xue'ye'tou'xi'nong'suo'ye
血液透析术,xue'ye'tou'xi'shu
血液透析中心,xue'ye'tou'xi'zhong'xin
血液微丝蚴检查,xue'ye'wei'si'you'jian'cha
血液微丝蚴检查浓缩法,xue'ye'wei'si'you'jian'cha'nong'suo'fa
血液细菌培养加药敏,xue'ye'xi'jun'pei'yang'jia'yao'min
血液锌原卟啉测定,xue'ye'xin'yuan'bu'lin'ce'ding
血液一般检验,xue'ye'yi'ban'jian'yan
血液真菌培养,xue'ye'zhen'jun'pei'yang
血液真菌培养加药敏,xue'ye'zhen'jun'pei'yang'jia'yao'min
血液置换,xue'ye'zhi'huan
血乙酰乙酸,xue'yi'xian'yi'suan
血乙酰乙酸测定,xue'yi'xian'yi'suan'ce'ding
血一氧化氮合成酶测定,xue'yi'yang'hua'dan'he'cheng'mei'ce'ding
血影细胞性青光眼,xue'ying'xi'bao'xing'qing'guang'yan
血友病,xue'you'bing
血友病性关节炎,xue'you'bing'xing'guan'jie'yan
血游离皮质醇,xue'you'li'pi'zhi'chun
血余炭,xue'yu'tan
血余炭免煎,xue'yu'tan'mian'jian
学员队,xue'yuan'dui
血孕酮,xue'yun'tong
血运危象血管探查术,xue'yun'wei'xiang'xue'guan'tan'cha'shu
血脂二项,xue'zhi'er'xiang
血脂分析全套,xue'zhi'fen'xi'quan'tao
血脂康胶囊,xue'zhi'kang'jiao'nang
血脂六项,xue'zhi'liu'xiang
雪治宁,xue'zhi'ning
血脂四项,xue'zhi'si'xiang
血肿穿刺术,xue'zhong'chuan'ci'shu
血肿切开引流术,xue'zhong'qie'kai'yin'liu'shu
血紫质症,xue'zi'zhi'zheng
寻常狼疮,xun'chang'lang'chuang
寻常性狼疮,xun'chang'xing'lang'chuang
寻常性鳞癣,xun'chang'xing'lin'xuan
寻常性天疱疮,xun'chang'xing'tian'pao'chuang
寻常性天疱疮恶性天疱疮,xun'chang'xing'tian'pao'chuang'e'xing'tian'pao'chuang
寻常型银屑病,xun'chang'xing'yin'xie'bing
寻常性银屑病,xun'chang'xing'yin'xie'bing
寻常疣,xun'chang'you
寻骨风,xun'gu'feng
循环复合物测定,xun'huan'fu'he'wu'ce'ding
循环免疫复合物,xun'huan'mian'yi'fu'he'wu
循环免疫复合物检查,xun'huan'mian'yi'fu'he'wu'jian'cha
循环衰竭,xun'huan'shuai'jie
循环洗肠,xun'huan'xi'chang
荨麻疹,xun'ma'zhen
荨麻疹形血管炎,xun'ma'zhen'xing'xue'guan'yan
荨麻疹型药疹,xun'ma'zhen'xing'yao'zhen
巡能泰,xun'neng'tai
巡视卡,xun'shi'ka
熏箱,xun'xiang
蕈样肉芽肿,xun'yang'rou'ya'zhong
蕈样真菌病,xun'yang'zhen'jun'bing
巡诊,xun'zhen
亚胺培南西拉司丁钠,ya'an'pei'nan'xi'la'si'ding'na
亚胺培南西司他丁钠粉针,ya'an'pei'nan'xi'si'ta'ding'na'fen'zhen
雅安三九药业,ya'an'san'jiu'yao'ye
雅博司注射液门冬氨酸鸟氨酸,ya'bo'si'zhu'she'ye'men'dong'an'suan'niao'an'suan
牙槽成形术,ya'cao'cheng'xing'shu
牙槽出血,ya'cao'chu'xie
牙槽骨骨折,ya'cao'gu'gu'zhe
牙槽骨坏死,ya'cao'gu'huai'si
牙槽骨切开术,ya'cao'gu'qie'kai'shu
牙槽骨烧伤清创术,ya'cao'gu'shao'shang'qing'chuang'shu
牙槽骨修整术,ya'cao'gu'xiu'zheng'shu
牙槽嵴裂,ya'cao'ji'lie
牙槽嵴裂隙,ya'cao'ji'lie'xi
牙槽嵴增高术,ya'cao'ji'zeng'gao'shu
牙槽脓肿,ya'cao'nong'zhong
牙槽突骨折结扎固定术,ya'cao'tu'gu'zhe'jie'za'gu'ding'shu
牙槽突裂植骨成形术,ya'cao'tu'lie'zhi'gu'cheng'xing'shu
牙槽突软组织增生,ya'cao'tu'ruan'zu'zhi'zeng'sheng
牙超声洁治术,ya'chao'sheng'jie'zhi'shu
牙齿充填整复术,ya'chi'chong'tian'zheng'fu'shu
牙齿错位,ya'chi'cuo'wei
牙齿萌出囊肿袋形术,ya'chi'meng'chu'nang'zhong'dai'xing'shu
牙齿漂白,ya'chi'piao'bai
牙齿移位,ya'chi'yi'wei
牙齿再植入术,ya'chi'zai'zhi'ru'shu
牙齿阻生,ya'chi'zu'sheng
牙创伤性嵌入,ya'chuang'shang'xing'qian'ru
牙创伤性脱位,ya'chuang'shang'xing'tuo'wei
鸦胆子,ya'dan'zi
鸭胆子乳剂,ya'dan'zi'ru'ji
鸭胆子油口服液,ya'dan'zi'you'kou'fu'ye
鸭胆子油乳剂,ya'dan'zi'you'ru'ji
牙导萌术,ya'dao'meng'shu
牙根存留,ya'gen'cun'liu
