阿迪热村,a'di're'cun
英买里社区,ying'mai'li'she'qu
英买里乡,ying'mai'li'xiang
英其盖村,ying'qi'gai'cun
英塔木村,ying'ta'mu'cun
英托喀依艾格勒村,ying'tuo'ka'yi'yi'ge'le'cun
英吾斯塘博依村,ying'wu'si'tang'bo'yi'cun
英吾斯塘村,ying'wu'si'tang'cun
英吾斯塘乡,ying'wu'si'tang'xiang
英协海尔村,ying'xie'hai'er'cun
英协海尔社区,ying'xie'hai'er'she'qu
英亚村,ying'ya'cun
英也尔村,ying'ye'er'cun
英也尔买来村,ying'ye'er'mai'lai'cun
英也尔乡,ying'ye'er'xiang
永巴扎村,yong'ba'zha'cun
尤古买希勒克村,you'gu'mai'xi'le'ke'cun
尤汉巴什墩村,you'han'ba'shi'dun'cun
尤汗托格拉克村,you'han'tuo'ge'la'ke'cun
尤喀克霍伊拉村,you'ka'ke'huo'yi'la'cun
尤喀克加依铁热克村,you'ka'ke'jia'yi'tie're'ke'cun
尤喀克欧壤村,you'ka'ke'ou'rang'cun
尤喀克苏盖特艾日克村,you'ka'ke'su'gai'te'ai'ri'ke'cun
尤喀克托喀依村,you'ka'ke'tuo'ka'yi'cun
尤卡昆村,you'ka'kun'cun
尤喀昆村,you'ka'kun'cun
尤克日买里村,you'ke'ri'mai'li'cun
尤克日恰喀村,you'ke'ri'qia'ka'cun
尤库日阿克提坎村,you'ku'ri'a'ke'ti'kan'cun
尤库日阿帕克霍加村,you'ku'ri'a'pa'ke'huo'jia'cun
尤库日阿依库勒村,you'ku'ri'a'yi'ku'le'cun
尤库日艾曼里克村,you'ku'ri'ai'man'li'ke'cun
尤库日艾西曼村,you'ku'ri'ai'xi'man'cun
尤库日巴格其村,you'ku'ri'ba'ge'qi'cun
尤库日拜什塔木村,you'ku'ri'bai'shen'ta'mu'cun
尤库日布力曼村,you'ku'ri'bu'li'man'cun
尤库日尕勒村,you'ku'ri'ga'le'cun
尤库日哈迪勒克村,you'ku'ri'ha'di'le'ke'cun
尤库日罕艾日克村,you'ku'ri'han'ai'ri'ke'cun
尤库日喀力玛村,you'ku'ri'ka'li'ma'cun
尤库日喀帕克阿斯提村,you'ku'ri'ka'pa'ke'a'si'ti'cun
尤库日科克其村,you'ku'ri'ke'ke'qi'cun
尤库日阔什库勒村,you'ku'ri'kuo'shen'ku'le'cun
尤库日买里村,you'ku'ri'mai'li'cun
尤库日帕万村,you'ku'ri'pa'wan'cun
尤库日曲许盖村,you'ku'ri'qu'xu'gai'cun
尤库日色也克村,you'ku'ri'se'ye'ke'cun
尤库日苏勒坦艾日克村,you'ku'ri'su'le'tan'ai'ri'ke'cun
尤库日塔尔夏村,you'ku'ri'ta'er'xia'cun
尤库日塔瓦尔克斯克村,you'ku'ri'ta'wa'er'ke'si'ke'cun
尤库日提埂村,you'ku'ri'ti'geng'cun
尤勒滚墩村,you'le'gun'dun'cun
尤勒滚加依村,you'le'gun'jia'yi'cun
尤勒滚勒克村,you'le'gun'le'ke'cun
尤里滚加依社区,you'li'gun'jia'yi'she'qu
尤隆村,you'long'cun
尤木拉克库勒村,you'mu'la'ke'ku'le'cun
尤木拉克却勒村,you'mu'la'ke'que'le'cun
尤吾斯村,you'wu'si'cun
友谊路社区,you'yi'lu'she'qu
友谊社区,you'yi'she'qu
育才路社区,yu'cai'lu'she'qu
玉代克力克乡,yu'dai'ke'li'ke'xiang
玉花苑社区,yu'hua'yuan'she'qu
玉吉买阿依拉村,yu'ji'mai'a'yi'la'cun
玉吉米力克村,yu'ji'mi'li'ke'cun
玉吉米里克兰干村,yu'ji'mi'li'ke'lan'gan'cun
玉勒艾日克村,yu'le'ai'ri'ke'cun
玉龙喀什村,yu'long'ka'shi'cun
玉龙喀什镇,yu'long'ka'shi'zhen
玉奇于孜莫村,yu'qi'yu'zi'mo'cun
玉泉广场社区,yu'quan'guang'chang'she'qu
玉如什开村,yu'ru'shen'kai'cun
玉赛斯村,yu'sai'si'cun
玉石物流园社区,yu'shi'wu'liu'yuan'she'qu
玉斯吕什村,yu'si'lv'shen'cun
玉祖木吕克巴格村,yu'zu'mu'lv'ke'ba'ge'cun
玉祖木吕克村,yu'zu'mu'lv'ke'cun
元宝勒克村,yuan'bao'le'ke'cun
跃进吾斯塘博依村,yue'jin'wu'si'tang'bo'yi'cun
约勒其村,yue'le'qi'cun
岳普湖县,yue'pu'hu'xian
岳普湖乡,yue'pu'hu'xiang
岳普湖镇,yue'pu'hu'zhen
再盖尔村,zai'gai'er'cun
再库勒村,zai'ku'le'cun
扎滚拉村,zha'gun'la'cun
扎满库木村,zha'man'ku'mu'cun
扎热特村,zha're'te'cun
扎瓦村,zha'wa'cun
扎瓦镇,zha'wa'zhen
振兴路社区,zhen'xing'lu'she'qu
种子村,zhong'zi'cun
孜瓦村,zi'wa'cun
孜瓦塔勒村,zi'wa'ta'le'cun
宗朗乡,zong'lang'xiang
