爱是万缘之根,ai'shi'wan'yuan'zhi'gen
贪夫争一文,tan'fu'zheng'yi'wen
叹杰士空逞英雄,tan'jie'shi'kong'cheng'ying'xiong
贪了世味的滋益,tan'le'shi'wei'de'zi'yi
弹雀而不知深井在后,tan'que'er'bu'zhi'shen'jing'zai'hou
贪生不必畏死,tan'sheng'bu'bi'wei'si
贪心胜者,tan'xin'sheng'zhe
潭中之云影,tan'zhong'zhi'yun'ying
螳螂之贪,tang'lang'zhi'tan
唐鼠易肠,tang'shu'yi'chang
汤武征诛一局棋,tang'wu'zheng'zhu'yi'ju'qi
唐虞揖逊三杯酒,tang'yu'yi'xun'san'bei'jiu
讨了人事的便宜,tao'le'ren'shi'de'pian'yi
逃世不逃名,tao'shi'bu'tao'ming
体万倍也,ti'wan'bei'ye
天薄我以福,tian'bao'wo'yi'fu
天地即为衾枕,tian'di'ji'wei'qin'zhen
天地景物,tian'di'jing'wu
天地尚无停息,tian'di'shang'wu'ting'xi
天地丸为大块,tian'di'wan'wei'da'kuai
天地也不能转动我,tian'di'ye'bu'neng'zhuan'dong'wo
天地有万古,tian'di'you'wan'gu
天地之气,tian'di'zhi'qi
天地中万物,tian'di'zhong'wan'wu
天扼我以遇,tian'e'wo'yi'yu
天光常与水相连,tian'guang'chang'yu'shui'xiang'lian
天即就无心处牖其衷,tian'ji'jiu'wu'xin'chu'you'qi'zhong
天即就著意中夺其魂,tian'ji'jiu'zhu'yi'zhong'duo'qi'hun
天劳我以形,tian'lao'wo'yi'xing
天理路上甚宽,tian'li'lu'shang'shen'kuan
天且奈我何哉,tian'qie'nai'wo'he'zai
天青日白,tian'qing'ri'bai
天人岂相远哉,tian'ren'qi'xiang'yuan'zai
恬忄詹适己而不夸独醒,tian'shu'zhan'shi'ji'er'bu'kua'du'xing
天下无不入我陶熔中矣,tian'xia'wu'bu'ru'wo'tao'rong'zhong'yi
天下自无缺陷之世界,tian'xia'zi'wu'que'xian'zhi'shi'jie
天下自无险侧之,tian'xia'zi'wu'xian'ce'zhi
天亦无所用其伎俩矣,tian'yi'wu'suo'yong'qi'ji'liang'yi
天欲福人必,tian'yu'fu'ren'bi
天欲祸人,tian'yu'huo'ren
天之机缄不测,tian'zhi'ji'jian'bu'ce
天子营家国,tian'zi'ying'jia'guo
挑到时也要息肩,tiao'dao'shi'ye'yao'xi'jian
贴之,tie'zhi
听静夜之钟声,ting'jing'ye'zhi'zhong'sheng
听人羁络,ting'ren'ji'luo
听人言而信市上之虎,ting'ren'yan'er'xin'shi'shang'zhi'hu
听数声鸟语悠扬,ting'shu'sheng'niao'yu'you'yang
听吾侪善自修持,ting'wu'chai'shan'zi'xiu'chi
头禅,tou'chan
头持到底,tou'chi'dao'di
图垂成之功者,tu'chui'cheng'zhi'gong'zhe
徒碌碌为辕下驹而已,tu'lu'lu'wei'yuan'xia'ju'er'yi
兔犬共毙,tu'quan'gong'bi
图未就之功,tu'wei'jiu'zhi'gong
徒汛汛作水中凫而已,tu'xun'xun'zuo'shui'zhong'fu'er'yi
兔已亡再呼矢,tu'yi'wang'zai'hu'shi
兔营三窟,tu'ying'san'ku
兔走荒台,tu'zou'huang'tai
退步即进步的张本,tui'bu'ji'jin'bu'de'zhang'ben
退后一步自宽平一步,tui'hou'yi'bu'zi'kuan'ping'yi'bu
吞吐六合,tun'tu'lu'he
完得心上之本来,wan'de'xin'shang'zhi'ben'lai
万境一辙原无地,wan'jing'yi'zhe'yuan'wu'di
万境之尘缘自息,wan'jing'zhi'chen'yuan'zi'xi
完名美节,wan'ming'mei'jie
万念自然厌冷,wan'nian'zi'ran'yan'leng
万善全始,wan'shan'quan'shi
万物一体原无处,wan'wu'yi'ti'yuan'wu'chu
万物遭之而生,wan'wu'zao'zhi'er'sheng
万物遭之而死,wan'wu'zao'zhi'er'si
亡对人则面目可憎,wang'dui'ren'ze'mian'mu'ke'zeng
王公,wang'gong
往往避人以求静,wang'wang'bi'ren'yi'qiu'jing
妄心尽而后真心现,wang'xin'jin'er'hou'zhen'xin'xian
望重缙绅,wang'zhong'jin'shen
为巢于幕上,wei'chao'yu'mu'shang
畏大人则无放逸之心,wei'da'ren'ze'wu'fang'yi'zhi'xin
韦诞之墓见伐于钟繇,wei'dan'zhi'mu'jian'fa'yu'zhong'yao
为恶而畏人知,wei'e'er'wei'ren'zhi
位分霄壤也,wei'fen'xiao'rang'ye
惟公则生明,wei'gong'ze'sheng'ming
惟俭则足用,wei'jian'ze'zu'yong
惟廉则生威,wei'lian'ze'sheng'wei
未了僧家是俗家,wei'liao'seng'jia'shi'su'jia
未免仰攀之耻,wei'mian'yang'pan'zhi'chi
维摩屠刽无二心也,wei'mo'tu'gui'wu'er'xin'ye
惟平心者始知多,wei'ping'xin'zhe'shi'zhi'duo
惟期寡欲而已,wei'qi'gua'yu'er'yi
惟气和暖心之人,wei'qi'he'nuan'xin'zhi'ren
惟期自尚,wei'qi'zi'shang
为曲礼,wei'qu'li
为人多病未足羞,wei'ren'duo'bing'wei'zu'xiu
为善而急人知,wei'shan'er'ji'ren'zhi
为善而欲自高胜人,wei'shan'er'yu'zi'gao'sheng'ren
惟少事者方知少事之为福,wei'shao'shi'zhe'fang'zhi'shao'shi'zhi'wei'fu
为生民立命,wei'sheng'min'li'ming
为声闻而招击撞,wei'sheng'wen'er'zhao'ji'zhuang
惟事平情而已,wei'shi'ping'qing'er'yi
为鼠常留饭,wei'shu'chang'liu'fan
惟恕则平情,wei'shu'ze'ping'qing
未闻一日清闲,wei'wen'yi'ri'qing'xian
畏小民则无豪横之名,wei'xiao'min'ze'wu'hao'heng'zhi'ming
猬兴,wei'xing
为学无甚增益的工夫,wei'xue'wu'shen'zeng'yi'de'gong'fu
威宜自严而宽,wei'yi'zi'yan'er'kuan
为鹰为犬,wei'ying'wei'quan
未有根不植而枝,wei'you'gen'bu'zhi'er'zhi
未有基不固而栋宇坚久者,wei'you'ji'bu'gu'er'dong'yu'jian'jiu'zhe
位之策保国家,wei'zhi'ce'bao'guo'jia
违之正,wei'zhi'zheng
为子,wei'zi
文不雅驯,wen'bu'ya'xun
问是非何处安脚,wen'shi'fei'he'chu'an'jiao
问世情如何发付,wen'shi'qing'ru'he'fa'fu
闻一善言,wen'yi'shan'yan
文章高白雪,wen'zhang'gao'bai'xue
文章做到极处,wen'zhang'zuo'dao'ji'chu
问子孙之福祉,wen'zi'sun'zhi'fu'zhi
问祖宗之德泽,wen'zu'zong'zhi'de'ze
我不兢进,wo'bu'jing'jin
我不希荣,wo'bu'xi'rong
我果不贪,wo'guo'bu'tan
我果不争,wo'guo'bu'zheng
我果为洪炉大冶,wo'guo'wei'hong'lu'da'ye
我果为巨海长江,wo'guo'wei'ju'hai'chang'jiang
蜗牛角上,wo'niu'jiao'shang
我有功于人不可念,wo'you'gong'yu'ren'bu'ke'nian
握住了还当放手,wo'zhu'le'hai'dang'fang'shou
毋操切以益其顽,wu'cao'qie'yi'yi'qi'wan
毋惮初难,wu'dan'chu'nan
毋惮其难,wu'dan'qi'nan
无非大海浮沤,wu'fei'da'hai'fu'ou
无非见道之文,wu'fei'jian'dao'zhi'wen
无非康济身心,wu'fei'kang'ji'shen'xin
无非客气降伏得,wu'fei'ke'qi'xiang'fu'de
五分便无悔,wu'fen'bian'wu'hui
五分便无殃,wu'fen'bian'wu'yang
无膏盲泉石之癖,wu'gao'mang'quan'shi'zhi'pi
无过便是功,wu'guo'bian'shi'gong
吾亨吾道以通之,wu'heng'wu'dao'yi'tong'zhi
吾厚吾德以迓之,wu'hou'wu'de'yi'ya'zhi
务加让三分之功,wu'jia'rang'san'fen'zhi'gong
毋借公论以快,wu'jie'gong'lun'yi'kuai
物皆吾一体,wu'jie'wu'yi'ti
无劳多买胭脂,wu'lao'duo'mai'yan'zhi
无了了心,wu'le'le'xin
毋乐其便而姑为染指,wu'le'qi'bian'er'gu'wei'ran'zhi
物累便臻圣境,wu'lei'bian'zhen'sheng'jing
无论父母兄弟,wu'lun'fu'mu'xiong'di
无论功名富贵,wu'lun'gong'ming'fu'gui
物莫大于天地日月,wu'mo'da'yu'tian'di'ri'yue
毋乃不,wu'nai'bu
毋逆人之诈,wu'ni'ren'zhi'zha
毋偏信而为奸所欺,wu'pian'xin'er'wei'jian'suo'qi
悟破临事之痴迷,wu'po'lin'shi'zhi'chi'mi
毋强开其所闭,wu'qiang'kai'qi'suo'bi
毋轻矫其所难,wu'qing'jiao'qi'suo'nan
毋取万古之凄凉,wu'qu'wan'gu'zhi'qi'liang
毋任己意而废人言,wu'ren'ji'yi'er'fei'ren'yan
吾人时时以此景象注之心目,wu'ren'shi'shi'yi'ci'jing'xiang'zhu'zhi'xin'mu
吾人适志于花柳烂漫之时,wu'ren'shi'zhi'yu'hua'liu'lan'man'zhi'shi
勿容一针之罅漏,wu'rong'yi'zhen'zhi'xia'lou
悟入处尽是禅机,wu'ru'chu'jin'shi'chan'ji
无如寸心挹损,wu'ru'cun'xin'yi'sun
无如好书良友,wu'ru'hao'shu'liang'you
悟入无坏境界,wu'ru'wu'huai'jing'jie
无善而致人誉,wu'shan'er'zhi'ren'yu
无伤冲雅,wu'shang'chong'ya
毋少随而近腥膻之党,wu'shao'sui'er'jin'xing'shan'zhi'dang
吾身所享者,wu'shen'suo'xiang'zhe
吾身所贻者,wu'shen'suo'yi'zhe
无事便思有闲杂念想否,wu'shi'bian'si'you'xian'za'nian'xiang'fou
无事常如有事时,wu'shi'chang'ru'you'shi'shi
毋恃久安,wu'shi'jiu'an
毋私不惠而伤大体,wu'si'bu'hui'er'shang'da'ti
毋为鱼鸟亲人,wu'wei'yu'niao'qin'ren
毋喜快心,wu'xi'kuai'xin
毋以,wu'yi
毋以己之长而形人之短,wu'yi'ji'zhi'chang'er'xing'ren'zhi'duan
吾逸吾心以补之,wu'yi'wu'xin'yi'bu'zhi
无异小人之肆恶,wu'yi'xiao'ren'zhi'si'e
毋因己之,wu'yin'ji'zhi
毋因群疑而阻独见,wu'yin'qun'yi'er'zu'du'jian
毋忧拂意,wu'you'fu'yi
无有他奇,wu'you'ta'qi
无有他异,wu'you'ta'yi
无怨便是德,wu'yuan'bian'shi'de
无圆机则触物有碍,wu'yuan'ji'ze'chu'wu'you'ai
毋躁急以速其忿,wu'zao'ji'yi'su'qi'fen
悟则苦海为乐境,wu'ze'ku'hai'wei'yue'jing
无真宰则遇事便倒,wu'zhen'zai'ze'yu'shi'bian'dao
毋自任而为气所使,wu'zi'ren'er'wei'qi'suo'shi
悉败身散德之媒,xi'bai'shen'san'de'zhi'mei
溪壑易填,xi'he'yi'tian
喜寂厌喧者,xi'ji'yan'xuan'zhe
喜怒轻,xi'nu'qing
希千百事之荣,xi'qian'bai'shi'zhi'rong
昔日所云我,xi'ri'suo'yun'wo
悉属旧时,xi'shu'jiu'shi
席拥飞花落絮,xi'yong'fei'hua'luo'xu
惜哉,xi'zai
下绢去纟矣,xia'juan'qu'jiao'yi
鲜不日坐烦恼障中矣,xian'bu'ri'zuo'fan'nao'zhang'zhong'yi
鲜不以毒螫为甘饴而纵染指之欲,xian'bu'yi'du'shi'wei'gan'yi'er'zong'ran'zhi'zhi'yu
鲜不以明珠为怪物而起按剑之心,xian'bu'yi'ming'zhu'wei'guai'wu'er'qi'an'jian'zhi'xin
纤尘不染,xian'chen'bu'ran
先达笑弹冠,xian'da'xiao'tan'guan
闲观扑纸蝇,xian'guan'pu'zhi'ying
闲观去,xian'guan'qu
闲看庭前花开花落,xian'kan'ting'qian'hua'kai'hua'luo
先宽后严者人怨其酷,xian'kuan'hou'yan'zhe'ren'yuan'qi'ku
先浓后淡者人忘其惠,xian'nong'hou'dan'zhe'ren'wang'qi'hui
闲烹山茗听瓶声,xian'peng'shan'ming'ting'ping'sheng
现前,xian'qian
险人著意避祸,xian'ren'zhu'yi'bi'huo
闲适,xian'shi
先无得罪于冥冥,xian'wu'de'zui'yu'ming'ming
先以微祸儆之,xian'yi'wei'huo'jing'zhi
贤愚共受其益,xian'yu'gong'shou'qi'yi
贤愚心太明,xian'yu'xin'tai'ming
闲中不放过,xian'zhong'bu'fang'guo
闲中玩物情,xian'zhong'wan'wu'qing
闲中演偈谈元,xian'zhong'yan'ji'tan'yuan
想到白骨黄泉,xiang'dao'bai'gu'huang'quan
向寒微路上用一点赤热心肠,xiang'han'wei'lu'shang'yong'yi'dian'chi're'xin'chang
向忙里偷闲,xiang'mang'li'tou'xian
享民物和平之福,xiang'min'wu'he'ping'zhi'fu
相去霄壤矣,xiang'qu'xiao'rang'yi
向三时饮食中谙,xiang'san'shi'yin'shi'zhong'an
向声希味淡之中,xiang'sheng'xi'wei'dan'zhi'zhong
向闲处看人忙,xiang'xian'chu'kan'ren'mang
相知犹按剑,xiang'zhi'you'an'jian
笑痴人自生障碍,xiao'chi'ren'zi'sheng'zhang'ai
小处不渗漏,xiao'chu'bu'shen'lou
消得家庭内嫌雪,xiao'de'jia'ting'nei'xian'xue
销膏靡骨而不知,xiao'gao'mi'gu'er'bu'zhi
小民亦不可不畏,xiao'min'yi'bu'ke'bu'wei
消却心中鄙吝,xiao'que'xin'zhong'bi'lin
小人好名,xiao'ren'hao'ming
小人滑如脂膏,xiao'ren'hua'ru'zhi'gao
小人自有对头,xiao'ren'zi'you'dui'tou
小事必朦胧,xiao'shi'bi'meng'long
小事必伺察,xiao'shi'bi'si'cha
小事必纵弛,xiao'shi'bi'zong'chi
消息,xiao'xi
效妍丑于毫端,xiao'yan'chou'yu'hao'duan
谢豹覆面,xie'bao'fu'mian
邪魔便为知真君子矣,xie'mo'bian'wei'zhi'zhen'jun'zi'yi
谢事当谢于正盛之时,xie'shi'dang'xie'yu'zheng'sheng'zhi'shi
偕盂水同圆,xie'yu'shui'tong'yuan
心不可放,xin'bu'ke'fang
心地沉迷,xin'di'chen'mi
心地干净,xin'di'gan'jing
心地上无风涛,xin'di'shang'wu'feng'tao
心伏则群魔退听,xin'fu'ze'qun'mo'tui'ting
心可妄动,xin'ke'wang'dong
心了则屠肆糟糠居然净土,xin'le'ze'tu'si'zao'kang'ju'ran'jing'tu
心气要和易,xin'qi'yao'he'yi
信然矣,xin'ran'yi
心稍怠荒,xin'shao'dai'huang
心神混淆故耳,xin'shen'hun'xiao'gu'er
心是一颗明珠,xin'shi'yi'ke'ming'zhu
心思要缜缄,xin'si'yao'zhen'jian
心体澄彻,xin'ti'cheng'che
心体光明,xin'ti'guang'ming
欣欣者,xin'xin'zhe
心有丝牵,xin'you'si'qian
心与境两忘矣,xin'yu'jing'liang'wang'yi
心与竹俱空,xin'yu'zhu'ju'kong
信哉,xin'zai
心者修裔之根,xin'zhe'xiu'yi'zhi'gen
心着于静,xin'zhe'yu'jing
心之为祸,xin'zhi'wei'huo
心中常有拂心之事,xin'zhong'chang'you'fu'xin'zhi'shi
行不去,xing'bu'qu
行藏,xing'cang
行处时时观妙道,xing'chu'shi'shi'guan'miao'dao
行得去,xing'de'qu
形骸徒具,xing'hai'tu'ju
兴来醉倒落花前,xing'lai'zui'dao'luo'hua'qian
性命的我要认,xing'ming'de'wo'yao'ren
幸生其间者,xing'sheng'qi'jian'zhe
性天澄彻,xing'tian'cheng'che
性天中有化育,xing'tian'zhong'you'hua'yu
兴于吟咏风雅,xing'yu'yin'yong'feng'ya
行止在我,xing'zhi'zai'wo
胸中涤去数斗尘,xiong'zhong'di'qu'shu'dou'chen
胸中自无火焰冰竞,xiong'zhong'zi'wu'huo'yan'bing'jing
修持毋减分中,xiu'chi'wu'jian'fen'zhong
休起浪,xiu'qi'lang
休轻策一鞭,xiu'qing'ce'yi'bian
修身,xiu'shen
休向侯门轻曳裾,xiu'xiang'hou'men'qing'ye'ju
休向君子谄媚,xiu'xiang'jun'zi'chan'mei
修业而欲惊世骇俗,xiu'ye'er'yu'jing'shi'hai'su
休与小人仇雠,xiu'yu'xiao'ren'chou'chou
休徵景福,xiu'zheng'jing'fu
修之当如凌云宝树,xiu'zhi'dang'ru'ling'yun'bao'shu
须从木落草枯之后,xu'cong'mu'luo'cao'ku'zhi'hou
须从浓艳场中试来,xu'cong'nong'yan'chang'zhong'shi'lai
许大世界,xu'da'shi'jie
须防一人着脑,xu'fang'yi'ren'zhe'nao
须防一事不终,xu'fang'yi'shi'bu'zhong
须假众木以撑持,xu'jia'zhong'mu'yi'cheng'chi
须念净境空,xu'nian'jing'jing'kong
须念衰老的辛酸,xu'nian'shuai'lao'de'xin'suan
须扫除浓淡,xu'sao'chu'nong'dan
虚生之羞,xu'sheng'zhi'xiu
须是操存涵养,xu'shi'cao'cun'han'yang
须是大火流金而清风穆然,xu'shi'da'huo'liu'jin'er'qing'feng'mu'ran
须是涤尽渣滓,xu'shi'di'jin'zha'zi
须先谙尽世中滋味,xu'xian'an'jin'shi'zhong'zi'wei
须先领得世外风光,xu'xian'ling'de'shi'wai'feng'guang
须向薄冰上,xu'xiang'bo'bing'shang
须向常时念念守得定,xu'xiang'chang'shi'nian'nian'shou'de'ding
须向生时事事看,xu'xiang'sheng'shi'shi'shi'kan
须要怀廊庙的经纶,xu'yao'huai'lang'miao'de'jing'lun
须要任我炉锤,xu'yao'ren'wo'lu'chui
虚则义理来居,xu'ze'yi'li'lai'ju
须知福至有因,xu'zhi'fu'zhi'you'yin
须知退一步之法,xu'zhi'tui'yi'bu'zhi'fa
悬金佩玉,xuan'jin'pei'yu
旋乾转坤的经纶,xuan'qian'zhuan'kun'de'jing'lun
学道者须要努索,xue'dao'zhe'xu'yao'nu'suo
雪忿不若忍耻为高,xue'fen'bu'ruo'ren'chi'wei'gao
学识,xue'shi
学是一个寻常的家饭,xue'shi'yi'ge'xun'chang'de'jia'fan
雪夜听鸡鸣,xue'ye'ting'ji'ming
学者不可不力为扫除也,xue'zhe'bu'ke'bu'li'wei'sao'chu'ye
学者动静殊操喧寂异趣,xue'zhe'dong'jing'shu'cao'xuan'ji'yi'qu
学者须扫除外物直觅本来,xue'zhe'xu'sao'chu'wai'wu'zhi'mi'ben'lai
学者要收拾精神并归一处,xue'zhe'yao'shou'shi'jing'shen'bing'gui'yi'chu
学者要天机清彻胸,xue'zhe'yao'tian'ji'qing'che'xiong
学者有段兢业的心思,xue'zhe'you'duan'jing'ye'de'xin'si
徇俗是苦,xun'su'shi'ku
逊征诛,xun'zheng'zhu
妍丑何存,yan'chou'he'cun
延促由于一念,yan'cu'you'yu'yi'nian
严待庸众之人宜宽严互存,yan'dai'yong'zhong'zhi'ren'yi'kuan'yan'hu'cun
雁度寒潭,yan'du'han'tan
偃蹇寒松纵老,yan'jian'han'song'zong'lao
眼看西晋之荆榛,yan'kan'xi'jin'zhi'jing'zhen
炎凉之态,yan'liang'zhi'tai
烟迷衰草,yan'mi'shuai'cao
眼前时有月到风来,yan'qian'shi'you'yue'dao'feng'lai
雁去而潭不留影,yan'qu'er'tan'bu'liu'ying
厌辱何须求荣,yan'ru'he'xu'qiu'rong
严霜杀物而和气蔼然,yan'shuang'sha'wu'er'he'qi'ai'ran
言言酷似,yan'yan'ku'si
养弟子如养闺女,yang'di'zi'ru'yang'gui'nv
养喜神以为招福之本,yang'xi'shen'yi'wei'zhao'fu'zhi'ben
杨修之躯见杀于曹操,yang'xiu'zhi'qu'jian'sha'yu'cao'cao
要包容的,yao'bao'rong'de
要段云水的,yao'duan'yun'shui'de
要放他一条去路,yao'fang'ta'yi'tiao'qu'lu
尧夫支,yao'fu'zhi
要个木石的念头,yao'ge'mu'shi'de'nian'tou
要观其末路,yao'guan'qi'mo'lu
要看他会救,yao'kan'ta'hui'jiu
要看他会受,yao'kan'ta'hui'shou
要力扫除,yao'li'sao'chu
邀千百人之欢,yao'qian'bai'ren'zhi'huan
要曲为弥缝,yao'qu'wei'mi'feng
要善为化诲,yao'shan'wei'hua'hui
要思其堪受,yao'si'qi'kan'shou
要以识趣为先,yao'yi'shi'qu'wei'xian
要有恒久之操,yao'you'heng'jiu'zhi'cao
要誉不如逃名之为适,yao'yu'bu'ru'tao'ming'zhi'wei'shi
要知放下,yao'zhi'fang'xia
要知贫贱的痛痒,yao'zhi'pin'jian'de'tong'yang
要知提醒,yao'zhi'ti'xing
夜静天高,ye'jing'tian'gao
夜眠八尺,ye'mian'ba'chi
叶荣茂者,ye'rong'mao'zhe
野色更无,ye'se'geng'wu
夜深人静独坐观心,ye'shen'ren'jing'du'zuo'guan'xin
依阿权势者,yi'a'quan'shi'zhe
以爱妻子之心爱父母,yi'ai'qi'zi'zhi'xin'ai'fu'mu
以保爵,yi'bao'jue
异宝奇琛,yi'bao'qi'chen
以庇孤寒之士,yi'bi'gu'han'zhi'shi
宜蕃择之,yi'bo'ze'zhi
亦不必有察渊洗垢之精明,yi'bu'bi'you'cha'yuan'xi'gou'zhi'jing'ming
亦不可不怀虚生之忧,yi'bu'ke'bu'huai'xu'sheng'zhi'you
亦不可太露其锋芒,yi'bu'ke'tai'lu'qi'feng'mang
亦不立芳名,yi'bu'li'fang'ming
亦不受造化之陶铸,yi'bu'shou'zao'hua'zhi'tao'zhu
亦不宜太枯寂,yi'bu'yi'tai'ku'ji
以才名冠世见杀,yi'cai'ming'guan'shi'jian'sha
一场闲富贵,yi'chang'xian'fu'gui
以澄吾静体,yi'cheng'wu'jing'ti
以诚心感动之,yi'cheng'xin'gan'dong'zhi
宜从容不宜激烈,yi'cong'rong'bu'yi'ji'lie
亦当适志恬愉,yi'dang'shi'zhi'tian'yu
以道眼观,yi'dao'yan'guan
一点不忍的念头,yi'dian'bu'ren'de'nian'tou
一段不为的气节,yi'duan'bu'wei'de'qi'jie
抑而伸伸而抑,yi'er'shen'shen'er'yi
一犯手则遗羞万世,yi'fan'shou'ze'yi'xiu'wan'shi
一番雨一番风,yi'fan'yu'yi'fan'feng
倚高才而玩世,yi'gao'cai'er'wan'shi
遗个清名在乾坤,yi'ge'qing'ming'zai'qian'kun
一毫便生缠缚,yi'hao'bian'sheng'chan'fu
一毫不落世情窠臼,yi'hao'bu'luo'shi'qing'ke'jiu
一毫不受,yi'hao'bu'shou
以和气熏蒸之,yi'he'qi'xun'zheng'zhi
以幻迹言,yi'huan'ji'yan
以灰心,yi'hui'xin
以积货财之心积学问,yi'ji'huo'cai'zhi'xin'ji'xue'wen
以济饥饿之人,yi'ji'ji'e'zhi'ren
以迹用不以神,yi'ji'yong'bu'yi'shen
一觉便转,yi'jiao'bian'zhuan
亦救时应变一权宜法也,yi'jiu'shi'ying'bian'yi'quan'yi'fa'ye
宜居其实,yi'ju'qi'shi
宜绝迹尘嚣,yi'jue'ji'chen'xiao
宜剀切不宜优游,yi'kai'qie'bu'yi'you'you
亦可鼓畅天机,yi'ke'gu'chang'tian'ji
亦可儆惕惰气,yi'ke'jing'ti'duo'qi
亦可脱世间之缰锁,yi'ke'tuo'shi'jian'zhi'jiang'suo
亦可消幻业而长道心,yi'ke'xiao'huan'ye'er'chang'dao'xin
亦可以远害,yi'ke'yi'yuan'hai
一苦一乐相磨练,yi'ku'yi'le'xiang'mo'lian
已枯之槁木矣,yi'ku'zhi'gao'mu'yi
意宽者斗室广于两,yi'kuan'zhe'dou'shi'guang'yu'liang
以来贪夫之侧目,yi'lai'tan'fu'zhi'ce'mu
以冷情当之,yi'leng'qing'dang'zhi
以冷眼视之,yi'leng'yan'shi'zhi
以露己之长也,yi'lu'ji'zhi'chang'ye
一轮之心月独明,yi'lun'zhi'xin'yue'du'ming
一缕一丝勿容贪冒,yi'lv'yi'si'wu'rong'tan'mao
以秘己之美也,yi'mi'ji'zhi'mei'ye
以名义气节激励之,yi'ming'yi'qi'jie'ji'li'zhi
一谋不成,yi'mou'bu'cheng
一耐字极有意味,yi'nai'zi'ji'you'yi'wei
一念常惺,yi'nian'chang'xing
一念慈祥,yi'nian'ci'xiang
一念错,yi'nian'cuo
一念过差,yi'nian'guo'cha
一念惊觉,yi'nian'jing'jue
一念清净,yi'nian'qing'jing
以宁吾真体,yi'ning'wu'zhen'ti
弈棋,yi'qi
一起便觉,yi'qi'bian'jue
意气和平,yi'qi'he'ping
以其近厚也,yi'qi'jin'hou'ye
以其太清也,yi'qi'tai'qing'ye
意气与天下相期,yi'qi'yu'tian'xia'xiang'qi
一切,yi'qie
一切善恶贤愚,yi'qie'shan'e'xian'yu
一切污辱垢秽要茹纳的,yi'qie'wu'ru'gou'hui'yao'ru'na'de
易亲亦易散,yi'qin'yi'yi'san
以情识衬,yi'qing'shi'chen
以求功名之念求道德,yi'qiu'gong'ming'zhi'nian'qiu'dao'de
一染指便深入万仞,yi'ran'zhi'bian'shen'ru'wan'ren
一身亦似云浮,yi'shen'yi'si'yun'fu
亦生爱,yi'sheng'ai
一生清福,yi'sheng'qing'fu
一生无病是吾忧,yi'sheng'wu'bing'shi'wu'you
亦是无量功德矣,yi'shi'wu'liang'gong'de'yi
逸事也,yi'shi'ye
噫世之不为飞蛾鸱号鸟者,yi'shi'zhi'bu'wei'fei'e'chi'hao'niao'zhe
一世之烟花无碍,yi'shi'zhi'yan'hua'wu'ai
以俗眼观,yi'su'yan'guan
逸态闲情,yi'tai'xian'qing
一贪痴便成商贾,yi'tan'chi'bian'cheng'shang'gu
一条竹杖挑风月,yi'tiao'zhu'zhang'tiao'feng'yue
一退步便远隔千山,yi'tui'bu'bian'yuan'ge'qian'shan
仪文虽略而意念常真,yi'wen'sui'lue'er'yi'nian'chang'zhen
以我转物者得,yi'wo'zhuan'wu'zhe'de
亦毋,yi'wu
以物役我者逆,yi'wu'yi'wo'zhe'ni
以物欲障蔽之,yi'wu'yu'zhang'bi'zhi
一溪流水一山云,yi'xi'liu'shui'yi'shan'yun
一线不乱,yi'xian'bu'luan
疑心胜者,yi'xin'sheng'zhe
意兴从外境而得者,yi'xing'cong'wai'jing'er'de'zhe
一性寂然,yi'xing'ji'ran
以养吾圆机,yi'yang'wu'yuan'ji
亦要防将来之非,yi'yao'fang'jiang'lai'zhi'fei
一以浚诸恶,yi'yi'jun'zhu'e
一以辟众善之路,yi'yi'pi'zhong'shan'zhi'lu
一疑一信相参勘,yi'yi'yi'xin'xiang'can'kan
一营恋便成市朝,yi'ying'lian'bian'cheng'shi'chao
一语不中,yi'yu'bu'zhong
弈者争先,yi'zhe'zheng'xian
以真境言,yi'zhen'jing'yan
易知,yi'zhi
以致暴客之弯弓,yi'zhi'bao'ke'zhi'wan'gong
一著脚则玷污,yi'zhu'jiao'ze'dian'wu
亦自献诚,yi'zi'xian'cheng
亦自有堂堂正正做人处,yi'zi'you'tang'tang'zheng'zheng'zuo'ren'chu
因豢养而受羁糜,yin'huan'yang'er'shou'ji'mi
饮酒莫教成酩酊,yin'jiu'mo'jiao'cheng'ming'ding
阴霾翳空而慧日朗然,yin'mai'yi'kong'er'hui'ri'lang'ran
阴谋怪习异行奇能,yin'mou'guai'xi'yi'xing'qi'neng
引起一种冷趣幽思,yin'qi'yi'zhong'leng'qu'you'si
引些归己,yin'xie'gui'ji
饮宴之乐多,yin'yan'zhi'le'duo
隐逸林中无荣辱,yin'yi'lin'zhong'wu'rong'ru
饮啄犹闲,yin'zhuo'you'xian
应酬,ying'chou
应事若流水落花悠然而逝,ying'shi'ruo'liu'shui'luo'hua'you'ran'er'shi
应世要随时,ying'shi'yao'sui'shi
英雄虎战,ying'xiong'hu'zhan
英雄欺世,ying'xiong'qi'shi
应须防口,ying'xu'fang'kou
盈矣,ying'yi
应用未圆,ying'yong'wei'yuan
用何以得琴书佳趣,yong'he'yi'de'qin'shu'jia'qu
拥衾时魂梦亦爽,yong'qin'shi'hun'meng'yi'shuang
用人不宜刻,yong'ren'bu'yi'ke
用术者乃所以为拙,yong'shu'zhe'nai'suo'yi'wei'zhuo
庸行,yong'xing
用者杀机,yong'zhe'sha'ji
犹冰涣作水,you'bing'huan'zuo'shui
