阿玛尼,a'ma'ni
阳光一百,yang'guang'yi'bai
阳光早餐,yang'guang'zao'can
扬美古镇,yang'mei'gu'zhen
羊肉粉,yang'rou'fen
阳朔,yang'shuo
要黑紧,yao'hei'jin
要紧了,yao'jin'le
要紧哦,yao'jin'o
要没要,yao'mei'yao
要某,yao'mou
瑶山,yao'shan
要什么紧,yao'shen'me'jin
瑶王府,yao'wang'fu
药用植物园,yao'yong'zhi'wu'yuan
瑶族,yao'zu
也挨,ye'ai
也不得,ye'bu'de
也得啊,ye'dei'a
也得了,ye'dei'le
也没是,ye'mei'shi
野人谷,ye'ren'gu
夜宵摊,ye'xiao'tan
野崽,ye'zai
也在南宁,ye'zai'nan'ning
也准备了,ye'zhun'bei'le
夜醉美,ye'zui'mei
一安,yi'an
一边手,yi'bian'shou
一遍天,yi'bian'tian
一部片,yi'bu'pian
一戳,yi'chuo
一戳样,yi'chuo'yang
一打酒,yi'da'jiu
衣服先,yi'fu'xian
一附院,yi'fu'yuan
一号大道,yi'hao'da'dao
一黑天,yi'hei'tian
以后先,yi'hou'xian
一会先,yi'hui'xian
一件酒,yi'jian'jiu
医科大,yi'ke'da
医科大一附院,yi'ke'da'yi'fu'yuan
易乐宝,yi'le'bao
易乐多,yi'le'duo
一里,yi'li
伊岭岩,yi'ling'yan
姨妈纸,yi'ma'zhi
一某,yi'mou
一品轩,yi'pin'xuan
一起咩,yi'qi'mie
一起为,yi'qi'wei
意思讲,yi'si'jiang
意思说,yi'si'shuo
一碗粉,yi'wan'fen
一屋茶,yi'wu'cha
一下为,yi'xia'wei
一下先,yi'xia'xian
一下小,yi'xia'xiao
一野,yi'ye
依依妖妖,yi'yi'yao'yao
一职校,yi'zhi'xiao
宜州,yi'zhou
宜州市,yi'zhou'shi
银行学校,yin'hang'xue'xiao
印尼语,yin'ni'yu
银滩,yin'tan
婴宝,ying'bao
盈都,ying'dou
赢多多,ying'duo'duo
应该得,ying'gai'de
英华路,ying'hua'lu
英盲,ying'mang
硬排,ying'pai
哟嚯,yo'huo
用不得,yong'bu'de
邕城,yong'cheng
邕城家宴,yong'cheng'jia'yan
邕大,yong'da
永福县,yong'fu'xian
邕高,yong'gao
邕桂,yong'gui
永和桥,yong'he'qiao
用黑,yong'hei
邕记,yong'ji
邕江,yong'jiang
邕江边,yong'jiang'bian
邕江宾馆,yong'jiang'bin'guan
邕江大学,yong'jiang'da'xue
邕江郡,yong'jiang'jun
邕江桥,yong'jiang'qiao
邕宁,yong'ning
邕宁区,yong'ning'qu
邕武立交,yong'wu'li'jiao
邕武路,yong'wu'lu
邕州老街,yong'zhou'lao'jie
用住,yong'zhu
友爱,you'ai
友爱北路,you'ai'bei'lu
友爱村,you'ai'cun
友爱立交,you'ai'li'jiao
友爱路,you'ai'lu
友爱南路,you'ai'nan'lu
又不出声,you'bu'chu'sheng
又不得,you'bu'de
又不懂,you'bu'dong
又不肥,you'bu'fei
又不黑,you'bu'hei
又不见,you'bu'jian
又不见你,you'bu'jian'ni
又不见人,you'bu'jian'ren
又不叫,you'bu'jiao
又不叫你,you'bu'jiao'ni
又不叫我,you'bu'jiao'wo
又不久,you'bu'jiu
又不早说,you'bu'zao'shuo
油茶,you'cha
又得了,you'dei'le
有电车,you'dian'che
又懂,you'dong
有多少个人,you'duo'shao'ge'ren
有搞,you'gao
有公车,you'gong'che
有拐,you'guai
油果,you'guo
有黑,you'hei
有黑用,you'hei'yong
有回事,you'hui'shi
又讲,you'jiang
右江区,you'jiang'qu
又久,you'jiu
有空咩,you'kong'mie
有空先,you'kong'xian
有空小,you'kong'xiao
游漓江,you'li'jiang
又没是,you'mei'shi
又某,you'mou
有南宁,you'nan'ning
友女,you'nv
友女家,you'nv'jia
友女们,you'nv'men
有钱多,you'qian'duo
有钱先,you'qian'xian
有什么捏,you'shen'me'nie
有什么奇怪,you'shen'me'qi'guai
有什么要紧,you'shen'me'yao'jin
有喂,you'wei
右医,you'yi
友谊关,you'yi'guan
游园活动,you'yuan'huo'dong
友仔家,you'zai'jia
友仔友女,you'zai'you'nv
玉洞,yu'dong
裕丰,yu'feng
鱼峰区,yu'feng'qu
鱼峰山,yu'feng'shan
裕丰英伦,yu'feng'ying'lun
玉高,yu'gao
玉林,yu'lin
玉林的,yu'lin'de
玉林话,yu'lin'hua
玉林了,yu'lin'le
玉林人,yu'lin'ren
玉林市,yu'lin'shi
玉林师范学院,yu'lin'shi'fan'xue'yuan
郁闷哦,yu'men'o
玉米糖水,yu'mi'tang'shui
玉米粥,yu'mi'zhou
鱼生,yu'sheng
玉师,yu'shi
雨石阁,yu'shi'ge
雨无声,yu'wu'sheng
预约金,yu'yue'jin
玉州区,yu'zhou'qu
远辰,yuan'chen
远得,yuan'de
远多,yuan'duo
圆粉,yuan'fen
园湖,yuan'hu
园湖路,yuan'hu'lu
园湖路口,yuan'hu'lu'kou
园湖南路,yuan'hu'nan'lu
院路,yuan'lu
院选,yuan'xuan
元之源,yuan'zhi'yuan
越盾,yue'dun
越南币,yue'nan'bi
越南了,yue'nan'le
越南妹,yue'nan'mei
越南语,yue'nan'yu
越南仔,yue'nan'zai
约球,yue'qiu
月邪,yue'xie
越秀路,yue'xiu'lu
越语,yue'yu
云表,yun'biao
运德,yun'de
云景,yun'jing
云景路,yun'jing'lu
云香精,yun'xiang'jing
杂酒,za'jiu
杂物房,za'wu'fang
在八步,zai'ba'bu
在百色,zai'bai'se
在北海,zai'bei'hai
在北湖,zai'bei'hu
在宾阳,zai'bin'yang
再不得,zai'bu'de
在岑溪,zai'cen'xi
在吃粉,zai'chi'fen
在吃住,zai'chi'zhu
在崇左,zai'chong'zuo
在大沙田,zai'da'sha'tian
在大新,zai'da'xin
在电科,zai'dian'ke
在东兴,zai'dong'xing
在扶绥,zai'fu'sui
在公车,zai'gong'che
在公车上,zai'gong'che'shang
在广西,zai'guang'xi
在贵港,zai'gui'gang
在桂林,zai'gui'lin
在桂平,zai'gui'ping
在航洋,zai'hang'yang
在横县,zai'heng'xian
在江南,zai'jiang'nan
在看住,zai'kan'zhu
在来宾,zai'lai'bin
在琅东,zai'lang'dong
在乐巢,zai'le'chao
在黎塘,zai'li'tang
在柳州,zai'liu'zhou
在隆安,zai'long'an
在马山,zai'ma'shan
在忙住,zai'mang'zhu
在民大,zai'min'da
在某,zai'mou
在哪凯,zai'na'kai
在南宁,zai'nan'ning
在南宁啊,zai'nan'ning'a
在南宁的,zai'nan'ning'de
在南宁了,zai'nan'ning'le
在南宁吗,zai'nan'ning'ma
在南宁呢,zai'nan'ning'ne
在凭祥,zai'ping'xiang
在钦州,zai'qin'zhou
在市中心,zai'shi'zhong'xin
在天等,zai'tian'deng
在万象,zai'wan'xiang
在万象城,zai'wan'xiang'cheng
在武鸣,zai'wu'ming
在梧州,zai'wu'zhou
在西大,zai'xi'da
在阳朔,zai'yang'shuo
在医科大,zai'yi'ke'da
在玉林,zai'yu'lin
在越南,zai'yue'nan
在中山路,zai'zhong'shan'lu
早报,zao'bao
早懂,zao'dong
早懂了,zao'dong'le
怎么不得,zen'me'bu'de
怎么懂,zen'me'dong
怎么了咩,zen'me'le'mie
怎么了捏,zen'me'le'nie
怎么时候,zen'me'shi'hou
榨粉,zha'fen
榨季,zha'ji
炸野,zha'ye
摘果,zhai'guo
寨圩,zhai'xu
张黄,zhang'huang
掌上公交,zhang'shang'gong'jiao
找不得,zhao'bu'de
照顾分,zhao'gu'fen
找没到,zhao'mei'dao
找没见,zhao'mei'jian
昭平,zhao'ping
昭平县,zhao'ping'xian
招生考试院,zhao'sheng'kao'shi'yuan
朝阳店,zhao'yang'dian
朝阳花园,zhao'yang'hua'yuan
找住,zhao'zhu
这部片,zhe'bu'pian
这餐,zhe'can
鹧鸪,zhe'gu
这凯,zhe'kai
这么要紧,zhe'me'yao'jin
这样都得,zhe'yang'dou'dei
这样喔,zhe'yang'wo
这样先,zhe'yang'xian
这样也得,zhe'yang'ye'dei
砧板,zhen'ban
珍宝轩,zhen'bao'xuan
真不真,zhen'bu'zhen
真不真啊,zhen'bu'zhen'a
阵儿,zhen'er
真龙,zhen'long
真某,zhen'mou
正得,zheng'de
正好合适,zheng'hao'he'shi
整黑天,zheng'hei'tian
正恒,zheng'heng
正野,zheng'ye
正装照,zheng'zhuang'zhao
之岛,zhi'dao
职改办,zhi'gai'ban
至胜,zhi'sheng
植物路,zhi'wu'lu
侄仔,zhi'zai
种甘蔗,zhong'gan'zhe
中华电影院,zhong'hua'dian'ying'yuan
中华路,zhong'hua'lu
中加,zhong'jia
中柬路,zhong'jian'lu
钟山,zhong'shan
钟山县,zhong'shan'xian
中泰路,zhong'tai'lu
中兴桥,zhong'xing'qiao
中尧,zhong'yao
中尧路,zhong'yao'lu
中一附院,zhong'yi'fu'yuan
中医一附院,zhong'yi'yi'fu'yuan
中越,zhong'yue
中越路,zhong'yue'lu
周副,zhou'fu
周鹿,zhou'lu
猪霸王,zhu'ba'wang
猪鞭,zhu'bian
煮菜,zhu'cai
煮菜了,zhu'cai'le
煮吃,zhu'chi
煮得,zhu'de
煮的菜,zhu'de'cai
煮东西吃,zhu'dong'xi'chi
猪肚鸡,zhu'du'ji
煮饭菜,zhu'fan'cai
煮粉,zhu'fen
猪黑,zhu'hei
猪脚粉,zhu'jiao'fen
竹篱笆,zhu'li'ba
猪诺诺,zhu'nuo'nuo
竹排冲,zhu'pai'chong
住朋,zhu'peng
住朋购友,zhu'peng'gou'you
竹泉岛,zhu'quan'dao
竹塘路,zhu'tang'lu
竹溪,zhu'xi
竹溪大道,zhu'xi'da'dao
竹溪立交,zhu'xi'li'jiao
专本,zhuan'ben
专本衔接,zhuan'ben'xian'jie
转不得,zhuan'bu'de
转风,zhuan'feng
专家楼,zhuan'jia'lou
转冷了,zhuan'leng'le
转屋,zhuan'wu
装颠,zhuang'dian
壮话,zhuang'hua
壮锦,zhuang'jin
壮锦大道,zhuang'jin'da'dao
壮牛,zhuang'niu
装七,zhuang'qi
壮乡,zhuang'xiang
壮校,zhuang'xiao
壮医,zhuang'yi
壮语,zhuang'yu
壮族,zhuang'zu
壮族自治区,zhuang'zu'zi'zhi'qu
准备到,zhun'bei'dao
准备到家,zhun'bei'dao'jia
准备到家了,zhun'bei'dao'jia'le
准备到了,zhun'bei'dao'le
准备咯,zhun'bei'ge
准备可以,zhun'bei'ke'yi
准备来了,zhun'bei'lai'le
准备了吧,zhun'bei'le'ba
准备死了,zhun'bei'si'le
准备完了,zhun'bei'wan'le
准备下雨了,zhun'bei'xia'yu'le
自己懂,zi'ji'dong
自由空间,zi'you'kong'jian
自治区,zi'zhi'qu
总部路,zong'bu'lu
总好过,zong'hao'guo
总讲,zong'jiang
棕榈湾,zong'lv'wan
揍工,zou'gong
走水,zou'shui
走喂,zou'wei
做不做得,zuo'bu'zuo'de
坐电车,zuo'dian'che
做公车,zuo'gong'che
做咩戳,zuo'mie'chuo
做清明,zuo'qing'ming
做完工,zuo'wan'gong
