啊被你,a'bei'ni
山东师大,shan'dong'shi'da
山东师范,shan'dong'shi'fan
山东师范大学,shan'dong'shi'fan'da'xue
山东台,shan'dong'tai
山东特产,shan'dong'te'chan
山东体育,shan'dong'ti'yu
山东体育学院,shan'dong'ti'yu'xue'yuan
山东通讯城,shan'dong'tong'xun'cheng
山东同志,shan'dong'tong'zhi
山东卫视,shan'dong'wei'shi
山东现代,shan'dong'xian'dai
山东协和,shan'dong'xie'he
山东协和学院,shan'dong'xie'he'xue'yuan
山东新闻,shan'dong'xin'wen
山东新闻大厦,shan'dong'xin'wen'da'sha
山东移动,shan'dong'yi'dong
山东一卡通,shan'dong'yi'ka'tong
山东一区,shan'dong'yi'qu
山东艺术,shan'dong'yi'shu
山东艺术学院,shan'dong'yi'shu'xue'yuan
山东医专,shan'dong'yi'zhuan
山东英才,shan'dong'ying'cai
山东英才学院,shan'dong'ying'cai'xue'yuan
山东这边,shan'dong'zhe'bian
山东政法,shan'dong'zheng'fa
山东政法学院,shan'dong'zheng'fa'xue'yuan
山东职业,shan'dong'zhi'ye
山东职业学院,shan'dong'zhi'ye'xue'yuan
山东中医药,shan'dong'zhong'yi'yao
山东中医药大学,shan'dong'zhong'yi'yao'da'xue
山东综艺,shan'dong'zong'yi
山二,shan'er
山钢,shan'gang
山工,shan'gong
山工艺,shan'gong'yi
山航,shan'hang
山会,shan'hui
山鸡蛋,shan'ji'dan
山建,shan'jian
山建工,shan'jian'gong
山经,shan'jing
山经的,shan'jing'de
山景园,shan'jing'yuan
山科,shan'ke
山科大,shan'ke'da
山科院,shan'ke'yuan
山理工,shan'li'gong
山旅,shan'lv
山能,shan'neng
山农,shan'nong
山农大,shan'nong'da
山芹,shan'qin
山青,shan'qing
山轻工,shan'qing'gong
山青世界,shan'qing'shi'jie
山青院,shan'qing'yuan
山泉路,shan'quan'lu
山商,shan'shang
山师,shan'shi
山师北街,shan'shi'bei'jie
山师大,shan'shi'da
山师的,shan'shi'de
山师东路,shan'shi'dong'lu
山师二附中,shan'shi'er'fu'zhong
山师附小,shan'shi'fu'xiao
山师附中,shan'shi'fu'zhong
山师教务处,shan'shi'jiao'wu'chu
山师了,shan'shi'le
山水大润发,shan'shui'da'run'fa
山水泉城,shan'shui'quan'cheng
山司,shan'si
山同,shan'tong
山威,shan'wei
单县,shan'xian
山艺,shan'yi
山艺的,shan'yi'de
山政,shan'zheng
山职,shan'zhi
山中医,shan'zhong'yi
上班来嘛,shang'ban'lai'ma
上班来么,shang'ban'lai'me
上厕所来,shang'ce'suo'lai
上废,shang'fei
上辅导,shang'fu'dao
尚古,shang'gu
上海花园,shang'hai'hua'yuan
上好人家,shang'hao'ren'jia
商河,shang'he
商河吧,shang'he'ba
商河的,shang'he'de
商河县,shang'he'xian
上济南,shang'ji'nan
商贸的,shang'mao'de
商贸学校,shang'mao'xue'xiao
上么班,shang'me'ban
上明水,shang'ming'shui
尚品清河,shang'pin'qing'he
尚品燕园,shang'pin'yan'yuan
上球球,shang'qiu'qiu
上善坊,shang'shan'fang
上网王,shang'wang'wang
上信息,shang'xin'xi
商业职业,shang'ye'zhi'ye
商职,shang'zhi
商职学院,shang'zhi'xue'yuan
商中路,shang'zhong'lu
少比,shao'bi
少吊,shao'diao
烧鹅仔,shao'e'zai
捎饭,shao'fan
捎过,shao'guo
捎过去,shao'guo'qu
少年路,shao'nian'lu
烧上水,shao'shang'shui
稍微一等,shao'wei'yi'deng
捎着,shao'zhe
捎着你,shao'zhe'ni
捎着我,shao'zhe'wo
社保办,she'bao'ban
神道,shen'dao
神道了,shen'dao'le
慎得上,shen'dei'shang
什么好好,shen'me'hao'hao
什么时候来济南,shen'me'shi'hou'lai'ji'nan
什么一套,shen'me'yi'tao
申请转盘,shen'qing'zhuan'pan
神思,shen'si
莘县,shen'xian
生产路,sheng'chan'lu
盛福,sheng'fu
盛福花园,sheng'fu'hua'yuan
盛福家园,sheng'fu'jia'yuan
省府前街,sheng'fu'qian'jie
圣翰,sheng'han
生活日报,sheng'huo'ri'bao
省监狱,sheng'jian'yu
圣井,sheng'jing
盛景家园,sheng'jing'jia'yuan
盛景莲花,sheng'jing'lian'hua
圣凯,sheng'kai
省劳技,sheng'lao'ji
省立,sheng'li
胜利大街,sheng'li'da'jie
省立医院,sheng'li'yi'yuan
胜利庄,sheng'li'zhuang
圣路易,sheng'lu'yi
圣泉,sheng'quan
盛世花城,sheng'shi'hua'cheng
盛世名门,sheng'shi'ming'men
盛泰仪器,sheng'tai'yi'qi
省体,sheng'ti
省体育,sheng'ti'yu
省体育中心,sheng'ti'yu'zhong'xin
省图,sheng'tu
省图书,sheng'tu'shu
省图书馆,sheng'tu'shu'guan
省杂技团,sheng'za'ji'tuan
省中医,sheng'zhong'yi
试本,shi'ben
师大新村,shi'da'xin'cun
时代新城,shi'dai'xin'cheng
时代总部基地,shi'dai'zong'bu'ji'di
使得慌,shi'de'huang
师东,shi'dong
是多少来,shi'duo'shao'lai
十二马路,shi'er'ma'lu
施尔明,shi'er'ming
师范路,shi'fan'lu
是干么,shi'gan'me
市购,shi'gou
石横,shi'heng
市华联,shi'hua'lian
石化园,shi'hua'yuan
世纪不动产,shi'ji'bu'dong'chan
世纪佳园,shi'ji'jia'yuan
是济南,shi'ji'nan
是济南的,shi'ji'nan'de
是济南的吗,shi'ji'nan'de'ma
世纪缘,shi'ji'yuan
十教,shi'jiao
世界大学城,shi'jie'da'xue'cheng
实堪,shi'kan
食困,shi'kun
市立三院,shi'li'san'yuan
市立四院,shi'li'si'yuan
市立五院,shi'li'wu'yuan
市林业局,shi'lin'ye'ju
十六里,shi'liu'li
十六里河,shi'liu'li'he
十亩园,shi'mu'yuan
石桥小区,shi'qiao'xiao'qu
是啥来,shi'sha'lai
是什么来,shi'shen'me'lai
事事儿,shi'shi'er
实验初中,shi'yan'chu'zhong
实验二中,shi'yan'er'zhong
试验机厂,shi'yan'ji'chang
十一教,shi'yi'jiao
十艺节,shi'yi'jie
是在济南,shi'zai'ji'nan
市中,shi'zhong
市中区,shi'zhong'qu
市中区的,shi'zhong'qu'de
市中医,shi'zhong'yi
视周刊,shi'zhou'kan
手把一,shou'ba'yi
受不大了,shou'bu'da'le
守着人,shou'zhe'ren
薯格,shu'ge
数码港,shu'ma'gang
舒美捷,shu'mei'jie
数学院,shu'xue'yuan
漱玉平民,shu'yu'ping'min
漱玉平民大药房,shu'yu'ping'min'da'yao'fang
耍开,shua'kai
涮肚,shuan'du
双龙庄,shuang'long'zhuang
双气,shuang'qi
双气三线,shuang'qi'san'xian
双泉,shuang'quan
双山,shuang'shan
谁和你似的,shui'he'ni'shi'de
睡觉来嘛,shui'jiao'lai'ma
水饺了,shui'jiao'le
睡就行,shui'jiu'xing
水帘峡,shui'lian'xia
水鸣街,shui'ming'jie
水幕电影,shui'mu'dian'ying
水屯,shui'tun
水屯路,shui'tun'lu
水园,shui'yuan
舜奥华府,shun'ao'hua'fu
顺菜,shun'cai
舜城,shun'cheng
舜德,shun'de
舜风,shun'feng
顺风肥牛,shun'feng'fei'niu
舜耕,shun'geng
舜耕路,shun'geng'lu
舜耕山庄,shun'geng'shan'zhuang
舜耕校区,shun'geng'xiao'qu
舜耕中学,shun'geng'zhong'xue
舜和,shun'he
顺河高架,shun'he'gao'jia
舜和国际,shun'he'guo'ji
顺河街,shun'he'jie
舜华,shun'hua
舜华路,shun'hua'lu
舜华园,shun'hua'yuan
舜井,shun'jing
舜井淳和,shun'jing'chun'he
舜景花园,shun'jing'hua'yuan
舜井街,shun'jing'jie
舜清苑,shun'qing'yuan
舜泰,shun'tai
舜泰广场,shun'tai'guang'chang
舜网,shun'wang
舜兴,shun'xing
舜怡佳园,shun'yi'jia'yuan
舜玉,shun'yu
舜玉北区,shun'yu'bei'qu
舜玉路,shun'yu'lu
舜玉南区,shun'yu'nan'qu
舜玉小区,shun'yu'xiao'qu
说不咋,shuo'bu'za
说的谁啊,shuo'de'shui'a
说就行,shuo'jiu'xing
说就行啊,shuo'jiu'xing'a
说来嘛,shuo'lai'ma
说来么,shuo'lai'me
说么啊,shuo'me'a
说么来,shuo'me'lai
说么了,shuo'me'le
说么呢,shuo'me'ne
说呢了,shuo'ne'le
四季花园,si'ji'hua'yuan
四季明湖,si'ji'ming'hu
四里村,si'li'cun
司里街,si'li'jie
四里山,si'li'shan
四门塔,si'men'ta
私盘,si'pan
思味特,si'wei'te
丝足,si'zu
送车位,song'che'wei
送地下室,song'di'xia'shi
宋刘村,song'liu'cun
宋苗苗,song'miao'miao
送奶员,song'nai'yuan
送下了,song'xia'le
酥锅,su'guo
宿茂臻,su'mao'zhen
宿舍文化节,su'she'wen'hua'jie
蒜爆肉,suan'bao'rou
蒜爆羊肉,suan'bao'yang'rou
随便淘,sui'bian'tao
随看,sui'kan
随钱,sui'qian
睢冉,sui'ran
孙村,sun'cun
孙村镇,sun'cun'zhen
孙大同,sun'da'tong
孙耿,sun'geng
孙耿镇,sun'geng'zhen
孙集,sun'ji
他干么,ta'gan'me
他叫么,ta'jiao'me
他接着,ta'jie'zhe
他来济南,ta'lai'ji'nan
他两口子,ta'liang'kou'zi
他么时候,ta'me'shi'hou
他山,ta'shan
他说么,ta'shuo'me
他为么,ta'wei'me
他问我来,ta'wen'wo'lai
他休班,ta'xiu'ban
他在济南,ta'zai'ji'nan
泰安,tai'an
泰安吧,tai'an'ba
泰安的,tai'an'de
泰安方特,tai'an'fang'te
泰安了,tai'an'le
泰安吗,tai'an'ma
泰安呢,tai'an'ne
泰安人,tai'an'ren
泰安市,tai'an'shi
泰安站,tai'an'zhan
苔菜,tai'cai
泰府,tai'fu
太俊了,tai'jun'le
泰莱,tai'lai
太没数,tai'mei'shu
太没数了,tai'mei'shu'le
泰能,tai'neng
太塞了,tai'sai'le
泰山大厦,tai'shan'da'sha
泰山的,tai'shan'de
泰山队,tai'shan'dui
泰山了,tai'shan'le
泰山名饮,tai'shan'ming'yin
泰山上,tai'shan'shang
泰山石,tai'shan'shi
泰山学堂,tai'shan'xue'tang
泰山学院,tai'shan'xue'yuan
泰山医学院,tai'shan'yi'xue'yuan
泰山玉,tai'shan'yu
泰山站,tai'shan'zhan
泰通,tai'tong
太喜人,tai'xi'ren
太喜人了,tai'xi'ren'le
太阳部落,tai'yang'bu'luo
太阳金店,tai'yang'jin'dian
太阳树,tai'yang'shu
泰医,tai'yi
太仗义了,tai'zhang'yi'le
糖醋鲤鱼,tang'cu'li'yu
唐官,tang'guan
汤皇小厨,tang'huang'xiao'chu
唐王镇,tang'wang'zhen
唐冶,tang'ye
躺着来,tang'zhe'lai
淘宝街,tao'bao'jie
桃花姬,tao'hua'ji
桃花山,tao'hua'shan
桃花峪,tao'hua'yu
桃园小区,tao'yuan'xiao'qu
腾讯军事,teng'xun'jun'shi
滕州,teng'zhou
滕州的,teng'zhou'de
滕州了,teng'zhou'le
提口,ti'kou
提口路,ti'kou'lu
提取码,ti'qu'ma
梯子山,ti'zi'shan
天材,tian'cai
天辰大街,tian'chen'da'jie
天辰路,tian'chen'lu
天地仁和,tian'di'ren'he
天地坛街,tian'di'tan'jie
天地缘,tian'di'yuan
天东,tian'dong
天福苑,tian'fu'yuan
天和园,tian'he'yuan
天乐城,tian'le'cheng
甜沫,tian'mo
天桥,tian'qiao
天桥的,tian'qiao'de
天桥南,tian'qiao'nan
天桥区,tian'qiao'qu
天外村,tian'wai'cun
天业国际,tian'ye'guo'ji
田治军,tian'zhi'jun
田庄,tian'zhuang
铁道北路,tie'dao'bei'lu
贴乎,tie'hu
铁路宿舍,tie'lu'su'she
铁职,tie'zhi
听班,ting'ban
挺好来,ting'hao'lai
挺俊,ting'jun
挺俊的,ting'jun'de
挺快来,ting'kuai'lai
挺快呢,ting'kuai'ne
挺忙活,ting'mang'huo
挺忙吗,ting'mang'ma
挺忙那,ting'mang'na
挺胖乎,ting'pang'hu
挺赛,ting'sai
挺舒服啊,ting'shu'fu'a
挺滋,ting'zi
挺滋儿,ting'zi'er
同位,tong'wei
通选课,tong'xuan'ke
通讯城,tong'xun'cheng
统一银座,tong'yi'yin'zuo
同圆,tong'yuan
铜元局,tong'yuan'ju
头科,tou'ke
图巴,tu'ba
土大力,tu'da'li
图东,tu'dong
土流氓,tu'liu'mang
兔兔快运,tu'tu'kuai'yun
土屋路,tu'wu'lu
图西,tu'xi
团济南,tuan'ji'nan
推荐生,tui'jian'sheng
托儿费,tuo'er'fei
娃娃证,wa'wa'zheng
外甥闺女,wai'sheng'gui'nv
万德,wan'de
万德镇,wan'de'zhen
玩烦了,wan'fan'le
万豪国际,wan'hao'guo'ji
晚会到,wan'hui'dao
万家乐吧,wan'jia'le'ba
玩就行,wan'jiu'xing
玩么啊,wan'me'a
玩么来,wan'me'lai
玩么呢,wan'me'ne
完美新娘,wan'mei'xin'niang
晚上可,wan'shang'ke
万盛园,wan'sheng'yuan
万象新天,wan'xiang'xin'tian
王大全,wang'da'quan
王府池子,wang'fu'chi'zi
王府庄,wang'fu'zhuang
网管会,wang'guan'hui
王官庄,wang'guan'zhuang
王官庄小区,wang'guan'zhuang'xiao'qu
往济南,wang'ji'nan
王景光,wang'jing'guang
旺客,wang'ke
王炉,wang'lu
网络箱,wang'luo'xiang
网络助学,wang'luo'zhu'xue
忘密码了,wang'mi'ma'le
王圈,wang'quan
王舍人,wang'she'ren
王舍人镇,wang'she'ren'zhen
往外租,wang'wai'zu
王永珀,wang'yong'po
纬八,wei'ba
微步,wei'bu
味达美,wei'da'mei
为的么,wei'de'me
伟东新都,wei'dong'xin'du
纬二,wei'er
维尔康,wei'er'kang
纬二路,wei'er'lu
潍坊的,wei'fang'de
潍坊了,wei'fang'le
潍坊吗,wei'fang'ma
潍坊呢,wei'fang'ne
潍坊人,wei'fang'ren
威海分校,wei'hai'fen'xiao
魏家庄,wei'jia'zhuang
未结账,wei'jie'zhang
纬九,wei'jiu
纬九路,wei'jiu'lu
为了么,wei'le'me
纬六,wei'liu
纬六路,wei'liu'lu
为么,wei'me
为么啊,wei'me'a
为么么,wei'me'me
为么呢,wei'me'ne
为么呀,wei'me'ya
魏桥,wei'qiao
危山,wei'shan
微山湖,wei'shan'hu
微山县,wei'shan'xian
纬十二,wei'shi'er
纬十二路,wei'shi'er'lu
纬十路,wei'shi'lu
纬四,wei'si
纬一,wei'yi
纬一路,wei'yi'lu
文爱吧,wen'ai'ba
文东,wen'dong
文东路,wen'dong'lu
文管,wen'guan
温锅,wen'guo
文化城,wen'hua'cheng
文化东路,wen'hua'dong'lu
文化东路东口,wen'hua'dong'lu'dong'kou
文化基础,wen'hua'ji'chu
文化市场,wen'hua'shi'chang
文化西路,wen'hua'xi'lu
文华园,wen'hua'yuan
文经,wen'jing
文经学院,wen'jing'xue'yuan
问就行,wen'jiu'xing
问来嘛,wen'lai'ma
问你个题,wen'ni'ge'ti
汶上,wen'shang
文史楼,wen'shi'lou
问他来,wen'ta'lai
问我就行,wen'wo'jiu'xing
文庄,wen'zhuang
我白搭,wo'bai'da
我不休班,wo'bu'xiu'ban
我不愿去,wo'bu'yuan'qu
我不在济南,wo'bu'zai'ji'nan
我擦来,wo'ca'lai
卧槽来,wo'cao'lai
我刺挠,wo'ci'nao
我从济南,wo'cong'ji'nan
我大济南,wo'da'ji'nan
我大体,wo'da'ti
我捣鼓,wo'dao'gu
我到济南,wo'dao'ji'nan
我到济南了,wo'dao'ji'nan'le
我到明天,wo'dao'ming'tian
我导员,wo'dao'yuan
我都不愿,wo'dou'bu'yuan
我都服气了,wo'dou'fu'qi'le
我都知不道,wo'dou'zhi'bu'dao
我对济南,wo'dui'ji'nan
我对头,wo'dui'tou
我服气了,wo'fu'qi'le
我干么,wo'gan'me
我刚到济南,wo'gang'dao'ji'nan
我刚想说呢,wo'gang'xiang'shuo'ne
我给你说啊,wo'gei'ni'shuo'a
我给我爹,wo'gei'wo'die
我光记得,wo'guang'ji'de
我光知道,wo'guang'zhi'dao
我还在济南,wo'hai'zai'ji'nan
我和我爹,wo'he'wo'die
卧虎山,wo'hu'shan
我回济南,wo'hui'ji'nan
我回济南了,wo'hui'ji'nan'le
我济南,wo'ji'nan
我济南的,wo'ji'nan'de
沃家庄,wo'jia'zhuang
我教给你,wo'jiao'gei'ni
我今天休班,wo'jin'tian'xiu'ban
我就愿,wo'jiu'yuan
我就在济南,wo'jiu'zai'ji'nan
我觉出来了,wo'jue'chu'lai'le
我觉着也是,wo'jue'zhe'ye'shi
我看见来,wo'kan'jian'lai
我看看来,wo'kan'kan'lai
我靠来,wo'kao'lai
我来好事,wo'lai'hao'shi
我来好事了,wo'lai'hao'shi'le
我来济南,wo'lai'ji'nan
我来济南了,wo'lai'ji'nan'le
我老八,wo'lao'ba
我姥娘,wo'lao'niang
我离着,wo'li'zhe
卧龙花园,wo'long'hua'yuan
我鲁,wo'lu
我妈不愿意,wo'ma'bu'yuan'yi
我么时候,wo'me'shi'hou
我么也,wo'me'ye
我没觉出来,wo'mei'jue'chu'lai
我们济南,wo'men'ji'nan
我们山东,wo'men'shan'dong
我们这一级,wo'men'zhe'yi'ji
我明天休班,wo'ming'tian'xiu'ban
我凭么,wo'ping'me
我球球,wo'qiu'qiu
我去济南,wo'qu'ji'nan
我去济南了,wo'qu'ji'nan'le
我去青岛,wo'qu'qing'dao
我去泰安,wo'qu'tai'an
我去洗刷,wo'qu'xi'shua
我去洗刷了,wo'qu'xi'shua'le
我上课来,wo'shang'ke'lai
我是大明星,wo'shi'da'ming'xing
我是济南,wo'shi'ji'nan
我是济南的,wo'shi'ji'nan'de
我是济南人,wo'shi'ji'nan'ren
我睡会了,wo'shui'hui'le
我睡一会了,wo'shui'yi'hui'le
我说么了,wo'shuo'me'le
我宿舍里,wo'su'she'li
我挺烦,wo'ting'fan
我同位,wo'tong'wei
我为么,wo'wei'me
我问他来,wo'wen'ta'lai
我洗刷,wo'xi'shua
我洗刷了,wo'xi'shua'le
我洗刷去,wo'xi'shua'qu
我洗刷去了,wo'xi'shua'qu'le
我洗刷完了,wo'xi'shua'wan'le
我先去洗刷,wo'xian'qu'xi'shua
我先洗刷,wo'xian'xi'shua
我现在在济南,wo'xian'zai'zai'ji'nan
我行吧,wo'xing'ba
我休班,wo'xiu'ban
我休班了,wo'xiu'ban'le
我学习了哈,wo'xue'xi'le'ha
我也是济南的,wo'ye'shi'ji'nan'de
我也在济南,wo'ye'zai'ji'nan
我在长清,wo'zai'chang'qing
我在大观园,wo'zai'da'guan'yuan
我在大明湖,wo'zai'da'ming'hu
我在德州,wo'zai'de'zhou
我在高新区,wo'zai'gao'xin'qu
我在和谐,wo'zai'he'xie
我在恒隆,wo'zai'heng'long
我在洪楼,wo'zai'hong'lou
我在济南,wo'zai'ji'nan
我在济南啊,wo'zai'ji'nan'a
我在济南了,wo'zai'ji'nan'le
我在济南呢,wo'zai'ji'nan'ne
我在济宁,wo'zai'ji'ning
我在济阳,wo'zai'ji'yang
我在家来,wo'zai'jia'lai
我在明水,wo'zai'ming'shui
我在山大,wo'zai'shan'da
我在山东,wo'zai'shan'dong
我在山师,wo'zai'shan'shi
我在宿舍里,wo'zai'su'she'li
我在泰安,wo'zai'tai'an
我在银座,wo'zai'yin'zuo
我在章丘,wo'zai'zhang'qiu
我早回去,wo'zao'hui'qu
我章丘,wo'zhang'qiu
我这不说,wo'zhe'bu'shuo
我这出门,wo'zhe'chu'men
我这过去,wo'zhe'guo'qu
我这就出门,wo'zhe'jiu'chu'men
我这就快,wo'zhe'jiu'kuai
我这准备,wo'zhe'zhun'bei
我真败了,wo'zhen'bai'le
我真不愿,wo'zhen'bu'yuan
我真烦了,wo'zhen'fan'le
我真服气,wo'zhen'fu'qi
我真服气了,wo'zhen'fu'qi'le
我真改了,wo'zhen'gai'le
我真够了,wo'zhen'gou'le
武城,wu'cheng
无棣,wu'di
吴地人家,wu'di'ren'jia
无棣县,wu'di'xian
五峰路,wu'feng'lu
五峰山,wu'feng'shan
五环花苑,wu'huan'hua'yuan
吴家堡,wu'jia'bao
吴家铺,wu'jia'pu
武警医院,wu'jing'yi'yuan
五里牌坊,wu'li'pai'fang
五龙潭,wu'long'tan
五缺一,wu'que'yi
无限友,wu'xian'you
吴兴涵,wu'xing'han
无影山,wu'ying'shan
无影山北路,wu'ying'shan'bei'lu
无影山东路,wu'ying'shan'dong'lu
无影山路,wu'ying'shan'lu
无影山中路,wu'ying'shan'zhong'lu
无影潭,wu'ying'tan
五院,wu'yuan
五院了,wu'yuan'le
五岳独尊,wu'yue'du'zun
五职,wu'zhi
西部酒城,xi'bu'jiu'cheng
洗车卡,xi'che'ka
洗腚,xi'ding
细发,xi'fa
喜家德,xi'jia'de
西蒋峪,xi'jiang'yu
西客站,xi'ke'zhan
喜拉,xi'la
西芒,xi'mang
细木工,xi'mu'gong
西南门,xi'nan'men
席签,xi'qian
西三里,xi'san'li
西市场,xi'shi'chang
西市场了,xi'shi'chang'le
洗刷吧,xi'shua'ba
洗刷的,xi'shua'de
洗刷间,xi'shua'jian
洗刷啦,xi'shua'la
洗刷来,xi'shua'lai
洗刷了,xi'shua'le
洗刷了吗,xi'shua'le'ma
洗刷呢,xi'shua'ne
洗刷去,xi'shua'qu
洗刷去了,xi'shua'qu'le
洗刷完,xi'shua'wan
洗刷完了,xi'shua'wan'le
洗刷完了吗,xi'shua'wan'le'ma
洗刷要,xi'shua'yao
洗刷一下,xi'shua'yi'xia
喜死,xi'si
喜死了,xi'si'le
喜死我,xi'si'wo
喜死我了,xi'si'wo'le
西外环,xi'wai'huan
西校,xi'xiao
西营,xi'ying
西营镇,xi'ying'zhen
西苑小区,xi'yuan'xiao'qu
瞎包,xia'bao
夏都金地,xia'du'jin'di
下脚料,xia'jiao'liao
夏津,xia'jin
夏津县,xia'jin'xian
瞎落落,xia'luo'luo
下桥口,xia'qiao'kou
下通知,xia'tong'zhi
下通知了,xia'tong'zhi'le
下着个雨,xia'zhe'ge'yu
下证过户,xia'zheng'guo'hu
现代逸城,xian'dai'yi'cheng
闲的上,xian'de'shang
县东巷,xian'dong'xiang
显好,xian'hao
仙妮特,xian'ni'te
贤文花园,xian'wen'hua'yuan
贤文小区,xian'wen'xiao'qu
贤文庄,xian'wen'zhuang
县西巷,xian'xi'xiang
现在济南,xian'zai'ji'nan
现在在济南,xian'zai'zai'ji'nan
香草园,xiang'cao'yuan
香椿芽,xiang'chun'ya
湘达,xiang'da
湘鄂,xiang'e
湘鄂情怀,xiang'e'qing'huai
想干么,xiang'gan'me
香港国际,xiang'gang'guo'ji
香港街,xiang'gang'jie
相公庄,xiang'gong'zhuang
想乖乖去喽,xiang'guai'guai'qu'lou
项管,xiang'guan
香桔市,xiang'ju'shi
想么呢,xiang'me'ne
想说么,xiang'shuo'me
祥泰,xiang'tai
想我来嘛,xiang'wo'lai'ma
想我来么,xiang'wo'lai'me
想休班,xiang'xiu'ban
想在济南,xiang'zai'ji'nan
想着来,xiang'zhe'lai
想着想着就,xiang'zhe'xiang'zhe'jiu
小背篓,xiao'bei'lou
小草房,xiao'cao'fang
小馋熊,xiao'chan'xiong
小臭妮,xiao'chou'ni
哮喘,xiao'chuan
小汉峪,xiao'han'yu
小黑妮,xiao'hei'ni
小辉辉,xiao'hui'hui
小济南,xiao'ji'nan
小金庄,xiao'jin'zhuang
孝里,xiao'li
孝里镇,xiao'li'zhen
小梁庄,xiao'liang'zhuang
小鲁庄,xiao'lu'zhuang
笑么,xiao'me
笑么啊,xiao'me'a
小么哥,xiao'me'ge
小门头,xiao'men'tou
小门牙,xiao'men'ya
小米面,xiao'mi'mian
小能能,xiao'neng'neng
小胖妮,xiao'pang'ni
小清河,xiao'qing'he
小色孩子,xiao'se'hai'zi
小傻妮,xiao'sha'ni
小事事,xiao'shi'shi
小死孩子,xiao'si'hai'zi
小纬六路,xiao'wei'liu'lu
小溪办事,xiao'xi'ban'shi
小辛庄,xiao'xin'zhuang
小鸭集团,xiao'ya'ji'tuan
小义乌,xiao'yi'wu
孝直,xiao'zhi
孝直镇,xiao'zhi'zhen
歇班吗,xie'ban'ma
写不开,xie'bu'kai
协和学院,xie'he'xue'yuan
谢么,xie'me
鑫达小区,xin'da'xiao'qu
新蒂,xin'di
辛甸花园,xin'dian'hua'yuan
新东方花园,xin'dong'fang'hua'yuan
新国线,xin'guo'xian
新河湾,xin'he'wan
新华顺,xin'hua'shun
鑫康弘,xin'kang'hong
新老屯,xin'lao'tun
新龙家园,xin'long'jia'yuan
新泺大街,xin'luo'da'jie
馨漫园,xin'man'yuan
新梅园,xin'mei'yuan
新女报,xin'nv'bao
新沙洞,xin'sha'dong
新生活家园,xin'sheng'huo'jia'yuan
新世纪电影城,xin'shi'ji'dian'ying'cheng
新视听,xin'shi'ting
新泰,xin'tai
新泰的,xin'tai'de
新闻大厦,xin'wen'da'sha
辛西路,xin'xi'lu
辛西路北口,xin'xi'lu'bei'kou
新西门,xin'xi'men
新馨家园,xin'xin'jia'yuan
新徐印象,xin'xu'yin'xiang
信义庄,xin'yi'zhuang
鑫苑,xin'yuan
鑫苑国际,xin'yuan'guo'ji
鑫苑名家,xin'yuan'ming'jia
辛寨,xin'zhai
辛祝路,xin'zhu'lu
邢村,xing'cun
邢村立交,xing'cun'li'jiao
邢村立交桥,xing'cun'li'jiao'qiao
幸福柳,xing'fu'liu
幸福时光,xing'fu'shi'guang
幸福苑,xing'fu'yuan
兴济河,xing'ji'he
兴隆山,xing'long'shan
兴隆山校区,xing'long'shan'xiao'qu
兴隆寺,xing'long'si
姓么,xing'me
兴泉,xing'quan
熊劲,xiong'jin
胸科医院,xiong'ke'yi'yuan
熊毛病,xiong'mao'bing
熊妮子,xiong'ni'zi
熊娘们,xiong'niang'men
熊态,xiong'tai
熊玩意,xiong'wan'yi
熊玩意儿,xiong'wan'yi'er
熊样吧,xiong'yang'ba
熊样的,xiong'yang'de
休班,xiu'ban
休班啊,xiu'ban'a
休班吧,xiu'ban'ba
休班不,xiu'ban'bu
休班的,xiu'ban'de
休班的时候,xiu'ban'de'shi'hou
休班啦,xiu'ban'la
休班了,xiu'ban'le
休班了吗,xiu'ban'le'ma
休班吗,xiu'ban'ma
休班么,xiu'ban'me
休班那,xiu'ban'na
休班呢,xiu'ban'ne
休班呀,xiu'ban'ya
休个班,xiu'ge'ban
绣惠,xiu'hui
绣惠镇,xiu'hui'zhen
绣江,xiu'jiang
绣水,xiu'shui
休天班,xiu'tian'ban
休息不过来,xiu'xi'bu'guo'lai
绣源河,xiu'yuan'he
许文燕,xu'wen'yan
徐显明,xu'xian'ming
宣点,xuan'dian
学车来,xue'che'lai
学烦了,xue'fan'le
学府蓝山,xue'fu'lan'shan
薛记,xue'ji
学检,xue'jian
学六,xue'liu
雪妞,xue'niu
学前的,xue'qian'de
学生在线,xue'sheng'zai'xian
学习来,xue'xi'lai
学习了哈,xue'xi'le'ha
学线,xue'xian
雪野,xue'ye
雪野湖,xue'ye'hu
雪野水库,xue'ye'shui'ku
寻芳录,xun'fang'lu
雅居园,ya'ju'yuan
晏城,yan'cheng
烟大市场,yan'da'shi'chang
演道,yan'dao
燕东山庄,yan'dong'shan'zhuang
闫府,yan'fu
眼镜市场,yan'jing'shi'chang
烟酒糖茶,yan'jiu'tang'cha
燕柳园,yan'liu'yuan
眼明泉,yan'ming'quan
闫千户,yan'qian'hu
砚泉,yan'quan
眼缺,yan'que
燕山,yan'shan
燕山的,yan'shan'de
燕山店,yan'shan'dian
燕山立交,yan'shan'li'jiao
燕山立交桥,yan'shan'li'jiao'qiao
燕山小区,yan'shan'xiao'qu
燕山新居,yan'shan'xin'ju
燕山学院,yan'shan'xue'yuan
燕山银座,yan'shan'yin'zuo
燕山中学,yan'shan'zhong'xue
烟台大学,yan'tai'da'xue
烟台话,yan'tai'hua
