啊公平,a'gong'ping
晚上撒,wan'shang'sa
万盛,wan'sheng
万盛区,wan'sheng'qu
万五中,wan'wu'zhong
万县市,wan'xian'shi
万一中,wan'yi'zhong
万友康年,wan'you'kang'nian
豌杂面,wan'za'mian
万州,wan'zhou
万州吧,wan'zhou'ba
万州的,wan'zhou'de
万州烤鱼,wan'zhou'kao'yu
万州了,wan'zhou'le
万州区,wan'zhou'qu
万州人,wan'zhou'ren
忘都忘了,wang'dou'wang'le
王二妹,wang'er'mei
王二娃,wang'er'wa
王府菜,wang'fu'cai
王家坝,wang'jia'ba
王家坡,wang'jia'po
汪家桥,wang'jia'qiao
望龙门,wang'long'men
网罗天下,wang'luo'tian'xia
王牌路,wang'pai'lu
王少龙,wang'shao'long
未必你,wei'bi'ni
未必我,wei'bi'wo
为别,wei'bie
围到,wei'dao
微电园,wei'dian'yuan
尾盖,wei'gai
微耕机,wei'geng'ji
为哈子,wei'ha'zi
未来国际,wei'lai'guo'ji
为啷个,wei'lang'ge
为老,wei'lao
为了撒子,wei'le'sa'zi
围龙,wei'long
为囊个,wei'nang'ge
微企,wei'qi
为撒子,wei'sa'zi
为撒子啊,wei'sa'zi'a
为撒子呢,wei'sa'zi'ne
为撒子呀,wei'sa'zi'ya
为撒子要,wei'sa'zi'yao
为撒子也,wei'sa'zi'ye
为塞子,wei'sai'zi
为啥子,wei'sha'zi
为啥子啊,wei'sha'zi'a
为啥子呀,wei'sha'zi'ya
为啥子也,wei'sha'zi'ye
为什么也,wei'shen'me'ye
渭沱,wei'tuo
渭溪,wei'xi
卫星湖,wei'xing'hu
为呀,wei'ya
危岩,wei'yan
围腰,wei'yao
为咋子,wei'za'zi
问别个,wen'bie'ge
稳当些,wen'dang'xie
稳到点,wen'dao'dian
稳到起,wen'dao'qi
稳得起,wen'de'qi
稳得住,wen'de'zhu
文峰古街,wen'feng'gu'jie
文峰街,wen'feng'jie
问哈,wen'ha
问哈儿,wen'ha'er
问哈个,wen'ha'ge
问哈哈,wen'ha'ha
问哈嘛,wen'ha'ma
问哈你,wen'ha'ni
问哈撒,wen'ha'sa
问哈他,wen'ha'ta
问哈我,wen'ha'wo
问哈也,wen'ha'ye
问了的,wen'le'de
问了来,wen'le'lai
问了你的,wen'le'ni'de
问了我的,wen'le'wo'de
问理学院,wen'li'xue'yuan
问没得,wen'mei'de
问你也,wen'ni'ye
问起耍,wen'qi'shua
温泉城,wen'quan'cheng
问撒子,wen'sa'zi
问啥子,wen'sha'zi
问题撒,wen'ti'sa
文星湾,wen'xing'wan
我挨到,wo'ai'dao
我暗点,wo'an'dian
窝粑粑,wo'ba'ba
我边边,wo'bian'bian
我别个,wo'bie'ge
我不得干,wo'bu'de'gan
我不得去,wo'bu'de'qu
我不得说,wo'bu'de'shuo
我不好耍,wo'bu'hao'shua
我不好说的,wo'bu'hao'shuo'de
我不啷个,wo'bu'lang'ge
我不耍,wo'bu'shua
我不耍了,wo'bu'shua'le
我不想耍,wo'bu'xiang'shua
我不晓得,wo'bu'xiao'de
我不晓得给,wo'bu'xiao'de'gei
我不晓得了,wo'bu'xiao'de'le
我不晓得也,wo'bu'xiao'de'ye
我才不的,wo'cai'bu'de
我才不也,wo'cai'bu'ye
我才吃了饭,wo'cai'chi'le'fan
我猜都是,wo'cai'dou'shi
我才没得,wo'cai'mei'de
我吃不得,wo'chi'bu'de
我吃了的,wo'chi'le'de
我重庆,wo'chong'qing
我重庆的,wo'chong'qing'de
我出来不到,wo'chu'lai'bu'dao
我出去耍,wo'chu'qu'shua
我穿起,wo'chuan'qi
我存起,wo'cun'qi
我错哒,wo'cuo'da
我错老,wo'cuo'lao
我大重庆,wo'da'chong'qing
我打了的,wo'da'le'de
我打起,wo'da'qi
我带看,wo'dai'kan
我带了的,wo'dai'le'de
我带起,wo'dai'qi
我到重庆,wo'dao'chong'qing
我到重庆了,wo'dao'chong'qing'le
我到老,wo'dao'lao
我得不得,wo'de'bu'de
我得得,wo'de'de
我的个去,wo'de'ge'qu
我得行,wo'de'xing
我等到的,wo'deng'dao'de
我等到起,wo'deng'dao'qi
我等哈儿,wo'deng'ha'er
我等哈哈,wo'deng'ha'ha
我等起,wo'deng'qi
我的哥,wo'di'ge
我弟娃,wo'di'wa
我点都,wo'dian'dou
我点都不想,wo'dian'dou'bu'xiang
我懂得起,wo'dong'de'qi
我斗,wo'dou
我都不晓得,wo'dou'bu'xiao'de
我都搞忘,wo'dou'gao'wang
我都搞忘了,wo'dou'gao'wang'le
我都还不晓得,wo'dou'hai'bu'xiao'de
我都记不到,wo'dou'ji'bu'dao
我都认不到,wo'dou'ren'bu'dao
我斗是,wo'dou'shi
我都耍,wo'dou'shua
我斗说,wo'dou'shuo
我都说嘛,wo'dou'shuo'ma
我都晓不得,wo'dou'xiao'bu'de
我都晓得,wo'dou'xiao'de
我斗要,wo'dou'yao
我都要来,wo'dou'yao'lai
我都遭,wo'dou'zao
我恩是,wo'en'shi
我儿不,wo'er'bu
我而不是,wo'er'bu'shi
我儿哄,wo'er'hong
我二回,wo'er'hui
我儿豁,wo'er'huo
我儿说,wo'er'shuo
我发了的,wo'fa'le'de
我分钱,wo'fen'qian
我干撒子,wo'gan'sa'zi
我干啥子,wo'gan'sha'zi
我搞不赢,wo'gao'bu'ying
我搞忘,wo'gao'wang
我搞忘了,wo'gao'wang'le
我哥儿,wo'ge'er
我隔哈,wo'ge'ha
我各人,wo'ge'ren
我个人去,wo'ge'ren'qu
我给别个,wo'gei'bie'ge
我给你打过来,wo'gei'ni'da'guo'lai
我给你讲嘛,wo'gei'ni'jiang'ma
我给你说了的,wo'gei'ni'shuo'le'de
我给你说嘛,wo'gei'ni'shuo'ma
我给你说那,wo'gei'ni'shuo'na
我给他说了的,wo'gei'ta'shuo'le'de
我跟你说嘛,wo'gen'ni'shuo'ma
我跟你一路,wo'gen'ni'yi'lu
我挂起,wo'gua'qi
我过不到,wo'guo'bu'dao
我过来耍,wo'guo'lai'shua
我国人,wo'guo'ren
我过生,wo'guo'sheng
我哈儿,wo'ha'er
我哈哈,wo'ha'ha
我哈哈儿,wo'ha'ha'er
我还不是,wo'hai'bu'shi
我还不是要,wo'hai'bu'shi'yao
我还不是有,wo'hai'bu'shi'you
我还不是在,wo'hai'bu'shi'zai
我还不晓得,wo'hai'bu'xiao'de
我还等到,wo'hai'deng'dao
我还记得到,wo'hai'ji'de'dao
我还耍,wo'hai'shua
我还想也,wo'hai'xiang'ye
我还晓不得,wo'hai'xiao'bu'de
我还晓得,wo'hai'xiao'de
我还有哈,wo'hai'you'ha
我还在重庆,wo'hai'zai'chong'qing
我还遭,wo'hai'zao
我汗水,wo'han'shui
我喊他,wo'han'ta
我喊我妈,wo'han'wo'ma
我好久来,wo'hao'jiu'lai
我好久说,wo'hao'jiu'shuo
我好久说的,wo'hao'jiu'shuo'de
我好霉,wo'hao'mei
我好耍,wo'hao'shua
我好想你哟,wo'hao'xiang'ni'yo
我好造孽,wo'hao'zao'nie
我喝不得,wo'he'bu'de
我喝麻了,wo'he'ma'le
我嘿,wo'hei
我黑喜欢,wo'hei'xi'huan
我黑想,wo'hei'xiang
我后头,wo'hou'tou
我回重庆,wo'hui'chong'qing
我悔过,wo'hui'guo
我回来不到,wo'hui'lai'bu'dao
我回来老,wo'hui'lai'lao
我回了的,wo'hui'le'de
我回了你的,wo'hui'le'ni'de
我回切,wo'hui'qie
喔豁,wo'huo
我记不到,wo'ji'bu'dao
我记不到了,wo'ji'bu'dao'le
我记到的,wo'ji'dao'de
我记到了,wo'ji'dao'le
我记得到,wo'ji'de'dao
我加不起,wo'jia'bu'qi
我加了的,wo'jia'le'de
我加了你的,wo'jia'le'ni'de
我加起,wo'jia'qi
我进不到,wo'jin'bu'dao
我就是不晓得,wo'jiu'shi'bu'xiao'de
我就是说嘛,wo'jiu'shi'shuo'ma
我觉得哈,wo'jue'de'ha
我卡头,wo'ka'tou
我开起,wo'kai'qi
我开先,wo'kai'xian
我看到了的,wo'kan'dao'le'de
我看到起,wo'kan'dao'qi
我看哈,wo'kan'ha
我看哈也,wo'kan'ha'ye
我看看也,wo'kan'kan'ye
我看老,wo'kan'lao
我看了的,wo'kan'le'de
我看了哈,wo'kan'le'ha
我看嘛,wo'kan'ma
我看起,wo'kan'qi
我考不起,wo'kao'bu'qi
我考起,wo'kao'qi
我可不可能,wo'ke'bu'ke'neng
我瞌睡都来了,wo'ke'shui'dou'lai'le
我瞌睡来了,wo'ke'shui'lai'le
我来不到,wo'lai'bu'dao
我来不到了,wo'lai'bu'dao'le
我来不起,wo'lai'bu'qi
我来不起了,wo'lai'bu'qi'le
我来重庆,wo'lai'chong'qing
我来哒,wo'lai'da
我来老,wo'lai'lao
我来了的,wo'lai'le'de
我来了哟,wo'lai'le'yo
我来耍,wo'lai'shua
我来找你耍,wo'lai'zhao'ni'shua
我啷个,wo'lang'ge
我啷个办,wo'lang'ge'ban
我啷个不晓得,wo'lang'ge'bu'xiao'de
我啷个说,wo'lang'ge'shuo
我啷个晓得,wo'lang'ge'xiao'de
我老汉,wo'lao'han
我老汉说,wo'lao'han'shuo
我勒边,wo'le'bian
我了不可能,wo'le'bu'ke'neng
我勒点,wo'le'dian
我勒哈,wo'le'ha
我了撒,wo'le'sa
我了哟,wo'le'yo
我勒种,wo'le'zhong
我楞个,wo'leng'ge
我妈不准,wo'ma'bu'zhun
我麻烦你,wo'ma'fan'ni
我妈老汉,wo'ma'lao'han
我买成,wo'mai'cheng
我买了的,wo'mai'le'de
我冒火,wo'mao'huo
我冒火了,wo'mao'huo'le
我没得,wo'mei'de
我没得法,wo'mei'de'fa
我没得空,wo'mei'de'kong
我没得了,wo'mei'de'le
我没得钱,wo'mei'de'qian
我没得撒子,wo'mei'de'sa'zi
我没得事,wo'mei'de'shi
我妹儿,wo'mei'er
我没啷个,wo'mei'lang'ge
我没撒子,wo'mei'sa'zi
我没耍,wo'mei'shua
我没说哈,wo'mei'shuo'ha
我没有哈,wo'mei'you'ha
我没有也,wo'mei'you'ye
我没遭,wo'mei'zao
我们重庆,wo'men'chong'qing
我们出去耍,wo'men'chu'qu'shua
我们还不是,wo'men'hai'bu'shi
我们好久去,wo'men'hao'jiu'qu
我们啷个,wo'men'lang'ge
我们老汉,wo'men'lao'han
我们没得,wo'men'mei'de
我们去耍,wo'men'qu'shua
我们耍,wo'men'shua
我们耍的,wo'men'shua'de
我们耍的好的,wo'men'shua'de'hao'de
我们屋头,wo'men'wu'tou
我们幺儿,wo'men'yao'er
我们一句,wo'men'yi'ju
我们一路,wo'men'yi'lu
我乜,wo'mie
我乜是,wo'mie'shi
我莫非,wo'mo'fei
我哪阵,wo'na'zhen
我囊个,wo'nang'ge
我囊个晓得,wo'nang'ge'xiao'de
我脑壳,wo'nao'ke
我脑壳痛,wo'nao'ke'tong
我嫩个,wo'nen'ge
我你穿的,wo'ni'chuan'de
喔尿,wo'niao
我弄饭,wo'nong'fan
我怕得很,wo'pa'de'hen
我怕笑,wo'pa'xiao
我爬哟,wo'pa'yo
我陪你耍,wo'pei'ni'shua
我婆子妈,wo'po'zi'ma
我起来不到,wo'qi'lai'bu'dao
我去不到,wo'qu'bu'dao
我去重庆,wo'qu'chong'qing
我去看哈,wo'qu'kan'ha
我去看了的,wo'qu'kan'le'de
我去了的,wo'qu'le'de
我去耍,wo'qu'shua
我去问哈,wo'qu'wen'ha
我认不到,wo'ren'bu'dao
我认不到你,wo'ren'bu'dao'ni
我认得到,wo'ren'de'dao
我认得到你,wo'ren'de'dao'ni
我人都不好了,wo'ren'dou'bu'hao'le
我人都认不到,wo'ren'dou'ren'bu'dao
我日妈,wo'ri'ma
我日起火,wo'ri'qi'huo
我日哟,wo'ri'yo
我卅,wo'sa
我撒子,wo'sa'zi
我啥子,wo'sha'zi
我上不到,wo'shang'bu'dao
我上重庆,wo'shang'chong'qing
窝屎,wo'shi
我是不晓得,wo'shi'bu'xiao'de
我是重庆,wo'shi'chong'qing
我是重庆的,wo'shi'chong'qing'de
我是喊你,wo'shi'han'ni
我试了的,wo'shi'le'de
我是遭,wo'shi'zao
我耍,wo'shua
我耍不到,wo'shua'bu'dao
我耍不来,wo'shua'bu'lai
我耍的,wo'shua'de
我耍的好,wo'shua'de'hao
我耍的好的,wo'shua'de'hao'de
我耍过,wo'shua'guo
我耍哈,wo'shua'ha
我耍了,wo'shua'le
我耍朋友,wo'shua'peng'you
我耍起,wo'shua'qi
我耍手机,wo'shua'shou'ji
我耍游戏,wo'shua'you'xi
我睡哈,wo'shui'ha
我睡哈哈,wo'shui'ha'ha
我睡哈觉,wo'shui'ha'jue
我睡觉老,wo'shui'jiao'lao
我睡觉了哟,wo'shui'jiao'le'yo
我睡瞌睡,wo'shui'ke'shui
我睡老,wo'shui'lao
我睡了哟,wo'shui'le'yo
我睡起,wo'shui'qi
我说不晓得,wo'shuo'bu'xiao'de
我说不赢,wo'shuo'bu'ying
我说老,wo'shuo'lao
我说了的,wo'shuo'le'de
我说没得,wo'shuo'mei'de
我说起,wo'shuo'qi
我说撒子,wo'shuo'sa'zi
我说啥子,wo'shuo'sha'zi
我算哈,wo'suan'ha
莴笋尖,wo'sun'jian
莴笋头,wo'sun'tou
我堂客,wo'tang'ke
我躺起,wo'tang'qi
我听起,wo'ting'qi
我娃儿,wo'wa'er
我为撒子,wo'wei'sa'zi
我为啥子,wo'wei'sha'zi
我问哈,wo'wen'ha
我问哈他,wo'wen'ha'ta
我问了的,wo'wen'le'de
我问了哈,wo'wen'le'ha
我问了来,wo'wen'le'lai
我问你也,wo'wen'ni'ye
我屋头,wo'wu'tou
我下老,wo'xia'lao
我下了的,wo'xia'le'de
我下了哟,wo'xia'le'yo
我想出去耍,wo'xiang'chu'qu'shua
我想的话,wo'xiang'de'hua
我想哈,wo'xiang'ha
我想看哈,wo'xiang'kan'ha
我想了哈,wo'xiang'le'ha
我想你老,wo'xiang'ni'lao
我想耍,wo'xiang'shua
我想问哈,wo'xiang'wen'ha
我想晓得,wo'xiang'xiao'de
我想一哈,wo'xiang'yi'ha
我晓不得,wo'xiao'bu'de
我笑惨了,wo'xiao'can'le
我笑到了,wo'xiao'dao'le
我晓得,wo'xiao'de
我晓得老,wo'xiao'de'lao
我晓得你,wo'xiao'de'ni
我晓得你是,wo'xiao'de'ni'shi
我晓得呀,wo'xiao'de'ya
我晓得也,wo'xiao'de'ye
我心头,wo'xin'tou
我兄弟伙,wo'xiong'di'huo
我鸭儿,wo'ya'er
我牙刷,wo'ya'shua
我鸭血,wo'ya'xue
我幺爸,wo'yao'ba
我要出去耍,wo'yao'chu'qu'shua
我幺儿,wo'yao'er
我腰杆,wo'yao'gan
我幺舅,wo'yao'jiu
我要啷个,wo'yao'lang'ge
我幺妈,wo'yao'ma
我要耍,wo'yao'shua
我要也,wo'yao'ye
我幺姨,wo'yao'yi
我要遭,wo'yao'zao
我也不得,wo'ye'bu'de
我也不晓得了,wo'ye'bu'xiao'de'le
我也记不到,wo'ye'ji'bu'dao
我也看了的,wo'ye'kan'le'de
我也没得,wo'ye'mei'de
我也没得法,wo'ye'mei'de'fa
我也嫩个,wo'ye'nen'ge
我也认不到,wo'ye'ren'bu'dao
我也是说,wo'ye'shi'shuo
我也想耍,wo'ye'xiang'shua
我也晓不得,wo'ye'xiao'bu'de
我也晓得,wo'ye'xiao'de
我也在重庆,wo'ye'zai'chong'qing
我也遭,wo'ye'zao
我一哈儿,wo'yi'ha'er
我哟,wo'yo
我又不得,wo'you'bu'de
我又不晓得,wo'you'bu'xiao'de
我又啷个,wo'you'lang'ge
我有没得,wo'you'mei'de
我又没喊你,wo'you'mei'han'ni
我又认不到,wo'you'ren'bu'dao
我有撒子,wo'you'sa'zi
我有啥子,wo'you'sha'zi
我又遭,wo'you'zao
我遇得到,wo'yu'de'dao
我遇得到你,wo'yu'de'dao'ni
我遇得到哦,wo'yu'de'dao'o
我遇得到哟,wo'yu'de'dao'yo
我鱼头,wo'yu'tou
我月经来了,wo'yue'jing'lai'le
我晕你,wo'yun'ni
我晕哟,wo'yun'yo
我在北碚,wo'zai'bei'bei
我在璧山,wo'zai'bi'shan
我在长寿,wo'zai'chang'shou
我在车上的,wo'zai'che'shang'de
我在重庆,wo'zai'chong'qing
我在重庆的,wo'zai'chong'qing'de
我在床上的,wo'zai'chuang'shang'de
我在大渡口,wo'zai'da'du'kou
我在大学城,wo'zai'da'xue'cheng
我在涪陵,wo'zai'fu'ling
我在观音桥,wo'zai'guan'yin'qiao
我在合川,wo'zai'he'chuan
我在家里的,wo'zai'jia'li'de
我在江北,wo'zai'jiang'bei
我在江津,wo'zai'jiang'jin
我在解放碑,wo'zai'jie'fang'bei
我在看哈,wo'zai'kan'ha
我在哪点,wo'zai'na'dian
我在南平,wo'zai'nan'ping
我在轻轨,wo'zai'qing'gui
我在沙坪坝,wo'zai'sha'ping'ba
我在石桥铺,wo'zai'shi'qiao'pu
我在耍,wo'zai'shua
我在耍游戏,wo'zai'shua'you'xi
我在外面的,wo'zai'wai'mian'de
我在外面耍,wo'zai'wai'mian'shua
我在万州,wo'zai'wan'zhou
我在屋头,wo'zai'wu'tou
我在屋头的,wo'zai'wu'tou'de
我在杨家坪,wo'zai'yang'jia'ping
我在医院的,wo'zai'yi'yuan'de
我在永川,wo'zai'yong'chuan
我在渝北,wo'zai'yu'bei
我遭不住,wo'zao'bu'zhu
我遭不住了,wo'zao'bu'zhu'le
我遭得住,wo'zao'de'zhu
我遭了,wo'zao'le
我遭你,wo'zao'ni
我找别个,wo'zhao'bie'ge
我找不到路,wo'zhao'bu'dao'lu
我找得到,wo'zhao'de'dao
我找哈,wo'zhao'ha
我找你耍,wo'zhao'ni'shua
我着不住,wo'zhe'bu'zhu
我真的不晓得,wo'zhen'de'bu'xiao'de
我只耍,wo'zhi'shua
我只晓得,wo'zhi'xiao'de
我只有去,wo'zhi'you'qu
我煮饭去了,wo'zhu'fan'qu'le
我自己晓得,wo'zi'ji'xiao'de
我走不到,wo'zou'bu'dao
我走老,wo'zou'lao
我走了哟,wo'zou'le'yo
我做了的,wo'zuo'le'de
我做啥子,wo'zuo'sha'zi
五板桥,wu'ban'qiao
五宝镇,wu'bao'zhen
五洞,wu'dong
雾都夜话,wu'du'ye'hua
五工厂,wu'gong'chang
物管,wu'guan
物管费,wu'guan'fei
物管公司,wu'guan'gong'si
物管员,wu'guan'yuan
五桂,wu'gui
五红路,wu'hong'lu
屋基,wu'ji
五几点,wu'ji'dian
吴家,wu'jia
无间密室,wu'jian'mi'shi
乌江,wu'jiang
乌江画廊,wu'jiang'hua'lang
五里的,wu'li'de
五里店,wu'li'dian
五里坪,wu'li'ping
无聊不嘛,wu'liao'bu'ma
无聊惨了,wu'liao'can'le
无聊起,wu'liao'qi
无聊起的,wu'liao'qi'de
无聊哟,wu'liao'yo
武陵,wu'ling
武陵路,wu'ling'lu
武陵山,wu'ling'shan
武隆,wu'long
武隆的,wu'long'de
武隆县,wu'long'xian
五桥,wu'qiao
巫山,wu'shan
巫山的,wu'shan'de
巫山县,wu'shan'xian
吴滩,wu'tan
梧桐郡,wu'tong'jun
屋头,wu'tou
屋头吃,wu'tou'chi
屋头的,wu'tou'de
屋头的人,wu'tou'de'ren
屋头来,wu'tou'lai
屋头了,wu'tou'le
屋头没得,wu'tou'mei'de
屋头去,wu'tou'qu
屋头人,wu'tou'ren
屋头撒,wu'tou'sa
屋头耍,wu'tou'shua
屋头有,wu'tou'you
巫溪,wu'xi
巫溪县,wu'xi'xian
巫峡,wu'xia
五小区,wu'xiao'qu
五一所,wu'yi'suo
无语惨了,wu'yu'can'le
无语老,wu'yu'lao
五洲新村,wu'zhou'xin'cun
喜百年,xi'bai'nian
喜豹,xi'bao
西部航空,xi'bu'hang'kong
西城大院,xi'cheng'da'yuan
西城丽景,xi'cheng'li'jing
西城天街,xi'cheng'tian'jie
西大的,xi'da'de
喜地山,xi'di'shan
希尔安,xi'er'an
稀饭凉面,xi'fan'liang'mian
稀饭钱,xi'fan'qian
洗粉,xi'fen
溪沟,xi'gou
习惯老,xi'guan'lao
喜欢别个,xi'huan'bie'ge
喜欢不嘛,xi'huan'bu'ma
喜欢撒,xi'huan'sa
喜欢撒子,xi'huan'sa'zi
喜欢耍,xi'huan'shua
洗脚城,xi'jiao'cheng
西郊路,xi'jiao'lu
西郊医院,xi'jiao'yi'yuan
熙街,xi'jie
洗老,xi'lao
洗了的,xi'le'de
洗了来,xi'le'lai
洗脸脚,xi'lian'jiao
洗脸帕,xi'lian'pa
洗没得,xi'mei'de
西门桥,xi'men'qiao
西南大学,xi'nan'da'xue
西南地区,xi'nan'di'qu
西南铝,xi'nan'lv
西南师范大学,xi'nan'shi'fan'da'xue
西南药业,xi'nan'yao'ye
西南医院,xi'nan'yi'yuan
西南政法,xi'nan'zheng'fa
西南政法大学,xi'nan'zheng'fa'da'xue
西南证券,xi'nan'zheng'quan
稀泥巴,xi'ni'ba
西彭,xi'peng
西彭镇,xi'peng'zhen
洗起,xi'qi
洗撒,xi'sa
西山车站,xi'shan'che'zhan
西山坪,xi'shan'ping
西师,xi'shi
西师版,xi'shi'ban
西师附中,xi'shi'fu'zhong
细娃,xi'wa
细娃儿,xi'wa'er
西西弗,xi'xi'fu
西西妹,xi'xi'mei
洗衣槽,xi'yi'cao
西永,xi'yong
洗澡没得,xi'zao'mei'de
西政,xi'zheng
西政的,xi'zheng'de
席桌,xi'zhuo
下坝,xia'ba
下半城,xia'ban'cheng
下班老,xia'ban'lao
下班了撒,xia'ban'le'sa
下班了哟,xia'ban'le'yo
下班没得,xia'ban'mei'de
下班哟,xia'ban'yo
下暴,xia'bao
下不起,xia'bu'qi
下叉,xia'cha
下车费,xia'che'fei
下重庆,xia'chong'qing
下穿道,xia'chuan'dao
下得到,xia'de'dao
下饭菜,xia'fan'cai
下涪陵,xia'fu'ling
下浩,xia'hao
下回儿,xia'hui'er
下回嘛,xia'hui'ma
下苦力,xia'ku'li
下来不到,xia'lai'bu'dao
下来没得,xia'lai'mei'de
下来撒,xia'lai'sa
下来耍,xia'lai'shua
下了哟,xia'le'yo
下没得,xia'mei'de
下起,xia'qi
下轻轨,xia'qing'gui
下撒子,xia'sa'zi
下啥子,xia'sha'zi
夏天家,xia'tian'jia
下娃儿,xia'wa'er
下午出来耍,xia'wu'chu'lai'shua
下午好久,xia'wu'hao'jiu
下午没得,xia'wu'mei'de
下午撒,xia'wu'sa
下细,xia'xi
下稀饭,xia'xi'fan
下悬臂,xia'xuan'bi
下哟,xia'yo
下雨老,xia'yu'lao
下雨没得,xia'yu'mei'de
下周嘛,xia'zhou'ma
虾子蝙,xia'zi'bian
先不慌,xian'bu'huang
先不忙,xian'bu'mang
先锋街,xian'feng'jie
先个,xian'ge
先看哈,xian'kan'ha
现目前,xian'mu'qian
仙女山,xian'nv'shan
仙女镇,xian'nv'zhen
现实不,xian'shi'bu
现实不嘛,xian'shi'bu'ma
先耍,xian'shua
先说哈,xian'shuo'ha
先问哈,xian'wen'ha
先用到,xian'yong'dao
现在不得行,xian'zai'bu'de'xing
现在不晓得,xian'zai'bu'xiao'de
现在还不晓得,xian'zai'hai'bu'xiao'de
现在没得,xian'zai'mei'de
现在晓得,xian'zai'xiao'de
现在在重庆,xian'zai'zai'chong'qing
想吃撒子,xiang'chi'sa'zi
想吃啥子,xiang'chi'sha'zi
想出去耍,xiang'chu'qu'shua
乡村鸡,xiang'cun'ji
想到起,xiang'dao'qi
想多老,xiang'duo'lao
想干撒子,xiang'gan'sa'zi
想干啥子,xiang'gan'sha'zi
香港城,xiang'gang'cheng
香菇鸡,xiang'gu'ji
香国,xiang'guo
想哈,xiang'ha
想好没得,xiang'hao'mei'de
想精想怪,xiang'jing'xiang'guai
乡卡卡,xiang'ka'ka
想看哈,xiang'kan'ha
巷口镇,xiang'kou'zhen
想啷个,xiang'lang'ge
想了的,xiang'le'de
想了哈,xiang'le'ha
想楞个,xiang'leng'ge
香弥山,xiang'mi'shan
想囊个,xiang'nang'ge
想你得很,xiang'ni'de'hen
想你老,xiang'ni'lao
想你了撒,xiang'ni'le'sa
想你撒,xiang'ni'sa
想起老,xiang'qi'lao
想撒子,xiang'sa'zi
想耍,xiang'shua
想耍朋友,xiang'shua'peng'you
响水路,xiang'shui'lu
乡水源,xiang'shui'yuan
想说啥子,xiang'shuo'sha'zi
像坨屎,xiang'tuo'shi
想问哈,xiang'wen'ha
想我不嘛,xiang'wo'bu'ma
想我了迈,xiang'wo'le'mai
想我了所,xiang'wo'le'suo
想我没的,xiang'wo'mei'de
想晓得,xiang'xiao'de
想一哈,xiang'yi'ha
香樟林,xiang'zhang'lin
小坝,xiao'ba
小八仙,xiao'ba'xian
小宝气,xiao'bao'qi
晓不得,xiao'bu'de
笑惨,xiao'can
笑惨了,xiao'can'le
笑锤子,xiao'chui'zi
笑到了,xiao'dao'le
晓得,xiao'de
晓得不嘛,xiao'de'bu'ma
晓得的哟,xiao'de'de'yo
晓得哈,xiao'de'ha
晓得看,xiao'de'kan
晓得老,xiao'de'lao
晓得了哈,xiao'de'le'ha
晓得了撒,xiao'de'le'sa
晓得你,xiao'de'ni
晓得你的,xiao'de'ni'de
晓得你是,xiao'de'ni'shi
晓得撒,xiao'de'sa
晓得是,xiao'de'shi
晓得他,xiao'de'ta
晓得我是,xiao'de'wo'shi
晓得呀,xiao'de'ya
晓得也,xiao'de'ye
晓得哟,xiao'de'yo
小弟娃,xiao'di'wa
小店店,xiao'dian'dian
晓都不晓得,xiao'dou'bu'xiao'de
小渡,xiao'du
小狗儿,xiao'gou'er
小乖小乖,xiao'guai'xiao'guai
小哈儿,xiao'ha'er
小河沟,xiao'he'gou
小鸡娃,xiao'ji'wa
肖家,xiao'jia
肖家湾,xiao'jia'wan
小均,xiao'jun
小况,xiao'kuang
笑烂,xiao'lan
小龙坎,xiao'long'kan
小妹儿,xiao'mei'er
小妹崽,xiao'mei'zai
小面,xiao'mian
小南海,xiao'nan'hai
小脑壳,xiao'nao'ke
小女娃儿,xiao'nv'wa'er
小女娃子,xiao'nv'wa'zi
小胖娃,xiao'pang'wa
小屁娃儿,xiao'pi'wa'er
笑起,xiao'qi
晓求不得,xiao'qiu'bu'de
笑撒子,xiao'sa'zi
笑撒子嘛,xiao'sa'zi'ma
小三峡,xiao'san'xia
笑啥子,xiao'sha'zi
笑啥子嘛,xiao'sha'zi'ma
笑神经,xiao'shen'jing
小什字,xiao'shen'zi
笑事,xiao'shi
小耍,xiao'shua
笑死我老,xiao'si'wo'lao
小堂客,xiao'tang'ke
笑痛了,xiao'tong'le
小娃儿,xiao'wa'er
小湾,xiao'wan
小小岛,xiao'xiao'dao
晓晓得,xiao'xiao'de
小新街,xiao'xin'jie
小幺儿,xiao'yao'er
小叶榕,xiao'ye'rong
小渝,xiao'yu
小苑,xiao'yuan
小杂皮,xiao'za'pi
小崽儿,xiao'zai'er
笑遭了,xiao'zao'le
写不起,xie'bu'qi
谢川,xie'chuan
谢家湾,xie'jia'wan
谢老,xie'lao
谢了哟,xie'le'yo
歇凉,xie'liang
歇马,xie'ma
歇马镇,xie'ma'zhen
写没得,xie'mei'de
些撒,xie'sa
些撒子,xie'sa'zi
些啥子,xie'sha'zi
歇台子,xie'tai'zi
谢谢老,xie'xie'lao
谢谢了哟,xie'xie'le'yo
协信,xie'xin
协信阿卡迪亚,xie'xin'a'ka'di'ya
协信城,xie'xin'cheng
新巴中,xin'ba'zhong
信不嘛,xin'bu'ma
心巢,xin'chao
新城丽都,xin'cheng'li'du
新城路,xin'cheng'lu
新重庆,xin'chong'qing
新大兴,xin'da'xing
信都不信,xin'dou'bu'xin
新华桥,xin'hua'qiao
辛苦哟,xin'ku'yo
新南路,xin'nan'lu
新女报,xin'nv'bao
