阿而胜之,a'er'sheng'zhi
亡国之庑也,wang'guo'zhi'wu'ye
王国之形也,wang'guo'zhi'xing'ye
亡国之徵也,wang'guo'zhi'zheng'ye
王后夫人薨,wang'hou'fu'ren'hong
王季贤,wang'ji'xian
妄举者,wang'ju'zhe
亡君则不然,wang'jun'ze'bu'ran
亡流而下不平,wang'liu'er'xia'bu'ping
往怒民,wang'nu'min
忘其成功也,wang'qi'cheng'gong'ye
亡其身失其国者殆,wang'qi'shen'shi'qi'guo'zhe'dai
忘其有名也,wang'qi'you'ming'ye
亡伤襁褓,wang'shang'qiang'bao
往事毕登,wang'shi'bi'deng
王事必理,wang'shi'bi'li
王施而无私,wang'shi'er'wu'si
王天下者,wang'tian'xia'zhe
往往而为界,wang'wang'er'wei'jie
望文山,wang'wen'shan
望汶山,wang'wen'shan
往喜民,wang'xi'min
往行不来,wang'xing'bu'lai
妄行则群卒困,wang'xing'ze'qun'zu'kun
王言第二十一,wang'yan'di'er'shi'yi
亡也,wang'ye
亡矣,wang'yi
往者不至,wang'zhe'bu'zhi
王者典器也,wang'zhe'dian'qi'ye
王者上事,wang'zhe'shang'shi
王者之器也,wang'zhe'zhi'qi'ye
王者之术也,wang'zhe'zhi'shu'ye
王者之正也,wang'zhe'zhi'zheng'ye
王之本事也,wang'zhi'ben'shi'ye
王之常也,wang'zhi'chang'ye
王之所急也,wang'zhi'suo'ji'ye
王之佐也,wang'zhi'zuo'ye
亡主积于妇女珠玉,wang'zhu'ji'yu'fu'nv'zhu'yu
王主积于民,wang'zhu'ji'yu'min
王主之道,wang'zhu'zhi'dao
亡主之道也,wang'zhu'zhi'dao'ye
王主之行其道也,wang'zhu'zhi'xing'qi'dao'ye
王子城父为将,wang'zi'cheng'fu'wei'jiang
为爱民之故,wei'ai'min'zhi'gu
为百有八,wei'bai'you'ba
为必知其所成,wei'bi'zhi'qi'suo'cheng
威必足以胜,wei'bi'zu'yi'sheng
位必尊,wei'bi'zun
畏变也,wei'bian'ye
为兵有数,wei'bing'you'shu
为兵之数,wei'bing'zhi'shu
威不两错,wei'bu'liang'cuo
位不能使之而流徙,wei'bu'neng'shi'zhi'er'liu'xi
为不善乎,wei'bu'shan'hu
为不善者有祸,wei'bu'shan'zhe'you'huo
为不适于身便于体也,wei'bu'shi'yu'shen'bian'yu'ti'ye
威不信于强大,wei'bu'xin'yu'qiang'da
威不足以命之,wei'bu'zu'yi'ming'zhi
未尝得人之布织也,wei'chang'de'ren'zhi'bu'zhi'ye
未尝解惰也,wei'chang'jie'duo'ye
未尝失法律也,wei'chang'shi'fa'lv'ye
未尝为赖也,wei'chang'wei'lai'ye
未尝有先能作难,wei'chang'you'xian'neng'zuo'nan
未尝有也,wei'chang'you'ye
未尝之有也,wei'chang'zhi'you'ye
为臣不臣,wei'chen'bu'chen
未龀不得人军门,wei'chen'bu'de'ren'jun'men
为臣死乎,wei'chen'si'hu
为臣下而不忠,wei'chen'xia'er'bu'zhong
为臣下而忠,wei'chen'xia'er'zhong
为臣者不忠而邪,wei'chen'zhe'bu'zhong'er'xie
为次,wei'ci
唯此上有法制,wei'ci'shang'you'fa'zhi
为此四者若何,wei'ci'si'zhe'ruo'he
谓大夫曰,wei'dai'fu'yue
威德皆失,wei'de'jie'shi
未得天极,wei'de'tian'ji
为敌谋我,wei'di'mou'wo
危颠莫之救,wei'dian'mo'zhi'jiu
危颠莫之救也,wei'dian'mo'zhi'jiu'ye
为雕文刻镂,wei'diao'wen'ke'lou
微度人,wei'du'ren
唯恶之,wei'e'zhi
为而不贵者霸,wei'er'bu'gui'zhe'ba
为而不倦,wei'er'bu'juan
为而不知所成,wei'er'bu'zhi'suo'cheng
位而观之,wei'er'guan'zhi
谓耳目也,wei'er'mu'ye
为而无害,wei'er'wu'hai
为而无以为者王,wei'er'wu'yi'wei'zhe'wang
微而异之,wei'er'yi'zhi
未发也,wei'fa'ye
威罚之制,wei'fa'zhi'zhi
畏法诛也,wei'fa'zhu'ye
违非得失之质也,wei'fei'dei'shi'zhi'zhi'ye
违非索辩以根之,wei'fei'suo'bian'yi'gen'zhi
为非者,wei'fei'zhe
为风,wei'feng
为赋禄之制,wei'fu'lu'zhi'zhi
为父母而暴,wei'fu'mu'er'bao
为父母而慈,wei'fu'mu'er'ci
危傅以利,wei'fu'yi'li
为干国多,wei'gan'guo'duo
味甘味,wei'gan'wei
未敢自恃,wei'gan'zi'shi
为高则不御,wei'gao'ze'bu'yu
为高子之里,wei'gao'zi'zhi'li
谓各处其宜也,wei'ge'chu'qi'yi'ye
为公里,wei'gong'li
为宫室台榭,wei'gong'shi'tai'xie
围公一室不得出,wei'gong'yi'shi'bu'de'chu
谓管仲曰,wei'guan'zhong'yue
威贵于宝,wei'gui'yu'bao
危国忧主,wei'guo'you'zhu
为国者,wei'guo'zhe
为国之急也,wei'guo'zhi'ji'ye
卫国之教,wei'guo'zhi'jiao
为国子之里,wei'guo'zi'zhi'li
谓何,wei'he
威惠迁于下,wei'hui'qian'yu'xia
为祸福正,wei'huo'fu'zheng
为教服,wei'jiao'fu
唯交于上,wei'jiao'yu'shang
为九十物,wei'jiu'shi'wu
唯莒,wei'ju
为君不君,wei'jun'bu'jun
卫君出致于虚,wei'jun'chu'zhi'yu'xu
唯君之节,wei'jun'zhi'jie
微君之命臣也,wei'jun'zhi'ming'chen'ye
唯君子乃能矣,wei'jun'zi'nai'neng'yi
未可,wei'ke
危可安也,wei'ke'an'ye
味苦味,wei'ku'wei
唯利所处,wei'li'suo'chu
唯令是视,wei'ling'shi'shi
为令之有所不行也,wei'ling'zhi'you'suo'bu'xing'ye
微密之营垒也,wei'mi'zhi'ying'lei'ye
唯民歌之,wei'min'ge'zhi
维民歌之,wei'min'ge'zhi
危民死,wei'min'si
为民兴利除害,wei'min'xing'li'chu'hai
微谋外泄之谓也,wei'mou'wai'xie'zhi'wei'ye
微谋之泄也,wei'mou'zhi'xie'ye
帷幕,wei'mu
唯能以己知人者也,wei'neng'yi'ji'zhi'ren'zhe'ye
谓农夫曰,wei'nong'fu'yue
唯女是崇,wei'nv'shi'chong
维其民,wei'qi'min
为其莫不待风而动待雨而濡也,wei'qi'mo'bu'dai'feng'er'dong'dai'yu'er'ru'ye
为其莫不受命焉也,wei'qi'mo'bu'shou'ming'yan'ye
为其杀生,wei'qi'sha'sheng
为其伤于本事,wei'qi'shang'yu'ben'shi
为其事,wei'qi'shi
谓其所立也,wei'qi'suo'li'ye
唯其所事,wei'qi'suo'shi
谓其所以舍也,wei'qi'suo'yi'she'ye
唯其所欲适,wei'qi'suo'yu'shi
为其威立而令行也,wei'qi'wei'li'er'ling'xing'ye
为其威利之操莫不在君也,wei'qi'wei'li'zhi'cao'mo'bu'zai'jun'ye
为其无位,wei'qi'wu'wei
唯嗛之视,wei'qian'zhi'shi
唯趣人诏,wei'qu'ren'zhao
威权贵于爵禄,wei'quan'gui'yu'jue'lu
为群臣僇,wei'qun'chen'lu
为人臣者,wei'ren'chen'zhe
为人臣者之大罪也,wei'ren'chen'zhe'zhi'da'zui'ye
为人臣者之广道也,wei'ren'chen'zhe'zhi'guang'dao'ye
卫人出旅干曹,wei'ren'chu'lv'gan'cao
为人弟者,wei'ren'di'zhe
危人而不能,wei'ren'er'bu'neng
为人夫者,wei'ren'fu'zhe
为人父者,wei'ren'fu'zhe
为人君而不明君臣之义以正其臣,wei'ren'jun'er'bu'ming'jun'chen'zhi'yi'yi'zheng'qi'chen
为人君者,wei'ren'jun'zhe
为人妻者,wei'ren'qi'zhe
为人上而众谋之,wei'ren'shang'er'zhong'mou'zhi
为人上者,wei'ren'shang'zhe
为人上者骄,wei'ren'shang'zhe'jiao
为人上者释法而行私,wei'ren'shang'zhe'shi'fa'er'xing'si
为人兄者,wei'ren'xiong'zhe
为人子者,wei'ren'zi'zhe
为善乎,wei'shan'hu
为善者,wei'shan'zhe
为善者非善也故善无以为也,wei'shan'zhe'fei'shan'ye'gu'shan'wu'yi'wei'ye
为善者有福,wei'shan'zhe'you'fu
为善之事,wei'shan'zhi'shi
威伤,wei'shang
为上而矫,wei'shang'er'jiao
为上举,wei'shang'ju
为上赏,wei'shang'shang
为上者不明,wei'shang'zhe'bu'ming
危社稷,wei'she'ji
未胜其本,wei'sheng'qi'ben
唯圣人不为岁,wei'sheng'ren'bu'wei'sui
唯圣人得虚道,wei'sheng'ren'de'xu'dao
唯圣人为善讬业于民,wei'sheng'ren'wei'shan'tuo'ye'yu'min
唯圣人知四时,wei'sheng'ren'zhi'si'shi
为生则乱矣,wei'sheng'ze'luan'yi
威势独在于主而不与臣共,wei'shi'du'zai'yu'zhu'er'bu'yu'chen'gong
违是非之分,wei'shi'fei'zhi'fen
威势也,wei'shi'ye
违时易形,wei'shi'yi'xing
威势在上,wei'shi'zai'shang
为事之不成,wei'shi'zhi'bu'cheng
威势尊显,wei'shi'zun'xian
味酸味,wei'suan'wei
位虽高为用者少,wei'sui'gao'wei'yong'zhe'shao
唯陶之所以为,wei'tao'zhi'suo'yi'wei
为天下计者,wei'tian'xia'ji'zhe
为天下僇者,wei'tian'xia'lu'zhe
位土之次,wei'tu'zhi'ci
为外者未备也,wei'wai'zhe'wei'bei'ye
唯王之门,wei'wang'zhi'men
未为福也,wei'wei'fu'ye
唯无不流,wei'wu'bu'liu
唯无得之,wei'wu'de'zhi
唯毋后时,wei'wu'hou'shi
为下,wei'xia
为下而胜,wei'xia'er'sheng
威下系于民,wei'xia'xi'yu'min
苇下于雚,wei'xia'yu'huan
为先君也,wei'xian'jun'ye
为先君与社稷之故,wei'xian'jun'yu'she'ji'zhi'gu
味咸味,wei'xian'wei
唯贤者不然,wei'xian'zhe'bu'ran
为贤者之不至,wei'xian'zhe'zhi'bu'zhi
危乡轻家则敢凌上犯禁,wei'xiang'qing'jia'ze'gan'ling'shang'fan'jin
微邪不禁,wei'xie'bu'jin
微邪者,wei'xie'zhe
味辛味,wei'xin'wei
谓心也,wei'xin'ye
委焉,wei'yan
违言不存口,wei'yan'bu'cun'kou
威严已废,wei'yan'yi'fei
未也,wei'ye
唯夜行者独有也,wei'ye'xing'zhe'du'you'ye
唯夜行者独有之乎,wei'ye'xing'zhe'du'you'zhi'hu
卫矣,wei'yi
为一乘之地也,wei'yi'cheng'zhi'di'ye
围邑而不能攻,wei'yi'er'bu'neng'gong
唯宜黍秫也,wei'yi'shu'shu'ye
为一乡主干者,wei'yi'xiang'zhu'gan'zhe
为义之士,wei'yi'zhi'shi
为用之爱之也,wei'yong'zhi'ai'zhi'ye
未有不服人者也,wei'you'bu'fu'ren'zhe'ye
惟有道者,wei'you'dao'zhe
未有夫妇妃匹之合,wei'you'fu'fu'fei'pi'zhi'he
未有改之,wei'you'gai'zhi
未有敢犯我者,wei'you'gan'fan'wo'zhe
未有能多禁而多止者也,wei'you'neng'duo'jin'er'duo'zhi'zhe'ye
未有能多令而多行者也,wei'you'neng'duo'ling'er'duo'hang'zhe'ye
未有能服人者也,wei'you'neng'fu'ren'zhe'ye
未有室家,wei'you'shi'jia
威有与两立,wei'you'yu'liang'li
为欲定齐国之社稷也,wei'yu'ding'qi'guo'zhi'she'ji'ye
为欲定社稷也,wei'yu'ding'she'ji'ye
违于法者诛之,wei'yu'fa'zhe'zhu'zhi
未于能,wei'yu'neng
谓远近之县,wei'yuan'jin'zhi'xian
微约而流施,wei'yue'er'liu'shi
危哉,wei'zai
未在其中也,wei'zai'qi'zhong'ye
伪诈之人,wei'zha'zhi'ren
伪诈自止,wei'zha'zi'zhi
威振天下,wei'zhen'tian'xia
为徵,wei'zheng
惟烝婴儿之未尝,wei'zheng'ying'er'zhi'wei'chang
为政之有所不行也,wei'zheng'zhi'you'suo'bu'xing'ye
为质,wei'zhi
未至卑耳之溪十里,wei'zhi'bei'er'zhi'xi'shi'li
谓之蔽才,wei'zhi'bi'cai
谓之蔽贤,wei'zhi'bi'xian
谓之不从令,wei'zhi'bu'cong'ling
未之尝闻,wei'zhi'chang'wen
未之尝闻也,wei'zhi'chang'wen'ye
为之畜化,wei'zhi'chu'hua
谓之倒,wei'zhi'dao
谓之道,wei'zhi'dao
为之而成,wei'zhi'er'cheng
谓之法,wei'zhi'fa
谓之蜚蓬之间,wei'zhi'fei'peng'zhi'jian
谓之鬼神,wei'zhi'gui'shen
谓之好利,wei'zhi'hao'li
谓之好人,wei'zhi'hao'ren
谓之化,wei'zhi'hua
为之患者三,wei'zhi'huan'zhe'san
谓之荒,wei'zhi'huang
谓之计数,wei'zhi'ji'shu
未之见而亲焉,wei'zhi'jian'er'qin'yan
谓之举长,wei'zhi'ju'chang
谓之决塞,wei'zhi'jue'sai
谓之劳而无功,wei'zhi'lao'er'wu'gong
谓之良,wei'zhi'liang
未之令而为,wei'zhi'ling'er'wei
谓之留令,wei'zhi'liu'ling
谓之陋,wei'zhi'lou
谓之乱,wei'zhi'luan
为之奈何,wei'zhi'nai'he
谓之内战,wei'zhi'nei'zhan
谓之逆,wei'zhi'ni
谓之贫国也,wei'zhi'pin'guo'ye
未知其故也,wei'zhi'qi'gu'ye
唯知其托者能为之正,wei'zhi'qi'tuo'zhe'neng'wei'zhi'zheng
谓之侵,wei'zhi'qin
谓之仁,wei'zhi'ren
为之若何,wei'zhi'ruo'he
谓之神,wei'zhi'shen
谓之圣人,wei'zhi'sheng'ren
未之使而往,wei'zhi'shi'er'wang
谓之腾,wei'zhi'teng
谓之亡,wei'zhi'wang
谓之妄举,wei'zhi'wang'ju
委质为臣,wei'zhi'wei'chen
为之为之,wei'zhi'wei'zhi
谓之譕臣,wei'zhi'wu'chen
谓之乌集之交,wei'zhi'wu'ji'zhi'jiao
谓之夕,wei'zhi'xi
谓之下比,wei'zhi'xia'bi
谓之象,wei'zhi'xiang
谓之心术,wei'zhi'xin'shu
威之以诚,wei'zhi'yi'cheng
威之以畏也,wei'zhi'yi'wei'ye
唯执一之君子能为此乎,wei'zhi'yi'zhi'jun'zi'neng'wei'ci'hu
为之用者寡也,wei'zhi'yong'zhe'gua'ye
为之用者寡则卑,wei'zhi'yong'zhe'gua'ze'bei
为之用者众也,wei'zhi'yong'zhe'zhong'ye
谓之游,wei'zhi'you
为之有道,wei'zhi'you'dao
为之有道乎,wei'zhi'you'dao'hu
谓之有礼,wei'zhi'you'li
未之有也,wei'zhi'you'ye
为之在心,wei'zhi'zai'xin
谓之则,wei'zhi'ze
畏之则用,wei'zhi'ze'yong
谓之正士,wei'zhi'zheng'shi
谓之知道,wei'zhi'zhi'dao
谓之知人,wei'zhi'zhi'ren
谓之知用,wei'zhi'zhi'yong
威重于爵禄,wei'zhong'yu'jue'lu
为主而惠,wei'zhu'er'hui
为主而贼,wei'zhu'er'zei
危主也,wei'zhu'ye
为子妇而不孝,wei'zi'fu'er'bu'xiao
为子妇而孝,wei'zi'fu'er'xiao
危坐乡师,wei'zuo'xiang'shi
谓左右曰,wei'zuo'you'yue
问霸第六十二,wen'ba'di'liu'shi'er
问病,wen'bing
问兵车之计几何乘也,wen'bing'che'zhi'ji'ji'he'cheng'ye
问兵官之吏,wen'bing'guan'zhi'li
文采纂组者,wen'cai'zuan'zu'zhe
闻道而以治一乡,wen'dao'er'yi'zhi'yi'xiang
问第二十四,wen'di'er'shi'si
问独夫寡妇孤寡疾病者几何人也,wen'du'fu'gua'fu'gu'gua'ji'bing'zhe'ji'he'ren'ye
温恭自虚,wen'gong'zi'xu
问管仲曰,wen'guan'zhong'yue
问国之弃人何族之子弟也,wen'guo'zhi'qi'ren'he'zu'zhi'zi'di'ye
文劾,wen'he
问疾病,wen'ji'bing
文姜告齐侯,wen'jiang'gao'qi'hou
文姜通于齐侯,wen'jiang'tong'yu'qi'hou
文锦使诸侯,wen'jin'shi'zhu'hou
文锦以使诸侯,wen'jin'yi'shi'zhu'hou
问厩吏曰,wen'jiu'li'yue
问老师足向何处,wen'lao'shi'zu'xiang'he'chu
文理明著,wen'li'ming'zhu
问理园容而食者几何家,wen'li'yuan'rong'er'shi'zhe'ji'he'jia
温良宽厚则民爱之,wen'liang'kuan'hou'ze'min'ai'zhi
闻命矣,wen'ming'yi
问男女有巧伎,wen'nan'nv'you'qiao'ji
温怒,wen'nu
文巧不禁,wen'qiao'bu'jin
问人之贷粟米,wen'ren'zhi'dai'su'mi
温柔孝悌,wen'rou'xiao'ti
闻善而不索,wen'shan'er'bu'suo
问少壮而未胜甲兵者几何人,wen'shao'zhuang'er'wei'sheng'jia'bing'zhe'ji'he'ren
闻审谓之聪,wen'shen'wei'zhi'cong
文事胜也,wen'shi'sheng'ye
问士之有田宅身在陈列者几何人,wen'shi'zhi'you'tian'zhai'shen'zai'chen'lie'zhe'ji'he'ren
问死事之孤其未有田宅者有乎,wen'si'shi'zhi'gu'qi'wei'you'tian'zhai'zhe'you'hu
问死事之寡,wen'si'shi'zhi'gua
问所何趾,wen'suo'he'zhi
问所以教选人者何事,wen'suo'yi'jiao'xuan'ren'zhe'he'shi
问所欲,wen'suo'yu
文王贤,wen'wang'xian
问五官有制度,wen'wu'guan'you'zhi'du
文武具满,wen'wu'ju'man
闻贤而不举,wen'xian'er'bu'ju
问乡之良家其所牧养者几何人矣,wen'xiang'zhi'liang'jia'qi'suo'mu'yang'zhe'ji'he'ren'yi
问乡之贫人何族之别也,wen'xiang'zhi'pin'ren'he'zu'zhi'bie'ye
问刑论有常以行,wen'xing'lun'you'chang'yi'xing
文绣染,wen'xiu'ran
问焉,wen'yan
文也,wen'ye
问一民有几年之食也,wen'yi'min'you'ji'nian'zhi'shi'ye
闻一言以贯万物,wen'yi'yan'yi'guan'wan'wu
闻义则服,wen'yi'ze'fu
问邑之贫人债而食者几何家,wen'yi'zhi'pin'ren'zhai'er'shi'zhe'ji'he'jia
问有本纪,wen'you'ben'ji
文有三侑,wen'you'san'you
问于边吏曰,wen'yu'bian'li'yue
问于管仲曰,wen'yu'guan'zhong'yue
闻于雷鼓,wen'yu'lei'gu
问曰,wen'yue
文政听乡,wen'zheng'ting'xiang
问执官都者,wen'zhi'guan'dou'zhe
闻之中寝诸子,wen'zhi'zhong'qin'zhu'zi
问州之大夫也何里之士也,wen'zhou'zhi'dai'fu'ye'he'li'zhi'shi'ye
问宗子之收昆弟者,wen'zong'zi'zhi'shou'kun'di'zhe
我存安之,wo'cun'an'zhi
握递,wo'di
我富贵之,wo'fu'gui'zhi
沃盥彻盥,wo'guan'che'guan
我贵之,wo'gui'zhi
我茍种之,wo'ji'zhong'zhi
我利之,wo'li'zhi
握路家五十室,wo'lu'jia'wu'shi'shi
卧名利者写生危,wo'ming'li'zhe'xie'sheng'wei
我能毋攻人可也,wo'neng'wu'gong'ren'ke'ye
我且恶面而盛怨气焉,wo'qie'e'mian'er'sheng'yuan'qi'yan
我生育之,wo'sheng'yu'zhi
握粟而筮者屡中,wo'su'er'shi'zhe'lv'zhong
沃土之次,wo'tu'zhi'ci
我托可恶,wo'tuo'ke'wu
我无安心,wo'wu'an'xin
我无利心,wo'wu'li'xin
我心安,wo'xin'an
我信则克,wo'xin'ze'ke
我心治,wo'xin'zhi
我佚乐之,wo'yi'le'zhi
我以驱众,wo'yi'qu'zhong
我亦托焉,wo'yi'tuo'yan
我以无能,wo'yi'wu'neng
我勇之,wo'yong'zhi
我犹不得入也,wo'you'bu'de'ru'ye
我有过,wo'you'guo
我游犹轴转斛,wo'you'you'zhou'zhuan'hu
我欲胜民,wo'yu'sheng'min
我知之,wo'zhi'zhi
无爱如其力,wu'ai'ru'qi'li
吾安用而爱之,wu'an'yong'er'ai'zhi
五暴而长,wu'bao'er'chang
五暴命之曰部,wu'bao'ming'zhi'yue'bu
务本饬末,wu'ben'chi'mo
务本饰末,wu'ben'shi'mo
五鄙奈何,wu'bi'nai'he
毋蔽汝恶,wu'bi'ru'e
吾兵不实,wu'bing'bu'shi
吾兵既多,wu'bing'ji'duo
吾兵犹尚少,wu'bing'you'shang'shao
无不败者也,wu'bu'bai'zhe'ye
无不成也,wu'bu'cheng'ye
无不得矣,wu'bu'de'yi
吾不敢至于此其大也,wu'bu'gan'zhi'yu'ci'qi'da'ye
无不居也,wu'bu'ju'ye
无不可以成也,wu'bu'ke'yi'cheng'ye
无不可以化也,wu'bu'ke'yi'hua'ye
吾不可以试也,wu'bu'ke'yi'shi'ye
五部命之曰聚,wu'bu'ming'zhi'yue'ju
无不强也,wu'bu'qiang'ye
无不弱也,wu'bu'ruo'ye
吾不生也,wu'bu'sheng'ye
无不胜也,wu'bu'sheng'ye
吾不识,wu'bu'shi
吾不仕矣,wu'bu'shi'yi
无不受重宝币帛者,wu'bu'shou'zhong'bao'bi'bo'zhe
无不宜也,wu'bu'yi'ye
吾不欲与汝及若,wu'bu'yu'yu'ru'ji'ruo
吾不蚤死,wu'bu'zao'si
无补之费,wu'bu'zhi'fei
无不知也,wu'bu'zhi'ye
吾参围之,wu'can'wei'zhi
无藏也,wu'cang'ye
无藏则奚设矣,wu'cang'ze'xi'she'yi
吾察反相距,wu'cha'fan'xiang'ju
无常乱,wu'chang'luan
无常治,wu'chang'zhi
譕臣则海内被其泽,wu'chen'ze'hai'nei'bei'qi'ze
譕臣者可以远举,wu'chen'zhe'ke'yi'yuan'ju
譕臣者可与远举,wu'chen'zhe'ke'yu'yuan'ju
无成有贵其成也,wu'cheng'you'gui'qi'cheng'ye
五尺见水,wu'chi'jian'shui
五尺见水不大旱,wu'chi'jian'shui'bu'da'han
毋侈泰之养,wu'chi'tai'zhi'yang
五臭畴生,wu'chou'chou'sheng
无畴类尽死矣,wu'chou'lei'jin'si'yi
五臭生之,wu'chou'sheng'zhi
五臭所校,wu'chou'suo'xiao
无出,wu'chu
勿出封外,wu'chu'feng'wai
勿创勿作,wu'chuang'wu'zuo
无大士焉,wu'da'shi'yan
毋代马走,wu'dai'ma'zou
毋代鸟飞,wu'dai'niao'fei
无道则民去之,wu'dao'ze'min'qu'zhi
无德而欲王者危,wu'de'er'yu'wang'zhe'wei
无德厚以安之,wu'de'hou'yi'an'zhi
无德无怨,wu'de'wu'yuan
物得以生生,wu'de'yi'sheng'sheng
务地利,wu'di'li
物地生,wu'di'sheng
无度而用,wu'du'er'yong
无度数以治之,wu'du'shu'yi'zhi'zhi
无度则事无机,wu'du'ze'shi'wu'ji
无度之言,wu'du'zhi'yan
无敦于权人,wu'dun'yu'quan'ren
无夺民时,wu'duo'min'shi
务多其佼而不为主用,wu'duo'qi'jiao'er'bu'wei'zhu'yong
五而当一,wu'er'dang'yi
五而六之,wu'er'liu'zhi
毋迩其求,wu'er'qi'qiu
无法,wu'fa
无罚,wu'fa
毋乏耕织之器,wu'fa'geng'zhi'zhi'qi
毋伐木,wu'fa'mu
毋发山川之藏,wu'fa'shan'chuan'zhi'cang
无法则止,wu'fa'ze'zhi
毋犯其凶,wu'fan'qi'xiong
勿烦勿乱,wu'fan'wu'luan
无方而富者生也,wu'fang'er'fu'zhe'sheng'ye
无方应也,wu'fang'ying'ye
毋访于佞,wu'fang'yu'ning
无诽誉,wu'fei'yu
五辅第十,wu'fu'di'shi
毋拊竿,wu'fu'gan
无覆军败将之事,wu'fu'jun'bai'jiang'zhi'shi
毋拊卵,wu'fu'luan
无父母所养,wu'fu'mu'suo'yang
毋傅速,wu'fu'su
毋复相代,wu'fu'xiang'dai
五凫之状,wu'fu'zhi'zhuang
五浮之状,wu'fu'zhi'zhuang
毋改其形,wu'gai'qi'xing
毋敢造于乡,wu'gan'zao'yu'xiang
毋告不知,wu'gao'bu'zhi
无高士焉,wu'gao'shi'yan
无高下,wu'gao'xia
无割大陵,wu'ge'da'ling
五塥之状,wu'ge'zhi'zhuang
无根而固者情也,wu'gen'er'gu'zhe'qing'ye
无攻楚,wu'gong'chu
务功劳,wu'gong'lao
无功劳于国而贵富者,wu'gong'lao'yu'guo'er'gui'fu'zhe
毋功虚取,wu'gong'xu'qu
无沟垒而有耳目,wu'gou'lei'er'you'er'mu
五谷鞍熟,wu'gu'an'shu
五谷百果乃登,wu'gu'bai'guo'nai'deng
五谷不蕃,wu'gu'bu'fan
五谷不宜其地,wu'gu'bu'yi'qi'di
五谷蕃实秀大,wu'gu'fan'shi'xiu'da
五谷蕃息,wu'gu'fan'xi
五谷蕃殖,wu'gu'fan'zhi
五谷皆入,wu'gu'jie'ru
五谷邻熟,wu'gu'lin'shu
五谷乃熟,wu'gu'nai'shu
五谷实,wu'gu'shi
五谷兴丰,wu'gu'xing'feng
五谷宜其地,wu'gu'yi'qi'di
物固有形,wu'gu'you'xing
五谷之所蕃孰也,wu'gu'zhi'suo'fan'shu'ye
五谷之先熟者,wu'gu'zhi'xian'shu'zhe
五官不官,wu'guan'bu'guan
五官肃,wu'guan'su
吾观小白,wu'guan'xiao'bai
五官以正人位,wu'guan'yi'zheng'ren'wei
五官者,wu'guan'zhe
五官治,wu'guan'zhi
无广者疑神,wu'guang'zhe'yi'shen
无贵如其言,wu'gui'ru'qi'yan
物过而目不见,wu'guo'er'mu'bu'jian
无国劳毋专予禄,wu'guo'lao'wu'zhuan'yu'lu
无国土,wu'guo'tu
五害已除,wu'hai'yi'chu
无害于五谷,wu'hai'yu'wu'gu
五害之属,wu'hai'zhi'shu
无憾恨之意,wu'han'hen'zhi'yi
无好无恶,wu'hao'wu'e
吾何面目以见仲父于地下,wu'he'mian'mu'yi'jian'zhong'fu'yu'di'xia
五和时节,wu'he'shi'jie
吾何以知其美也,wu'he'yi'zhi'qi'mei'ye
吾何以知其善也,wu'he'yi'zhi'qi'shan'ye
呜呼美哉,wu'hu'mei'zai
五觳之状娄娄然,wu'hu'zhi'zhuang'lou'lou'ran
毋患人莫己知,wu'huan'ren'mo'ji'zhi
五会诸侯,wu'hui'zhu'hou
五纪不解,wu'ji'bu'jie
吾饥而欲食,wu'ji'er'yu'shi
无计量,wu'ji'liang
无及也,wu'ji'ye
无籍于民,wu'ji'yu'min
毋茍于民,wu'ji'yu'min
无积者不食,wu'ji'zhe'bu'shi
乌集之交,wu'ji'zhi'jiao
五家而伍,wu'jia'er'wu
五家为伍,wu'jia'wei'wu
毋蹇华绝芋,wu'jian'hua'jue'yu
毋贱贱,wu'jian'jian
无间识博学辩说之士,wu'jian'shi'bo'xue'bian'shuo'zhi'shi
毋见五兵之刃,wu'jian'wu'bing'zhi'ren
毋监于谗,wu'jian'yu'chan
毋彊不能,wu'jiang'bu'neng
五教,wu'jiao
五教不乱,wu'jiao'bu'luan
五教各习,wu'jiao'ge'xi
毋骄恃力,wu'jiao'shi'li
五桀之状,wu'jie'zhi'zhuang
毋禁材,wu'jin'cai
无尽言,wu'jin'yan
无禁圉也,wu'jin'yu'ye
无金则用其绢,wu'jin'ze'yong'qi'juan
五举而务轻金九,wu'ju'er'wu'qing'jin'jiu
五聚命之曰某乡,wu'ju'ming'zhi'yue'mou'xiang
勿惧以罪,wu'ju'yi'zui
无绢则用其布,wu'juan'ze'yong'qi'bu
无爵列于朝者,wu'jue'lie'yu'chao'zhe
吾君卜世,wu'jun'bu'shi
吾君长来猎君长虎豹之皮用,wu'jun'chang'lai'lie'jun'chang'hu'bao'zhi'pi'yong
吾君惕,wu'jun'ti
吾恐宗庙之不扫除,wu'kong'zong'miao'zhi'bu'sao'chu
毋圹地利,wu'kuang'di'li
五壏之状,wu'lan'zhi'zhuang
五离为一制,wu'li'wei'yi'zhi
物利之谓也,wu'li'zhi'wei'ye
五连而暴,wu'lian'er'bao
五量之宗也,wu'liang'zhi'zong'ye
毋令毒下及食器,wu'ling'du'xia'ji'shi'qi
无令人识之,wu'ling'ren'shi'zhi
乌鲁得之,wu'lu'de'zhi
无禄而富,wu'lu'er'fu
五纑之状,wu'lu'zhi'zhuang
无乱社稷宗庙则人有所宗,wu'luan'she'ji'zong'miao'ze'ren'you'suo'zong
无论能之主,wu'lun'neng'zhi'zhu
