阿苯边唑,a'ben'bian'zuo
县疾控中心,xian'ji'kong'zhong'xin
县级医院,xian'ji'yi'yuan
现况调查,xian'kuang'diao'cha
腺鼠疫,xian'shu'yi
先天性,xian'tian'xing
纤维蛋白原,xian'wei'dan'bai'yuan
纤维化,xian'wei'hua
献血,xian'xie
献血员,xian'xie'yuan
显性感染,xian'xing'gan'ran
献血法,xian'xue'fa
献血者,xian'xue'zhe
县医院,xian'yi'yuan
现症患者,xian'zheng'huan'zhe
县中医院,xian'zhong'yi'yuan
乡村医生,xiang'cun'yi'sheng
相对缓脉,xiang'dui'huan'mai
相对数,xiang'dui'shu
乡防疫大夫,xiang'fang'yi'dai'fu
乡防疫医生,xiang'fang'yi'yi'sheng
相关危险因素,xiang'guan'wei'xian'yin'su
象皮肿,xiang'pi'zhong
乡卫生院,xiang'wei'sheng'yuan
向心性,xiang'xin'xing
乡镇卫生院,xiang'zhen'wei'sheng'yuan
小肠结肠炎,xiao'chang'jie'chang'yan
小川型,xiao'chuan'xing
消毒,xiao'du
消毒剂,xiao'du'ji
消毒液,xiao'du'ye
小儿麻痹,xiao'er'ma'bi
小儿麻痹病毒,xiao'er'ma'bi'bing'du
小儿麻痹糖丸,xiao'er'ma'bi'tang'wan
消化道病毒,xiao'hua'dao'bing'du
消化道传播,xiao'hua'dao'chuan'bo
消化道传染,xiao'hua'dao'chuan'ran
消化道传染病,xiao'hua'dao'chuan'ran'bing
消化道感染,xiao'hua'dao'gan'ran
消化系统,xiao'hua'xi'tong
消化性溃疡,xiao'hua'xing'kui'yang
效价,xiao'jia
效价监测,xiao'jia'jian'ce
小家鼠,xiao'jia'shu
小家蝇,xiao'jia'ying
小林姬鼠,xiao'lin'ji'shu
小三阳,xiao'san'yang
消杀,xiao'sha
消杀队,xiao'sha'dui
消杀队员,xiao'sha'dui'yuan
消杀器械,xiao'sha'qi'xie
消杀药品,xiao'sha'yao'pin
小血管,xiao'xue'guan
小阴唇,xiao'yin'chun
新发病例,xin'fa'bing'li
心肺功能,xin'fei'gong'neng
心功能不全,xin'gong'neng'bu'quan
心肌,xin'ji
新吉尔灭,xin'ji'er'mie
心肌梗死,xin'ji'geng'si
心肌炎,xin'ji'yan
新洁尔灭,xin'jie'er'mie
心力衰竭,xin'li'shuai'jie
心脑血管病,xin'nao'xue'guan'bing
心脑血管疾病,xin'nao'xue'guan'ji'bing
心内膜炎,xin'nei'mo'yan
新农合,xin'nong'he
新生儿,xin'sheng'er
新生儿卡介苗,xin'sheng'er'ka'jie'miao
新生儿破伤风,xin'sheng'er'po'shang'feng
新生儿破伤风监测,xin'sheng'er'po'shang'feng'jian'ce
新生儿上卡,xin'sheng'er'shang'ka
新生儿上卡及时率,xin'sheng'er'shang'ka'ji'shi'lv
新生儿死亡率,xin'sheng'er'si'wang'lv
新生儿乙肝,xin'sheng'er'yi'gan
新型农村合作医疗,xin'xing'nong'cun'he'zuo'yi'liao
心血管疾病,xin'xue'guan'ji'bing
新疫苗,xin'yi'miao
心脏病,xin'zang'bing
心脏功能,xin'zang'gong'neng
性伴,xing'ban
性病,xing'bing
兴奋期,xing'fen'qi
性服务人员,xing'fu'wu'ren'yuan
腥红热,xing'hong're
猩红热,xing'hong're
性接触,xing'jie'chu
性接触传播,xing'jie'chu'chuan'bo
性接触传染,xing'jie'chu'chuan'ran
性接触感染,xing'jie'chu'gan'ran
性行为,xing'xing'wei
胸痛,xiong'tong
胸腺,xiong'xian
胸腺肽,xiong'xian'tai
休克状态,xiu'ke'zhuang'tai
休克综合症,xiu'ke'zong'he'zheng
续发率,xu'fa'lv
旋毛虫,xuan'mao'chong
旋毛虫病,xuan'mao'chong'bing
血标本,xue'biao'ben
血常规,xue'chang'gui
血沉,xue'chen
血管内皮系统,xue'guan'nei'pi'xi'tong
血管神经性水肿,xue'guan'shen'jing'xing'shui'zhong
血管造影,xue'guan'zao'ying
血红蛋白,xue'hong'dan'bai
血浆,xue'jiang
学龄前,xue'ling'qian
学龄前儿童,xue'ling'qian'er'tong
血流,xue'liu
血脑屏障,xue'nao'ping'zhang
血尿,xue'niao
血凝素,xue'ning'su
血清,xue'qing
血清标本,xue'qing'biao'ben
血清胆红素,xue'qing'dan'hong'su
血清抗体,xue'qing'kang'ti
血清群,xue'qing'qun
血清型,xue'qing'xing
血清学,xue'qing'xue
血清学监测,xue'qing'xue'jian'ce
血清学检查,xue'qing'xue'jian'cha
血清学鉴定,xue'qing'xue'jian'ding
血清学诊断,xue'qing'xue'zhen'duan
血容量,xue'rong'liang
血栓,xue'shuan
血栓溶解,xue'shuan'rong'jie
血水样便,xue'shui'yang'bian
血胎屏障,xue'tai'ping'zhang
血糖,xue'tang
血吸虫,xue'xi'chong
血吸虫病,xue'xi'chong'bing
血小板,xue'xiao'ban
血小板减少,xue'xiao'ban'jian'shao
血小板减少性紫癜,xue'xiao'ban'jian'shao'xing'zi'dian
学校卫生,xue'xiao'wei'sheng
血压,xue'ya
血压上升,xue'ya'shang'sheng
血压升高,xue'ya'sheng'gao
血压下降,xue'ya'xia'jiang
血样便,xue'yang'bian
血药浓度,xue'yao'nong'du
血液,xue'ye
血液标本,xue'ye'biao'ben
血液传播,xue'ye'chuan'bo
血液培养,xue'ye'pei'yang
血液透析,xue'ye'tou'xi
血液循环系统,xue'ye'xun'huan'xi'tong
血液制品,xue'ye'zhi'pin
血员,xue'yuan
血源性疾病,xue'yuan'xing'ji'bing
血源疫苗,xue'yuan'yi'miao
血脂,xue'zhi
血制品,xue'zhi'pin
血脂紊乱,xue'zhi'wen'luan
循环衰竭,xun'huan'shuai'jie
芽胞,ya'bao
压差,ya'cha
亚单位,ya'dan'wei
亚单位疫苗,ya'dan'wei'yi'miao
亚急性,ya'ji'xing
亚健康,ya'jian'kang
亚临床,ya'lin'chuang
亚临床感染,ya'lin'chuang'gan'ran
亚临床感染者,ya'lin'chuang'gan'ran'zhe
亚临床症状,ya'lin'chuang'zheng'zhuang
牙龈,ya'yin
牙龈炎,ya'yin'yan
牙周炎,ya'zhou'yan
彦岛型,yan'dao'xing
眼睑,yan'jian
眼结膜,yan'jie'mo
延申,yan'shen
咽拭子,yan'shi'zi
咽痛,yan'tong
延误病情,yan'wu'bing'qing
咽峡炎,yan'xia'yan
厌氧杆菌,yan'yang'gan'jun
厌氧菌,yan'yang'jun
眼药水,yan'yao'shui
炎症反应,yan'zheng'fan'ying
严重肺气肿,yan'zhong'fei'qi'zhong
严重过敏体质,yan'zhong'guo'min'ti'zhi
严重急性呼吸道综合征,yan'zhong'ji'xing'hu'xi'dao'zong'he'zheng
严重慢性病,yan'zhong'man'xing'bing
样本,yang'ben
样本大小,yang'ben'da'xiao
样本含量,yang'ben'han'liang
样本量,yang'ben'liang
洋地黄,yang'di'huang
氧氟沙星,yang'fu'sha'xing
杨梅舌,yang'mei'she
阳性病人,yang'xing'bing'ren
阳性体征,yang'xing'ti'zheng
阳转率,yang'zhuan'lv
药监部门,yao'jian'bu'men
药监局,yao'jian'ju
药敏试验,yao'min'shi'yan
药品管理法,yao'pin'guan'li'fa
药物过敏,yao'wu'guo'min
药物诊断,yao'wu'zhen'duan
野病毒,ye'bing'du
野病毒株,ye'bing'du'zhu
野毒株,ye'du'zhu
耶尔森菌病,ye'er'sen'jun'bing
野鼠,ye'shu
液体疫苗,ye'ti'yi'miao
乙胺丁醇,yi'an'ding'chun
乙胺嘧啶,yi'an'mi'ding
疫病,yi'bing
异丙醇,yi'bing'chun
遗传病,yi'chuan'bing
遗传因素,yi'chuan'yin'su
遗传因子,yi'chuan'yin'zi
乙醇,yi'chun
一次性器械,yi'ci'xing'qi'xie
一次性注射器,yi'ci'xing'zhu'she'qi
依从度,yi'cong'du
依从性,yi'cong'xing
胰岛素,yi'dao'su
异地接种,yi'di'jie'zhong
疫点,yi'dian
疫点消毒,yi'dian'xiao'du
乙肝,yi'gan
易感,yi'gan
乙肝表面抗体,yi'gan'biao'mian'kang'ti
乙肝表面抗原,yi'gan'biao'mian'kang'yuan
乙肝病毒,yi'gan'bing'du
乙肝病毒表面抗原,yi'gan'bing'du'biao'mian'kang'yuan
乙肝核心抗体,yi'gan'he'xin'kang'ti
乙肝核心抗原,yi'gan'he'xin'kang'yuan
乙肝监测,yi'gan'jian'ce
乙肝免疫球蛋白,yi'gan'mian'yi'qiu'dan'bai
易感人群,yi'gan'ren'qun
乙肝疫苗,yi'gan'yi'miao
易感者,yi'gan'zhe
医护人员,yi'hu'ren'yuan
一级预防,yi'ji'yu'fang
抑菌,yi'jun
抑菌药物,yi'jun'yao'wu
乙类传染病,yi'lei'chuan'ran'bing
一类疫苗,yi'lei'yi'miao
医疗部门,yi'liao'bu'men
医疗废物,yi'liao'fei'wu
医疗费用,yi'liao'fei'yong
医疗机构,yi'liao'ji'gou
医疗救治,yi'liao'jiu'zhi
医疗垃圾,yi'liao'la'ji
医疗器械,yi'liao'qi'xie
医疗设施,yi'liao'she'shi
医疗事故,yi'liao'shi'gu
以律不齐,yi'lv'bu'qi
乙醚,yi'mi
疫苗,yi'miao
疫苗保管,yi'miao'bao'guan
疫苗产地,yi'miao'chan'di
疫苗产品,yi'miao'chan'pin
疫苗厂家,yi'miao'chang'jia
疫苗储存,yi'miao'chu'cun
疫苗存放,yi'miao'cun'fang
疫苗代码,yi'miao'dai'ma
疫苗分发,yi'miao'fen'fa
疫苗分发表,yi'miao'fen'fa'biao
疫苗分发记录,yi'miao'fen'fa'ji'lu
疫苗副反应,yi'miao'fu'fan'ying
疫苗管理,yi'miao'guan'li
疫苗管理系统,yi'miao'guan'li'xi'tong
疫苗合格证,yi'miao'he'ge'zheng
疫苗接种,yi'miao'jie'zhong
疫苗接种反应,yi'miao'jie'zhong'fan'ying
疫苗接种反应史,yi'miao'jie'zhong'fan'ying'shi
疫苗接种史,yi'miao'jie'zhong'shi
疫苗进货,yi'miao'jin'huo
疫苗扩散,yi'miao'kuo'san
疫苗领发,yi'miao'ling'fa
疫苗领发记录,yi'miao'ling'fa'ji'lu
疫苗流通,yi'miao'liu'tong
疫苗免疫效果,yi'miao'mian'yi'xiao'guo
疫苗免疫效果监测,yi'miao'mian'yi'xiao'guo'jian'ce
疫苗批号,yi'miao'pi'hao
疫苗批签发合格证,yi'miao'pi'qian'fa'he'ge'zheng
疫苗生产厂家,yi'miao'sheng'chan'chang'jia
疫苗失效期,yi'miao'shi'xiao'qi
疫苗损耗,yi'miao'sun'hao
疫苗损耗系数,yi'miao'sun'hao'xi'shu
疫苗推广,yi'miao'tui'guang
疫苗温度记录,yi'miao'wen'du'ji'lu
疫苗稀释液,yi'miao'xi'shi'ye
疫苗相关病例,yi'miao'xiang'guan'bing'li
疫苗效价,yi'miao'xiao'jia
疫苗效价监测,yi'miao'xiao'jia'jian'ce
疫苗衍生株,yi'miao'yan'sheng'zhu
疫苗用量,yi'miao'yong'liang
疫苗运输,yi'miao'yun'shu
疫苗质量,yi'miao'zhi'liang
疫苗知识,yi'miao'zhi'shi
疫苗株,yi'miao'zhu
疫苗贮存,yi'miao'zhu'cun
乙脑,yi'nao
乙脑病毒,yi'nao'bing'du
乙脑监测,yi'nao'jian'ce
乙脑减毒活疫苗,yi'nao'jian'du'huo'yi'miao
乙脑灭活疫苗,yi'nao'mie'huo'yi'miao
乙脑疫苗,yi'nao'yi'miao
疫情,yi'qing
疫情暴发,yi'qing'bao'fa
疫情报告,yi'qing'bao'gao
疫情报告单位,yi'qing'bao'gao'dan'wei
疫情报告系统,yi'qing'bao'gao'xi'tong
疫情报告员,yi'qing'bao'gao'yuan
疫情处置,yi'qing'chu'zhi
疫情公布,yi'qing'gong'bu
疫情及疫情报告,yi'qing'ji'yi'qing'bao'gao
疫情监测,yi'qing'jian'ce
疫情蔓延,yi'qing'man'yan
疫情散发,yi'qing'san'fa
疫情通报,yi'qing'tong'bao
疫情网络直报,yi'qing'wang'luo'zhi'bao
疫情信息,yi'qing'xin'xi
疫情信息处,yi'qing'xin'xi'chu
疫情信息科,yi'qing'xin'xi'ke
疫情信息员,yi'qing'xin'xi'yuan
疫情形势,yi'qing'xing'shi
疫情直报,yi'qing'zhi'bao
疫情直报单位,yi'qing'zhi'bao'dan'wei
疫情直报系统,yi'qing'zhi'bao'xi'tong
疫情直报员,yi'qing'zhi'bao'yuan
疫情专报,yi'qing'zhuan'bao
疫情专报系统,yi'qing'zhuan'bao'xi'tong
疫区,yi'qu
疫区封锁,yi'qu'feng'suo
疫区消毒,yi'qu'xiao'du
医士,yi'shi
意识障碍,yi'shi'zhang'ai
疑似病倒,yi'si'bing'dao
疑似病例,yi'si'bing'li
疑似病人,yi'si'bing'ren
意外伤害,yi'wai'shang'hai
意外损伤,yi'wai'sun'shang
伊蚊,yi'wen
义务报务人,yi'wu'bao'wu'ren
义务献血员,yi'wu'xian'xie'yuan
义务献血法,yi'wu'xian'xue'fa
乙酰胆碱,yi'xian'dan'jian
胰腺炎,yi'xian'yan
乙型肝炎,yi'xing'gan'yan
乙型肝炎病毒,yi'xing'gan'yan'bing'du
乙型肝炎免疫球蛋白,yi'xing'gan'yan'mian'yi'qiu'dan'bai
乙型肝炎疫苗,yi'xing'gan'yan'yi'miao
异型麻疹,yi'xing'ma'zhen
乙型脑炎,yi'xing'nao'yan
乙型脑炎病毒,yi'xing'nao'yan'bing'du
医学参考值,yi'xue'can'kao'zhi
医学隔离,yi'xue'ge'li
医学观察,yi'xue'guan'cha
医学模式,yi'xue'mo'shi
异烟肼,yi'yan'jing
医用垃圾,yi'yong'la'ji
疫源地,yi'yuan'di
疫源地消毒,yi'yuan'di'xiao'du
疫源动物,yi'yuan'dong'wu
医院感染,yi'yuan'gan'ran
医院内感染,yi'yuan'nei'gan'ran
衣原体,yi'yuan'ti
衣原体肺炎,yi'yuan'ti'fei'yan
衣原体感染,yi'yuan'ti'gan'ran
医源性传播,yi'yuan'xing'chuan'bo
医源性感染,yi'yuan'xing'gan'ran
抑制病毒,yi'zhi'bing'du
异种蛋白,yi'zhong'dan'bai
因病返贫,yin'bing'fan'pin
因病致贫,yin'bing'zhi'pin
阴部疱疹,yin'bu'pao'zhen
阴道,yin'dao
阴道分泌物,yin'dao'fen'mi'wu
阴蒂,yin'di
阴阜,yin'fu
阴茎,yin'jing
隐球菌病,yin'qiu'jun'bing
引入率,yin'ru'lv
阴虱,yin'shi
银屑病,yin'xie'bing
隐性感染,yin'xing'gan'ran
隐性感染率,yin'xing'gan'ran'lv
隐性感染者,yin'xing'gan'ran'zhe
阴转,yin'zhuan
婴儿死亡率,ying'er'si'wang'lv
应急,ying'ji
应急办,ying'ji'ban
应急处理,ying'ji'chu'li
应急处置,ying'ji'chu'zhi
应急队,ying'ji'dui
应急队员,ying'ji'dui'yuan
应急接种,ying'ji'jie'zhong
应急条例,ying'ji'tiao'li
应急预案,ying'ji'yu'an
硬下疳,ying'xia'gan
营养不良,ying'yang'bu'liang
营养代谢,ying'yang'dai'xie
营养缺乏,ying'yang'que'fa
应种,ying'zhong
应种儿童,ying'zhong'er'tong
应种人数,ying'zhong'ren'shu
应种未种,ying'zhong'wei'zhong
应种针次,ying'zhong'zhen'ci
用药安全,yong'yao'an'quan
有偿供血,you'chang'gong'xue
有机磷,you'ji'lin
有机磷农药,you'ji'lin'nong'yao
有机磷农药中毒,you'ji'lin'nong'yao'zhong'du
有机磷中毒,you'ji'lin'zhong'du
优氯净,you'lv'jing
幽门,you'men
幽门螺杆菌,you'men'luo'gan'jun
幽门螺杆菌病,you'men'luo'gan'jun'bing
优生优育,you'sheng'you'yu
有效氯,you'xiao'lv
有效氯含量,you'xiao'lv'han'liang
瘀斑,yu'ban
瘀点,yu'dian
预防保健,yu'fang'bao'jian
预防保健科,yu'fang'bao'jian'ke
预防服药,yu'fang'fu'yao
预防接种,yu'fang'jie'zhong
预防接种措施,yu'fang'jie'zhong'cuo'shi
预防接种单位,yu'fang'jie'zhong'dan'wei
预防接种工作规范,yu'fang'jie'zhong'gong'zuo'gui'fan
预防接种门诊,yu'fang'jie'zhong'men'zhen
预防接种网络体系,yu'fang'jie'zhong'wang'luo'ti'xi
预防接种系统,yu'fang'jie'zhong'xi'tong
预防接种异常反应,yu'fang'jie'zhong'yi'chang'fan'ying
预防接种异常反应监测系统,yu'fang'jie'zhong'yi'chang'fan'ying'jian'ce'xi'tong
预防接种证,yu'fang'jie'zhong'zheng
预防接种资料,yu'fang'jie'zhong'zi'liao
预防投药,yu'fang'tou'yao
预防为主,yu'fang'wei'zhu
预防性接种,yu'fang'xing'jie'zhong
预防性消毒,yu'fang'xing'xiao'du
预防与控制,yu'fang'yu'kong'zhi
育康医院,yu'kang'yi'yuan
娱乐场所,yu'le'chang'suo
预填充注射器,yu'tian'chong'zhu'she'qi
瘀血,yu'xue
预约接种,yu'yue'jie'zhong
预约接种日期,yu'yue'jie'zhong'ri'qi
预约接种时间,yu'yue'jie'zhong'shi'jian
预约日期,yu'yue'ri'qi
预约时间,yu'yue'shi'jian
原虫,yuan'chong
原发,yuan'fa
原发性,yuan'fa'xing
原发性肺鼠疫,yuan'fa'xing'fei'shu'yi
原发性高血压,yuan'fa'xing'gao'xue'ya
原发性疾病,yuan'fa'xing'ji'bing
原核细菌,yuan'he'xi'jun
运动系统,yun'dong'xi'tong
孕妇禁用,yun'fu'jin'yong
云南沃森,yun'nan'wo'sen
运态数列,yun'tai'shu'lie
在卡儿童,zai'ka'er'tong
在卡儿童数,zai'ka'er'tong'shu
再生障碍性贫血,zai'sheng'zhang'ai'xing'pin'xue
再障,zai'zhang
暂住儿童,zan'zhu'er'tong
早报告,zao'bao'gao
早发现,zao'fa'xian
早隔离,zao'ge'li
早期发现,zao'qi'fa'xian
早期诊断,zao'qi'zhen'duan
造血系统,zao'xue'xi'tong
早诊断,zao'zhen'duan
早治疗,zao'zhi'liao
增菌管,zeng'jun'guan
增菌培养,zeng'jun'pei'yang
增菌液,zeng'jun'ye
蟑螂,zhang'lang
账苗相符,zhang'miao'xiang'fu
浙江天元,zhe'jiang'tian'yuan
浙江卫信,zhe'jiang'wei'xin
蔗糖,zhe'tang
针次间隔,zhen'ci'jian'ge
诊断标准,zhen'duan'biao'zhun
诊断日期,zhen'duan'ri'qi
诊断试剂,zhen'duan'shi'ji
诊断依据,zhen'duan'yi'ju
阵发性,zhen'fa'xing
针灸,zhen'jiu
真菌,zhen'jun
真菌孢子,zhen'jun'bao'zi
正常菌群,zheng'chang'jun'qun
正常值,zheng'chang'zhi
证卡相符,zheng'ka'xiang'fu
蒸汽消毒,zheng'qi'xiao'du
整群抽样,zheng'qun'chou'yang
正态分布,zheng'tai'fen'bu
正态分布曲线,zheng'tai'fen'bu'qu'xian
症状,zheng'zhuang
致癌因子,zhi'ai'yin'zi
致病机理,zhi'bing'ji'li
致病菌,zhi'bing'jun
致病菌种类,zhi'bing'jun'zhong'lei
致病微生物,zhi'bing'wei'sheng'wu
致病性,zhi'bing'xing
直肠,zhi'chang
支持疗法,zhi'chi'liao'fa
脂多糖,zhi'duo'tang
志贺菌属,zhi'he'jun'shu
志贺菌素,zhi'he'jun'su
直接接触,zhi'jie'jie'chu
直接接触传染,zhi'jie'jie'chu'chuan'ran
直接死因,zhi'jie'si'yin
致倦库蚊,zhi'juan'ku'wen
治疗措施,zhi'liao'cuo'shi
治疗方案,zhi'liao'fang'an
治疗剂量,zhi'liao'ji'liang
治疗室,zhi'liao'shi
治疗效果,zhi'liao'xiao'guo
治疗原则,zhi'liao'yuan'ze
支气管,zhi'qi'guan
支气管肺癌,zhi'qi'guan'fei'ai
支气管肺炎,zhi'qi'guan'fei'yan
支气管扩张,zhi'qi'guan'kuo'zhang
支气管哮喘,zhi'qi'guan'xiao'chuan
直线回归,zhi'xian'hui'gui
直线相关,zhi'xian'xiang'guan
致泻性大肠杆菌,zhi'xie'xing'da'chang'gan'jun
职业暴露,zhi'ye'bao'lu
职业病,zhi'ye'bing
职业病防治,zhi'ye'bing'fang'zhi
职业病检查,zhi'ye'bing'jian'cha
职业病监督,zhi'ye'bing'jian'du
职业病卫生,zhi'ye'bing'wei'sheng
职业危害,zhi'ye'wei'hai
执业医师,zhi'ye'yi'shi
执业医师法,zhi'ye'yi'shi'fa
执业助理医师,zhi'ye'zhu'li'yi'shi
治愈,zhi'yu
支原体,zhi'yuan'ti
支原体肺炎,zhi'yuan'ti'fei'yan
蜘蛛痣,zhi'zhu'zhi
肿大,zhong'da
重大传染病疫情,zhong'da'chuan'ran'bing'yi'qing
重大疫情,zhong'da'yi'qing
重点传染病,zhong'dian'chuan'ran'bing
重点防治传染病,zhong'dian'fang'zhi'chuan'ran'bing
种痘,zhong'dou
中毒颗粒,zhong'du'ke'li
中毒型,zhong'du'xing
中毒性休克,zhong'du'xing'xiu'ke
中耳炎,zhong'er'yan
中和抗体,zhong'he'kang'ti
中和试验,zhong'he'shi'yan
中华按蚊,zhong'hua'an'wen
中华白蛉,zhong'hua'bai'ling
中间宿主,zhong'jian'su'zhu
肿瘤,zhong'liu
肿瘤疾病,zhong'liu'ji'bing
肿瘤细胞,zhong'liu'xi'bao
终末消毒,zhong'mo'xiao'du
种牛痘,zhong'niu'dou
终身免疫,zhong'shen'mian'yi
中枢神经系统,zhong'shu'shen'jing'xi'tong
中晚期癌症,zhong'wan'qi'ai'zheng
中位数,zhong'wei'shu
中西医结合医院,zhong'xi'yi'jie'he'yi'yuan
中心卫生院,zhong'xin'wei'sheng'yuan
重型病人,zhong'xing'bing'ren
中性粒细胞,zhong'xing'li'xi'bao
中医院,zhong'yi'yuan
重症肺炎,zhong'zheng'fei'yan
重症感染,zhong'zheng'gan'ran
洲际大流行,zhou'ji'da'liu'xing
周围神经,zhou'wei'shen'jing
周围循环衰竭,zhou'wei'xun'huan'shuai'jie
主动监测,zhu'dong'jian'ce
主动免疫,zhu'dong'mian'yi
主管医师,zhu'guan'yi'shi
逐级订购,zhu'ji'ding'gou
逐级供应,zhu'ji'gong'ying
猪链球菌,zhu'lian'qiu'jun
猪链球菌病,zhu'lian'qiu'jun'bing
猪链球菌感染,zhu'lian'qiu'jun'gan'ran
注射部位,zhu'she'bu'wei
注射方法,zhu'she'fang'fa
注射技术,zhu'she'ji'shu
注射器,zhu'she'qi
注射疫苗,zhu'she'yi'miao
注射用水,zhu'she'yong'shui
主要宿主,zhu'yao'su'zhu
住院部,zhu'yuan'bu
住院号,zhu'yuan'hao
主治医师,zhu'zhi'yi'shi
转氨酶,zhuan'an'mei
专家诊断小组,zhuan'jia'zhen'duan'xiao'zu
专人负责,zhuan'ren'fu'ze
专业防治机构,zhuan'ye'fang'zhi'ji'gou
转移因子,zhuan'yi'yin'zi
转阴,zhuan'yin
专用厕所,zhuan'yong'ce'suo
子孢子,zi'bao'zi
自费疫苗,zi'fei'yi'miao
子宫颈癌,zi'gong'jing'ai
子宫内膜,zi'gong'nei'mo
子宫内膜癌,zi'gong'nei'mo'ai
自汗,zi'han
自毁型注射器,zi'hui'xing'zhu'she'qi
资料分析,zi'liao'fen'xi
资料整理,zi'liao'zheng'li
自然被动免疫,zi'ran'bei'dong'mian'yi
自然宿主,zi'ran'su'zhu
自然疫源地,zi'ran'yi'yuan'di
自然疫源性疾病,zi'ran'yi'yuan'xing'ji'bing
自然因素,zi'ran'yin'su
自然主动免疫,zi'ran'zhu'dong'mian'yi
自然自动免疫,zi'ran'zi'dong'mian'yi
自身感染,zi'shen'gan'ran
自身免疫,zi'shen'mian'yi
自身免疫性疾病,zi'shen'mian'yi'xing'ji'bing
紫外线,zi'wai'xian
紫外线消毒,zi'wai'xian'xiao'du
紫外线照射,zi'wai'xian'zhao'she
自我保健,zi'wo'bao'jian
自限性,zi'xian'xing
自限性疾病,zi'xian'xing'ji'bing
滋养体,zi'yang'ti
自愿咨询监测,zi'yuan'zi'xun'jian'ce
纵隔,zong'ge
综合防治,zong'he'fang'zhi
综合门诊,zong'he'men'zhen
综合医疗,zong'he'yi'liao
总结报告,zong'jie'bao'gao
总体,zong'ti
组织胺,zu'zhi'an
最长潜伏期,zui'chang'qian'fu'qi
最短潜伏期,zui'duan'qian'fu'qi
最终宿主,zui'zhong'su'zhu
佐剂,zuo'ji
