艾封人之子也,ai'feng'ren'zhi'zi'ye
详在于臣,xiang'zai'yu'chen
相造乎道者,xiang'zao'hu'dao'zhe
相造乎水者,xiang'zao'hu'shui'zhe
相札也,xiang'zha'ye
向者弟子欲请夫子,xiang'zhe'di'zi'yu'qing'fu'zi
向者先生形体掘若槁木,xiang'zhe'xian'sheng'xing'ti'jue'ruo'gao'mu
向者休来,xiang'zhe'xiu'lai
相镇以声,xiang'zhen'yi'sheng
向之人何为者邪,xiang'zhi'ren'he'wei'zhe'xie
相助消也,xiang'zhu'xiao'ye
枭淳散朴,xiao'chun'san'pu
小大之家,xiao'da'zhi'jia
小盗不起,xiao'dao'bu'qi
小盗者拘,xiao'dao'zhe'ju
孝固不足以言之,xiao'gu'bu'zu'yi'yan'zhi
小国不敢非,xiao'guo'bu'gan'fei
小国入保,xiao'guo'ru'bao
小恐惴惴,xiao'kong'zhui'zhui
小年不及大年,xiao'nian'bu'ji'da'nian
肖翘之物,xiao'qiao'zhi'wu
小人甘以绝,xiao'ren'gan'yi'jue
小人所贱也,xiao'ren'suo'jian'ye
小人所以合时,xiao'ren'suo'yi'he'shi
小人则以身殉利,xiao'ren'ze'yi'shen'xun'li
小人之交甘若醴,xiao'ren'zhi'jiao'gan'ruo'li
小儒曰,xiao'ru'yue
小识伤德,xiao'shi'shang'de
小童辞,xiao'tong'ci
小童曰,xiao'tong'yue
效物而动,xiao'wu'er'dong
消息满虚,xiao'xi'man'xu
消息盈虚,xiao'xi'ying'xu
小行伤道,xiao'xing'shang'dao
小言詹詹,xiao'yan'zhan'zhan
逍遥,xiao'yao
逍遥乎寝卧其下,xiao'yao'hu'qin'wo'qi'xia
逍遥乎无事之业,xiao'yao'hu'wu'shi'zhi'ye
逍遥乎无为之业,xiao'yao'hu'wu'wei'zhi'ye
逍遥于天地之间,xiao'yao'yu'tian'di'zhi'jian
小者如雾,xiao'zhe'ru'wu
小知不及大知,xiao'zhi'bu'ji'da'zhi
小知间间,xiao'zhi'jian'jian
小之微也,xiao'zhi'wei'ye
小枝泄,xiao'zhi'xie
笑之曰,xiao'zhi'yue
孝之至也,xiao'zhi'zhi'ye
孝子不谀其亲,xiao'zi'bu'yu'qi'qin
孝子操药以修慈父,xiao'zi'cao'yao'yi'xiu'ci'fu
小子敢问,xiao'zi'gan'wen
小子来,xiao'zi'lai
小子少进,xiao'zi'shao'jin
小足以化子,xiao'zu'yi'hua'zi
颉滑坚白,xie'hua'jian'bai
颉滑有实,xie'hua'you'shi
邪气不能袭,xie'qi'bu'neng'xi
蟹与科斗,xie'yu'ke'dou
挟宇宙,xie'yu'zhou
谐之言曰,xie'zhi'yan'yue
携子以入于海,xie'zi'yi'ru'yu'hai
心不待学而乐之,xin'bu'dai'xue'er'le'zhi
心彻为知,xin'che'wei'zhi
心固可使若死灰乎,xin'gu'ke'shi'ruo'si'hui'hu
心和而出,xin'he'er'chu
心居乎魏阙之下,xin'ju'hu'wei'que'zhi'xia
心困焉而不能知,xin'kun'yan'er'bu'neng'zhi
心莫若和,xin'mo'ruo'he
心且成之,xin'qie'cheng'zhi
心如涌泉,xin'ru'yong'quan
心若死灰,xin'ruo'si'hui
心若县于天地之间,xin'ruo'xian'yu'tian'di'zhi'jian
心术之动,xin'shu'zhi'dong
心无所知,xin'wu'suo'zhi
心无天游,xin'wu'tian'you
欣欣之喜,xin'xin'zhi'xi
信行容体而顺乎文,xin'xing'rong'ti'er'shun'hu'wen
心养,xin'yang
心疑,xin'yi
信矣而不期,xin'yi'er'bu'qi
心有天游,xin'you'tian'you
心与心识知,xin'yu'xin'shi'zhi
心则使之也,xin'ze'shi'zhi'ye
心斋也,xin'zhai'ye
信之患也,xin'zhi'huan'ye
心之人不怒,xin'zhi'ren'bu'nu
心之适也,xin'zhi'shi'ye
心止于符,xin'zhi'yu'fu
心之与形,xin'zhi'yu'xing
心之于殉也殆,xin'zhi'yu'xun'ye'dai
形本生于精,xing'ben'sheng'yu'jing
行比一乡,xing'bi'yi'xiang
形变而有生,xing'bian'er'you'sheng
行不辍,xing'bu'chuo
形不得美服,xing'bu'de'mei'fu
性不可易,xing'bu'ke'yi
形不离而生亡者有之矣,xing'bu'li'er'sheng'wang'zhe'you'zhi'yi
行不崖异之谓宽,xing'bu'ya'yi'zhi'wei'kuan
行不知所之,xing'bu'zhi'suo'zhi
星辰固有列矣,xing'chen'gu'you'lie'yi
形充空虚,xing'chong'kong'xu
形德仁义,xing'de'ren'yi
性短非所续,xing'duan'fei'suo'xu
性服忠信,xing'fu'zhong'xin
行歌而去之,xing'ge'er'qu'zhi
形固可使如槁木,xing'gu'ke'shi'ru'gao'mu
形固可使若槁骸,xing'gu'ke'shi'ruo'gao'hai
形固造形,xing'gu'zao'xing
行乎万物之上而不栗,xing'hu'wan'wu'zhi'shang'er'bu'li
行乎无方,xing'hu'wu'fang
行乎无名,xing'hu'wu'ming
行乎无名者,xing'hu'wu'ming'zhe
形将自正,xing'jiang'zi'zheng
形精不亏,xing'jing'bu'kui
形就而入,xing'jiu'er'ru
形劳而不休则弊,xing'lao'er'bu'xiu'ze'bi
行流散徙,xing'liu'san'xi
形戮者相望也,xing'lu'zhe'xiang'wang'ye
刑名比详,xing'ming'bi'xiang
形名比详,xing'ming'bi'xiang
性命非汝有,xing'ming'fei'ru'you
行名失己,xing'ming'shi'ji
形名已明而因任次之,xing'ming'yi'ming'er'yin'ren'ci'zhi
形名者,xing'ming'zhe
形莫若就,xing'mo'ruo'jiu
形莫若缘,xing'mo'ruo'yuan
形乃长生,xing'nai'chang'sheng
幸能正生,xing'neng'zheng'sheng
行年七十而犹有婴儿之色,xing'nian'qi'shi'er'you'you'ying'er'zhi'se
行年四十而有内热之病以死,xing'nian'si'shi'er'you'nei're'zhi'bing'yi'si
行其所不能行也,xing'qi'suo'bu'neng'xing'ye
性情不离,xing'qing'bu'li
行趋而进曰,xing'qu'er'jin'yue
形全犹足以为尔,xing'quan'you'zu'yi'wei'er
形全者神全,xing'quan'zhe'shen'quan
形若槁骸,xing'ruo'gao'hai
醒三日而不已,xing'san'ri'er'bu'yi
行三十里而后愈,xing'san'shi'li'er'hou'yu
行事尚贤,xing'shi'shang'xian
行事之情而忘其身,xing'shi'zhi'qing'er'wang'qi'shen
行殊乎俗,xing'shu'hu'su
形体保神,xing'ti'bao'shen
行为迟,xing'wei'chi
幸闻咳唾之音,xing'wen'ke'tuo'zhi'yin
行无虑,xing'wu'lv
行贤而去自贤之行,xing'xian'er'qu'zi'xian'zhi'xing
行小变而不失其大常也,xing'xiao'bian'er'bu'shi'qi'da'chang'ye
性修反德,xing'xiu'fan'de
行修于内者,xing'xiu'yu'nei'zhe
行言自为而天下化,xing'yan'zi'wei'er'tian'xia'hua
性也,xing'ye
幸矣,xing'yi
行以告蒲衣子,xing'yi'gao'pu'yi'zi
行以秋冬,xing'yi'qiu'dong
行义有间矣,xing'yi'you'jian'yi
形与色也,xing'yu'se'ye
行原以上,xing'yuan'yi'shang
行则下之,xing'ze'xia'zhi
行者,xing'zhe
性者,xing'zhe
行者践其首脊,xing'zhe'jian'qi'shou'ji
形之不形,xing'zhi'bu'xing
形之大者也,xing'zhi'da'zhe'ye
性之动谓之为,xing'zhi'dong'wei'zhi'wei
兴治化之流,xing'zhi'hua'zhi'liu
行之以礼义,xing'zhi'yi'li'yi
行之以五德,xing'zhi'yi'wu'de
形之与形亦辟矣,xing'zhi'yu'xing'yi'pi'yi
刑自此立,xing'zi'ci'li
形足以劳动,xing'zu'yi'lao'dong
形尊而严,xing'zun'er'yan
兄不能教其弟,xiong'bu'neng'jiao'qi'di
熊经鸟申,xiong'jing'niao'shen
雄鸣于上风,xiong'ming'yu'shang'feng
雄入于九军,xiong'ru'yu'jiu'jun
兄先而弟从,xiong'xian'er'di'cong
匈匈焉终以赏罚为事,xiong'xiong'yan'zhong'yi'shang'fa'wei'shi
兄则以妪,xiong'ze'yi'yu
休恶遇此命也,xiu'e'yu'ci'ming'ye
羞而不为也,xiu'er'bu'wei'ye
休居乡不见谓不修,xiu'ju'xiang'bu'jian'wei'bu'xiu
修上而趋下,xiu'shang'er'qu'xia
修身以明,xiu'shen'yi'ming
羞闻其言,xiu'wen'qi'yan
修先君之业,xiu'xian'jun'zhi'ye
修行无有而外其形骸,xiu'xing'wu'you'er'wai'qi'xing'hai
修胸中之诚以应天地之情而勿撄,xiu'xiong'zhong'zhi'cheng'yi'ying'tian'di'zhi'qing'er'wu'ying
修远,xiu'yuan
休则虚,xiu'ze'xu
嗅之,xiu'zhi
休坐乎杏坛之上,xiu'zuo'hu'xing'tan'zhi'shang
徐别其颊,xu'bie'qi'jia
虚而待物者也,xu'er'dai'wu'zhe'ye
虚而往,xu'er'wang
须精神之运,xu'jing'shen'zhi'yun
须眉交白,xu'mei'jiao'bai
胥靡登高而不惧,xu'mi'deng'gao'er'bu'ju
虚乃大,xu'nai'da
虚室生白,xu'shi'sheng'bai
徐无鬼出,xu'wu'gui'chu
徐无鬼见武侯,xu'wu'gui'jian'wu'hou
徐无鬼因女商见魏武侯,xu'wu'gui'yin'nv'shang'jian'wei'wu'hou
徐无鬼曰,xu'wu'gui'yue
虚无恬淡,xu'wu'tian'dan
虚无无为,xu'wu'wu'wei
徐行翔佯而归,xu'xing'xiang'yang'er'gui
顼顼然不自得,xu'xu'ran'bu'zi'de
栩栩然胡蝶也,xu'xu'ran'hu'die'ye
胥易技系,xu'yi'ji'xi
需役闻之于讴,xu'yi'wen'zhi'yu'ou
许由不受,xu'you'bu'shou
许由得帝而不受,xu'you'de'di'er'bu'shou
许由逃之,xu'you'tao'zhi
许由曰,xu'you'yue
许由之师曰啮缺,xu'you'zhi'shi'yue'nie'que
胥余,xu'yu
须臾之说也,xu'yu'zhi'shuo'ye
徐则甘而不固,xu'ze'gan'er'bu'gu
虚则静,xu'ze'jing
虚则实,xu'ze'shi
虚则无为而无不为也,xu'ze'wu'wei'er'wu'bu'wei'ye
虚者,xu'zhe
续之则忧,xu'zhi'ze'you
虚之至也,xu'zhi'zhi'ye
轩车不容巷,xuan'che'bu'rong'xiang
旋而盖规矩,xuan'er'gai'gui'ju
玄古之君天下,xuan'gu'zhi'jun'tian'xia
轩冕在身,xuan'mian'zai'shen
轩冕之谓也,xuan'mian'zhi'wei'ye
玄冥闻之参寥,xuan'ming'wen'zhi'can'liao
选人伦,xuan'ren'lun
玄圣素王之道也,xuan'sheng'su'wang'zhi'dao'ye
玄天弗成,xuan'tian'fu'cheng
轩辕氏,xuan'yuan'shi
削曾,xue'ceng
学道不倦,xue'dao'bu'juan
学而不能行谓之病,xue'er'bu'neng'xing'wei'zhi'bing
削格罗落,xue'ge'luo'luo
削迹捐势,xue'ji'juan'shi
削迹于卫,xue'ji'yu'wei
学其所不能学也,xue'qi'suo'bu'neng'xue'ye
血牲而埋之,xue'sheng'er'mai'zhi
穴室枢户,xue'shi'shu'hu
学以为人,xue'yi'wei'ren
学一先生之言,xue'yi'xian'sheng'zhi'yan
学者,xue'zhe
学者之流也,xue'zhe'zhi'liu'ye
循古而不摩,xun'gu'er'bu'mo
薰然其成形,xun'ran'qi'cheng'xing
恂然弃而走,xun'ran'qi'er'zou
旬有五日而后反,xun'you'wu'ri'er'hou'fan
循有照,xun'you'zhao
循于道之谓备,xun'yu'dao'zhi'wei'bei
寻擢吾性,xun'zhuo'wu'xing
压其,ya'qi
言必或传之,yan'bi'huo'chuan'zhi
言辩而不及,yan'bian'er'bu'ji
颜不疑归而师董梧,yan'bu'yi'gui'er'shi'dong'wu
言察乎安危,yan'cha'hu'an'wei
颜成子入见曰,yan'cheng'zi'ru'jian'yue
颜成子游立侍乎前,yan'cheng'zi'you'li'shi'hu'qian
颜成子游谓东郭子綦曰,yan'cheng'zi'you'wei'dong'guo'zi'qi'yue
厌葱韭,yan'cong'jiu
言恶乎存而不可,yan'e'hu'cun'er'bu'ke
言恶乎隐而有是非,yan'e'hu'yin'er'you'shi'fei
言而不足,yan'er'bu'zu
言而当法,yan'er'dang'fa
言而非也,yan'er'fei'ye
言而愈疏,yan'er'yu'shu
言而足,yan'er'zu
颜阖对曰,yan'he'dui'yue
颜阖将傅卫灵公大子,yan'he'jiang'fu'wei'ling'gong'da'zi
颜阖守陋闾,yan'he'shou'lou'lv
颜阖遇之,yan'he'yu'zhi
颜阖自对之,yan'he'zi'dui'zhi
严乎若国之有君,yan'hu'ruo'guo'zhi'you'jun
颜回端拱还目而窥之,yan'hui'duan'gong'hai'mu'er'kui'zhi
颜回对曰,yan'hui'dui'yue
颜回见仲尼,yan'hui'jian'zhong'ni
颜回为驭,yan'hui'wei'yu
颜回问仲尼曰,yan'hui'wen'zhong'ni'yue
颜回无以应,yan'hui'wu'yi'ying
颜回曰,yan'hui'yue
颜回择菜,yan'hui'zhai'cai
岩居而水饮,yan'ju'er'shui'yin
演门有亲死者,yan'men'you'qin'si'zhe
言默不足以载,yan'mo'bu'zu'yi'zai
焉能容人,yan'neng'rong'ren
言其与有足者至于丘也,yan'qi'yu'you'zu'zhe'zhi'yu'qiu'ye
衍请受甲二十万,yan'qing'shou'jia'er'shi'wan
言人之不以好恶内伤其身,yan'ren'zhi'bu'yi'hao'wu'nei'shang'qi'shen
颜色不变,yan'se'bu'bian
颜色甚惫,yan'se'shen'bei
颜色肿哙,yan'se'zhong'kuai
言殊技也,yan'shu'ji'ye
言殊器也,yan'shu'qi'ye
言殊性也,yan'shu'xing'ye
偃鼠饮河,yan'shu'yin'he
言未始有常,yan'wei'shi'you'chang
言未卒,yan'wei'zu
言无言,yan'wu'yan
言以虚静推于天地,yan'yi'xu'jing'tui'yu'tian'di
言隐于荣华,yan'yin'yu'rong'hua
奄有天下,yan'you'tian'xia
言与齐不齐也,yan'yu'qi'bu'qi'ye
言与之偕逝之谓也,yan'yu'zhi'xie'shi'zhi'wei'ye
颜渊东之齐,yan'yuan'dong'zhi'qi
颜渊问乎仲尼曰,yan'yuan'wen'hu'zhong'ni'yue
颜渊问师金曰,yan'yuan'wen'shi'jin'yue
颜渊问于仲尼曰,yan'yuan'wen'yu'zhong'ni'yue
颜渊问仲尼曰,yan'yuan'wen'zhong'ni'yue
颜渊曰,yan'yuan'yue
言曰,yan'yue
厌则又乘夫莽眇之鸟,yan'ze'you'cheng'fu'mang'miao'zhi'niao
言者,yan'zhe
言者不知,yan'zhe'bu'zhi
言者所以在意,yan'zhe'suo'yi'zai'yi
言者有言,yan'zhe'you'yan
言之本也,yan'zhi'ben'ye
焉知曾,yan'zhi'ceng
焉知其所始,yan'zhi'qi'suo'shi
焉知其所终,yan'zhi'qi'suo'zhong
言之所不能论,yan'zhi'suo'bu'neng'lun
言之所尽,yan'zhi'suo'jin
言之无也,yan'zhi'wu'ye
岩之下,yan'zhi'xia
阳处之,yang'chu'zhi
扬而奋,yang'er'fen
仰而视其细枝,yang'er'shi'qi'xi'zhi
仰而视之曰,yang'er'shi'zhi'yue
仰而叹,yang'er'tan
养其气,yang'qi'qi
养其寿命者,yang'qi'shou'ming'zhe
羊肉,yang'rou
羊肉不慕蚁,yang'rou'bu'mu'yi
仰天而呼曰,yang'tian'er'hu'yue
仰天而叹,yang'tian'er'tan
仰天而笑曰,yang'tian'er'xiao'yue
仰天而嘘,yang'tian'er'xu
羊奚比乎不,yang'xi'bi'hu'bu
养形必先之以物,yang'xing'bi'xian'zhi'yi'wu
扬行以说众,yang'xing'yi'shuo'zhong
养形者忘利,yang'xing'zhe'wang'li
养形之人,yang'xing'zhi'ren
洋洋乎大哉,yang'yang'hu'da'zai
鞅掌之为使,yang'zhang'zhi'wei'shi
炀者避灶,yang'zhe'bi'zao
阳子居不答,yang'zi'ju'bu'da
阳子居蹴然变容曰,yang'zi'ju'cu'ran'bian'rong'yue
阳子居蹴然曰,yang'zi'ju'cu'ran'yue
阳子居见老聃,yang'zi'ju'jian'lao'dan
阳子居南之沛,yang'zi'ju'nan'zhi'pei
阳子问其故,yang'zi'wen'qi'gu
阳子曰,yang'zi'yue
阳子之宋,yang'zi'zhi'song
尧不慈,yao'bu'ci
摇唇鼓舌,yao'chun'gu'she
摇荡民心,yao'dang'min'xin
尧观乎华,yao'guan'hu'hua
尧何以资汝,yao'he'yi'zi'ru
杳然丧其天下焉,yao'ran'sang'qi'tian'xia'yan
尧让天下于许由,yao'rang'tian'xia'yu'xu'you
尧杀长子,yao'sha'zhang'zi
尧授舜,yao'shou'shun
尧随之曰,yao'sui'zhi'yue
尧谓我,yao'wei'wo
尧闻舜之贤,yao'wen'shun'zhi'xian
尧问于许由曰,yao'wen'yu'xu'you'yue
繇繇乎若祭之有社,yao'yao'hu'ruo'ji'zhi'you'she
窈窈冥冥,yao'yao'ming'ming
药也,yao'ye
姚佚启态乐出虚,yao'yi'qi'tai'le'chu'xu
尧以天下让许由,yao'yi'tian'xia'rang'xu'you
邀于此者,yao'yu'ci'zhe
邀于郊,yao'yu'jiao
尧于是放,yao'yu'shi'fang
尧与许由天下,yao'yu'xu'you'tian'xia
尧曰,yao'yue
要在仁义,yao'zai'ren'yi
要在于主,yao'zai'yu'zhu
咬者,yao'zhe
尧之师曰许由,yao'zhi'shi'yue'xu'you
尧治天下,yao'zhi'tian'xia
尧治天下之民,yao'zhi'tian'xia'zhi'min
尧之为君也,yao'zhi'wei'jun'ye
尧之治天下,yao'zhi'zhi'tian'xia
夜半,ye'ban
夜半生其子,ye'ban'sheng'qi'zi
夜半于无人之时而与舟人斗,ye'ban'yu'wu'ren'zhi'shi'er'yu'zhou'ren'dou
叶公子高将使于齐,ye'gong'zi'gao'jiang'shi'yu'qi
业可得进乎,ye'ke'de'jin'hu
野马也,ye'ma'ye
业入而不舍,ye'ru'er'bu'she
也为祥,ye'wei'xiang
夜行昼居,ye'xing'zhou'ju
夜以继日,ye'yi'ji'ri
野有彷徨,ye'you'pang'huang
野语有之曰,ye'yu'you'zhi'yue
谒者复通,ye'zhe'fu'tong
谒者入通,ye'zhe'ru'tong
曳纵而歌商颂,ye'zong'er'ge'shang'song
以爱孝难,yi'ai'xiao'nan
以爱孝易,yi'ai'xiao'yi
以安四乡,yi'an'si'xiang
以八千岁为春,yi'ba'qian'sui'wei'chun
以报壶子曰,yi'bao'hu'zi'yue
以北居畏垒之山,yi'bei'ju'wei'lei'zhi'shan
羿必得之,yi'bi'dei'zhi
衣弊履穿,yi'bi'lv'chuan
以宾寡人,yi'bin'gua'ren
以不材得终其天年,yi'bu'cai'de'zhong'qi'tian'nian
以不材死,yi'bu'cai'si
一不成而万有余丧矣,yi'bu'cheng'er'wan'you'yu'sang'yi
一不化者也,yi'bu'hua'zhe'ye
以不惑解惑,yi'bu'huo'jie'huo
亦不可以容声矣,yi'bu'ke'yi'rong'sheng'yi
亦不能清,yi'bu'neng'qing
以不同形相禅,yi'bu'tong'xing'xiang'chan
以不用为愚,yi'bu'yong'wei'yu
以财分人谓之贤,yi'cai'fen'ren'wei'zhi'xian
以残其形,yi'can'qi'xing
以差观之,yi'cha'guan'zhi
以彻为名,yi'che'wei'ming
一成矩,yi'cheng'ju
以处大山,yi'chu'da'shan
以出乎众为心也,yi'chu'hu'zhong'wei'xin'ye
以处圹,yi'chu'kuang
以出六极之外,yi'chu'liu'ji'zhi'wai
以锄其色,yi'chu'qi'se
以处玄宫,yi'chu'xuan'gong
以此处上,yi'ci'chu'shang
以此处下,yi'ci'chu'xia
以此畜下,yi'ci'chu'xia
以此进为而抚世,yi'ci'jin'wei'er'fu'shi
以此事上,yi'ci'shi'shang
以此退居而闲游,yi'ci'tui'ju'er'xian'you
以此修身,yi'ci'xiu'shen
以此治物,yi'ci'zhi'wu
以待其所不知之化已乎,yi'dai'qi'suo'bu'zhi'zhi'hua'yi'hu
一旦命已绝矣,yi'dan'ming'yi'jue'yi
以道德为主,yi'dao'de'wei'zhu
以道泛观而万物之应备,yi'dao'fan'guan'er'wan'wu'zhi'ying'bei
以道观分而君臣之义明,yi'dao'guan'fen'er'jun'chen'zhi'yi'ming
以道观能而天下之官治,yi'dao'guan'neng'er'tian'xia'zhi'guan'zhi
以道观言而天下之君正,yi'dao'guan'yan'er'tian'xia'zhi'jun'zheng
以道观之,yi'dao'guan'zhi
以德分人谓之圣,yi'de'fen'ren'wei'zhi'sheng
亦得人矣,yi'de'ren'yi
以德为循,yi'de'wei'xun
以德为循者,yi'de'wei'xun'zhe
以得为在民,yi'de'wei'zai'min
以登云天,yi'deng'yun'tian
一而不变,yi'er'bu'bian
一而不党,yi'er'bu'dang
一而不可不易者,yi'er'bu'ke'bu'yi'zhe
已而不知其然谓之道,yi'er'bu'zhi'qi'ran'wei'zhi'dao
已而大鱼食之,yi'er'da'yu'shi'zhi
以二缶钟惑,yi'er'fou'zhong'huo
已而后世辁才讽说之徒,yi'er'hou'shi'quan'cai'feng'shuo'zhi'tu
以耳听耳,yi'er'ting'er
已而为知者,yi'er'wei'zhi'zhe
意而子见许由,yi'er'zi'jian'xu'you
意而子曰,yi'er'zi'yue
一偾一起,yi'fen'yi'qi
已夫,yi'fu
以富为是者,yi'fu'wei'shi'zhe
以扶吾形,yi'fu'wu'xing
以夫子之行为奚如,yi'fu'zi'zhi'xing'wei'xi'ru
以感其意,yi'gan'qi'yi
以告壶子,yi'gao'hu'zi
以告孔子,yi'gao'kong'zi
以告孔子曰,yi'gao'kong'zi'yue
以告颜回曰,yi'gao'yan'hui'yue
以功观之,yi'gong'guan'zhi
羿工乎中微而拙乎使人无己誉,yi'gong'hu'zhong'wei'er'zhuo'hu'shi'ren'wu'ji'yu
以钩注者惮,yi'gou'zhu'zhe'dan
抑固窭邪,yi'gu'ju'xie
以观无妄,yi'guan'wu'wang
以观众人之耳目哉,yi'guan'zhong'ren'zhi'er'mu'zai
翼广七尺,yi'guang'qi'chi
亦好背而毁之,yi'hao'bei'er'hui'zhi
以豪桀士为夹,yi'hao'jie'shi'wei'jia
以和为量,yi'he'wei'liang
亦何闻焉,yi'he'wen'yan
亦何闻于夫子,yi'he'wen'yu'fu'zi
以候敖者,yi'hou'ao'zhe
已乎,yi'hu
一呼而不闻,yi'hu'er'bu'wen
依乎天理,yi'hu'tian'li
已化而生,yi'hua'er'sheng
以黄帝为知言,yi'huang'di'wei'zhi'yan
以黄金注者,yi'huang'jin'zhu'zhe
一晦一明,yi'hui'yi'ming
义兼于德,yi'jian'yu'de
以奸者七十二君,yi'jian'zhe'qi'shi'er'jun
亦将不与之遗,yi'jiang'bu'yu'zhi'yi
亦将何规哉,yi'jiang'he'gui'zai
以教后世,yi'jiao'hou'shi
夷节归,yi'jie'gui
以洁吾行,yi'jie'wu'xing
夷节言之于王,yi'jie'yan'zhi'yu'wang
以敬孝易,yi'jing'xiao'yi
一君无所钩用,yi'jun'wu'suo'gou'yong
以可不可为一贯者,yi'ke'bu'ke'wei'yi'guan'zhe
义可亏也,yi'ke'kui'ye
亦可以为得矣,yi'ke'yi'wei'de'yi
以苦一国之民,yi'ku'yi'guo'zhi'min
以筐盛矢,yi'kuang'sheng'shi
以窥其所不休者,yi'kui'qi'suo'bu'xiu'zhe
以礼为翼,yi'li'wei'yi
以礼为翼者,yi'li'wei'yi'zhe
以隶相尊,yi'li'xiang'zun
以礼饮酒者,yi'li'yin'jiu'zhe
一龙一蛇,yi'long'yi'she
以鲁国而儒者一人耳,yi'lu'guo'er'ru'zhe'yi'ren'er
颐辂生乎食醯,yi'lu'sheng'hu'shi'xi
亦乱人也,yi'luan'ren'ye
已乱天下矣,yi'luan'tian'xia'yi
以马捶,yi'ma'chui
以马喻马之非马,yi'ma'yu'ma'zhi'fei'ma
以每成功,yi'mei'cheng'gong
以媚一世,yi'mei'yi'shi
医门多疾,yi'men'duo'ji
以迷惑天下之主,yi'mi'huo'tian'xia'zhi'zhu
以迷天下之主,yi'mi'tian'xia'zhi'zhu
已灭矣,yi'mie'yi
以明,yi'ming
义明而物亲,yi'ming'er'wu'qin
异名同实,yi'ming'tong'shi
以目视目,yi'mu'shi'mu
蚁慕羊肉,yi'mu'yang'rou
亦乃取于是者也,yi'nai'qu'yu'shi'zhe'ye
一年而野,yi'nian'er'ye
以其不知也,yi'qi'bu'zhi'ye
遗其耳目,yi'qi'er'mu
倚其户与之语曰,yi'qi'hu'yu'zhi'yu'yue
以其忘之也,yi'qi'wang'zhi'ye
以其心得其常心,yi'qi'xin'de'qi'chang'xin
壹其性,yi'qi'xing
易其性则异矣,yi'qi'xing'ze'yi'yi
遗其玄珠,yi'qi'xuan'zhu
以其知得其心,yi'qi'zhi'de'qi'xin
宜栖之深林,yi'qi'zhi'shen'lin
以其至小,yi'qi'zhi'xiao
以其知之所知以养其知之所不知,yi'qi'zhi'zhi'suo'zhi'yi'yang'qi'zhi'zhi'suo'bu'zhi
以其知之也,yi'qi'zhi'zhi'ye
以强陵弱,yi'qiang'ling'ruo
以挈天地,yi'qie'tian'di
以清廉士为锷,yi'qing'lian'shi'wei'e
一清一浊,yi'qing'yi'zhuo
以穷为辱,yi'qiong'wei'ru
宜楸柏桑,yi'qiu'bai'sang
以求复其初,yi'qiu'fu'qi'chu
衣裘褐,yi'qiu'he
以求容与其心,yi'qiu'rong'yu'qi'xin
以丘为必使楚王之召己也,yi'qiu'wei'bi'shi'chu'wang'zhi'zhao'ji'ye
以求致其明,yi'qiu'zhi'qi'ming
以趣观之,yi'qu'guan'zhi
亦去其害马者而已矣,yi'qu'qi'hai'ma'zhe'er'yi'yi
一曲之人也,yi'qu'zhi'ren'ye
异鹊从而利之,yi'que'cong'er'li'zhi
异鹊感吾颡,yi'que'gan'wu'sang
一雀适羿,yi'que'shi'yi
以让卞随,yi'rang'bian'sui
意仁义其非人情乎,yi'ren'yi'qi'fei'ren'qing'hu
以人之言而遗我粟,yi'ren'zhi'yan'er'yi'wo'su
异日,yi'ri
一日浸百畦,yi'ri'jin'bai'qi
一汝度,yi'ru'du
意如飘风,yi'ru'piao'feng
易辱人以言,yi'ru'ren'yi'yan
一汝视,yi'ru'shi
以汝为虫臂乎,yi'ru'wei'chong'bi'hu
以汝为鼠肝乎,yi'ru'wei'shu'gan'hu
翼若垂天之云,yi'ruo'chui'tian'zhi'yun
亦若此而已矣,yi'ruo'ci'er'yi'yi
亦若此矣,yi'ruo'ci'yi
一若虎,yi'ruo'hu
亦若是则已矣,yi'ruo'shi'ze'yi'yi
以善处丧盖鲁国,yi'shan'chu'sang'gai'lu'guo
以善毁爵为官师,yi'shan'hui'jue'wei'guan'shi
一上一下,yi'shang'yi'xia
义设于适,yi'she'yu'shi
以蜃盛溺,yi'shen'sheng'ni
以神为马,yi'shen'wei'ma
亦神者不胜,yi'shen'zhe'bu'sheng
以圣人之道告圣人之才,yi'sheng'ren'zhi'dao'gao'sheng'ren'zhi'cai
以盛水浆,yi'sheng'shui'jiang
以生为脊,yi'sheng'wei'ji
以生为体,yi'sheng'wei'ti
一盛一衰,yi'sheng'yi'shuai
遗生则精不亏,yi'sheng'ze'jing'bu'kui
以湿,yi'shi
移是,yi'shi
义士存焉,yi'shi'cun'yan
易世而无以相贱,yi'shi'er'wu'yi'xiang'jian
以侍门庭,yi'shi'men'ting
以是其所非而非其所是,yi'shi'qi'suo'fei'er'fei'qi'suo'shi
以十仞之台县众间者也,yi'shi'ren'zhi'tai'xian'zhong'jian'zhe'ye
以失为在己,yi'shi'wei'zai'ji
已失矣,yi'shi'yi
以是知其天也,yi'shi'zhi'qi'tian'ye
一受其成形,yi'shou'qi'cheng'xing
倚树而吟,yi'shu'er'yin
以数之多者号而读之也,yi'shu'zhi'duo'zhe'hao'er'du'zhi'ye
以水救水,yi'shui'jiu'shui
以顺三光,yi'shun'san'guang
以顺四时,yi'shun'si'shi
以顺天下,yi'shun'tian'xia
以舜之德为未至也,yi'shun'zhi'de'wei'wei'zhi'ye
