阿爸父,a'ba'fu
灵灵教,ling'ling'jiao
灵奶,ling'nai
领你悔改,ling'ni'hui'gai
灵磐石,ling'pan'shi
灵人,ling'ren
领人,ling'ren
领受,ling'shou
领受了,ling'shou'le
领受真道,ling'shou'zhen'dao
灵死,ling'si
灵死在肉体中,ling'si'zai'rou'ti'zhong
灵体,ling'ti
聆听,ling'ting
灵我,ling'wo
灵洗,ling'xi
灵写,ling'xie
灵心,ling'xin
灵性,ling'xing
灵性的复活,ling'xing'de'fu'huo
灵性复活,ling'xing'fu'huo
灵眼,ling'yan
灵意,ling'yi
灵意解经,ling'yi'jie'jing
另有一安息日的安息,ling'you'yi'an'xi'ri'de'an'xi
另有一番心志,ling'you'yi'fan'xin'zhi
灵与魂与身子,ling'yu'hun'yu'shen'zi
灵与肉分开,ling'yu'rou'fen'kai
六百多条,liu'bai'duo'tiao
六百六十六,liu'bai'liu'shi'liu
六百十三条,liu'bai'shi'san'tiao
六百一十三条,liu'bai'yi'shi'san'tiao
留点心,liu'dian'xin
留点心眼,liu'dian'xin'yan
硫磺火湖,liu'huang'huo'hu
流奶与蜜,liu'nai'yu'mi
流奶与蜜之地,liu'nai'yu'mi'zhi'di
流淌,liu'tang
留心去作,liu'xin'qu'zuo
留心去做,liu'xin'qu'zuo
流血,liu'xue
流一次血,liu'yi'ci'xue
留着,liu'zhe
留着还有用,liu'zhe'hai'you'yong
留着用,liu'zhe'yong
路得,lu'de
路得记,lu'de'ji
路得氏,lu'de'shi
陆地与洋海分开,lu'di'yu'yang'hai'fen'kai
路加,lu'jia
路加福音,lu'jia'fu'yin
掳来,lu'lai
掳掠,lu'lue
掳去,lu'qu
卤水点豆腐,lu'shui'dian'dou'fu
卤水点豆腐一物降一物,lu'shui'dian'dou'fu'yi'wu'xiang'yi'wu
卤水放在豆浆里,lu'shui'fang'zai'dou'jiang'li
卤水放在豆浆里变豆腐,lu'shui'fang'zai'dou'jiang'li'bian'dou'fu
论到时候日期,lun'dao'shi'hou'ri'qi
论断,lun'duan
论断人,lun'duan'ren
论断自己,lun'duan'zi'ji
罗波安,luo'bo'an
罗马书,luo'ma'shu
骆驼毛的衣服,luo'tuo'mao'de'yi'fu
落在地里死了,luo'zai'di'li'si'le
落在后头,luo'zai'hou'tou
落在律法字句中,luo'zai'lv'fa'zi'ju'zhong
落在魔鬼的网罗里,luo'zai'mo'gui'de'wang'luo'li
落在魔鬼所受的刑罚里,luo'zai'mo'gui'suo'shou'de'xing'fa'li
落在神的公义里,luo'zai'shen'de'gong'yi'li
落在咒诅里,luo'zai'zhou'zu'li
骡子,luo'zi
屡次,lv'ci
绿豆芽,lv'dou'ya
律法,lv'fa
律法被,lv'fa'bei
律法被谁碰到了谁死,lv'fa'bei'shui'peng'dao'le'shui'si
律法本来就是绝路,lv'fa'ben'lai'jiu'shi'jue'lu
律法不,lv'fa'bu
律法不能救人,lv'fa'bu'neng'jiu'ren
律法不是,lv'fa'bu'shi
律法不是给你守的,lv'fa'bu'shi'gei'ni'shou'de
律法不是给人守的,lv'fa'bu'shi'gei'ren'shou'de
律法不是叫人称义的,lv'fa'bu'shi'jiao'ren'cheng'yi'de
律法不是为义人设立的,lv'fa'bu'shi'wei'yi'ren'she'li'de
律法成全,lv'fa'cheng'quan
律法称义,lv'fa'cheng'yi
律法的功用是塞人口的,lv'fa'de'gong'yong'shi'sai'ren'kou'de
律法的精意,lv'fa'de'jing'yi
律法的精意基督,lv'fa'de'jing'yi'ji'du
律法的精意是基督,lv'fa'de'jing'yi'shi'ji'du
律法的路是定罪的路,lv'fa'de'lu'shi'ding'zui'de'lu
律法的路是毒钩的路,lv'fa'de'lu'shi'du'gou'de'lu
律法的善,lv'fa'de'shan
律法的实体,lv'fa'de'shi'ti
律法的实体基督,lv'fa'de'shi'ti'ji'du
律法的实体是基督,lv'fa'de'shi'ti'shi'ji'du
律法的咒诅,lv'fa'de'zhou'zu
律法的字句,lv'fa'de'zi'ju
律法的总结,lv'fa'de'zong'jie
律法的总结基督,lv'fa'de'zong'jie'ji'du
律法的总结就是基督,lv'fa'de'zong'jie'jiu'shi'ji'du
律法的总结是基督,lv'fa'de'zong'jie'shi'ji'du
律法既因肉体软弱,lv'fa'ji'yin'rou'ti'ruan'ruo
律法精意基督,lv'fa'jing'yi'ji'du
律法上的规条,lv'fa'shang'de'gui'tiao
律法生恶欲,lv'fa'sheng'e'yu
律法是,lv'fa'shi
律法是定罪的路,lv'fa'shi'ding'zui'de'lu
律法是毒钩的路,lv'fa'shi'du'gou'de'lu
律法是叫过犯显多,lv'fa'shi'jiao'guo'fan'xian'duo
律法是叫人服法的,lv'fa'shi'jiao'ren'fu'fa'de
律法是叫人服气,lv'fa'shi'jiao'ren'fu'qi
律法是叫人知罪,lv'fa'shi'jiao'ren'zhi'zui
律法是绝路,lv'fa'shi'jue'lu
律法是惹动忿怒的,lv'fa'shi're'dong'fen'nu'de
律法是惹神忿怒的,lv'fa'shi're'shen'fen'nu'de
律法是塞人口的,lv'fa'shi'sai'ren'kou'de
律法是审判人的,lv'fa'shi'shen'pan'ren'de
律法是死路,lv'fa'shi'si'lu
律法实体基督,lv'fa'shi'ti'ji'du
律法是我们训蒙的师傅,lv'fa'shi'wo'men'xun'meng'de'shi'fu
律法是下地狱的路,lv'fa'shi'xia'di'yu'de'lu
律法是刑罚人的,lv'fa'shi'xing'fa'ren'de
律法是刑罚人的工具,lv'fa'shi'xing'fa'ren'de'gong'ju
律法是训蒙的师傅,lv'fa'shi'xun'meng'de'shi'fu
律法是要命的,lv'fa'shi'yao'ming'de
律法是一条死路,lv'fa'shi'yi'tiao'si'lu
律法书上所记一切之事,lv'fa'shu'shang'suo'ji'yi'qie'zhi'shi
律法谁碰到了谁死,lv'fa'shui'peng'dao'le'shui'si
律法下,lv'fa'xia
律法下跟奴仆毫无分别,lv'fa'xia'gen'nu'pu'hao'wu'fen'bie
律法下赎出来,lv'fa'xia'shu'chu'lai
律法以下之人,lv'fa'yi'xia'zhi'ren
律法与恩典分开,lv'fa'yu'en'dian'fen'kai
律法原不本乎信,lv'fa'yuan'bu'ben'hu'xin
律法原是为过犯添上的,lv'fa'yuan'shi'wei'guo'fan'tian'shang'de
律法彰显神的公义,lv'fa'zhang'xian'shen'de'gong'yi
律法掌罪权,lv'fa'zhang'zui'quan
律法之下,lv'fa'zhi'xia
律法之下赎出来,lv'fa'zhi'xia'shu'chu'lai
律法之下赎买出来,lv'fa'zhi'xia'shu'mai'chu'lai
律法字句,lv'fa'zi'ju
律法总结基督,lv'fa'zong'jie'ji'du
驴驹,lv'ju
律例,lv'li
马大,ma'da
麻疯,ma'feng
马可,ma'ke
马可福音,ma'ke'fu'yin
马利亚,ma'li'ya
吗哪,ma'na
吗哪罐,ma'na'guan
玛拿西,ma'na'xi
马其顿,ma'qi'dun
马太,ma'tai
马太福音,ma'tai'fu'yin
马提亚,ma'ti'ya
卖给罪,mai'gei'zui
卖给罪了,mai'gei'zui'le
麦基洗德,mai'ji'xi'de
麦基洗德的等次,mai'ji'xi'de'de'deng'ci
埋葬,mai'zang
埋葬了,mai'zang'le
幔内,man'nei
满溢,man'yi
满有基督的身量,man'you'ji'du'de'shen'liang
幔帐,man'zhang
幔帐裂开,man'zhang'lie'kai
幔子,man'zi
幔子从上到下裂为两半,man'zi'cong'shang'dao'xia'lie'wei'liang'ban
幔子裂开,man'zi'lie'kai
满足,man'zu
美德,mei'de
每逢,mei'feng
美好的地步,mei'hao'de'di'bu
美好的盼望,mei'hao'de'pan'wang
美好的仗,mei'hao'de'zhang
美善,mei'shan
没事找事,mei'shi'zhao'shi
没药,mei'yao
美意本是如此,mei'yi'ben'shi'ru'ci
没有绊跌的缘由,mei'you'ban'die'de'yuan'you
没有定向,mei'you'ding'xiang
没有敬虔的生命,mei'you'jing'qian'de'sheng'ming
没有敬虔的实质,mei'you'jing'qian'de'shi'zhi
没有可责之处,mei'you'ke'ze'zhi'chu
没有良善,mei'you'liang'shan
没有灵性,mei'you'ling'xing
没有律法禁止,mei'you'lv'fa'jin'zhi
没有律法罪是死的,mei'you'lv'fa'zui'shi'si'de
没有律法罪也不算罪,mei'you'lv'fa'zui'ye'bu'suan'zui
没有人能到父那里去,mei'you'ren'neng'dao'fu'na'li'qu
没有生命,mei'you'sheng'ming
没有属灵的敬虔,mei'you'shu'ling'de'jing'qian
没有属灵的生命,mei'you'shu'ling'de'sheng'ming
没有属灵的真敬虔,mei'you'shu'ling'de'zhen'jing'qian
没有瑕疵,mei'you'xia'ci
没有一个人,mei'you'yi'ge'ren
没有一人,mei'you'yi'ren
没有一人因行律法称义,mei'you'yi'ren'yin'xing'lv'fa'cheng'yi
没有一事叫我羞愧,mei'you'yi'shi'jiao'wo'xiu'kui
没有一样可弃的,mei'you'yi'yang'ke'qi'de
没有再来一次,mei'you'zai'lai'yi'ci
没有指望的人,mei'you'zhi'wang'de'ren
昧着良心,mei'zhe'liang'xin
门徒,men'tu
蒙爱,meng'ai
蒙爱的人,meng'ai'de'ren
蒙蔽,meng'bi
蒙蔽在不信的人身上,meng'bi'zai'bu'xin'de'ren'shen'shang
蒙慈爱的儿女,meng'ci'ai'de'er'nv
蒙大恩,meng'da'en
蒙恩,meng'en
蒙恩的人,meng'en'de'ren
蒙恩的义人,meng'en'de'yi'ren
蒙了,meng'le
蒙了圣灵所赐的喜乐,meng'le'sheng'ling'suo'ci'de'xi'le
蒙应许,meng'ying'xu
蒙应允,meng'ying'yun
蒙悦纳,meng'yue'na
蒙召,meng'zhao
蒙着脸,meng'zhe'lian
蒙拯救,meng'zheng'jiu
梦中显现,meng'zhong'xian'xian
迷惑,mi'huo
迷惑人,mi'huo'ren
弥赛亚,mi'sai'ya
迷失,mi'shi
免得,mian'de
免得我忧上加忧,mian'de'wo'you'shang'jia'you
免得有人自夸,mian'de'you'ren'zi'kua
面酵,mian'jiao
勉励,mian'li
勉励灰心的人,mian'li'hui'xin'de'ren
勉励行善,mian'li'xing'shan
勉强,mian'qiang
面团,mian'tuan
绵羊,mian'yang
藐视,miao'shi
灭尽,mie'jin
灭绝,mie'jue
灭绝罪身,mie'jue'zui'shen
灭命的,mie'ming'de
灭亡,mie'wang
灭亡的路,mie'wang'de'lu
灭亡了,mie'wang'le
灭亡之路,mie'wang'zhi'lu
民数记,min'shu'ji
明白救恩,ming'bai'jiu'en
明白真道,ming'bai'zhen'dao
命定,ming'ding
名分,ming'fen
名副其实,ming'fu'qi'shi
命令的总归就是爱,ming'ling'de'zong'gui'jiu'shi'ai
明明的羞辱祂,ming'ming'de'xiu'ru'ta
明明可知,ming'ming'ke'zhi
名望,ming'wang
明文律法,ming'wen'lv'fa
明显,ming'xian
明显的,ming'xian'de
谬解,miu'jie
谬论,miu'lun
谬妄,miu'wang
谬妄的灵,miu'wang'de'ling
谬用,miu'yong
抹大拉的马利亚,mo'da'la'de'ma'li'ya
魔鬼的诡计,mo'gui'de'gui'ji
魔鬼的灵,mo'gui'de'ling
魔鬼藉着律法,mo'gui'ji'zhe'lv'fa
魔鬼藉着律法控告人,mo'gui'ji'zhe'lv'fa'kong'gao'ren
魔鬼知道,mo'gui'zhi'dao
末后,mo'hou
末后的亚当,mo'hou'de'ya'dang
磨难的日子,mo'nan'de'ri'zi
末期,mo'qi
默示,mo'shi
摩西的律法,mo'xi'de'lv'fa
摩西的门徒,mo'xi'de'men'tu
摩西律法,mo'xi'lv'fa
墨写,mo'xie
谋略,mou'lue
谋略的灵,mou'lue'de'ling
谋取高利,mou'qu'gao'li
母腹,mu'fu
母腹里,mu'fu'li
母腹中,mu'fu'zhong
木笼囚车,mu'long'qiu'che
母牛,mu'niu
牧人,mu'ren
牧师,mu'shi
母胎,mu'tai
牧者,mu'zhe
那赐给你们圣灵,na'ci'gei'ni'men'sheng'ling
那大罪人,na'da'zui'ren
拿俄米,na'e'mi
那恶者,na'e'zhe
那个律,na'ge'lv
那将来,na'jiang'lai
那将来的真道,na'jiang'lai'de'zhen'dao
那将来的真道显明出来,na'jiang'lai'de'zhen'dao'xian'ming'chu'lai
拿起神所赐的全副军装,na'qi'shen'suo'ci'de'quan'fu'jun'zhuang
那日子,na'ri'zi
那日子以前,na'ri'zi'yi'qian
拿撒勒,na'sa'le
拿撒勒城,na'sa'le'cheng
那杀身体不能杀灵魂的,na'sha'shen'ti'bu'neng'sha'ling'hun'de
那时辰,na'shi'chen
纳十一,na'shi'yi
那些在基督耶稣里的,na'xie'zai'ji'du'ye'su'li'de
拿信德当作藤牌,na'xin'de'dang'zuo'teng'pai
那信的人,na'xin'de'ren
那形体确是基督,na'xing'ti'que'shi'ji'du
那以信为本的人,na'yi'xin'wei'ben'de'ren
那义者,na'yi'zhe
那义者耶稣,na'yi'zhe'ye'su
那召你们,na'zhao'ni'men
那召你们的,na'zhao'ni'men'de
那召你们的本是信实的,na'zhao'ni'men'de'ben'shi'xin'shi'de
拿着簸箕,na'zhe'bo'ji
拿着圣灵的宝剑,na'zhe'sheng'ling'de'bao'jian
拿着信德当作藤牌,na'zhe'xin'de'dang'zuo'teng'pai
乃是,nai'shi
乃是基督,nai'shi'ji'du
乃是基督在我里面活着,nai'shi'ji'du'zai'wo'li'mian'huo'zhe
乃是神所赐的,nai'shi'shen'suo'ci'de
乃是说,nai'shi'shuo
乃是说你那一个子孙,nai'shi'shuo'ni'na'yi'ge'zi'sun
乃是为不法和不服的,nai'shi'wei'bu'fa'he'bu'fu'de
乃是要我们成为圣洁,nai'shi'yao'wo'men'cheng'wei'sheng'jie
乃是因,nai'shi'yin
乃是因信耶稣基督,nai'shi'yin'xin'ye'su'ji'du
乃是与,nai'shi'yu
乃是与那些,nai'shi'yu'na'xie
乃是与神的儿子相似,nai'shi'yu'shen'de'er'zi'xiang'si
乃是照无穷生命之大能,nai'shi'zhao'wu'qiong'sheng'ming'zhi'da'neng
乃属基督,nai'shu'ji'du
乃属圣灵,nai'shu'sheng'ling
耐心,nai'xin
乃要,nai'yao
乃要被圣灵充满,nai'yao'bei'sheng'ling'chong'man
乃以为是神的道,nai'yi'wei'shi'shen'de'dao
乃在,nai'zai
乃在师傅和管家的手下,nai'zai'shi'fu'he'guan'jia'de'shou'xia
难当,nan'dang
难当的担子,nan'dang'de'dan'zi
难道,nan'dao
难道果真是徒然的吗,nan'dao'guo'zhen'shi'tu'ran'de'ma
难守,nan'shou
恼恨,nao'hen
内住,nei'zhu
能使人,neng'shi'ren
能以得救,neng'yi'de'jiu
能以放胆,neng'yi'fang'dan
你不要轻忽所得的恩赐,ni'bu'yao'qing'hu'suo'de'de'en'ci
你的信,ni'de'xin
你的信救了你,ni'de'xin'jiu'le'ni
你的罪赦了,ni'de'zui'she'le
尼哥底母,ni'ge'di'mu
尼哥底母式的信仰,ni'ge'di'mu'shi'de'xin'yang
你们必须重生,ni'men'bi'xu'chong'sheng
你们必要死在罪中,ni'men'bi'yao'si'zai'zui'zhong
你们当负我的轭,ni'men'dang'fu'wo'de'e
你们得救是本乎恩,ni'men'de'jiu'shi'ben'hu'en
你们都是光明之子,ni'men'dou'shi'guang'ming'zhi'zi
你们既靠圣灵入门,ni'men'ji'kao'sheng'ling'ru'men
你们若是与基督同死,ni'men'ruo'shi'yu'ji'du'tong'si
你们是这样的无知吗,ni'men'shi'zhe'yang'de'wu'zhi'ma
你们受苦如此之多,ni'men'shou'ku'ru'ci'zhi'duo
你们受洗归入基督的,ni'men'shou'xi'gui'ru'ji'du'de
你们死在过犯罪恶之中,ni'men'si'zai'guo'fan'zui'e'zhi'zhong
你们洗净杯盘的外面,ni'men'xi'jing'bei'pan'de'wai'mian
你们学了基督,ni'men'xue'le'ji'du
你们要靠着主,ni'men'yao'kao'zhe'zhu
你们要靠主常常喜乐,ni'men'yao'kao'zhu'chang'chang'xi'le
你们也为此蒙召,ni'men'ye'wei'ci'meng'zhao
你们也要怎样饶恕人,ni'men'ye'yao'zen'yang'rao'shu'ren
你们已经死了,ni'men'yi'jing'si'le
你们总不要被他诱惑,ni'men'zong'bu'yao'bei'ta'you'huo
你那一个子孙,ni'na'yi'ge'zi'sun
你若肯,ni'ruo'ken
你若信,ni'ruo'xin
你向来所服从,ni'xiang'lai'suo'fu'cong
你向来所服从的善道上,ni'xiang'lai'suo'fu'cong'de'shan'dao'shang
你要吩咐人也要教导人,ni'yao'fen'fu'ren'ye'yao'jiao'dao'ren
你这睡着的人,ni'zhe'shui'zhao'de'ren
捏造恶事,nie'zao'e'shi
拧成一团,ning'cheng'yi'tuan
牛羊的血,niu'yang'de'xue
弄虚作假,nong'xu'zuo'jia
奴隶,nu'li
努力面前,nu'li'mian'qian
奴仆,nu'pu
奴仆不能永远住在家里,nu'pu'bu'neng'yong'yuan'zhu'zai'jia'li
奴仆的轭,nu'pu'de'e
奴仆的形象,nu'pu'de'xing'xiang
奴仆的样式,nu'pu'de'yang'shi
奴仆的样子,nu'pu'de'yang'zi
懦弱无用的小学,nuo'ruo'wu'yong'de'xiao'xue
挪亚,nuo'ya
偶然,ou'ran
偶然被过犯所胜,ou'ran'bei'guo'fan'suo'sheng
偶像,ou'xiang
帕子,pa'zi
叛道,pan'dao
判定,pan'ding
判断人的,pan'duan'ren'de
磐石,pan'shi
磐石出水,pan'shi'chu'shui
盼望,pan'wang
配得,pei'de
配得过,pei'de'guo
配得过所蒙的召,pei'de'guo'suo'meng'de'zhao
配拿,pei'na
配受,pei'shou
碰不得,peng'bu'de
碰到律法就是罪,peng'dao'lv'fa'jiu'shi'zui
披戴,pi'dai
皮带,pi'dai
披戴基督,pi'dai'ji'du
偏待,pian'dai
偏离,pian'li
片面,pian'mian
偏于邪,pian'yu'xie
凭爱心行事,ping'ai'xin'xing'shi
平安的福音,ping'an'de'fu'yin
平安的福音鞋,ping'an'de'fu'yin'xie
平安祭,ping'an'ji
平安稳妥,ping'an'wen'tuo
平安无事的度日,ping'an'wu'shi'de'du'ri
平静安稳,ping'jing'an'wen
凭据,ping'ju
凭看,ping'kan
凭灵信,ping'ling'xin
凭人手,ping'ren'shou
凭肉,ping'rou
凭肉体,ping'rou'ti
凭肉眼看,ping'rou'yan'kan
平坦的道路,ping'tan'de'dao'lu
凭信,ping'xin
凭信心,ping'xin'xin
凭信心求,ping'xin'xin'qiu
凭行为,ping'xing'wei
凭行为求,ping'xing'wei'qiu
凭眼见,ping'yan'jian
凭着,ping'zhe
凭着信,ping'zhe'xin
凭着耶稣的血,ping'zhe'ye'su'de'xue
凭着应许,ping'zhe'ying'xu
迫害,po'hai
破坏救恩,po'huai'jiu'en
破坏了它那个律,po'huai'le'ta'na'ge'lv
破坏律,po'huai'lv
破坏神的救恩,po'huai'shen'de'jiu'en
破坏神与人之间的关系,po'huai'shen'yu'ren'zhi'jian'de'guan'xi
破坏它的律,po'huai'ta'de'lv
破坏罪,po'huai'zui
破坏罪的律,po'huai'zui'de'lv
仆人,pu'ren
仆役,pu'yi
普照在地上,pu'zhao'zai'di'shang
起初,qi'chu
七灯台,qi'deng'tai
七号,qi'hao
欺哄,qi'hong
起假誓,qi'jia'shi
欺骗人的法术,qi'pian'ren'de'fa'shu
祈求,qi'qiu
七日的第一日,qi'ri'de'di'yi'ri
奇事,qi'shi
岂是,qi'shi
起誓,qi'shi
启示录,qi'shi'lu
起诉人,qi'su'ren
七头十角,qi'tou'shi'jiao
七碗,qi'wan
齐心努力,qi'xin'nu'li
七印,qi'yin
欺诈,qi'zha
起争端,qi'zheng'duan
掐住他的喉咙,qia'zhu'ta'de'hou'long
谦卑,qian'bei
牵挂,qian'gua
前呼后应,qian'hu'hou'ying
虔敬,qian'jing
谦让的心,qian'rang'de'xin
欠他们的债,qian'ta'men'de'zhai
前头,qian'tou
千禧年,qian'xi'nian
前约,qian'yue
前约的罪,qian'yue'de'zui
前约亚当之时,qian'yue'ya'dang'zhi'shi
前约之时,qian'yue'zhi'shi
迁至,qian'zhi
迁至巴比伦,qian'zhi'ba'bi'lun
强夺,qiang'duo
强夺荣耀,qiang'duo'rong'yao
抢人口,qiang'ren'kou
抢人口和说谎话的,qiang'ren'kou'he'shuo'huang'hua'de
切慕,qie'mu
切切的想念你们众人,qie'qie'de'xiang'nian'ni'men'zhong'ren
且生在律法以下,qie'sheng'zai'lv'fa'yi'xia
且死在十字架上,qie'si'zai'shi'zi'jia'shang
且要存感谢的心,qie'yao'cun'gan'xie'de'xin
亲男色,qin'nan'se
亲手作工,qin'shou'zuo'gong
轻忽,qing'hu
清洁的良心,qing'jie'de'liang'xin
清洁的心,qing'jie'de'xin
清洁上,qing'jie'shang
轻慢,qing'man
轻慢神,qing'man'shen
轻省的,qing'sheng'de
轻易,qing'yi
情欲,qing'yu
情欲的,qing'yu'de
情欲的事,qing'yu'de'shi
情愿离世与基督同在,qing'yuan'li'shi'yu'ji'du'tong'zai
情愿再给,qing'yuan'zai'gei
求荣耀,qiu'rong'yao
取了奴仆的形象,qu'le'nu'pu'de'xing'xiang
取利,qu'li
去守,qu'shou
去守旧约,qu'shou'jiu'yue
取死,qu'si
取死的身体,qu'si'de'shen'ti
屈膝,qu'xi
去行,qu'xing
全备,quan'bei
全备的救恩,quan'bei'de'jiu'en
全备的救法,quan'bei'de'jiu'fa
权柄,quan'bing
全部成功了,quan'bu'cheng'gong'le
全部成就了,quan'bu'cheng'jiu'le
全部了结了,quan'bu'le'jie'le
全部完结了,quan'bu'wan'jie'le
圈到,quan'dao
全都成就了,quan'dou'cheng'jiu'le
全都作成了,quan'dou'zuo'cheng'le
全副军装,quan'fu'jun'zhuang
劝戒,quan'jie
劝老年妇女如同母亲,quan'lao'nian'fu'nv'ru'tong'mu'qin
犬类,quan'lei
劝勉,quan'mian
权能,quan'neng
全能的神,quan'neng'de'shen
全能神,quan'neng'shen
圈跑,quan'pao
全然,quan'ran
全然成圣,quan'ran'cheng'sheng
劝少年妇女如同姐妹,quan'shao'nian'fu'nv'ru'tong'jie'mei
劝少年人如同弟兄,quan'shao'nian'ren'ru'tong'di'xiong
全身都靠祂联络得合式,quan'shen'dou'kao'ta'lian'luo'de'he'shi
全身既然靠着祂,quan'shen'ji'ran'kao'zhe'ta
权势下,quan'shi'xia
全团发起来,quan'tuan'fa'qi'lai
劝慰,quan'wei
全业,quan'ye
全业的主人,quan'ye'de'zhu'ren
泉源,quan'yuan
圈在,quan'zai
圈在不顺服之中,quan'zai'bu'shun'fu'zhi'zhong
圈在罪里,quan'zai'zui'li
圈在罪中,quan'zai'zui'zhong
却不明白自己所讲说的,que'bu'ming'bai'zi'ji'suo'jiang'shuo'de
却当看自己是活的,que'dang'kan'zi'ji'shi'huo'de
确据,que'ju
缺欠,que'qian
却仍旧,que'reng'jiu
却仍旧是罪人,que'reng'jiu'shi'zui'ren
瘸腿,que'tui
缺心眼,que'xin'yan
群羊,qun'yang
群羊的牧人,qun'yang'de'mu'ren
然而我还蒙了怜悯,ran'er'wo'hai'meng'le'lian'min
嚷闹,rang'nao
饶恕,rao'shu
饶恕人,rao'shu'ren
惹动,re'dong
惹儿女的气,re'er'nv'de'qi
惹气,re'qi
惹神忿怒,re'shen'fen'nu
热铁,re'tie
热心,re'xin
仁爱,ren'ai
人本主义,ren'ben'zhu'yi
人不拘用什么法子,ren'bu'ju'yong'shen'me'fa'zi
人称义,ren'cheng'yi
人称义不是因行律法,ren'cheng'yi'bu'shi'yin'xing'lv'fa
人的道,ren'de'dao
人的理,ren'de'li
人的人,ren'de'ren
人的文约,ren'de'wen'yue
人的信,ren'de'xin
人的行为,ren'de'xing'wei
人的样式,ren'de'yang'shi
人的样子,ren'de'yang'zi
人的义,ren'de'yi
人的意思,ren'de'yi'si
人的智慧,ren'de'zhi'hui
人的罪,ren'de'zui
人后,ren'hou
人间的善,ren'jian'de'shan
忍耐,ren'nai
忍耐的心,ren'nai'de'xin
任凭,ren'ping
人前,ren'qian
人人都有一死,ren'ren'dou'you'yi'si
人若无有,ren'ruo'wu'you
人若无有自己还以为有,ren'ruo'wu'you'zi'ji'hai'yi'wei'you
认识真理,ren'shi'zhen'li
人手所造,ren'shou'suo'zao
人为的义,ren'wei'de'yi
人意,ren'yi
仁义,ren'yi
人以为,ren'yi'wei
人以为恶,ren'yi'wei'e
人以为非,ren'yi'wei'fei
人以为好,ren'yi'wei'hao
人以为美,ren'yi'wei'mei
人以为善,ren'yi'wei'shan
人以为是,ren'yi'wei'shi
人以为义,ren'yi'wei'yi
人以为有,ren'yi'wei'you
人以为正,ren'yi'wei'zheng
人与动物分开,ren'yu'dong'wu'fen'kai
人正说平安稳妥的时候,ren'zheng'shuo'ping'an'wen'tuo'de'shi'hou
人种的是什么,ren'zhong'de'shi'shen'me
人最容易,ren'zui'rong'yi
仍旧,reng'jiu
仍旧是一粒,reng'jiu'shi'yi'li
仍像在世俗中活着,reng'xiang'zai'shi'su'zhong'huo'zhe
扔在硫磺火湖里,reng'zai'liu'huang'huo'hu'li
日头照好人也照歹人,ri'tou'zhao'hao'ren'ye'zhao'dai'ren
荣美的杖,rong'mei'di'zhang
荣面,rong'mian
容让,rong'rang
容让顺服,rong'rang'shun'fu
荣上加荣,rong'shang'jia'rong
荣耀,rong'yao
荣耀的复活,rong'yao'de'fu'huo
荣耀的冠冕,rong'yao'de'guan'mian
荣耀的盼望,rong'yao'de'pan'wang
荣耀的身体,rong'yao'de'shen'ti
荣耀福音,rong'yao'fu'yin
荣耀归神,rong'yao'gui'shen
荣耀归于神,rong'yao'gui'yu'shen
肉耳,rou'er
柔和谦卑,rou'he'qian'bei
肉祭,rou'ji
肉加上守,rou'jia'shang'shou
肉加上守律法,rou'jia'shang'shou'lv'fa
肉加上守迎合死的律,rou'jia'shang'shou'ying'he'si'de'lv
肉加守,rou'jia'shou
肉块,rou'kuai
肉身成全,rou'shen'cheng'quan
肉身上,rou'shen'shang
肉身显现,rou'shen'xian'xian
肉身中,rou'shen'zhong
肉死,rou'si
肉体的复活,rou'ti'de'fu'huo
肉体的过犯,rou'ti'de'guo'fan
肉体的情欲,rou'ti'de'qing'yu
肉体的善,rou'ti'de'shan
肉体复活,rou'ti'fu'huo
肉体过犯,rou'ti'guo'fan
肉体加守律法,rou'ti'jia'shou'lv'fa
肉体加守律法就是死,rou'ti'jia'shou'lv'fa'jiu'shi'si
肉体夸口,rou'ti'kua'kou
肉体情欲,rou'ti'qing'yu
肉体情欲的割礼,rou'ti'qing'yu'de'ge'li
肉体去守律法,rou'ti'qu'shou'lv'fa
肉体肉体与肉体,rou'ti'rou'ti'yu'rou'ti
肉体软弱,rou'ti'ruan'ruo
肉体是必死的,rou'ti'shi'bi'si'de
肉体是无益的,rou'ti'shi'wu'yi'de
肉体死,rou'ti'si
肉体之中,rou'ti'zhi'zhong
肉体中,rou'ti'zhong
肉我,rou'wo
肉心,rou'xin
肉眼,rou'yan
如此受苦,ru'ci'shou'ku
如此之多,ru'ci'zhi'duo
入教,ru'jiao
如今还靠肉身成全吗,ru'jin'hai'kao'rou'shen'cheng'quan'ma
如今又发生,ru'jin'you'fa'sheng
入了,ru'le
如同被热铁烙惯了一般,ru'tong'bei're'tie'lao'guan'le'yi'ban
如同船破坏了一般,ru'tong'chuan'po'huai'le'yi'ban
如同弟兄,ru'tong'di'xiong
如同父亲,ru'tong'fu'qin
如同姐妹,ru'tong'jie'mei
如同母亲,ru'tong'mu'qin
乳香,ru'xiang
乳养,ru'yang
软弱,ruan'ruo
若不,ruo'bu
若不藉着我,ruo'bu'ji'zhe'wo
若不藉着主,ruo'bu'ji'zhe'zhu
若不流血罪不得赦免,ruo'bu'liu'xue'zui'bu'de'she'mian
若不是耶和华建造房屋,ruo'bu'shi'ye'he'hua'jian'zao'fang'wu
若重新建造,ruo'chong'xin'jian'zao
若感谢着领受,ruo'gan'xie'zhe'ling'shou
