阿洪病,a'hong'bing
太阳中虚里急证,tai'yang'zhong'xu'li'ji'zheng
太乙穴,tai'yi'xue
太阴病,tai'yin'bing
太阴腹痛证,tai'yin'fu'tong'zheng
太阴寒湿郁结证,tai'yin'han'shi'yu'jie'zheng
太阴兼表证,tai'yin'jian'biao'zheng
太阴虚寒证,tai'yin'xu'han'zheng
太阴证,tai'yin'zheng
太渊,tai'yuan
太渊穴,tai'yuan'xue
胎中胎,tai'zhong'tai
太子参,tai'zi'shen
痰闭证,tan'bi'zheng
痰毒病,tan'du'bing
痰多胸闷,tan'duo'xiong'men
檀根,tan'gen
痰核留结证,tan'he'liu'jie'zheng
昙花,tan'hua
昙花茎,tan'hua'jing
碳化钨钻,tan'hua'wu'zuan
弹簧固定桥,tan'huang'gu'ding'qiao
痰火闭窍证,tan'huo'bi'qiao'zheng
痰火草,tan'huo'cao
痰火动风上扰清窍证,tan'huo'dong'feng'shang'rao'qing'qiao'zheng
痰火动风上阻清窍证,tan'huo'dong'feng'shang'zu'qing'qiao'zheng
痰火动风证,tan'huo'dong'feng'zheng
痰火犯肺证,tan'huo'fan'fei'zheng
痰火积滞证,tan'huo'ji'zhi'zheng
痰火内闭证,tan'huo'nei'bi'zheng
痰火内盛证,tan'huo'nei'sheng'zheng
痰火内蕴证,tan'huo'nei'yun'zheng
痰火扰神证,tan'huo'rao'shen'zheng
痰火扰心证,tan'huo'rao'xin'zheng
痰火上扰证,tan'huo'shang'rao'zheng
痰火升扰证,tan'huo'sheng'rao'zheng
痰火壅结证,tan'huo'yong'jie'zheng
痰火郁结证,tan'huo'yu'jie'zheng
痰火证,tan'huo'zheng
痰结毒滞证,tan'jie'du'zhi'zheng
痰结血瘀证,tan'jie'xue'yu'zheng
探究行为,tan'jiu'xing'wei
痰厥,tan'jue
痰厥病,tan'jue'bing
炭粒凝集试验,tan'li'ning'ji'shi'yan
弹力牵引,tan'li'qian'yin
弹力牵引夹板,tan'li'qian'yin'jia'ban
弹力衣,tan'li'yi
痰蒙清窍证,tan'meng'qing'qiao'zheng
痰蒙神窍证,tan'meng'shen'qiao'zheng
痰迷舌强服之醒,tan'mi'she'jiang'fu'zhi'xing
痰迷心窍,tan'mi'xin'qiao
炭末沉着,tan'mo'chen'zhuo
痰凝气滞皆能除,tan'ning'qi'zhi'jie'neng'chu
弹片伤,tan'pian'shang
痰气互结证,tan'qi'hu'jie'zheng
痰气交阻证,tan'qi'jiao'zu'zheng
痰气凝结证,tan'qi'ning'jie'zheng
痰气壅实证,tan'qi'yong'shi'zheng
痰气郁结,tan'qi'yu'jie
痰气郁结证,tan'qi'yu'jie'zheng
痰气阻膈证,tan'qi'zu'ge'zheng
碳氢化合物皮炎,tan'qing'hua'he'wu'pi'yan
痰热闭肺证,tan're'bi'fei'zheng
痰热蔽窍证,tan're'bi'qiao'zheng
痰热闭窍证,tan're'bi'qiao'zheng
痰热搏结证,tan're'bo'jie'zheng
痰热动风证,tan're'dong'feng'zheng
痰热腑实风痰上扰证,tan're'fu'shi'feng'tan'shang'rao'zheng
痰热腑实证,tan're'fu'shi'zheng
痰热结胸证,tan're'jie'xiong'zheng
痰热内闭清窍证,tan're'nei'bi'qing'qiao'zheng
痰热内闭心窍证,tan're'nei'bi'xin'qiao'zheng
痰热内闭证,tan're'nei'bi'zheng
痰热内扰证,tan're'nei'rao'zheng
痰热上蒙证,tan're'shang'meng'zheng
痰热上壅证,tan're'shang'yong'zheng
痰热壅肺证,tan're'yong'fei'zheng
痰热郁肺证,tan're'yu'fei'zheng
痰热瘀肺证,tan're'yu'fei'zheng
痰热蕴结证,tan're'yun'jie'zheng
痰热证,tan're'zheng
痰热阻肺腑有热结证,tan're'zu'fei'fu'you're'jie'zheng
痰热阻肺证,tan're'zu'fei'zheng
痰热阻结证,tan're'zu'jie'zheng
痰湿痹阻证,tan'shi'bi'zu'zheng
痰食互结证,tan'shi'hu'jie'zheng
痰湿结聚证,tan'shi'jie'ju'zheng
痰湿结滞证,tan'shi'jie'zhi'zheng
痰湿蒙蔽心神证,tan'shi'meng'bi'xin'shen'zheng
痰湿蒙蔽证,tan'shi'meng'bi'zheng
痰湿蒙窍证,tan'shi'meng'qiao'zheng
痰湿蒙塞清窍证,tan'shi'meng'sai'qing'qiao'zheng
痰湿内阻证,tan'shi'nei'zu'zheng
痰湿凝结证,tan'shi'ning'jie'zheng
痰湿侵肺证,tan'shi'qin'fei'zheng
痰湿上阻证,tan'shi'shang'zu'zheng
痰湿壅肺证,tan'shi'yong'fei'zheng
痰食壅结证,tan'shi'yong'jie'zheng
痰湿瘀滞证,tan'shi'yu'zhi'zheng
痰湿蕴肺证,tan'shi'yun'fei'zheng
痰湿蕴结证,tan'shi'yun'jie'zheng
痰湿蕴脾证,tan'shi'yun'pi'zheng
痰湿证,tan'shi'zheng
痰湿中阻证,tan'shi'zhong'zu'zheng
痰湿阻胞证,tan'shi'zu'bao'zheng
痰湿阻结证,tan'shi'zu'jie'zheng
痰湿阻络证,tan'shi'zu'luo'zheng
痰湿阻滞证,tan'shi'zu'zhi'zheng
痰涎清稀而量多,tan'xian'qing'xi'er'liang'duo
痰涎壅盛,tan'xian'yong'sheng
痰涎壅盛证,tan'xian'yong'sheng'zheng
檀香,tan'xiang
檀香泥,tan'xiang'ni
檀香油,tan'xiang'you
弹性绷带,tan'xing'beng'dai
弹性工作时间,tan'xing'gong'zuo'shi'jian
弹性纤维,tan'xing'xian'wei
谈谑喧哗,tan'xue'xuan'hua
痰血瘀滞证,tan'xue'yu'zhi'zheng
碳氧血红蛋白,tan'yang'xue'hong'dan'bai
痰饮,tan'yin
痰饮病,tan'yin'bing
痰饮喘咳,tan'yin'chuan'ke
痰饮留腹证,tan'yin'liu'fu'zheng
痰饮留膈证,tan'yin'liu'ge'zheng
痰饮内盛证,tan'yin'nei'sheng'zheng
痰饮内停证,tan'yin'nei'ting'zheng
痰饮内阻证,tan'yin'nei'zu'zheng
痰饮上逆证,tan'yin'shang'ni'zheng
痰饮停胃证,tan'yin'ting'wei'zheng
痰饮阻肺,tan'yin'zu'fei
痰壅神窍证,tan'yong'shen'qiao'zheng
痰瘀痹阻证,tan'yu'bi'zu'zheng
痰瘀搏结证,tan'yu'bo'jie'zheng
痰瘀互结证,tan'yu'hu'jie'zheng
痰瘀化火证,tan'yu'hua'huo'zheng
痰瘀滞络证,tan'yu'zhi'luo'zheng
痰中带血,tan'zhong'dai'xue
碳种植体,tan'zhong'zhi'ti
痰浊闭塞证,tan'zhuo'bi'se'zheng
痰浊闭阻证,tan'zhuo'bi'zu'zheng
痰浊化火证,tan'zhuo'hua'huo'zheng
痰浊化热证,tan'zhuo'hua're'zheng
痰浊积聚证,tan'zhuo'ji'ju'zheng
痰浊结聚证,tan'zhuo'jie'ju'zheng
痰浊蒙窍证,tan'zhuo'meng'qiao'zheng
痰浊内蒙心包证,tan'zhuo'nei'meng'xin'bao'zheng
痰浊内蕴证,tan'zhuo'nei'yun'zheng
痰浊内阻证,tan'zhuo'nei'zu'zheng
痰浊凝聚证,tan'zhuo'ning'ju'zheng
痰浊上蒙证,tan'zhuo'shang'meng'zheng
痰浊上扰证,tan'zhuo'shang'rao'zheng
痰浊阴滞证,tan'zhuo'yin'zhi'zheng
痰浊壅肺证,tan'zhuo'yong'fei'zheng
痰浊壅塞证,tan'zhuo'yong'se'zheng
痰浊瘀阻咽喉证,tan'zhuo'yu'zu'yan'hou'zheng
痰浊瘀阻证,tan'zhuo'yu'zu'zheng
痰浊蕴肺证,tan'zhuo'yun'fei'zheng
痰浊证,tan'zhuo'zheng
痰浊中阻,tan'zhuo'zhong'zu
痰浊中阻证,tan'zhuo'zhong'zu'zheng
痰浊阻肺证,tan'zhuo'zu'fei'zheng
痰浊阻胃证,tan'zhuo'zu'wei'zheng
痰阻胸膈证,tan'zu'xiong'ge'zheng
糖萼,tang'e
烫狗脊,tang'gou'ji
烫骨碎补,tang'gu'sui'bu
唐古特报春,tang'gu'te'bao'chun
唐古特青兰,tang'gu'te'qing'lan
唐古特青兰苗,tang'gu'te'qing'lan'miao
糖芥,tang'jie
烫觉,tang'jue
螳螂,tang'lang
螳螂跌打,tang'lang'die'da
棠梨,tang'li
棠梨枝叶,tang'li'zhi'ye
糖脉康颗粒,tang'mai'kang'ke'li
塘虱鱼,tang'shi'yu
唐氏综合征,tang'shi'zong'he'zheng
烫水蛭,tang'shui'zhi
唐斯分析法,tang'si'fen'xi'fa
唐松草,tang'song'cao
糖原贮积症,tang'yuan'zhu'ji'zheng
糖脂贮积病,tang'zhi'zhu'ji'bing
陶瓷修复,tao'ci'xiu'fu
陶道,tao'dao
陶道穴,tao'dao'xue
桃儿七,tao'er'qi
桃儿七果,tao'er'qi'guo
桃根,tao'gen
套管冷冻,tao'guan'leng'dong
桃核承气汤,tao'he'cheng'qi'tang
桃红四物汤,tao'hong'si'wu'tang
桃花,tao'hua
桃花汤,tao'hua'tang
桃胶,tao'jiao
桃金娘,tao'jin'niang
桃金娘根,tao'jin'niang'gen
桃金娘花,tao'jin'niang'hua
桃茎白皮,tao'jing'bai'pi
桃南瓜,tao'nan'gua
套囊,tao'nang
桃仁,tao'ren
桃仁承气汤,tao'ren'cheng'qi'tang
桃仁薏苡冬瓜仁,tao'ren'yi'yi'dong'gua'ren
套入法尿道成形术,tao'ru'fa'niao'dao'cheng'xing'shu
陶西格分流术,tao'xi'ge'fen'liu'shu
桃叶,tao'ye
桃枝,tao'zhi
套状撕脱伤,tao'zhuang'si'tuo'shang
桃子,tao'zi
特发性瘢痕疙瘩,te'fa'xing'ban'hen'ge'da
特发性不育症,te'fa'xing'bu'yu'zheng
特发性腹膜后纤维化,te'fa'xing'fu'mo'hou'xian'wei'hua
特发性鞘膜积液,te'fa'xing'qiao'mo'ji'ye
特发性阴囊坏疽,te'fa'xing'yin'nang'huai'ju
特克斯插入式分流术,te'ke'si'cha'ru'shi'fen'liu'shu
特雷拉征,te'lei'la'zheng
特伦德伦堡试验,te'lun'de'lun'bao'shi'yan
特纳牙,te'na'ya
特纳综合征,te'na'zong'he'zheng
特殊儿童,te'shu'er'tong
特殊分化粘膜,te'shu'fen'hua'nian'mo
特殊环境心理学,te'shu'huan'jing'xin'li'xue
特殊迁移,te'shu'qian'yi
特殊神经能量,te'shu'shen'jing'neng'liang
特威德三角,te'wei'de'san'jiao
特异说,te'yi'shuo
特异突触,te'yi'tu'chu
特异性免疫,te'yi'xing'mian'yi
特应性,te'ying'xing
特应性变态反应,te'ying'xing'bian'tai'fan'ying
特应性皮炎,te'ying'xing'pi'yan
特应性哮喘,te'ying'xing'xiao'chuan
特征比较模型,te'zheng'bi'jiao'mo'xing
特征觉察器,te'zheng'jue'cha'qi
特质焦虑,te'zhi'jiao'lv
特质论,te'zhi'lun
特制色条,te'zhi'se'tiao
藤本夜关门,teng'ben'ye'guan'men
藤茶,teng'cha
藤杜仲,teng'du'zhong
藤壶,teng'hu
藤槐,teng'huai
藤黄,teng'huang
藤梨根,teng'li'gen
藤三七,teng'san'qi
藤商陆,teng'shang'lu
藤碎补,teng'sui'bu
疼痛门诊,teng'tong'men'zhen
疼痛受体,teng'tong'shou'ti
藤五加,teng'wu'jia
藤乌头,teng'wu'tou
藤仲,teng'zhong
体表高频振荡,ti'biao'gao'pin'zhen'dang
体表降温,ti'biao'jiang'wen
体表面积,ti'biao'mian'ji
替代强化,ti'dai'qiang'hua
梯度培养板,ti'du'pei'yang'ban
醍醐,ti'hu
鹈鹕脂油,ti'hu'zhi'you
鹈鹕嘴,ti'hu'zui
体积描记,ti'ji'miao'ji
体倦乏力,ti'juan'fa'li
体倦食少,ti'juan'shi'shao
体觉,ti'jue
体疗美容,ti'liao'mei'rong
体内平衡,ti'nei'ping'heng
体能测定,ti'neng'ce'ding
体虱病,ti'shi'bing
体态语言,ti'tai'yu'yan
体吞,ti'tun
体外,ti'wai
体外冲击波碎石术,ti'wai'chong'ji'bo'sui'shi'shu
体外动静脉短路,ti'wai'dong'jing'mai'duan'lu
体外膜式氧合,ti'wai'mo'shi'yang'he
体外循环,ti'wai'xun'huan
体位保持,ti'wei'bao'chi
体细胞,ti'xi'bao
体细胞变异,ti'xi'bao'bian'yi
体细胞重组,ti'xi'bao'chong'zu
体细胞互换,ti'xi'bao'hu'huan
体细胞基因治疗,ti'xi'bao'ji'yin'zhi'liao
体细胞抗原,ti'xi'bao'kang'yuan
体细胞克隆变异,ti'xi'bao'ke'long'bian'yi
体细胞突变,ti'xi'bao'tu'bian
体细胞突变学说,ti'xi'bao'tu'bian'xue'shuo
体细胞遗传学,ti'xi'bao'yi'chuan'xue
体细胞杂交,ti'xi'bao'za'jiao
体细胞杂种,ti'xi'bao'za'zhong
体像,ti'xiang
体像变形,ti'xiang'bian'xing
体像蔑视,ti'xiang'mie'shi
体像手术,ti'xiang'shou'shu
体像障碍,ti'xiang'zhang'ai
体像治疗,ti'xiang'zhi'liao
梯形夹板,ti'xing'jia'ban
梯形钳,ti'xing'qian
体形塑造,ti'xing'su'zao
体型指数,ti'xing'zhi'shu
体虚毒恋证,ti'xu'du'lian'zheng
体癣,ti'xuan
体液抗体,ti'ye'kang'ti
体液免疫,ti'ye'mian'yi
鮧鱼,ti'yu
鮧鱼鳔,ti'yu'biao
鮧鱼尾,ti'yu'wei
鮧鱼涎,ti'yu'xian
体中心温度,ti'zhong'xin'wen'du
天布五行,tian'bu'wu'xing
菾菜根,tian'cai'gen
甜茶,tian'cha
甜茶藤,tian'cha'teng
甜橙,tian'cheng
天池穴,tian'chi'xue
天虫,tian'chong
填充测验,tian'chong'ce'yan
填充式胸廓成形术,tian'chong'shi'xiong'kuo'cheng'xing'shu
天冲穴,tian'chong'xue
天窗穴,tian'chuang'xue
田唇乌蝇翼,tian'chun'wu'ying'yi
田葱,tian'cong
甜地丁,tian'di'ding
天鼎穴,tian'ding'xue
天冬,tian'dong
天冬草,tian'dong'cao
天府穴,tian'fu'xue
甜根子草,tian'gen'zi'cao
甜瓜,tian'gua
甜瓜蒂,tian'gua'di
甜瓜根,tian'gua'gen
甜瓜花,tian'gua'hua
甜瓜茎,tian'gua'jing
甜瓜皮,tian'gua'pi
甜瓜叶,tian'gua'ye
甜瓜子,tian'gua'zi
天癸,tian'gui
甜果藤,tian'guo'teng
天胡荽,tian'hu'sui
天花板效应,tian'hua'ban'xiao'ying
天花粉,tian'hua'fen
田基黄,tian'ji'huang
天浆壳,tian'jiang'ke
天脚板,tian'jiao'ban
天脚板根,tian'jiao'ban'gen
天脚板果,tian'jiao'ban'guo
天井穴,tian'jing'xue
天韭,tian'jiu
天葵草,tian'kui'cao
天葵子,tian'kui'zi
天髎,tian'liao
天髎穴,tian'liao'xue
天龙,tian'long
田螺,tian'luo
田螺壳,tian'luo'ke
天罗水,tian'luo'shui
田螺厣,tian'luo'yan
天麻,tian'ma
田麻,tian'ma
天麻钩藤石决明,tian'ma'gou'teng'shi'jue'ming
天麻钩藤饮,tian'ma'gou'teng'yin
天麻片,tian'ma'pian
天门冬,tian'men'dong
甜梦胶囊,tian'meng'jiao'nang
天名精,tian'ming'jing
天明精,tian'ming'jing
天目木姜叶,tian'mu'mu'jiang'ye
天目木姜子,tian'mu'mu'jiang'zi
天南星,tian'nan'xing
天牛,tian'niu
天疱疮,tian'pao'chuang
天疱疮病,tian'pao'chuang'bing
天泡子,tian'pao'zi
天蓬草,tian'peng'cao
天蓬子根,tian'peng'zi'gen
天茄子,tian'qie'zi
天青地白,tian'qing'di'bai
天青地红,tian'qing'di'hong
天泉穴,tian'quan'xue
天然抗体,tian'ran'kang'ti
天然免疫,tian'ran'mian'yi
天然耐受,tian'ran'nai'shou
天然杀伤细胞,tian'ran'sha'shang'xi'bao
天然调湿因子,tian'ran'tiao'shi'yin'zi
天容穴,tian'rong'xue
填塞,tian'sai
田三七,tian'san'qi
天山花楸,tian'shan'hua'qiu
天山堇菜,tian'shan'jin'cai
天山雪莲花,tian'shan'xue'lian'hua
天生草,tian'sheng'cao
甜石榴,tian'shi'liu
天枢穴,tian'shu'xue
天水蚁草,tian'shui'yi'cao
天台乌药散,tian'tai'wu'yao'san
天突,tian'tu
天突穴,tian'tu'xue
天王补心丹,tian'wang'bu'xin'dan
天王补心丸,tian'wang'bu'xin'wan
天王七,tian'wang'qi
天王七果实,tian'wang'qi'guo'shi
天王七叶,tian'wang'qi'ye
天文草,tian'wen'cao
天溪,tian'xi
天溪穴,tian'xi'xue
天仙果,tian'xian'guo
天仙藤,tian'xian'teng
天仙子,tian'xian'zi
天香炉,tian'xiang'lu
天行赤眼暴翳病,tian'xing'chi'yan'bao'yi'bing
天行赤眼病,tian'xing'chi'yan'bing
甜杏仁,tian'xing'ren
天雄,tian'xiong
田旋花,tian'xuan'hua
甜叶菊,tian'ye'ju
田野卷耳,tian'ye'juan'er
天牖,tian'you
天牖穴,tian'you'xue
天竹根,tian'zhu'gen
天竹黄,tian'zhu'huang
天竺黄,tian'zhu'huang
天柱穴,tian'zhu'xue
天竹子,tian'zhu'zi
田字草,tian'zi'cao
天宗,tian'zong
天宗穴,tian'zong'xue
条参,tiao'can
调肝汤,tiao'gan'tang
调羹树,tiao'geng'shu
跳骨片,tiao'gu'pian
跳行转移,tiao'hang'zhuan'yi
调和肝脾,tiao'he'gan'pi
调和脾胃,tiao'he'pi'wei
条件培养液,tiao'jian'pei'yang'ye
条件溶血试验,tiao'jian'rong'xue'shi'yan
条件性免疫,tiao'jian'xing'mian'yi
调节位点,tiao'jie'wei'dian
调解心理学,tiao'jie'xin'li'xue
调经,tiao'jing
调经解郁清热着,tiao'jing'jie'yu'qing're'zhe
调控区,tiao'kong'qu
条口穴,tiao'kou'xue
调理脾胃,tiao'li'pi'wei
调理素,tiao'li'su
调理性粘连,tiao'li'xing'zhan'lian
条苓,tiao'ling
调气和血,tiao'qi'he'xue
跳弹伤,tiao'tan'shang
调胃承气汤,tiao'wei'cheng'qi'tang
调胃承气硝黄草,tiao'wei'cheng'qi'xiao'huang'cao
调胃和中此方宜,tiao'wei'he'zhong'ci'fang'yi
条纹状汗孔角化病,tiao'wen'zhuang'han'kong'jiao'hua'bing
条纹状苔藓,tiao'wen'zhuang'tai'xian
条形斑点杂交,tiao'xing'ban'dian'za'jiao
条叶垂头菊,tiao'ye'chui'tou'ju
鲦鱼,tiao'yu
跳跃式传导,tiao'yue'shi'chuan'dao
跳跃性病变,tiao'yue'xing'bing'bian
跳蚤叮咬,tiao'zao'ding'yao
调整肝脾,tiao'zheng'gan'pi
调整卵,tiao'zheng'luan
调整阴阳,tiao'zheng'yin'yang
调制中频电疗法,tiao'zhi'zhong'pin'dian'liao'fa
调中益气汤,tiao'zhong'yi'qi'tang
铁棒锤,tie'bang'chui
铁棒锤茎叶,tie'bang'chui'jing'ye
铁包金,tie'bao'jin
贴壁因子,tie'bi'yin'zi
铁鞭草,tie'bian'cao
铁草鞋,tie'cao'xie
铁沉着,tie'chen'zhuo
铁灯兔耳风,tie'deng'tu'er'feng
铁钉菜,tie'ding'cai
铁粉,tie'fen
铁杆地柏枝,tie'gan'di'bai'zhi
铁箍散,tie'gu'san
铁骨银参,tie'gu'yin'can
铁海棠,tie'hai'tang
铁海棠花,tie'hai'tang'hua
铁华粉,tie'hua'fen
铁浆,tie'jiang
铁脚草,tie'jiao'cao
铁角凤尾草,tie'jiao'feng'wei'cao
铁精,tie'jing
铁蕨鸡,tie'jue'ji
铁筷子,tie'kuai'zi
铁栏杆,tie'lan'gan
铁篱笆,tie'li'ba
铁篱巴果,tie'li'ba'guo
铁力木,tie'li'mu
铁落,tie'luo
铁罗汉,tie'luo'han
铁落花,tie'luo'hua
铁马鞭,tie'ma'bian
铁蚂蟥,tie'ma'huang
铁牛皮,tie'niu'pi
铁牛钻石,tie'niu'zuan'shi
铁破锣,tie'po'luo
铁拳头,tie'quan'tou
铁扫帚,tie'sao'zhou
铁扫竹,tie'sao'zhu
铁色箭,tie'se'jian
铁扇子,tie'shan'zi
铁树,tie'shu
铁树果,tie'shu'guo
铁树叶,tie'shu'ye
铁丝灵仙,tie'si'ling'xian
铁丝七,tie'si'qi
铁藤根,tie'teng'gen
铁苋,tie'xian
铁苋菜,tie'xian'cai
铁苋菜血见愁,tie'xian'cai'xue'jian'chou
铁线草,tie'xian'cao
铁线莲,tie'xian'lian
铁线透骨草,tie'xian'tou'gu'cao
铁屑,tie'xie
铁锈,tie'xiu
铁锈色小孢子菌,tie'xiu'se'xiao'bao'zi'jun
铁轴草,tie'zhou'cao
听宫,ting'gong
听宫穴,ting'gong'xue
听会穴,ting'hui'xue
听觉编码,ting'jue'bian'ma
听觉登记,ting'jue'deng'ji
听觉电话说,ting'jue'dian'hua'shuo
听觉定位,ting'jue'ding'wei
听觉反射,ting'jue'fan'she
听觉范围,ting'jue'fan'wei
听觉后象,ting'jue'hou'xiang
听觉记忆,ting'jue'ji'yi
听觉理论,ting'jue'li'lun
听觉敏度,ting'jue'min'du
听觉疲劳,ting'jue'pi'lao
听觉频率理论,ting'jue'pin'lv'li'lun
听觉区,ting'jue'qu
听觉闪烁,ting'jue'shan'shuo
听觉失认症,ting'jue'shi'ren'zheng
听觉适应,ting'jue'shi'ying
听觉位置说,ting'jue'wei'zhi'shuo
听觉显示,ting'jue'xian'shi
听觉显示器,ting'jue'xian'shi'qi
听觉掩蔽,ting'jue'yan'bi
听觉阈限,ting'jue'yu'xian
听觉中枢,ting'jue'zhong'shu
听觉追随,ting'jue'zhui'sui
停靠蛋白质,ting'kao'dan'bai'zhi
廷孔,ting'kong
听力测量,ting'li'ce'liang
葶苈大枣泻肺汤,ting'li'da'zao'xie'fei'tang
听力计,ting'li'ji
葶苈子,ting'li'zi
听神经,ting'shen'jing
停饮,ting'yin
听知觉,ting'zhi'jue
同伴评定,tong'ban'ping'ding
同伴影响,tong'ban'ying'xiang
铜棒锤,tong'bang'chui
同胞配对法,tong'bao'pei'dui'fa
同胞群,tong'bao'qun
同胞肾移植,tong'bao'shen'yi'zhi
痛痹,tong'bi
童便,tong'bian
同病异治,tong'bing'yi'zhi
同步搏动,tong'bu'bo'dong
同步化,tong'bu'hua
同步化波,tong'bu'hua'bo
同步间歇强制通气,tong'bu'jian'xie'qiang'zhi'tong'qi
同步心室辅助,tong'bu'xin'shi'fu'zhu
通草,tong'cao
同层人,tong'ceng'ren
通肠香,tong'chang'xiang
通城虎,tong'cheng'hu
铜锤草,tong'chui'cao
铜锤草根,tong'chui'cao'gen
铜锤玉带草,tong'chui'yu'dai'cao
通道容量,tong'dao'rong'liang
痛点,tong'dian
通而彻之,tong'er'che'zhi
痛夫,tong'fu
铜汞合金,tong'gong'he'jin
铜骨七,tong'gu'qi
通骨消根,tong'gu'xiao'gen
通骨消茎叶,tong'gu'xiao'jing'ye
通关散,tong'guan'san
通贯型,tong'guan'xing
通光散,tong'guang'san
茼蒿,tong'hao
同核体,tong'he'ti
通花根,tong'hua'gen
通花花,tong'hua'hua
同化说,tong'hua'shuo
统计概率,tong'ji'gai'lv
统计决策,tong'ji'jue'ce
统计显著性,tong'ji'xian'zhu'xing
同基因骨髓移植,tong'ji'yin'gu'sui'yi'zhi
同基因移植,tong'ji'yin'yi'zhi
同基因移植物,tong'ji'yin'yi'zhi'wu
铜脚威灵仙,tong'jiao'wei'ling'xian
通经,tong'jing
通经草,tong'jing'cao
通径分析,tong'jing'fen'xi
痛觉,tong'jue
统觉,tong'jue
痛觉过敏,tong'jue'guo'min
痛觉计,tong'jue'ji
痛觉特殊功能说,tong'jue'te'shu'gong'neng'shuo
瞳孔连线,tong'kong'lian'xian
同类系,tong'lei'xi
通里,tong'li
通里攻下,tong'li'gong'xia
通利关节,tong'li'guan'jie
通里穴,tong'li'xue
通淋,tong'lin
同卵双生,tong'luan'shuang'sheng
铜罗汉,tong'luo'han
通络化瘀,tong'luo'hua'yu
铜锣七,tong'luo'qi
铜罗伞,tong'luo'san
铜绿,tong'lv
通脉丹,tong'mai'dan
通脉四逆散,tong'mai'si'ni'san
通脉四逆汤,tong'mai'si'ni'tang
童年期,tong'nian'qi
同配生殖,tong'pei'sheng'zhi
铜皮,tong'pi
通气散,tong'qi'san
同期胰肾联合移植,tong'qi'yi'shen'lian'he'yi'zhi
铜钱菌,tong'qian'jun
铜钱细辛,tong'qian'xi'xin
通窍活血汤,tong'qiao'huo'xue'tang
痛如针刺,tong'ru'zhen'ci
通塞脉片,tong'sai'mai'pian
同色异谱匹配,tong'se'yi'pu'pi'pei
瞳神干缺病,tong'shen'gan'que'bing
瞳神紧小病,tong'shen'jin'xiao'bing
同时对比,tong'shi'dui'bi
童氏粒层,tong'shi'li'ceng
同时效度,tong'shi'xiao'du
同时性辨别,tong'shi'xing'bian'bie
同时性扫描,tong'shi'xing'sao'miao
通天,tong'tian
通天草,tong'tian'cao
通天蜡烛,tong'tian'la'zhu
通透性增高因子,tong'tou'xing'zeng'gao'yin'zi
通脱木花上粉,tong'tuo'mu'hua'shang'fen
同系移植,tong'xi'yi'zhi
同系移植物,tong'xi'yi'zhi'wu
铜苋菜,tong'xian'cai
铜线草,tong'xian'cao
同线性,tong'xian'xing
同向性病毒,tong'xiang'xing'bing'du
痛泻药方,tong'xie'yao'fang
痛泻要方,tong'xie'yao'fang
痛泻要方用陈皮,tong'xie'yao'fang'yong'chen'pi
同心性毛癣菌,tong'xin'xing'mao'xuan'jun
同形反应,tong'xing'fan'ying
同型胱氨酸尿症,tong'xing'guang'an'suan'niao'zheng
同形鳞毛蕨,tong'xing'lin'mao'jue
同型论,tong'xing'lun
同形配子,tong'xing'pei'zi
痛性压力性足部丘疹,tong'xing'ya'li'xing'zu'bu'qiu'zhen
痛性脂肪病,tong'xing'zhi'fang'bing
通宣汤,tong'xuan'tang
痛血康胶囊,tong'xue'kang'jiao'nang
通阳,tong'yang
桐叶千金藤,tong'ye'qian'jin'teng
通用刮治器,tong'yong'gua'zhi'qi
桐油,tong'you
通瘀,tong'yu
痛阈,tong'yu
通瘀煎,tong'yu'jian
同源,tong'yuan
同源重组,tong'yuan'chong'zu
同源多倍体,tong'yuan'duo'bei'ti
同源多倍性,tong'yuan'duo'bei'xing
同源框,tong'yuan'kuang
同源联会,tong'yuan'lian'hui
同源片段,tong'yuan'pian'duan
同源嵌合体,tong'yuan'qian'he'ti
同源区,tong'yuan'qu
同源染色体,tong'yuan'ran'se'ti
同源四倍体,tong'yuan'si'bei'ti
同源四倍性,tong'yuan'si'bei'xing
同源性,tong'yuan'xing
同源性抗原,tong'yuan'xing'kang'yuan
同源性突触抑制,tong'yuan'xing'tu'chu'yi'zhi
同源异倍体,tong'yuan'yi'bei'ti
同源异倍性,tong'yuan'yi'bei'xing
铜粘固剂,tong'zhan'gu'ji
铜针疗法,tong'zhen'liao'fa
同质性,tong'zhi'xing
同种白细胞凝集素,tong'zhong'bai'xi'bao'ning'ji'su
同种肺氧合,tong'zhong'fei'yang'he
同种抗体,tong'zhong'kang'ti
同种抗原,tong'zhong'kang'yuan
同种免疫,tong'zhong'mian'yi
同种凝集素,tong'zhong'ning'ji'su
同种气管置换术,tong'zhong'qi'guan'zhi'huan'shu
同种心脏瓣膜,tong'zhong'xin'zang'ban'mo
同种型,tong'zhong'xing
同种型变异,tong'zhong'xing'bian'yi
同种牙移植术,tong'zhong'ya'yi'zhi'shu
同种异基因,tong'zhong'yi'ji'yin
同种异基因效应,tong'zhong'yi'ji'yin'xiao'ying
同种异基因抑制作用,tong'zhong'yi'ji'yin'yi'zhi'zuo'yong
同种异体移植物,tong'zhong'yi'ti'yi'zhi'wu
同种异体组织相容性,tong'zhong'yi'ti'zu'zhi'xiang'rong'xing
同种异型,tong'zhong'yi'xing
同种异型决定簇,tong'zhong'yi'xing'jue'ding'cu
同种移植,tong'zhong'yi'zhi
