艾昂尼尔锡青铜,ai'ang'ni'er'xi'qing'tong
铁水沟系统,tie'shui'gou'xi'tong
铁水罐车,tie'shui'guan'che
铁水罐流铁槽,tie'shui'guan'liu'tie'cao
铁水烧蚀线,tie'shui'shao'shi'xian
铁水主沟,tie'shui'zhu'gou
铁似扼流圈,tie'si'e'liu'quan
铁素体珠光体钢,tie'su'ti'zhu'guang'ti'gang
铁损,tie'sun
铁索护栏,tie'suo'hu'lan
铁钛氧化物,tie'tai'yang'hua'wu
铁碳共晶,tie'tan'gong'jing
铁碳合金,tie'tan'he'jin
铁碳化铁共析,tie'tan'hua'tie'gong'xi
铁碳化铁平衡图,tie'tan'hua'tie'ping'heng'tu
铁碳马低体,tie'tan'ma'di'ti
铁碳平衡图,tie'tan'ping'heng'tu
铁碳相图,tie'tan'xiang'tu
铁碳状态图,tie'tan'zhuang'tai'tu
铁锑化合物,tie'ti'hua'he'wu
铁铁水粒化装置,tie'tie'shui'li'hua'zhuang'zhi
铁铜聚四氟乙烯轴承,tie'tong'ju'si'fu'yi'xi'zhou'cheng
铁丸,tie'wan
铁箱试验,tie'xiang'shi'yan
铁销钉,tie'xiao'ding
铁屑,tie'xie
铁屑喷射器,tie'xie'pen'she'qi
铁心变压器,tie'xin'bian'ya'qi
铁芯骨,tie'xin'gu
铁须,tie'xu
铁盐,tie'yan
铁氧化细菌,tie'yang'hua'xi'jun
铁阳极,tie'yang'ji
铁氧系,tie'yang'xi
铁阴极,tie'yin'ji
铁银制品,tie'yin'zhi'pin
铁油灰,tie'you'hui
铁渣,tie'zha
铁渣再浆化槽,tie'zha'zai'jiang'hua'cao
铁针,tie'zhen
铁砧,tie'zhen
铁制浮标,tie'zhi'fu'biao
铁质粘合剂,tie'zhi'nian'he'ji
铁制品,tie'zhi'pin
铁制熔锅,tie'zhi'rong'guo
铁铸件,tie'zhu'jian
铁族,tie'zu
铁族金属,tie'zu'jin'shu
铁族元素,tie'zu'yuan'su
铁钻屑,tie'zuan'xie
停车及紧急刹车用中央制动闸,ting'che'ji'jin'ji'sha'che'yong'zhong'yang'zhi'dong'zha
停车器,ting'che'qi
停吹渣样,ting'chui'zha'yang
停断操作,ting'duan'cao'zuo
停工时间,ting'gong'shi'jian
停机期间,ting'ji'qi'jian
停炉,ting'lu
停炉炉型,ting'lu'lu'xing
停歇时间,ting'xie'shi'jian
停止拉碳,ting'zhi'la'tan
停转转差率,ting'zhuan'zhuan'cha'lv
同禀滞后回线,tong'bing'zhi'hou'hui'xian
同步的,tong'bu'de
铜衬扁销,tong'chen'bian'xiao
同成分转变点,tong'cheng'fen'zhuan'bian'dian
通道,tong'dao
通道程序,tong'dao'cheng'xu
通道地址字,tong'dao'di'zhi'zi
通道控制器,tong'dao'kong'zhi'qi
通道控制字,tong'dao'kong'zhi'zi
通道流量,tong'dao'liu'liang
通道命令,tong'dao'ming'ling
通道命令字,tong'dao'ming'ling'zi
通道适配器,tong'dao'shi'pei'qi
铜锭,tong'ding
通风表,tong'feng'biao
铜铬合金,tong'ge'he'jin
筒管分径机,tong'guan'fen'jing'ji
铜焊,tong'han
铜焊的,tong'han'de
铜焊法,tong'han'fa
铜焊合金,tong'han'he'jin
铜焊剂,tong'han'ji
铜焊接的,tong'han'jie'de
铜焊料,tong'han'liao
铜焊软膏,tong'han'ruan'gao
铜焊设备,tong'han'she'bei
铜合金添加剂焊条,tong'he'jin'tian'jia'ji'han'tiao
通话,tong'hua
铜加速醋酸食盐溶液喷雾试验,tong'jia'su'cu'suan'shi'yan'rong'ye'pen'wu'shi'yan
桶口,tong'kou
铜铝镍硅耐蚀合金,tong'lv'nie'gui'nai'shi'he'jin
铜毛,tong'mao
通气管道,tong'qi'guan'dao
同前,tong'qian
铜钎焊钳,tong'qian'han'qian
同上,tong'shang
筒式过滤器,tong'shi'guo'lv'qi
同时开启的双拉门,tong'shi'kai'qi'de'shuang'la'men
桶式喷雾器,tong'shi'pen'wu'qi
同相,tong'xiang
同相电流,tong'xiang'dian'liu
同相分量,tong'xiang'fen'liang
筒形加热器,tong'xing'jia're'qi
筒形联轴器,tong'xing'lian'zhou'qi
筒形屏蔽罩,tong'xing'ping'bi'zhao
筒形台式吹芯机,tong'xing'tai'shi'chui'xin'ji
同一距离,tong'yi'ju'li
同一性,tong'yi'xing
同一周期,tong'yi'zhou'qi
通用式车,tong'yong'shi'che
铜铀矿,tong'you'kuang
铜与铜或铜与钢的铝热焊,tong'yu'tong'huo'tong'yu'gang'de'lv're'han
同轴的,tong'zhou'de
投产,tou'chan
投弹,tou'dan
透镜状分层布料,tou'jing'zhuang'fen'ceng'bu'liao
透明带,tou'ming'dai
投入产出表,tou'ru'chan'chu'biao
投入运行,tou'ru'yun'xing
投入运转,tou'ru'yun'zhuan
透射强度,tou'she'qiang'du
头台,tou'tai
投影器,tou'ying'qi
投影式布氏硬度计,tou'ying'shi'bu'shi'ying'du'ji
投影透镜的象转动,tou'ying'tou'jing'de'xiang'zhuan'dong
投资费,tou'zi'fei
投资费用,tou'zi'fei'yong
投资分析,tou'zi'fen'xi
钍,tu
图案花纹压印法,tu'an'hua'wen'ya'yin'fa
图案花纹压印工艺,tu'an'hua'wen'ya'yin'gong'yi
图巴朗黑色冶金公司,tu'ba'lang'hei'se'ye'jin'gong'si
凸边造币板,tu'bian'zao'bi'ban
图表比例尺,tu'biao'bi'li'chi
突出部,tu'chu'bu
土堤岸护墙,tu'di'an'hu'qiang
凸点钢板,tu'dian'gang'ban
凸肚墙,tu'du'qiang
土法制熟铁,tu'fa'zhi'shu'tie
涂黑处理法,tu'hei'chu'li'fa
涂火酒漆,tu'huo'jiu'qi
秃尖三角形,tu'jian'san'jiao'xing
图解,tu'jie
涂沥青的骨料,tu'li'qing'de'gu'liao
荼料分配器,tu'liao'fen'pei'qi
涂料结疤,tu'liao'jie'ba
涂料气孔,tu'liao'qi'kong
涂料起皮,tu'liao'qi'pi
涂料刷,tu'liao'shua
凸轮,tu'lun
凸轮操纵的,tu'lun'cao'zong'de
凸轮传动,tu'lun'chuan'dong
凸轮传动装置,tu'lun'chuan'dong'zhuang'zhi
凸轮锤,tu'lun'chui
凸轮从动滚轮滚针轴承,tu'lun'cong'dong'gun'lun'gun'zhen'zhou'cheng
凸轮导轨,tu'lun'dao'gui
凸轮轨道,tu'lun'gui'dao
凸轮滚子,tu'lun'gun'zi
凸轮夯实机,tu'lun'hang'shi'ji
凸轮环,tu'lun'huan
凸轮机构,tu'lun'ji'gou
凸轮加工车床,tu'lun'jia'gong'che'chuang
凸轮尖,tu'lun'jian
凸轮角记录仪,tu'lun'jiao'ji'lu'yi
凸轮接触,tu'lun'jie'chu
凸轮控制,tu'lun'kong'zhi
凸轮盘,tu'lun'pan
凸轮驱动出坯,tu'lun'qu'dong'chu'pi
凸轮式拉拔压力机,tu'lun'shi'la'ba'ya'li'ji
凸轮式塑性计,tu'lun'shi'su'xing'ji
凸轮式限位开关,tu'lun'shi'xian'wei'kai'guan
凸轮锁紧轴端,tu'lun'suo'jin'zhou'duan
凸轮弹簧,tu'lun'tan'huang
凸轮调速器,tu'lun'tiao'su'qi
凸轮凸角,tu'lun'tu'jiao
凸轮箱,tu'lun'xiang
凸轮行程,tu'lun'xing'cheng
凸轮压机,tu'lun'ya'ji
凸轮爪,tu'lun'zhao
凸轮轴,tu'lun'zhou
凸轮轴车床,tu'lun'zhou'che'chuang
凸轮轴衬套,tu'lun'zhou'chen'tao
凸轮轴承,tu'lun'zhou'cheng
凸轮轴齿轮,tu'lun'zhou'chi'lun
凸轮轴轴衬,tu'lun'zhou'zhou'chen
凸轮轴轴瓦,tu'lun'zhou'zhou'wa
凸轮转换开关,tu'lun'zhuan'huan'kai'guan
凸轮装置,tu'lun'zhuang'zhi
土木工程,tu'mu'gong'cheng
土木工程师,tu'mu'gong'cheng'shi
土木建筑,tu'mu'jian'zhu
凸泡,tu'pao
涂硼闪砾计数管,tu'peng'shan'li'ji'shu'guan
突破试验,tu'po'shi'yan
突起,tu'qi
土壤分层图,tu'rang'fen'ceng'tu
土壤化学处理,tu'rang'hua'xue'chu'li
钍铈消气合金,tu'shi'xiao'qi'he'jin
凸透镜,tu'tou'jing
凸线辊型,tu'xian'gun'xing
图象处理,tu'xiang'chu'li
图象存储法,tu'xiang'cun'chu'fa
图象放大器,tu'xiang'fang'da'qi
图像畸形,tu'xiang'ji'xing
图象距离,tu'xiang'ju'li
图像亮度,tu'xiang'liang'du
图象面积,tu'xiang'mian'ji
图象配准,tu'xiang'pei'zhun
图象漂移,tu'xiang'piao'yi
图象平面,tu'xiang'ping'mian
图象形成,tu'xiang'xing'cheng
图象转动,tu'xiang'zhuan'dong
钍铀矿,tu'you'kuang
凸缘,tu'yuan
凸缘修正器,tu'yuan'xiu'zheng'qi
涂罩光漆,tu'zhao'guang'qi
图纸记录仪器,tu'zhi'ji'lu'yi'qi
团块,tuan'kuai
团块厂,tuan'kuai'chang
团块混合物,tuan'kuai'hun'he'wu
团块料柱,tuan'kuai'liao'zhu
团块炉料,tuan'kuai'lu'liao
团块用煤,tuan'kuai'yong'mei
蜕变,tui'bian
推车工,tui'che'gong
推动,tui'dong
推动物,tui'dong'wu
退化,tui'hua
推进的,tui'jin'de
推进力,tui'jin'li
推料杆,tui'liao'gan
推算的价值量,tui'suan'de'jia'zhi'liang
推算的租金收入净额,tui'suan'de'zu'jin'shou'ru'jing'e
推土,tui'tu
推土产,tui'tu'chan
推土机刮板,tui'tu'ji'gua'ban
推压,tui'ya
脱锭吊车,tuo'ding'diao'che
脱锭机,tuo'ding'ji
脱锭起重机,tuo'ding'qi'zhong'ji
脱镉塔,tuo'ge'ta
托辊,tuo'gun
托架螺栓,tuo'jia'luo'shuan
脱蜡炉,tuo'la'lu
托料辊,tuo'liao'gun
脱模用钢锭运输车,tuo'mo'yong'gang'ding'yun'shu'che
托墙梁,tuo'qiang'liang
脱碳,tuo'tan
脱碳沸腾,tuo'tan'fei'teng
脱碳率,tuo'tan'lv
脱碳期,tuo'tan'qi
脱箱铸型,tuo'xiang'zhu'xing
脱字符,tuo'zi'fu
托座,tuo'zuo
挖槽机,wa'cao'ji
瓦工镘,wa'gong'man
瓦奇帕托黑色冶金公司,wa'qi'pa'tuo'hei'se'ye'jin'gong'si
瓦檐饰,wa'yan'shi
瓦闸,wa'zha
外层硬化,wai'ceng'ying'hua
外层支承辊,wai'ceng'zhi'cheng'gun
外购废钢铁,wai'gou'fei'gang'tie
外加电压,wai'jia'dian'ya
外加蒸气压力,wai'jia'zheng'qi'ya'li
外接圆,wai'jie'yuan
外卡钳,wai'ka'qian
外壳材料,wai'ke'cai'liao
外皮,wai'pi
外切多边形,wai'qie'duo'bian'xing
外切圆,wai'qie'yuan
外顷角调整,wai'qing'jiao'tiao'zheng
外圆角,wai'yuan'jiao
外周,wai'zhou
腕,wan
弯边,wan'bian
弯成弓形,wan'cheng'gong'xing
弯道,wan'dao
弯钢机,wan'gang'ji
弯拱,wan'gong
弯合试验,wan'he'shi'yan
完满百分数,wan'man'bai'fen'shu
弯曲,wan'qu
弯曲机,wan'qu'ji
弯曲内裂,wan'qu'nei'lie
弯曲叶片,wan'qu'ye'pian
弯曲应变,wan'qu'ying'bian
弯曲应力强度,wan'qu'ying'li'qiang'du
完全,wan'quan
完全性,wan'quan'xing
完善,wan'shan
顽石坝,wan'shi'ba
万向节,wan'xiang'jie
万向接头,wan'xiang'jie'tou
弯圆边压力机,wan'yuan'bian'ya'li'ji
弯折点,wan'zhe'dian
完整性,wan'zheng'xing
碗状炉床,wan'zhuang'lu'chuang
网格状枝晶,wang'ge'zhuang'zhi'jing
网格组织,wang'ge'zu'zhi
网裂,wang'lie
网络支路,wang'luo'zhi'lu
网纹钢,wang'wen'gang
网纹钢板,wang'wen'gang'ban
网纹钢板轧机,wang'wen'gang'ban'zha'ji
网纹钢板轧制,wang'wen'gang'ban'zha'zhi
网眼状位错,wang'yan'zhuang'wei'cuo
网状包丝药皮焊条,wang'zhuang'bao'si'yao'pi'han'tiao
网状法,wang'zhuang'fa
网状反应,wang'zhuang'fan'ying
网状碳化物,wang'zhuang'tan'hua'wu
围板,wei'ban
尾部送料压力机,wei'bu'song'liao'ya'li'ji
位串行,wei'chuan'xing
位错断裂应力,wei'cuo'duan'lie'ying'li
位错节弯曲,wei'cuo'jie'wan'qu
位错抗断强度,wei'cuo'kang'duan'qiang'du
位错裂纹,wei'cuo'lie'wen
位错脱离,wei'cuo'tuo'li
位错线交截,wei'cuo'xian'jiao'jie
位错挣脱,wei'cuo'zheng'tuo
位错滞后运动,wei'cuo'zhi'hou'yun'dong
位错阻塞,wei'cuo'zu'se
微动,wei'dong
微动继电器,wei'dong'ji'dian'qi
违反,wei'fan
微分阳极电阻,wei'fen'yang'ji'dian'zu
围管,wei'guan
微管检波器,wei'guan'jian'bo'qi
未焊透,wei'han'tou
微积分,wei'ji'fen
微积分学,wei'ji'fen'xue
未剪边的热轧钢板,wei'jian'bian'de're'zha'gang'ban
微晶粒度引起的增宽,wei'jing'li'du'yin'qi'de'zeng'kuan
未精选的铅矿石,wei'jing'xuan'de'qian'kuang'shi
微粒空气分级器,wei'li'kong'qi'fen'ji'qi
围炉平台,wei'lu'ping'tai
位平行,wei'ping'xing
伪渗碳,wei'shen'tan
位速率,wei'su'lv
未填满电子壳层,wei'tian'man'dian'zi'qiao'ceng
未填满坡的,wei'tian'man'po'de
微调,wei'tiao
微调装置,wei'tiao'zhuang'zhi
微咸水,wei'xian'shui
位向变化,wei'xiang'bian'hua
位向量,wei'xiang'liang
位行,wei'xing
微型电容器件,wei'xing'dian'rong'qi'jian
位移增量,wei'yi'zeng'liang
微增磁滞损耗,wei'zeng'ci'zhi'sun'hao
未知框,wei'zhi'kuang
位组合,wei'zu'he
位组合格式,wei'zu'he'ge'shi
纹,wen
纹板冲孔机,wen'ban'chong'kong'ji
文叉位错,wen'cha'wei'cuo
紊流强度,wen'liu'qiang'du
温热塑性加工,wen're'su'xing'jia'gong
渥尔漫放大器,wo'er'man'fang'da'qi
握裹力,wo'guo'li
涡流引起的误差,wo'liu'yin'qi'de'wu'cha
涡轮式混合机,wo'lun'shi'hun'he'ji
卧式锻造机,wo'shi'duan'zao'ji
窝眼式滚筒,wo'yan'shi'gun'tong
物,wu
无铋铅,wu'bi'qian
无标号分用块,wu'biao'hao'fen'yong'kuai
误差,wu'cha
无窗厂房,wu'chuang'chang'fang
无窗墙,wu'chuang'qiang
无氮化剂渗氮,wu'dan'hua'ji'shen'dan
污点,wu'dian
无定向取向,wu'ding'xiang'qu'xiang
屋顶斜度,wu'ding'xie'du
无镀层管,wu'du'ceng'guan
无反射透镜,wu'fan'she'tou'jing
无功部分,wu'gong'bu'fen
无功的,wu'gong'de
无功分量,wu'gong'fen'liang
无功功率,wu'gong'gong'lv
无功线圈,wu'gong'xian'quan
无功周期,wu'gong'zhou'qi
无惯性的,wu'guan'xing'de
无光精整,wu'guang'jing'zheng
屋花梁,wu'hua'liang
无级变速,wu'ji'bian'su
无机萃取,wu'ji'cui'qu
无机化合物,wu'ji'hua'he'wu
无机化学,wu'ji'hua'xue
无机灰尘,wu'ji'hui'chen
无机胶体,wu'ji'jiao'ti
无机溶剂,wu'ji'rong'ji
无机试剂,wu'ji'shi'ji
无机树脂,wu'ji'shu'zhi
无机涂层,wu'ji'tu'ceng
无机物,wu'ji'wu
无机吸附剂,wu'ji'xi'fu'ji
无机絮凝剂,wu'ji'xu'ning'ji
无机盐,wu'ji'yan
无机阳离子交换剂,wu'ji'yang'li'zi'jiao'huan'ji
无机阳离子吸附介质,wu'ji'yang'li'zi'xi'fu'jie'zhi
五价碘的,wu'jia'dian'de
屋架下弦,wu'jia'xia'xian
无接箍管道,wu'jie'gu'guan'dao
无孔隙的,wu'kong'xi'de
无孔屑纸带,wu'kong'xie'zhi'dai
无孔性,wu'kong'xing
无棱角砂,wu'leng'jiao'sha
物料混匀,wu'liao'hun'yun
物料平衡,wu'liao'ping'heng
物料平衡计算,wu'liao'ping'heng'ji'suan
无螺纹栓,wu'luo'wen'shuan
无氯的,wu'lv'de
五氯氢氧化物,wu'lv'qing'yang'hua'wu
误码率,wu'ma'lv
钨锰铁矿的氯化,wu'meng'tie'kuang'de'lv'hua
无内聚性,wu'nei'ju'xing
无扭线材轧机,wu'niu'xian'cai'zha'ji
无切削成形,wu'qie'xiao'cheng'xing
无穷水邻域,wu'qiong'shui'lin'yu
无韧性的,wu'ren'xing'de
五十公斤重,wu'shi'gong'jin'zhong
无水胆矾,wu'shui'dan'fan
污水管,wu'shui'guan
污水坑,wu'shui'keng
五水硫酸铜,wu'shui'liu'suan'tong
污水滤渣的掩埋,wu'shui'lv'zha'de'yan'mai
污水排出流,wu'shui'pai'chu'liu
污水排出速度,wu'shui'pai'chu'su'du
污水需氯量,wu'shui'xu'lv'liang
钨酸钙,wu'suan'gai
无损耗网络,wu'sun'hao'wang'luo
物态变化,wu'tai'bian'hua
无碳奥氏体,wu'tan'ao'shi'ti
无碳表层,wu'tan'biao'ceng
无碳不锈钢,wu'tan'bu'xiu'gang
无碳产物,wu'tan'chan'wu
无碳钢,wu'tan'gang
无碳合金,wu'tan'he'jin
无碳合金钢,wu'tan'he'jin'gang
无碳结构组分,wu'tan'jie'gou'zu'fen
无碳熔渣,wu'tan'rong'zha
无碳铁合金,wu'tan'tie'he'jin
无碳铁素体,wu'tan'tie'su'ti
无碳铀,wu'tan'you
五羰基铁,wu'tang'ji'tie
物体内元件,wu'ti'nei'yuan'jian
无条理,wu'tiao'li
无铁硫酸盐,wu'tie'liu'suan'yan
无铁溶液,wu'tie'rong'ye
无铁芯的,wu'tie'xin'de
无铁心的,wu'tie'xin'de
无凸缘轮箍,wu'tu'yuan'lun'gu
无限,wu'xian
无线电广播者,wu'xian'dian'guang'bo'zhe
无限级数,wu'xian'ji'shu
无限冷硬轧辊,wu'xian'leng'ying'zha'gun
无限调速器,wu'xian'tiao'su'qi
无限稀释,wu'xian'xi'shi
无限小强度,wu'xian'xiao'qiang'du
无限小位错,wu'xian'xiao'wei'cuo
无限叶栅,wu'xian'ye'zha
无箱铸型,wu'xiang'zhu'xing
无效的,wu'xiao'de
无效率的,wu'xiao'lv'de
无效试验,wu'xiao'shi'yan
无效指令,wu'xiao'zhi'ling
无心的,wu'xin'de
无心磨削,wu'xin'mo'xue
无心外圆磨床,wu'xin'wai'yuan'mo'chuang
无心研磨,wu'xin'yan'mo
无心研磨机,wu'xin'yan'mo'ji
无旋场,wu'xuan'chang
无翼缘主动轮,wu'yi'yuan'zhu'dong'lun
无用字符,wu'yong'zi'fu
无载运转,wu'zai'yun'zhuan
无载运转时间,wu'zai'yun'zhuan'shi'jian
无止境,wu'zhi'jing
无重量,wu'zhong'liang
无中心的,wu'zhong'xin'de
污浊,wu'zhuo
伍兹钢,wu'zi'gang
无作用期间,wu'zuo'yong'qi'jian
吸潮器,xi'chao'qi
洗车沟,xi'che'gou
吸尘器,xi'chen'qi
细冲头,xi'chong'tou
吸掉,xi'diao
细粉,xi'fen
吸风,xi'feng
西弗里炉头修砌法,xi'fu'li'lu'tou'xiu'qi'fa
细钙粉,xi'gai'fen
系杆,xi'gan
硒化钙,xi'hua'gai
吸开,xi'kai
细粒,xi'li
细粒金刚石钻头,xi'li'jin'gang'shi'zuan'tou
细砾石,xi'li'shi
细粒淘分,xi'li'tao'fen
细裂缝,xi'lie'feng
西梅塔尔黑色冶金公司,xi'mei'ta'er'hei'se'ye'jin'gong'si
熄灭,xi'mie
熄灭脉冲放大器,xi'mie'mai'chong'fang'da'qi
细木作,xi'mu'zuo
洗铌工段,xi'ni'gong'duan
洗瓶机,xi'ping'ji
吸气管,xi'qi'guan
吸气管阻焰管,xi'qi'guan'zu'yan'guan
吸气器,xi'qi'qi
吸气歧管,xi'qi'qi'guan
吸气室,xi'qi'shi
吸取污染气体速度,xi'qu'wu'ran'qi'ti'su'du
吸入瓣,xi'ru'ban
吸入口接头,xi'ru'kou'jie'tou
吸入器,xi'ru'qi
吸入物,xi'ru'wu
细砂质磨石,xi'sha'zhi'mo'shi
吸湿,xi'shi
席式供热系统,xi'shi'gong're'xi'tong
吸湿性,xi'shi'xing
吸湿性材料,xi'shi'xing'cai'liao
吸湿性四氯化物,xi'shi'xing'si'lv'hua'wu
吸收,xi'shou
洗刷干燥机组,xi'shua'gan'zao'ji'zu
吸水性,xi'shui'xing
希斯温离心球磨机,xi'si'wen'li'xin'qiu'mo'ji
硒酸钙,xi'suan'gai
硒酸铯,xi'suan'se
细碎石,xi'sui'shi
吸碳,xi'tan
系统,xi'tong
系统内的,xi'tong'nei'de
稀土金属合金,xi'tu'jin'shu'he'jin
洗选强化剂,xi'xuan'qiang'hua'ji
吸油侧,xi'you'ce
吸油阀,xi'you'fa
稀油集中润滑系统,xi'you'ji'zhong'run'hua'xi'tong
稀油集中压力润滑系统,xi'you'ji'zhong'ya'li'run'hua'xi'tong
稀油循环润滑系统,xi'you'xun'huan'run'hua'xi'tong
细桩,xi'zhuang
匣钵烧成法,xia'bo'shao'cheng'fa
下部板贮存滑道,xia'bu'ban'zhu'cun'hua'dao
下部点火,xia'bu'dian'huo
下部结构,xia'bu'jie'gou
下部料钟,xia'bu'liao'zhong
下部悬料,xia'bu'xuan'liao
下部装载运输机,xia'bu'zhuang'zai'yun'shu'ji
下层绕组,xia'ceng'rao'zu
下冲杆,xia'chong'gan
下传动压力机,xia'chuan'dong'ya'li'ji
下导板,xia'dao'ban
下刀架滑板,xia'dao'jia'hua'ban
下刀梁,xia'dao'liang
下刀片,xia'dao'pian
下刀片滑块,xia'dao'pian'hua'kuai
下导卫装置,xia'dao'wei'zhuang'zhi
下刀轴,xia'dao'zhou
狭底水沟,xia'di'shui'gou
下端导杆,xia'duan'dao'gan
夏尔皮锡铜锑,xia'er'pi'xi'tong'ti
下工作辊,xia'gong'zuo'gun
下辊导向挡板,xia'gun'dao'xiang'dang'ban
下辊可换轧槽块,xia'gun'ke'huan'zha'cao'kuai
下辊弯曲调整装置,xia'gun'wan'qu'tiao'zheng'zhuang'zhi
下辊轧制线调整,xia'gun'zha'zhi'xian'tiao'zheng
下滑动刀架,xia'hua'dong'dao'jia
下滑轮,xia'hua'lun
下滑座式深拉压力机,xia'hua'zuo'shi'shen'la'ya'li'ji
下滑座式凸轮压力机,xia'hua'zuo'shi'tu'lun'ya'li'ji
下加热式炉,xia'jia're'shi'lu
下夹送辊,xia'jia'song'gun
下截盘,xia'jie'pan
下接轴,xia'jie'zhou
下空转夹送辊,xia'kong'zhuan'jia'song'gun
下料不顺,xia'liao'bu'shun
下料工具,xia'liao'gong'ju
下料量,xia'liao'liang
下炉缸,xia'lu'gang
下排孔型,xia'pai'kong'xing
下喷水器,xia'pen'shui'qi
下砂箱,xia'sha'xiang
夏氏冲击,xia'shi'chong'ji
夏氏冲击韧性试件,xia'shi'chong'ji'ren'xing'shi'jian
夏氏冲击试验,xia'shi'chong'ji'shi'yan
夏氏冲击试验机,xia'shi'chong'ji'shi'yan'ji
匣式电桥,xia'shi'dian'qiao
夏氏缺口,xia'shi'que'kou
夏氏钥孔形缺口,xia'shi'yao'kong'xing'que'kou
夏氏钥孔形缺口试样,xia'shi'yao'kong'xing'que'kou'shi'yang
下死点,xia'si'dian
下凸肩,xia'tu'jian
下卫板,xia'wei'ban
下吸式单板皮带运输机,xia'xi'shi'dan'ban'pi'dai'yun'shu'ji
下陷型模,xia'xian'xing'mo
下压式造型机,xia'ya'shi'zao'xing'ji
下轧辊组合部件,xia'zha'gun'zu'he'bu'jian
下支承辊,xia'zhi'cheng'gun
下轴承座,xia'zhou'cheng'zuo
下注,xia'zhu
下注扁锭,xia'zhu'bian'ding
下注底板,xia'zhu'di'ban
下注钢,xia'zhu'gang
下注型,xia'zhu'xing
弦,xian
弦板,xian'ban
现场浇捣现浇,xian'chang'jiao'dao'xian'jiao
鲜橙色,xian'cheng'se
现代钢管公司,xian'dai'gang'guan'gong'si
线的矩心,xian'de'ju'xin
限动杆,xian'dong'gan
限动器闸,xian'dong'qi'zha
限度,xian'du
先断后合触点,xian'duan'hou'he'chu'dian
弦杆,xian'gan
弦杆桁弦,xian'gan'heng'xian
弦构件,xian'gou'jian
线规,xian'gui
显画镜,xian'hua'jing
线间电压,xian'jian'dian'ya
现浇混凝土,xian'jiao'hun'ning'tu
现金流动,xian'jin'liu'dong
现金帐,xian'jin'zhang
线卷收集用轴头装置,xian'juan'shou'ji'yong'zhou'tou'zhuang'zhi
现款流量,xian'kuan'liu'liang
线路图,xian'lu'tu
线路噪声电平,xian'lu'zao'sheng'dian'ping
线路转接,xian'lu'zhuan'jie
鲜绿色,xian'lv'se
弦模量,xian'mo'liang
仙人掌抓斗,xian'ren'zhang'zhua'dou
显示表,xian'shi'biao
显微构造变化,xian'wei'gou'zao'bian'hua
显微结构变化,xian'wei'jie'gou'bian'hua
纤维蛇纹石,xian'wei'she'wen'shi
纤维素,xian'wei'su
纤维素覆层,xian'wei'su'fu'ceng
纤维素漆,xian'wei'su'qi
纤维素涂层,xian'wei'su'tu'ceng
纤维素吸附塔,xian'wei'su'xi'fu'ta
纤维质煤,xian'wei'zhi'mei
显微组织变化,xian'wei'zu'zhi'bian'hua
显像管显示,xian'xiang'guan'xian'shi
先行进位,xian'xing'jin'wei
鲜樱红热,xian'ying'hong're
限制器,xian'zhi'qi
闲置设备,xian'zhi'she'bei
闲置损失,xian'zhi'sun'shi
显字管,xian'zi'guan
相,xiang
箱,xiang
相变点,xiang'bian'dian
相变滞后,xiang'bian'zhi'hou
镶齿端铣刀,xiang'chi'duan'xi'dao
镶齿丝锥,xiang'chi'si'zhui
箱盖,xiang'gai
箱涵,xiang'han
相互比较,xiang'hu'bi'jiao
相互反应,xiang'hu'fan'ying
相互贯穿,xiang'hu'guan'chuan
相互贯穿点阵,xiang'hu'guan'chuan'dian'zhen
相互关系,xiang'hu'guan'xi
相互交叉,xiang'hu'jiao'cha
相互校准,xiang'hu'jiao'zhun
相互扩散,xiang'hu'kuo'san
相互扩散系数,xiang'hu'kuo'san'xi'shu
相互连接,xiang'hu'lian'jie
相互调制,xiang'hu'tiao'zhi
相互吸引,xiang'hu'xi'yin
相互依赖,xiang'hu'yi'lai
相互转换,xiang'hu'zhuan'huan
相互作用时间,xiang'hu'zuo'yong'shi'jian
相间变换器,xiang'jian'bian'huan'qi
相间变压器,xiang'jian'bian'ya'qi
相间的,xiang'jian'de
相间结合,xiang'jian'jie'he
相间自耦变压器,xiang'jian'zi'ou'bian'ya'qi
香胶,xiang'jiao
相交,xiang'jiao
相交定理,xiang'jiao'ding'li
相交二重轴,xiang'jiao'er'chong'zhou
相交滑移面,xiang'jiao'hua'yi'mian
相交平面,xiang'jiao'ping'mian
镶块,xiang'kuai
象力,xiang'li
向内扩散,xiang'nei'kuo'san
橡皮绝缘软电缆,xiang'pi'jue'yuan'ruan'dian'lan
橡皮绝缘软线,xiang'pi'jue'yuan'ruan'xian
橡皮套,xiang'pi'tao
镶嵌件,xiang'qian'jian
镶嵌造型,xiang'qian'zao'xing
镶刃刀头,xiang'ren'dao'tou
镶刃钻头,xiang'ren'zuan'tou
象容积,xiang'rong'ji
镶入,xiang'ru
镶色玻璃,xiang'se'bo'li
箱渗碳,xiang'shen'tan
箱式干燥机,xiang'shi'gan'zao'ji
箱式冷却器,xiang'shi'leng'que'qi
箱式炉,xiang'shi'lu
箱式输送机,xiang'shi'shu'song'ji
箱式压滤机,xiang'shi'ya'lv'ji
箱式浴槽,xiang'shi'yu'cao
相同条件,xiang'tong'tiao'jian
箱外壳,xiang'wai'ke
向外凸的,xiang'wai'tu'de
象位错,xiang'wei'cuo
想象,xiang'xiang
箱谐振,xiang'xie'zhen
