阿德勒心理学,a'de'le'xin'li'xue
完全失神经支配,wan'quan'shi'shen'jing'zhi'pei
完全随机化设计,wan'quan'sui'ji'hua'she'ji
完全性房室通道,wan'quan'xing'fang'shi'tong'dao
腕桡偏畸形,wan'rao'pian'ji'xing
弯手机,wan'shou'ji
顽童面容,wan'tong'mian'rong
腕下垂,wan'xia'chui
腕携带转移,wan'xie'dai'zhuan'yi
完形疗法,wan'xing'liao'fa
弯折,wan'zhe
往复式装置,wang'fu'shi'zhuang'zhi
网络社会心理学,wang'luo'she'hui'xin'li'xue
网膜梗死,wang'mo'geng'si
网膜囊肿,wang'mo'nang'zhong
网膜扭转,wang'mo'niu'zhuan
网膜移植,wang'mo'yi'zhi
网球肘,wang'qiu'zhou
妄想,wang'xiang
网象大小,wang'xiang'da'xiao
网状变性,wang'zhuang'bian'xing
网状红瘢性毛囊炎,wang'zhuang'hong'ban'xing'mao'nang'yan
网状激活系统,wang'zhuang'ji'huo'xi'tong
网状结构,wang'zhuang'jie'gou
网状内皮系统,wang'zhuang'nei'pi'xi'tong
网状皮片,wang'zhuang'pi'pian
网状皮片取皮机,wang'zhuang'pi'pian'qu'pi'ji
网状青斑,wang'zhuang'qing'ban
网状纤维,wang'zhuang'xian'wei
网状植皮术,wang'zhuang'zhi'pi'shu
网状组织细胞瘤,wang'zhuang'zu'zhi'xi'bao'liu
网状组织细胞肉芽肿,wang'zhuang'zu'zhi'xi'bao'rou'ya'zhong
胃癌,wei'ai
违拗症,wei'ao'zheng
胃半切除术,wei'ban'qie'chu'shu
韦伯,wei'bo
韦伯比例,wei'bo'bi'li
韦伯定律,wei'bo'ding'lv
韦伯分数,wei'bo'fen'shu
微波疗法,wei'bo'liao'fa
微波烧伤,wei'bo'shao'shang
韦伯综合征,wei'bo'zong'he'zheng
韦伯综合症,wei'bo'zong'he'zheng
胃部分切除术,wei'bu'fen'qie'chu'shu
威策尔胃造口术,wei'ce'er'wei'zao'kou'shu
胃肠道外全面营养,wei'chang'dao'wai'quan'mian'ying'yang
胃肠吻合术,wei'chang'wen'he'shu
维持气道通畅,wei'chi'qi'dao'tong'chang
胃重复,wei'chong'fu
胃出口梗阻,wei'chu'kou'geng'zu
谓词交叉模型,wei'ci'jiao'cha'mo'xing
胃次全切除术,wei'ci'quan'qie'chu'shu
韦德尼希,wei'de'ni'xi
胃底折叠术,wei'di'zhe'die'shu
位点,wei'dian
微电极,wei'dian'ji
未定类麻风,wei'ding'lei'ma'feng
胃窦切除术,wei'dou'qie'chu'shu
韦尔斯综合征,wei'er'si'zong'he'zheng
未分化癌,wei'fen'hua'ai
胃固定术,wei'gu'ding'shu
尾骨痛,wei'gu'tong
微管学说,wei'guan'xue'shuo
微核,wei'he
味幻觉,wei'huan'jue
危机干预,wei'ji'gan'yu
未接触抗原者,wei'jie'chu'kang'yuan'zhe
胃镜检查,wei'jing'jian'cha
微晶皮肤磨削术,wei'jing'pi'fu'mo'xue'shu
微晶学说,wei'jing'xue'shuo
味觉,wei'jue
味觉混合,wei'jue'hun'he
味觉绝对阈限,wei'jue'jue'dui'yu'xian
味觉敏度,wei'jue'min'du
味觉频率理论,wei'jue'pin'lv'li'lun
味觉区,wei'jue'qu
味觉融合临界点,wei'jue'rong'he'lin'jie'dian
味觉适应,wei'jue'shi'ying
味觉四面体,wei'jue'si'mian'ti
味觉性出汗综合征,wei'jue'xing'chu'han'zong'he'zheng
味觉性多汗症,wei'jue'xing'duo'han'zheng
味觉阈限,wei'jue'yu'xian
威克姆纹,wei'ke'mu'wen
胃空肠结肠瘘,wei'kong'chang'jie'chang'lou
胃空肠吻合术,wei'kong'chang'wen'he'shu
微孔过滤,wei'kong'guo'lv
微孔滤器,wei'kong'lv'qi
微孔膜,wei'kong'mo
维库溴铵,wei'ku'xiu'an
胃溃疡,wei'kui'yang
微粒皮片,wei'li'pi'pian
微粒植皮术,wei'li'zhi'pi'shu
威利综合征,wei'li'zong'he'zheng
唯灵论,wei'ling'lun
味盲,wei'mang
胃泌素瘤,wei'mi'su'liu
围模蜡,wei'mo'la
韦尼克失语症,wei'ni'ke'shi'yu'zheng
胃粘膜脱垂,wei'nian'mo'tuo'chui
胃扭转,wei'niu'zhuan
微脓疡,wei'nong'yang
胃旁路术,wei'pang'lu'shu
微泡式氧合器,wei'pao'shi'yang'he'qi
微嵌合体,wei'qian'he'ti
胃切除术,wei'qie'chu'shu
胃切开术,wei'qie'kai'shu
微球蛋白,wei'qiu'dan'bai
胃全切除术,wei'quan'qie'chu'shu
围裙状黏膜瓣,wei'qun'zhuang'nian'mo'ban
卫生桥,wei'sheng'qiao
卫生桥体,wei'sheng'qiao'ti
维生素,wei'sheng'su
微生物性湿疹,wei'sheng'wu'xing'shi'zhen
胃十二指肠吻合术,wei'shi'er'zhi'chang'wen'he'shu
威氏分析法,wei'shi'fen'xi'fa
韦氏肉芽肿病,wei'shi'rou'ya'zhong'bing
微栓子,wei'shuan'zi
威斯科特,wei'si'ke'te
尾随追踪,wei'sui'zhui'zong
萎缩,wei'suo
萎缩纹,wei'suo'wen
萎缩性瘢痕,wei'suo'xing'ban'hen
萎缩性扁平苔藓,wei'suo'xing'bian'ping'tai'xian
萎缩性毛发角化病,wei'suo'xing'mao'fa'jiao'hua'bing
萎缩性舌炎,wei'suo'xing'she'yan
萎缩性胃炎,wei'suo'xing'wei'yan
萎缩性硬斑病,wei'suo'xing'ying'ban'bing
位听神经,wei'ting'shen'jing
胃外瘘,wei'wai'lou
微细胞,wei'xi'bao
微细胞遗传学,wei'xi'bao'yi'chuan'xue
胃下垂,wei'xia'chui
微纤维蛋白,wei'xian'wei'dan'bai
微笑分析,wei'xiao'fen'xi
微笑构成,wei'xiao'gou'cheng
微笑美学,wei'xiao'mei'xue
微笑时显露,wei'xiao'shi'xian'lu
微笑线,wei'xiao'xian
唯心主义心理学,wei'xin'zhu'yi'xin'li'xue
卫星现象,wei'xing'xian'xiang
微型学习理论,wei'xing'xue'xi'li'lun
微血管吻合,wei'xue'guan'wen'he
微血栓,wei'xue'shuan
胃炎,wei'yan
唯意志论,wei'yi'zhi'lun
胃造口术,wei'zao'kou'shu
位置效应,wei'zhi'xiao'ying
危重症医学,wei'zhong'zheng'yi'xue
胃潴留,wei'zhu'liu
微注射,wei'zhu'she
伪装,wei'zhuang
温差电制冷,wen'cha'dian'zhi'leng
文唇,wen'chun
文唇线,wen'chun'xian
温点,wen'dian
稳定臂,wen'ding'bi
稳定电位,wen'ding'dian'wei
稳定性,wen'ding'xing
稳定性膀胱,wen'ding'xing'pang'guang
稳定性萎缩瘢痕,wen'ding'xing'wei'suo'ban'hen
蚊叮咬,wen'ding'yao
温度觉,wen'du'jue
温度效应,wen'du'xiao'ying
吻合,wen'he
吻合口,wen'he'kou
吻合口溃疡,wen'he'kou'kui'yang
吻合术,wen'he'shu
文化公平测验,wen'hua'gong'ping'ce'yan
文化决定论,wen'hua'jue'ding'lun
文化历史心理学,wen'hua'li'shi'xin'li'xue
问卷法,wen'juan'fa
温觉,wen'jue
文库,wen'ku
纹理梯度,wen'li'ti'du
紊乱综合征,wen'luan'zong'he'zheng
文眉,wen'mei
温泉,wen'quan
文森特曲线,wen'sen'te'qu'xian
文森龈炎,wen'sen'yin'yan
文森综合征,wen'sen'zong'he'zheng
文身,wen'shen
文身术,wen'shen'shu
稳态调节,wen'tai'tiao'jie
问题表征,wen'ti'biao'zheng
问题儿童,wen'ti'er'tong
问题解决,wen'ti'jie'jue
问题解决定势,wen'ti'jie'jue'ding'shi
问题空间,wen'ti'kong'jian
问题箱,wen'ti'xiang
温型抗体,wen'xing'kang'ti
文眼线,wen'yan'xian
文艺创作,wen'yi'chuang'zuo
文艺心理学,wen'yi'xin'li'xue
文娱疗法,wen'yu'liao'fa
喔啊声,wo'a'sheng
握笔法,wo'bi'fa
窝洞,wo'dong
窝洞涂剂,wo'dong'tu'ji
窝洞预备,wo'dong'yu'bei
沃尔夫定律,wo'er'fu'ding'lv
沃夫假设,wo'fu'jia'she
窝沟封闭剂,wo'gou'feng'bi'ji
窝沟龋,wo'gou'qu
沃克综合征,wo'ke'zong'he'zheng
沃勒变性,wo'le'bian'xing
涡流型微孔氧合器,wo'liu'xing'wei'kong'yang'he'qi
沃森辨别箱,wo'sen'bian'bie'xiang
沃特斯顿手术,wo'te'si'dun'shou'shu
沃辛瘤,wo'xin'liu
窝状角质松解症,wo'zhuang'jiao'zhi'song'jie'zheng
戊巴比妥,wu'ba'bi'tuo
五瓣成形术,wu'ban'cheng'xing'shu
无瘢痕皮肤磨削术,wu'ban'hen'pi'fu'mo'xue'shu
误差,wu'cha
误差均方,wu'cha'jun'fang
无创,wu'chuang
舞蹈疗法,wu'dao'liao'fa
伍德光,wu'de'guang
无反馈信息,wu'fan'kui'xin'xi
无反应性,wu'fan'ying'xing
无缝冠压模机,wu'feng'guan'ya'mo'ji
无缝壳冠,wu'feng'ke'guan
无复吸入活瓣,wu'fu'xi'ru'huo'ban
无复吸入装置,wu'fu'xi'ru'zhuang'zhi
无辅助病毒包装细胞,wu'fu'zhu'bing'du'bao'zhuang'xi'bao
无肝期,wu'gan'qi
无睾症,wu'gao'zheng
蜈蚣螯伤,wu'gong'ao'shang
无过氧化氢酶血症,wu'guo'yang'hua'qing'mei'xue'zheng
无汗症,wu'han'zheng
无颌,wu'he
无黑,wu'hei
雾化器,wu'hua'qi
无机碱皮肤损伤,wu'ji'jian'pi'fu'sun'shang
无机酸皮肤损伤,wu'ji'suan'pi'fu'sun'shang
无尖牙,wu'jian'ya
无结石胆囊炎,wu'jie'shi'dan'nang'yan
无精子症,wu'jing'zi'zheng
无菌伤口,wu'jun'shang'kou
无菌术,wu'jun'shu
无菌性梗死,wu'jun'xing'geng'si
无菌性炎症,wu'jun'xing'yan'zheng
物理,wu'li
物理环境,wu'li'huan'jing
物理疗法,wu'li'liao'fa
物理美容学,wu'li'mei'rong'xue
物理医学,wu'li'yi'xue
物理医学与康复,wu'li'yi'xue'yu'kang'fu
物理预防,wu'li'yu'fang
物理主义心理学,wu'li'zhu'yi'xin'li'xue
无绿藻病,wu'lv'zao'bing
无脑,wu'nao
无脑儿,wu'nao'er
无偏估计量,wu'pian'gu'ji'liang
无气流期,wu'qi'liu'qi
五禽戏,wu'qin'xi
污染伤口,wu'ran'shang'kou
无热,wu're
无色素痣,wu'se'su'zhi
无色性色素失调症,wu'se'xing'se'su'shi'tiao'zheng
无舌,wu'she
无髓牙,wu'sui'ya
戊糖尿症,wu'tang'niao'zheng
物体存继性,wu'ti'cun'ji'xing
物体大小,wu'ti'da'xiao
物体恒常性,wu'ti'heng'chang'xing
误吸,wu'xi
无细胞层,wu'xi'bao'ceng
无细胞牙骨质,wu'xi'bao'ya'gu'zhi
无性细胞瘤,wu'xing'xi'bao'liu
无性腺症,wu'xing'xian'zheng
无形象思维,wu'xing'xiang'si'wei
无牙,wu'ya
无牙颌,wu'ya'he
无牙患者治疗学,wu'ya'huan'zhe'zhi'liao'xue
无牙区带蒂移植瓣,wu'ya'qu'dai'di'yi'zhi'ban
无牙症,wu'ya'zheng
无眼畸形,wu'yan'ji'xing
无意识记,wu'yi'shi'ji
无意识推理,wu'yi'shi'tui'li
无义突变,wu'yi'tu'bian
无意义音节,wu'yi'yi'yin'jie
无原纤维牙骨质,wu'yuan'xian'wei'ya'gu'zhi
无再灌注,wu'zai'guan'zhu
无障碍通行,wu'zhang'ai'tong'xing
无症状性细菌尿,wu'zheng'zhuang'xing'xi'jun'niao
五指,wu'zhi
物质,wu'zhi
物种,wu'zhong
物种特异行为,wu'zhong'te'yi'xing'wei
物种形成,wu'zhong'xing'cheng
无助,wu'zhu
武装巨噬细胞,wu'zhuang'ju'shi'xi'bao
无着丝粒断片,wu'zhuo'si'li'duan'pian
细胞,xi'bao
细胞表面抗原,xi'bao'biao'mian'kang'yuan
细胞病,xi'bao'bing
细胞病理学,xi'bao'bing'li'xue
细胞成熟因子,xi'bao'cheng'shu'yin'zi
细胞凋亡,xi'bao'diao'wang
细胞毒,xi'bao'du
细胞毒试验,xi'bao'du'shi'yan
细胞毒性,xi'bao'du'xing
细胞分化因子,xi'bao'fen'hua'yin'zi
细胞辅助因子,xi'bao'fu'zhu'yin'zi
细胞核,xi'bao'he
细胞回收器,xi'bao'hui'shou'qi
细胞介导免疫,xi'bao'jie'dao'mian'yi
细胞结合,xi'bao'jie'he
细胞聚集,xi'bao'ju'ji
细胞抗原受体,xi'bao'kang'yuan'shou'ti
细胞库,xi'bao'ku
细胞免疫,xi'bao'mian'yi
细胞耐受,xi'bao'nai'shou
细胞粘附分子,xi'bao'nian'fu'fen'zi
细胞肉芽肿,xi'bao'rou'ya'zhong
细胞生长因子,xi'bao'sheng'zhang'yin'zi
细胞受体,xi'bao'shou'ti
细胞受体库,xi'bao'shou'ti'ku
细胞输注,xi'bao'shu'zhu
细胞栓塞,xi'bao'shuan'sai
细胞栓子,xi'bao'shuan'zi
细胞损伤,xi'bao'sun'shang
细胞替代因子,xi'bao'ti'dai'yin'zi
细胞系,xi'bao'xi
细胞协同作用,xi'bao'xie'tong'zuo'yong
细胞性蓝痣,xi'bao'xing'lan'zhi
细胞牙骨质,xi'bao'ya'gu'zhi
细胞亚类,xi'bao'ya'lei
细胞遗传学,xi'bao'yi'chuan'xue
细胞移植,xi'bao'yi'zhi
细胞抑制因子,xi'bao'yi'zhi'yin'zi
细胞因子,xi'bao'yin'zi
细胞原位杂交,xi'bao'yuan'wei'za'jiao
细胞杂交,xi'bao'za'jiao
细胞质基因,xi'bao'zhi'ji'yin
细胞肿胀,xi'bao'zhong'zhang
细胞周期,xi'bao'zhou'qi
细胞株,xi'bao'zhu
烯丙吗啡,xi'bing'ma'fei
西伯鼻孢子菌,xi'bo'bi'bao'zi'jun
希波克拉底体液说,xi'bo'ke'la'di'ti'ye'shuo
习得,xi'de
习得行为,xi'de'xing'wei
西尔弗综合征,xi'er'fu'zong'he'zheng
膝反屈,xi'fan'qu
矽肺,xi'fei
习服,xi'fu
吸附,xi'fu
吸附洗脱试验,xi'fu'xi'tuo'shi'yan
习惯,xi'guan
习惯化,xi'guan'hua
膝关节交锁,xi'guan'jie'jiao'suo
习惯性脱位,xi'guan'xing'tuo'wei
细精管发育障碍症,xi'jing'guan'fa'yu'zhang'ai'zheng
细菌栓塞,xi'jun'shuan'sai
细菌栓子,xi'jun'shuan'zi
细菌性动脉瘤,xi'jun'xing'dong'mai'liu
细菌性尿道炎,xi'jun'xing'niao'dao'yan
细菌性膀胱炎,xi'jun'xing'pang'guang'yan
细菌性前列腺炎,xi'jun'xing'qian'lie'xian'yan
细菌性肾盂肾炎,xi'jun'xing'shen'yu'shen'yan
细菌性心内膜炎,xi'jun'xing'xin'nei'mo'yan
系列回忆,xi'lie'hui'yi
系列加工,xi'lie'jia'gong
系列搜索,xi'lie'sou'suo
系列位置曲线,xi'lie'wei'zhi'qu'xian
系列学习,xi'lie'xue'xi
洗眉,xi'mei
西蒙智力量表,xi'meng'zhi'li'liang'biao
西莫纳尔系带,xi'mo'na'er'ji'dai
膝内翻,xi'nei'fan
悉尼线,xi'ni'xian
系谱,xi'pu
吸气活瓣,xi'qi'huo'ban
吸气末暂停,xi'qi'mo'zan'ting
吸气末正压,xi'qi'mo'zheng'ya
吸气驱动压,xi'qi'qu'dong'ya
析取概念,xi'qu'gai'nian
膝屈曲畸形,xi'qu'qu'ji'xing
息肉,xi'rou
息肉病,xi'rou'bing
息肉切除,xi'rou'qie'chu
息肉手法摘除术,xi'rou'shou'fa'zhai'chu'shu
吸入麻醉,xi'ru'ma'zui
吸入麻醉药,xi'ru'ma'zui'yao
吸入性损伤,xi'ru'xing'sun'shang
吸入氧比例,xi'ru'yang'bi'li
吸收,xi'shou
细丝弓矫治器,xi'si'gong'jiao'zhi'qi
细丝钳,xi'si'qian
习俗道德,xi'su'dao'de
系统发育,xi'tong'fa'yu
系统反馈,xi'tong'fan'kui
系统脱敏,xi'tong'tuo'min
系统误差,xi'tong'wu'cha
系统性红斑狼疮,xi'tong'xing'hong'ban'lang'chuang
吸唾液器,xi'tuo'ye'qi
西瓦特皮肤异色病,xi'wa'te'pi'fu'yi'se'bing
膝外翻,xi'wai'fan
洗胃,xi'wei
西韦病,xi'wei'bing
吸涎器,xi'xian'qi
细线期,xi'xian'qi
细小主动脉根,xi'xiao'zhu'dong'mai'gen
习性学,xi'xing'xue
吸烟斑,xi'yan'ban
吸烟性黑斑,xi'yan'xing'hei'ban
吸烟者角化病,xi'yan'zhe'jiao'hua'bing
吸烟者面容,xi'yan'zhe'mian'rong
蜥蜴咬伤,xi'yi'yao'shang
吸引,xi'yin
吸引管,xi'yin'guan
吸引力,xi'yin'li
析因设计方差分析,xi'yin'she'ji'fang'cha'fen'xi
细针抽吸活检,xi'zhen'chou'xi'huo'jian
细支气管肺泡癌,xi'zhi'qi'guan'fei'pao'ai
细支气管炎,xi'zhi'qi'guan'yan
息止位垂直关系,xi'zhi'wei'chui'zhi'guan'xi
膝状节神经痛,xi'zhuang'jie'shen'jing'tong
下差别阈,xia'cha'bie'yu
下垂,xia'chui
下唇线,xia'chun'xian
下唇正中裂,xia'chun'zheng'zhong'lie
下疳,xia'gan
下疳样脓皮病,xia'gan'yang'nong'pi'bing
下颌骨侧位投照术,xia'he'gu'ce'wei'tou'zhao'shu
下颌骨后前位投照术,xia'he'gu'hou'qian'wei'tou'zhao'shu
下颌骨颜面发育不全,xia'he'gu'yan'mian'fa'yu'bu'quan
下颌后缩,xia'he'hou'suo
下颌角点,xia'he'jiao'dian
下颌髁突切除术,xia'he'ke'tu'qie'chu'shu
下颌隆凸,xia'he'long'tu
下颌面骨发育不全,xia'he'mian'gu'fa'yu'bu'quan
下颌平面角,xia'he'ping'mian'jiao
下颌前突,xia'he'qian'tu
下颌切迹,xia'he'qie'ji
下颌韧带,xia'he'ren'dai
下颌神经阻滞麻醉,xia'he'shen'jing'zu'zhi'ma'zui
下颌升支侧位体层片,xia'he'sheng'zhi'ce'wei'ti'ceng'pian
下颌体,xia'he'ti
下颌突,xia'he'tu
下颌位,xia'he'wei
下颌息止位,xia'he'xi'zhi'wei
下颌下间隙,xia'he'xia'jian'xi
下颌牙,xia'he'ya
下颌牙槽座点,xia'he'ya'cao'zuo'dian
下颌运动,xia'he'yun'dong
下颌运动复制器,xia'he'yun'dong'fu'zhi'qi
下颌运动描记仪,xia'he'yun'dong'miao'ji'yi
下颌正中囊肿,xia'he'zheng'zhong'nang'zhong
下颌支截骨术,xia'he'zhi'jie'gu'shu
下颌支支架种植体,xia'he'zhi'zhi'jia'zhong'zhi'ti
下颌中切牙,xia'he'zhong'qie'ya
下颌中切牙切缘点,xia'he'zhong'qie'ya'qie'yuan'dian
夏季瘙痒,xia'ji'sao'yang
下睑袋,xia'jian'dai
下睑袋修复术,xia'jian'dai'xiu'fu'shu
下睑紧缩术,xia'jian'jin'suo'shu
夏科,xia'ke
狭颅症,xia'lu'zheng
夏佩纤维,xia'pei'xian'wei
夏皮纤维,xia'pi'xian'wei
下腔静脉瓣,xia'qiang'jing'mai'ban
下丘脑,xia'qiu'nao
下限,xia'xian
下斜曲线,xia'xie'qu'xian
下意识,xia'yi'shi
狭窄,xia'zhai
下肢不等长,xia'zhi'bu'deng'chang
下肢长,xia'zhi'chang
腺癌,xian'ai
现场抢救,xian'chang'qiang'jiu
现场实验,xian'chang'shi'yan
现场研究,xian'chang'yan'jiu
显带,xian'dai
先导链,xian'dao'lian
腺苷脱氨酶缺乏症,xian'gan'tuo'an'mei'que'fa'zheng
涎管,xian'guan
涎管成形术,xian'guan'cheng'xing'shu
涎管狭窄,xian'guan'xia'zhai
涎管炎,xian'guan'yan
腺棘皮瘤,xian'ji'pi'liu
线角,xian'jiao
衔接易位,xian'jie'yi'wei
线粒体基因,xian'li'ti'ji'yin
线粒体遗传,xian'li'ti'yi'chuan
腺淋巴瘤,xian'lin'ba'liu
腺瘤,xian'liu
纤毛抗原,xian'mao'kang'yuan
显明律,xian'ming'lv
腺泡细胞癌,xian'pao'xi'bao'ai
线片,xian'pian
显色指数,xian'se'zhi'shu
线烧伤,xian'shao'shang
涎石,xian'shi
显示比,xian'shi'bi
涎石病,xian'shi'bing
显示兼容性,xian'shi'jian'rong'xing
显示杂合子,xian'shi'za'he'zi
涎石摘除术,xian'shi'zhai'chu'shu
涎酸贮积症,xian'suan'zhu'ji'zheng
线索性回忆,xian'suo'xing'hui'yi
线索性遗忘,xian'suo'xing'yi'wang
先天畸形,xian'tian'ji'xing
先天理论,xian'tian'li'lun
先天梅毒,xian'tian'mei'du
先天免疫,xian'tian'mian'yi
先天释放机制,xian'tian'shi'fang'ji'zhi
先天属性,xian'tian'shu'xing
先天性,xian'tian'xing
先天性扳机拇指,xian'tian'xing'ban'ji'mu'zhi
先天性并趾,xian'tian'xing'bing'zhi
先天性并指,xian'tian'xing'bing'zhi
先天性垂直距骨,xian'tian'xing'chui'zhi'ju'gu
先天性唇窦道,xian'tian'xing'chun'dou'dao
先天性毳毛性多毛症,xian'tian'xing'cui'mao'xing'duo'mao'zheng
先天性代谢缺陷,xian'tian'xing'dai'xie'que'xian
先天性单趾,xian'tian'xing'dan'zhi
先天性单指,xian'tian'xing'dan'zhi
先天性胆总管扩张,xian'tian'xing'dan'zong'guan'kuo'zhang
先天性胆总管囊肿,xian'tian'xing'dan'zong'guan'nang'zhong
先天性短颈综合征,xian'tian'xing'duan'jing'zong'he'zheng
先天性短食管,xian'tian'xing'duan'shi'guan
先天性耳前窦道,xian'tian'xing'er'qian'dou'dao
先天性耳前瘘管,xian'tian'xing'er'qian'lou'guan
先天性肺囊肿,xian'tian'xing'fei'nang'zhong
先天性肺叶性肺气肿,xian'tian'xing'fei'ye'xing'fei'qi'zhong
先天性风疹综合征,xian'tian'xing'feng'zhen'zong'he'zheng
先天性肝内胆管扩张,xian'tian'xing'gan'nei'dan'guan'kuo'zhang
先天性肛门闭锁,xian'tian'xing'gang'men'bi'suo
先天性肛门狭窄,xian'tian'xing'gang'men'xia'zhai
先天性肛门直肠畸形,xian'tian'xing'gang'men'zhi'chang'ji'xing
先天性高氨血症,xian'tian'xing'gao'an'xue'zheng
先天性膈疝,xian'tian'xing'ge'shan
先天性关节挛缩,xian'tian'xing'guan'jie'luan'suo
先天性环状缩窄,xian'tian'xing'huan'zhuang'suo'zhai
先天性疾病,xian'tian'xing'ji'bing
先天性甲肥厚,xian'tian'xing'jia'fei'hou
先天性角化不良,xian'tian'xing'jiao'hua'bu'liang
先天性巨结肠,xian'tian'xing'ju'jie'chang
先天性巨肾盏,xian'tian'xing'ju'shen'zhan
先天性巨输尿管,xian'tian'xing'ju'shu'niao'guan
先天性髋脱位,xian'tian'xing'kuan'tuo'wei
先天性淋巴水肿,xian'tian'xing'lin'ba'shui'zhong
先天性脑积水,xian'tian'xing'nao'ji'shui
先天性膀胱颈挛缩,xian'tian'xing'pang'guang'jing'luan'suo
先天性皮肤发育不全,xian'tian'xing'pi'fu'fa'yu'bu'quan
先天性皮肤异色症,xian'tian'xing'pi'fu'yi'se'zheng
先天性气管食管瘘,xian'tian'xing'qi'guan'shi'guan'lou
先天性鞘膜积液,xian'tian'xing'qiao'mo'ji'ye
先天性缺肢,xian'tian'xing'que'zhi
先天性缺趾,xian'tian'xing'que'zhi
先天性缺指,xian'tian'xing'que'zhi
先天性桡尺骨融合,xian'tian'xing'rao'chi'gu'rong'he
先天性肾囊性病,xian'tian'xing'shen'nang'xing'bing
先天性食管闭锁,xian'tian'xing'shi'guan'bi'suo
先天性秃发,xian'tian'xing'tu'fa
先天性唾液腺缺失,xian'tian'xing'tuo'ye'xian'que'shi
先天行为,xian'tian'xing'wei
先天性胃扭转,xian'tian'xing'wei'niu'zhuan
先天性无臂,xian'tian'xing'wu'bi
先天性无耳,xian'tian'xing'wu'er
先天性无神经节症,xian'tian'xing'wu'shen'jing'jie'zheng
先天性无痛症,xian'tian'xing'wu'tong'zheng
先天性无肢,xian'tian'xing'wu'zhi
先天性无趾,xian'tian'xing'wu'zhi
先天性无指,xian'tian'xing'wu'zhi
先天性下唇瘘管,xian'tian'xing'xia'chun'lou'guan
先天性涎腺缺失,xian'tian'xing'xian'xian'que'shi
先天性胸骨后膈疝,xian'tian'xing'xiong'gu'hou'ge'shan
先天性牙龈瘤,xian'tian'xing'ya'yin'liu
先天性异位输尿管,xian'tian'xing'yi'wei'shu'niao'guan
先天性阴道闭锁,xian'tian'xing'yin'dao'bi'suo
先天性阴茎弯曲,xian'tian'xing'yin'jing'wan'qu
先天性鱼鳞癣胎儿,xian'tian'xing'yu'lin'xuan'tai'er
先天性趾侧弯,xian'tian'xing'zhi'ce'wan
先天性指侧弯,xian'tian'xing'zhi'ce'wan
先天性直肠闭锁,xian'tian'xing'zhi'chang'bi'suo
先天性直肠狭窄,xian'tian'xing'zhi'chang'xia'zhai
先天性指关节融合,xian'tian'xing'zhi'guan'jie'rong'he
先天性指屈曲,xian'tian'xing'zhi'qu'qu
先天性痣细胞痣,xian'tian'xing'zhi'xi'bao'zhi
先天性重唇,xian'tian'xing'zhong'chun
先天性肿瘤,xian'tian'xing'zhong'liu
先天性转运障碍症,xian'tian'xing'zhuan'yun'zhang'ai'zheng
先天愚型,xian'tian'yu'xing
线条透视,xian'tiao'tou'shi
线头影测量机,xian'tou'ying'ce'liang'ji
线头影测量片,xian'tou'ying'ce'liang'pian
显微,xian'wei
纤维,xian'wei
纤维斑块,xian'wei'ban'kuai
纤维变性,xian'wei'bian'xing
纤维蛋白,xian'wei'dan'bai
纤维蛋白裂解产物,xian'wei'dan'bai'lie'jie'chan'wu
纤维蛋白溶解抑制剂,xian'wei'dan'bai'rong'jie'yi'zhi'ji
纤维蛋白套,xian'wei'dan'bai'tao
纤维蛋白性血栓,xian'wei'dan'bai'xing'xue'shuan
纤维蛋白性炎,xian'wei'dan'bai'xing'yan
纤维蛋白样变性,xian'wei'dan'bai'yang'bian'xing
纤维蛋白样坏死,xian'wei'dan'bai'yang'huai'si
显微放射自显影术,xian'wei'fang'she'zi'xian'ying'shu
显微缝合,xian'wei'feng'he
纤维化,xian'wei'hua
纤维连接蛋白,xian'wei'lian'jie'dan'bai
纤维瘤,xian'wei'liu
纤维瘤病,xian'wei'liu'bing
显微美容外科,xian'wei'mei'rong'wai'ke
显微切割,xian'wei'qie'ge
纤维肉瘤,xian'wei'rou'liu
纤维上皮瘤,xian'wei'shang'pi'liu
显微神经外科,xian'wei'shen'jing'wai'ke
显微外科,xian'wei'wai'ke
显微外科技术,xian'wei'wai'ke'ji'shu
纤维腺瘤,xian'wei'xian'liu
纤维性骨炎,xian'wei'xing'gu'yan
纤维性甲状腺炎,xian'wei'xing'jia'zhuang'xian'yan
纤维性牙龈瘤,xian'wei'xing'ya'yin'liu
纤维性粘连,xian'wei'xing'zhan'lian
显微血管外科,xian'wei'xue'guan'wai'ke
陷窝韧带疝,xian'wo'ren'dai'shan
涎腺导管癌,xian'xian'dao'guan'ai
涎腺导管闭锁,xian'xian'dao'guan'bi'suo
涎腺导管扩张,xian'xian'dao'guan'kuo'zhang
涎腺分泌抑制,xian'xian'fen'mi'yi'zhi
涎腺化生,xian'xian'hua'sheng
涎腺瘘,xian'xian'lou
涎腺囊肿,xian'xian'nang'zhong
涎腺切除术,xian'xian'qie'chu'shu
涎腺切开引流术,xian'xian'qie'kai'yin'liu'shu
涎腺融合,xian'xian'rong'he
涎腺下颌骨舌侧陷入,xian'xian'xia'he'gu'she'ce'xian'ru
涎腺炎,xian'xian'yan
涎腺造影术,xian'xian'zao'ying'shu
涎腺增生,xian'xian'zeng'sheng
涎腺肿大,xian'xian'zhong'da
现象,xian'xiang
现象心理学,xian'xiang'xin'li'xue
显性,xian'xing
